sentence,dcid
"""Hispanic Or Latino"",Hispanic Or Latino",HispanicOrLatino
"""Two Or More Races"",Two Or More Races",TwoOrMoreRaces
& PLUMBING FIXTURES,SIC/3430
"(11): Territory inside an Urbanized Area and inside a Principal City with population of 250,000 or more.",NCES_CityLarge
"(12): Territory inside an Urbanized Area and inside a Principal City with population less than 250,000 and greater than or equal to 100,000.",NCES_CityMidsize
"(13): Territory inside an Urbanized Area and inside a Principal City with population less than 100,000.",NCES_CitySmall
"(21): Territory outside a Principal City and inside an Urbanized Area with population of 250,000 or more.",NCES_SuburbLarge
"(22): Territory outside a Principal City and inside an Urbanized Area with population less than 250,000 and greater than or equal to 100,000.",NCES_SuburbMidsize
"(23): Territory outside a Principal City and inside an Urbanized Area with population less than 100,000.",NCES_SuburbSmall
(31): Territory inside an Urban Cluster that is less than or equal to 10 miles from an Urbanized Area.,NCES_TownFringe
(32): Territory inside an Urban Cluster that is more than 10 miles and less than or equal to 35 miles from an Urbanized Area.,NCES_TownDistant
(33): Territory inside an Urban Cluster that is more than 35 miles from an Urbanized Area,NCES_TownRemote
"(41): Census-defined rural territory that is less than or equal to 5 miles from an Urbanized Area,as well as rural territory that is less than or equal to 2.5 miles from an Urban Cluster.",NCES_RuralFringe
"(42) Census-defined rural territory that is more than 5 miles but less than or equal to 25 miles from an Urbanized Area,as well as rural territory that is more than 2.5 miles but less than or equal to 10 miles from an Urban Cluster.",NCES_RuralDistant
(43): Census-defined rural territory that is more than 25 miles from an Urbanized Area and also more than 10 miles from an Urban Cluster.,NCES_RuralRemote
",""NETC FASTag offers the convenience of cashless payment along with benefits like savings on fuel and time as the customer does not has to stop at the toll plaza.""",NationalElectronicTollCollection
",""Unified Payments Interface is an instant real-time payment system developed by NPCI to facilitate inter-bank transactions through mobile phones.""",UnifiedPaymentsInterface
0.33 To 1 Sigma Layer,0.33To1SigmaLayer
0.995 Sigma Level,0.995SigmaLevel
"0.995 sigma level is a terrain-following model level located at 99.5% of surface pressure, representing near-surface atmospheric conditions.",0.995SigmaLevel
1 Month Before Pregnancy,1MonthBeforePregnancy
1 St Grade,1StGrade
1 St To12 Th Grade,1StTo12ThGrade
1 To 2 Hours,1To2Hours
10 Th Grade,10ThGrade
100th percentile value,Percentile100
10th percentile value,Percentile10
11 Th Grade,11ThGrade
12 Months Before Birth,12MonthsBeforeBirth
12 Months Before Pregnancy,12MonthsBeforePregnancy
12 Th Grade No Diploma,12ThGradeNoDiploma
12th grade,12ThGrade
1st percentile value,Percentile1
2 Nd Grade,2NdGrade
25th percentile value,Percentile25
3 Months Before Pregnancy,3MonthsBeforePregnancy
3 Rd Grade,3RdGrade
3 To 4 Hours,3To4Hours
4 Th Grade,4ThGrade
5 Th And6 Th Grade,5ThAnd6ThGrade
5 Th Grade,5ThGrade
5 or More Hours,5OrMoreHours
50th percentile value,Percentile50
6 Th Grade,6ThGrade
7 Th And8 Th Grade,7ThAnd8ThGrade
7 Th Grade,7ThGrade
75th percentile value,Percentile75
8 Th Grade,8ThGrade
8 Weeks After Pregnancy,8WeeksAfterPregnancy
9 Th Grade,9ThGrade
