dcid,year,climateFinanceReceivedCommitmentsOdaGrantsCurrentUSD
Earth,2013,11200581919.204252
Earth,2014,9171492724.579927
Earth,2015,9683092123.706255
Earth,2016,11448620647.874247
Earth,2017,13722662869.11944
Earth,2018,13626810875.675243
Earth,2019,15958633509.950663
Earth,2020,17107051215.684946
Earth,2021,19001794247.836254
country/AFG,2013,298126649.2
country/AFG,2014,169260250.6
country/AFG,2015,107565280.6
country/AFG,2016,160028113.292
country/AFG,2017,215355143.8
country/AFG,2018,320900852.0
country/AFG,2019,225482507.2
country/AFG,2020,242518160.8
country/AFG,2021,183054095.5726
country/ALB,2013,17449610.2
country/ALB,2014,20763547.4
country/ALB,2015,5221078.600000001
country/ALB,2016,18473850.6
country/ALB,2017,20989496.8
country/ALB,2018,63108118.2
country/ALB,2019,46559167.4
country/ALB,2020,65378941.6
country/ALB,2021,60377836.2
country/DZA,2013,3340855.2
country/DZA,2014,14163793.0
country/DZA,2015,12741156.200000001
country/DZA,2016,15018622.0
country/DZA,2017,12138339.8
country/DZA,2018,38219362.4
country/DZA,2019,9404656.8
country/DZA,2020,20002129.0
country/DZA,2021,4454255.0
country/AGO,2013,24115199.2
country/AGO,2014,13150728.0
country/AGO,2015,269528.8
country/AGO,2016,1748321.6
country/AGO,2017,80495939.2
country/AGO,2018,1879728.0
country/AGO,2019,28060839.2
country/AGO,2020,7206792.0
country/AGO,2021,11529820.8
country/ATG,2013,8999154.4
country/ATG,2015,8590250.0
country/ATG,2016,388647.6
country/ATG,2017,12978874.8
country/ATG,2018,8362759.0
country/ATG,2019,3834600.4
country/ATG,2020,33740029.4
country/ATG,2021,144907.2
country/ARG,2013,15634822.2
country/ARG,2014,5614859.3
country/ARG,2015,7868998.0
country/ARG,2016,4190852.0
country/ARG,2017,6520721.4
country/ARG,2018,12311107.4
country/ARG,2019,34092744.8
country/ARG,2020,85164817.8
country/ARG,2021,3992095.6
country/ARM,2013,11034838.4
country/ARM,2014,12009972.6
country/ARM,2015,20481431.8
country/ARM,2016,35471286.8
