dcid,year,climateFinanceReceivedCommitmentsCrossCuttingCurrentUSD
Earth,2013,2570374965.1039796
Earth,2014,3527564090.4666486
Earth,2015,3333917130.3451905
Earth,2016,4499379193.5662155
Earth,2017,5123536769.744557
Earth,2018,5572541638.822603
Earth,2019,5315755221.453927
Earth,2020,4659972045.379242
Earth,2021,5339947981.687729
country/AFG,2013,8582605.600000001
country/AFG,2014,19028166.8
country/AFG,2015,30185997.2
country/AFG,2016,56116133.800000004
country/AFG,2017,46161680.2
country/AFG,2018,50824192.0
country/AFG,2019,12401389.600000001
country/AFG,2020,14995561.200000001
country/AFG,2021,16638605.2
country/ALB,2013,20718990.2834838
country/ALB,2014,2923584.6
country/ALB,2015,26683305.400000002
country/ALB,2016,42963468.6459582
country/ALB,2017,9038000.200000001
country/ALB,2018,37796095.9155907
country/ALB,2019,26871262.0
country/ALB,2020,36991703.0
country/ALB,2021,54998645.800000004
country/DZA,2013,1612550.0000000002
country/DZA,2014,2138782.0
country/DZA,2015,8216804.800000001
country/DZA,2016,970472.2000000001
country/DZA,2017,535227.2000000001
country/DZA,2018,3797968.0
country/DZA,2019,2167701.2
country/DZA,2020,1601469.6
country/DZA,2021,439544.4
country/AGO,2013,7548.400000000001
country/AGO,2014,334113.2
country/AGO,2015,254808.80000000002
country/AGO,2016,476851.8
country/AGO,2017,72.8
country/AGO,2018,8497.6
country/AGO,2019,2432512.4000000004
country/AGO,2020,42514585.0
country/AGO,2021,230474.40000000002
country/ATG,2015,6655574.0
country/ATG,2016,352000.0
country/ATG,2018,10848.0
country/ATG,2019,238540.8
country/ATG,2020,97374.4
country/ATG,2021,57080.0
country/ARG,2013,251086.2
country/ARG,2014,215768.0
country/ARG,2015,217869.6
country/ARG,2016,704896.2000000001
country/ARG,2017,172964.40000000002
country/ARG,2018,215162.40000000002
country/ARG,2019,6084325.4
country/ARG,2020,676736.0
country/ARG,2021,43125562.8
country/ARM,2013,7092749.678491771
country/ARM,2014,49928438.800000004
country/ARM,2015,36827509.6
country/ARM,2016,143994.8
country/ARM,2017,80638.6
country/ARM,2018,14842432.79900861
country/ARM,2019,26918014.588984665
country/ARM,2020,1611039.8839886002
country/ARM,2021,5650260.6018330185
country/AZE,2013,15666.0
country/AZE,2015,6005546.4
country/AZE,2016,2081168.0000000002
country/AZE,2017,6135084.2
country/AZE,2018,200966.6
country/AZE,2019,1956.0
country/AZE,2020,1157578.8
country/AZE,2021,43740.2
country/BGD,2013,6398632.4
country/BGD,2014,14638340.0
country/BGD,2015,15949534.8
country/BGD,2016,50710451.199999996
country/BGD,2017,16299865.8
country/BGD,2018,36649192.4
country/BGD,2019,14321717.0
country/BGD,2020,17098653.200000003
