dcid,year,climateFinanceProvidedDisbursementsAdaptationOdaLoansCurrentUSD
Earth,2013,607079327.12
Earth,2014,756224901.1310977
Earth,2015,980293874.7961835
Earth,2016,1153104228.6273232
Earth,2017,1221074262.0885036
Earth,2018,1766800765.263204
Earth,2019,3027776822.5014644
Earth,2020,3738724354.6385546
Earth,2021,5283695296.603549
country/BEL,2015,2612431.6
country/BEL,2016,2373488.4000000004
country/BEL,2017,3283707.2
country/BEL,2018,2083318.4000000001
country/BEL,2019,552503.2000000001
country/BEL,2020,361254.4
country/BEL,2021,3668725.0
country/CAN,2021,151575590.0
country/FRA,2013,372654985.0
country/FRA,2014,187319583.0
country/FRA,2015,92107599.0
country/FRA,2016,213225701.0
country/FRA,2017,335651056.0
country/FRA,2018,138871644.8
country/FRA,2019,437630490.4
country/FRA,2020,973249523.8
country/FRA,2021,1462043983.6
country/DEU,2013,92857796.0
country/DEU,2014,23687431.4
country/DEU,2015,33865768.6
country/DEU,2016,130149391.2
country/DEU,2017,132985080.2
country/DEU,2018,119681641.0
country/DEU,2019,95880304.0
country/DEU,2020,211109902.0
country/DEU,2021,329711204.8
country/ITA,2013,1286394.8000000003
country/ITA,2014,1348040.0
country/ITA,2015,408104.0
country/ITA,2016,282621.2
country/ITA,2017,219262.80000000002
country/ITA,2018,937901.6000000001
country/ITA,2019,534256.0
country/ITA,2020,668334.8
country/ITA,2021,3612592.8
country/JPN,2013,75453394.4
country/JPN,2014,377699199.40000004
country/JPN,2015,448536133.8
country/JPN,2016,234881817.20000002
country/JPN,2017,398484529.8
country/JPN,2018,323088279.8
country/JPN,2019,323252048.40000004
country/JPN,2020,482045609.40000004
country/JPN,2021,1313624816.2
country/KOR,2013,7634850.2
country/KOR,2014,1264999.8
country/KOR,2015,14335478.8
country/KOR,2016,20074415.0
country/KOR,2017,17265891.4
country/KOR,2018,28979451.2
country/KOR,2019,57714572.6
country/KOR,2020,12733201.0
country/KOR,2021,79287062.8
country/POL,2018,58668712.0
country/ESP,2013,5866864.0
country/ESP,2015,2500030.4000000004
country/ESP,2016,2167512.0
country/ESP,2017,392274.80000000005
country/ESP,2018,456032.80000000005
country/ESP,2019,1193526.8
country/ESP,2020,736684.8
country/ESP,2021,716071.6000000001
country/ARE,2013,4018513.6
country/ARE,2014,6432888.0
country/ARE,2015,8236319.200000001
country/ARE,2016,7039476.0
country/ARE,2018,9315550.0
country/ARE,2019,11725564.0
country/ARE,2020,6711134.4
country/ARE,2021,11866049.200000001
country/GBR,2017,1545197.6
country/GBR,2018,1814058.4
