dcid,year,climateFinanceReceivedCommitmentsAdaptationEquityInvestmentByProviderCurrentUSDEUInstitutions,climateFinanceReceivedCommitmentsAdaptationEquityInvestmentByProviderCurrentUSDFinland,climateFinanceReceivedCommitmentsAdaptationEquityInvestmentByProviderCurrentUSDGermany,climateFinanceReceivedCommitmentsAdaptationEquityInvestmentByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationEquityInvestmentByProviderCurrentUSDJapan,climateFinanceReceivedCommitmentsAdaptationEquityInvestmentByProviderCurrentUSDNordicDevelopmentFund,climateFinanceReceivedCommitmentsAdaptationEquityInvestmentByProviderCurrentUSDNorway,climateFinanceReceivedCommitmentsAdaptationEquityInvestmentByProviderCurrentUSDSpain
Earth,2013,,194370.80000000002,80434394.0,,,,51749.6,7966012.0
Earth,2014,113094.33196270431,3417062.4,49754543.6,,3885590.0,,,
Earth,2015,,,35699890.0,,,,,
Earth,2016,137862.0583222062,,,1250000.0,,,,
Earth,2017,95031.46196676689,,,600000.0,,,,
Earth,2018,131777.30447641705,3999998.4000000004,,2625000.0,,11802195.0,,
Earth,2019,290796.56765134766,,50598902.2,,,,,
Earth,2020,642038.6401218575,1866548.8,18233618.400000002,,,,,
Earth,2021,,6565435.2,13008515.0,,,,,
country/COL,2018,,,,1125000.0,,,,
country/ETH,2013,,194370.80000000002,,,,,,
country/ETH,2021,,220435.2,,,,,,
country/GEO,2014,,,2653575.6,,,,,
country/MMR,2013,,,,,,,51749.6,
country/MMR,2014,,,,,3885590.0,,,
country/MMR,2020,,1866548.8,,,,,,
country/NPL,2014,,3200000.0,,,,,,
country/PHL,2014,,217062.40000000002,,,,,,
country/SLV,2017,,,,600000.0,,,,
country/TZA,2021,,345000.0,,,,,,
