dcid,year,climateFinanceReceivedCommitmentsMitigationOdaGrantsCurrentUSD
Earth,2013,5015577326.697586
Earth,2014,4047863424.7379656
Earth,2015,3327178096.7979846
Earth,2016,3981198728.9859214
Earth,2017,5308806527.674286
Earth,2018,4857915724.408849
Earth,2019,5070561065.02123
Earth,2020,5981450075.445459
Earth,2021,7121650301.7089815
country/AFG,2013,246306362.0
country/AFG,2014,123047830.4
country/AFG,2015,36306817.8
country/AFG,2016,27393800.977
country/AFG,2017,95306321.10000001
country/AFG,2018,163691674.2
country/AFG,2019,29322544.200000003
country/AFG,2020,118581176.8
country/AFG,2021,9837462.2016
country/ALB,2013,2063565.2000000002
country/ALB,2014,14361766.4
country/ALB,2015,1695795.8
country/ALB,2016,9737898.8
country/ALB,2017,10433951.0
country/ALB,2018,41626954.6
country/ALB,2019,24196288.4
country/ALB,2020,20423805.2
country/ALB,2021,47194749.2
country/DZA,2013,1046075.2
country/DZA,2014,9368045.8
country/DZA,2015,1667327.0
country/DZA,2016,11980555.4
country/DZA,2017,1357773.6
country/DZA,2018,28116008.8
country/DZA,2019,85212.6
country/DZA,2020,6158261.4
country/DZA,2021,595150.6000000001
country/AGO,2013,15156980.399999999
country/AGO,2014,5243146.4
country/AGO,2015,14720.0
country/AGO,2016,71075.6
country/AGO,2017,4088774.8
country/AGO,2018,189962.4
country/AGO,2019,16219881.2
country/AGO,2020,464096.4
country/AGO,2021,2695736.6
country/ATG,2013,3844170.0
country/ATG,2015,1934676.0
country/ATG,2017,3008874.8
country/ATG,2018,1154498.4
country/ATG,2019,3558850.0
country/ATG,2020,12894.0
country/ARG,2013,6059621.2
country/ARG,2014,4390360.8
country/ARG,2015,6579767.6
country/ARG,2016,1285529.0
country/ARG,2017,2569881.0
country/ARG,2018,10696601.0
country/ARG,2019,25882819.0
country/ARG,2020,82341378.6
country/ARG,2021,1193498.4
country/ARM,2013,8367616.8
country/ARM,2014,3070347.4
country/ARM,2015,17777177.4
country/ARM,2016,35310041.2
country/ARM,2017,2429440.0
country/ARM,2018,9245627.8
country/ARM,2019,12472578.4
country/ARM,2020,9728816.0
country/ARM,2021,7269755.4
country/AZE,2013,4006589.4
country/AZE,2014,20652.0
country/AZE,2015,32876.0
country/AZE,2016,862786.4
country/AZE,2017,1691434.8
country/AZE,2018,1506691.2
country/AZE,2019,5077220.2
country/AZE,2020,258141.6
country/AZE,2021,4730.400000000001
country/BGD,2013,18291949.6
country/BGD,2014,60816905.6
country/BGD,2015,40129433.8
country/BGD,2016,13520497.8
country/BGD,2017,64417379.0
country/BGD,2018,77894271.2
country/BGD,2019,21600181.0
country/BGD,2020,40961045.400000006
country/BGD,2021,21159300.0
country/BLR,2013,3471000.0
country/BLR,2014,6630672.0
country/BLR,2015,20475393.6
country/BLR,2016,59517.0
country/BLR,2017,3111852.2
country/BLR,2018,1789871.0
country/BLR,2019,4516007.0
country/BLR,2020,1950205.4
country/BLR,2021,334249.0
country/BLZ,2013,784000.0
country/BLZ,2015,48011.0
country/BLZ,2016,2225810.0
country/BLZ,2017,2572235.0
country/BLZ,2018,16546637.399999999
country/BLZ,2019,1351037.6
country/BLZ,2020,109073.6
country/BLZ,2021,6603.6
country/BEN,2013,21809001.6
country/BEN,2014,17969280.8
country/BEN,2015,12558138.4
country/BEN,2016,319812.8
country/BEN,2017,36948051.6
country/BEN,2018,56780441.161970004
country/BEN,2019,85276581.6
country/BEN,2020,15111841.2
country/BEN,2021,34330999.392557025
country/BTN,2013,231665.6
country/BTN,2014,5553881.0
country/BTN,2015,25528493.8
country/BTN,2016,18954.0
country/BTN,2017,4023367.4
country/BTN,2018,1284235.4
country/BTN,2019,5760337.2
country/BTN,2020,1253561.0
country/BTN,2021,2243656.4
country/BOL,2013,17460159.2
country/BOL,2014,11032664.0
country/BOL,2015,2736705.5
country/BOL,2016,5394026.350000001
country/BOL,2017,1490358.0
country/BOL,2018,7608153.8
country/BOL,2019,11756416.4
country/BOL,2020,5128135.0
country/BOL,2021,937673.4
country/BIH,2013,3574428.6
country/BIH,2014,3839697.6
