dcid,year,climateFinanceReceivedCommitmentsOdaLoansCurrentUSD
country/CHN,2021,28382214.0
country/COL,2013,100000000.0
country/COL,2014,112415972.80000001
country/COL,2015,399527494.4
country/COL,2016,241977198.4
country/COL,2017,418113688.8
country/COL,2018,178273791.60000002
country/COL,2019,118450299.6
country/COL,2020,177506646.4
country/COL,2021,404198575.4
country/COM,2017,3365112.5751115032
country/COM,2019,17512000.0
country/COM,2020,30792257.51562732
country/COM,2021,1619990.0
country/COG,2015,68774265.0
country/COG,2017,11410000.0
country/COG,2019,7383000.0
country/COG,2020,405719.99512
country/COG,2021,16957188.8384852
country/CRI,2014,158813387.0
country/CRI,2017,92673495.6
country/CRI,2018,37426456.4
country/CRI,2021,70955534.4
country/CUB,2015,15000000.0
country/CUB,2018,9441756.0
country/CUB,2019,10746669.600000001
country/CUB,2021,23651844.8
country/CIV,2014,4257876.0
country/CIV,2015,3993344.4000000004
country/CIV,2016,57285000.0
country/CIV,2017,281767235.0
country/CIV,2018,221983067.0
country/CIV,2019,423009470.7
country/CIV,2020,333635738.2
country/CIV,2021,315403616.3636092
country/COD,2016,19140000.0
country/COD,2017,101413860.80889405
country/COD,2019,58096788.61
country/COD,2020,201242720.00000003
country/COD,2021,368191557.7457925
country/DJI,2013,14225832.0
country/DJI,2014,1854160.0
country/DJI,2016,7092946.4
country/DJI,2017,233000.0
country/DJI,2018,26982230.551622
country/DJI,2019,9296000.0
country/DJI,2020,13445751.0
country/DJI,2021,37827400.0
country/DMA,2013,8629846.0
country/DMA,2014,35000000.0
country/DMA,2017,18000000.0
country/DMA,2018,39768000.0
country/DMA,2019,19158400.0
country/DMA,2020,22052080.0
country/DMA,2021,3439425.0
country/DOM,2014,204811414.0
country/DOM,2015,45146977.0
country/DOM,2016,7815715.2
country/DOM,2017,9344000.0
country/DOM,2018,41608303.2
country/DOM,2019,26315109.0
country/DOM,2020,22792023.0
country/DOM,2021,237123963.0
country/ECU,2015,203351082.0
country/ECU,2017,197618933.6
country/ECU,2019,286324650.4
country/ECU,2020,70000000.0
country/ECU,2021,9697256.4
country/EGY,2013,24694636.0
country/EGY,2014,478829526.39978516
country/EGY,2015,206347937.2
country/EGY,2016,522686515.4
country/EGY,2017,314132241.0
country/EGY,2018,24784610.0
country/EGY,2019,108989145.50414115
country/EGY,2020,355511380.9502258
country/EGY,2021,364391187.7778398
country/SLV,2013,22560004.0
country/SLV,2014,78859451.4
country/SLV,2016,45954742.0
country/SLV,2019,44513892.0
country/SLV,2021,14000000.0
country/ERI,2020,5586207.5
country/ETH,2013,72534972.0
country/ETH,2014,269725000.0
country/ETH,2015,65446478.0
country/ETH,2016,346768936.4
country/ETH,2017,223205002.17
country/ETH,2018,702923666.4
country/ETH,2019,423767271.2
country/ETH,2020,173866184.0
country/ETH,2021,503745425.0
country/FJI,2019,16269000.0
country/FJI,2020,18733186.8
country/FJI,2021,42410719.2083155
country/GAB,2014,145946663.0
country/GMB,2013,3780000.0
country/GMB,2014,4674960.0
country/GMB,2015,47000000.0
country/GMB,2016,3161101.8879
country/GMB,2017,3850000.0
country/GMB,2018,1323876.794
country/GMB,2019,500000.0
country/GMB,2021,700000.0
country/GEO,2013,29208709.200000003
country/GEO,2014,26575440.0
country/GEO,2015,13311148.0
country/GEO,2017,86518183.46919878
country/GEO,2018,62669877.44265726
country/GEO,2019,282100077.0
country/GEO,2020,366364765.88596976
country/GEO,2021,180315912.6464643
country/GHA,2014,29884145.0
country/GHA,2016,48927302.0
country/GHA,2017,43160000.0
country/GHA,2018,132895021.032208
country/GHA,2019,270486148.6
country/GHA,2020,215931074.6
country/GHA,2021,171614544.0
country/GRD,2014,4350000.0
country/GRD,2015,10000000.0
country/GRD,2016,280200.0
country/GRD,2017,4377800.0
country/GRD,2018,13488000.0
country/GRD,2019,16788800.0
country/GRD,2020,29528300.0
country/GTM,2014,3540000.0
country/GTM,2019,40173979.0
country/GTM,2020,2952000.0
country/GIN,2013,598500.0
country/GIN,2015,30000000.0
country/GIN,2016,8258000.0
country/GIN,2017,11500000.0
country/GIN,2018,74283071.2614
country/GIN,2019,102825480.84956767
country/GIN,2020,74741800.678
country/GIN,2021,25802072.616
country/GNB,2015,88851380.0
country/GNB,2017,10502100.0
country/GNB,2018,4520563.8876
country/GNB,2019,8844000.0
country/GUY,2013,16920000.0
country/GUY,2014,21856299.85
country/GUY,2016,12811600.0
country/GUY,2017,762300.0538999999
country/GUY,2018,14399380.0
country/GUY,2019,332000.0
country/GUY,2020,42014650.0
country/GUY,2021,2923367.0
country/HTI,2015,29000000.0
country/HTI,2018,132753437.6
country/HTI,2019,35855600.0
country/HND,2013,22710240.6
country/HND,2014,100742000.0
country/HND,2015,209748892.0
country/HND,2016,26050000.0
country/HND,2017,15865000.0
country/HND,2018,118197194.0
country/HND,2019,161977730.0
country/HND,2020,313110265.0
country/HND,2021,104940859.0
country/IND,2013,3720528915.8
country/IND,2014,4146189109.616
country/IND,2015,1625015456.2
country/IND,2016,2991437242.8
country/IND,2017,1833474522.0
country/IND,2018,3187570555.64
country/IND,2019,1969274713.0
country/IND,2020,2276873150.6
country/IND,2021,3615235690.8
country/IDN,2013,782977275.2
country/IDN,2014,381310693.2
country/IDN,2015,1217641989.8
country/IDN,2016,19904898.8
country/IDN,2017,818841505.0
country/IDN,2018,902733177.0
country/IDN,2019,292526596.31428576
country/IDN,2020,981622225.4
country/IDN,2021,625815385.4
country/IRQ,2015,451569928.0
country/IRQ,2017,236237437.60000002
country/IRQ,2018,135254414.0
country/IRQ,2021,213770721.4
country/JAM,2014,20000000.0
country/JAM,2015,11500000.0
country/JAM,2017,6000000.0
country/JAM,2018,18965562.400000002
country/JAM,2020,42000000.0
country/JOR,2013,46468401.0
country/JOR,2014,66339392.0
country/JOR,2015,356561286.0
country/JOR,2016,48656419.4
country/JOR,2017,256692399.8
country/JOR,2018,133128761.4
country/JOR,2019,190529497.2
country/JOR,2020,135840456.0
country/JOR,2021,89408551.2
country/KAZ,2014,77500000.0
country/KEN,2013,360256356.0
country/KEN,2014,234898974.0
country/KEN,2015,398325066.8
country/KEN,2016,799419038.0
country/KEN,2017,643279177.0
country/KEN,2018,392350627.7208405
country/KEN,2019,482686692.6
country/KEN,2020,1011402736.985
country/KEN,2021,568634430.726012
country/XKX,2013,14832084.8
country/XKX,2014,31000000.0
country/XKX,2016,25605827.6
country/XKX,2018,2062500.0
country/XKX,2019,500000.0
country/XKX,2020,26438260.0
country/XKX,2021,3081960.0497486005
country/KGZ,2013,21999842.0
country/KGZ,2014,22312500.0
country/KGZ,2015,40641681.199999996
country/KGZ,2016,73669685.0
country/KGZ,2017,27138800.0
country/KGZ,2018,39936692.0
country/KGZ,2019,76262500.0
country/KGZ,2020,28044300.0
country/KGZ,2021,38613997.1
country/LAO,2013,27149500.0
country/LAO,2014,32125000.0
country/LAO,2015,84672200.0
country/LAO,2016,94437058.4
country/LAO,2017,74369660.00659999
country/LAO,2018,37491756.0
country/LAO,2019,104058835.0
country/LAO,2020,6116500.0
country/LAO,2021,28252863.46056
country/LBN,2014,3715006.0
country/LBN,2015,29568497.0
country/LBN,2017,3440000.0
country/LSO,2014,11837500.0
country/LSO,2017,11510700.0
country/LSO,2018,4800000.0
country/LSO,2019,69614400.0
country/LSO,2020,7368000.0
country/LSO,2021,8753733.71
country/LBR,2015,26000000.0
country/LBR,2017,30156500.0
country/LBR,2018,17014800.0
country/LBR,2019,11755000.0
country/LBR,2020,17451631.6
country/LBR,2021,23348805.6
country/MDG,2013,9718500.0
country/MDG,2014,5362500.0
country/MDG,2015,102794164.0
country/MDG,2016,92184557.4
country/MDG,2017,122570531.2
country/MDG,2018,68944525.4615
country/MDG,2019,93386448.0
country/MDG,2020,104156969.38599999
country/MDG,2021,246432191.0
country/MWI,2013,25215260.0
country/MWI,2015,59956832.6
country/MWI,2016,22800000.0
country/MWI,2017,217603400.0
country/MWI,2019,102557189.28
country/MWI,2020,125829457.04
country/MWI,2021,60806069.309917
country/MDV,2015,6000000.0
country/MDV,2019,6361000.0
country/MDV,2020,54053065.69024
country/MDV,2021,25600000.0
country/MLI,2013,58493771.2
country/MLI,2015,48607083.0
country/MLI,2016,72116554.0
country/MLI,2017,146671165.0943
country/MLI,2018,68840567.8
country/MLI,2019,91986961.56223407
country/MLI,2020,168198787.75800002
country/MLI,2021,84752231.8873488
country/MRT,2013,31986704.0
country/MRT,2014,5000000.0
country/MRT,2019,10777494.0
country/MRT,2020,2138612.0
country/MRT,2021,2468418.0
country/MUS,2013,71459283.0
country/MUS,2014,59705453.0
country/MUS,2018,76714268.0
country/MUS,2019,4000000.0
country/MUS,2020,148148147.8
country/MEX,2013,109396541.0
country/MEX,2014,353804315.0
country/MEX,2015,196167002.6
country/MEX,2016,419812915.0
country/MEX,2017,445346975.23735774
country/MEX,2018,365336307.4
country/MEX,2019,268942666.0
country/MEX,2020,430506517.0
country/MEX,2021,506536336.4
country/FSM,2013,2229343.2
country/MDA,2013,32321941.2
country/MDA,2015,27378000.0
country/MDA,2016,37852480.0
country/MDA,2017,12800000.0
country/MDA,2018,9550000.0
country/MDA,2019,7000000.0
country/MDA,2020,21009413.4
country/MDA,2021,1900000.0
country/MNG,2013,43047003.0
country/MNG,2016,76555225.0
country/MNG,2017,27686343.0
country/MNG,2018,20000000.0
country/MNG,2019,186191770.8
country/MNG,2020,76910506.802444
country/MNG,2021,5911293.0
country/MNE,2013,33191715.000000004
country/MNE,2014,26535757.0
country/MNE,2015,12778702.0
country/MNE,2017,32485041.5108556
country/MNE,2018,25964829.042
country/MNE,2019,87316691.0
country/MNE,2021,23651844.8
country/MAR,2013,597597667.4
country/MAR,2014,1032968643.0
country/MAR,2015,11092623.0
country/MAR,2016,347612977.8
country/MAR,2017,322866326.7942764
country/MAR,2018,832526850.0
country/MAR,2019,238268853.29134384
country/MAR,2020,319088319.2
country/MAR,2021,270867498.79702526
country/MOZ,2013,107927795.0
country/MOZ,2014,188149815.0
country/MOZ,2015,61382932.0
country/MOZ,2016,25560000.0
country/MOZ,2017,58248000.0
country/MOZ,2019,56173882.03475262
country/MOZ,2021,60328050.0
country/MMR,2013,283988687.0
country/MMR,2014,243759071.60000002
country/MMR,2015,408384561.20000005
country/MMR,2016,93878000.0
country/MMR,2017,296354530.8
country/MMR,2018,308105714.4
country/MMR,2019,104672577.2
country/MMR,2020,1327348136.2
country/NAM,2015,41042706.8
country/NAM,2017,13527224.4
country/NAM,2018,7081317.600000001
country/NPL,2013,253642200.0
country/NPL,2014,175545000.0
country/NPL,2015,246800000.0
country/NPL,2016,30800000.000000004
country/NPL,2017,574530032.8847201
country/NPL,2018,265910094.07999998
country/NPL,2019,106676437.0
country/NPL,2020,846496974.75
country/NPL,2021,66780045.0
country/NIC,2013,35109630.0
country/NIC,2014,9401000.0
country/NIC,2015,25499278.8
country/NIC,2016,65428200.0
country/NIC,2017,75546500.0
country/NIC,2018,19655500.0
country/NIC,2020,4700000.0
country/NIC,2021,88514664.0
country/NER,2013,107940000.0
country/NER,2014,43606302.800000004
country/NER,2015,105487507.62480325
country/NER,2016,135245060.68759838
country/NER,2017,79081184.0
country/NER,2018,83607725.02876
country/NER,2019,243042486.9864421
country/NER,2020,192205981.95235807
country/NER,2021,405992219.9307158
country/NGA,2013,140056478.0
country/NGA,2014,294577002.81700003
country/NGA,2015,119650583.0
country/NGA,2016,1000000.0
country/NGA,2017,179269000.0
country/NGA,2018,890190906.1504686
country/NGA,2019,278905585.01167667
country/NGA,2020,1421962878.6
country/NGA,2021,1082398314.0
country/MKD,2013,19915029.0
country/MKD,2014,68108438.89383347
country/MKD,2015,43261231.0
country/MKD,2016,5160528.975750436
country/MKD,2018,25099334.715992495
country/MKD,2019,110451879.5216812
country/MKD,2021,8278145.4
country/PAK,2013,74860100.4
country/PAK,2014,742188711.424
country/PAK,2015,654147804.6
country/PAK,2016,257621896.8
country/PAK,2017,421690909.8
country/PAK,2018,808764300.0
country/PAK,2019,608931957.0
country/PAK,2020,692419982.4
country/PAK,2021,617406149.092143
country/PAN,2016,108728919.60000001
country/PAN,2019,19940234.0
country/PNG,2013,47839900.0
country/PNG,2014,3229000.0
country/PNG,2015,89062770.0
country/PNG,2016,2501270.0
country/PNG,2017,42664701.333669
country/PNG,2018,24750000.0
country/PNG,2020,23223000.0
country/PNG,2021,22288000.0
country/PRY,2017,8400000.0
country/PRY,2019,48653027.6
country/PRY,2020,63588059.2
country/PRY,2021,84671568.0
country/PER,2013,71237788.4
country/PER,2014,188335856.0
country/PER,2015,139767055.0
country/PER,2016,197815136.8
country/PER,2017,40363611.6
country/PER,2018,63945473.400000006
country/PER,2019,97391693.6
country/PER,2020,305840433.0
country/PER,2021,108325449.4
country/PHL,2013,671441206.6
country/PHL,2014,484577713.0
country/PHL,2015,894676881.6
country/PHL,2016,111371386.0
country/PHL,2017,227493816.20000002
country/PHL,2018,378602254.00000006
country/PHL,2019,752358410.0
country/PHL,2020,781039017.6000001
country/PHL,2021,352261061.0
country/RWA,2013,98710969.0
country/RWA,2014,72419600.0
country/RWA,2015,28120000.0
country/RWA,2016,54581040.0
country/RWA,2017,196652000.0
country/RWA,2018,100910000.0
country/RWA,2019,167810107.0
country/RWA,2020,196540702.4
country/RWA,2021,126866771.2
country/LCA,2014,71000000.0
country/LCA,2016,1619999.99
country/LCA,2017,19494500.0
country/LCA,2018,1270000.0
country/LCA,2019,3916800.0
country/LCA,2020,18487000.0
country/LCA,2021,10204430.0
country/VCT,2014,35600000.0
country/VCT,2016,15000000.0
country/VCT,2017,4255800.0
country/VCT,2018,10000.0
country/VCT,2019,15765800.0
country/VCT,2020,16051600.0
country/VCT,2021,29679710.0
country/WSM,2016,1000000.0
country/STP,2015,7279904.800000001
country/STP,2020,164870.88
country/SEN,2013,90770700.0
country/SEN,2014,39803635.0
country/SEN,2015,201725913.0
country/SEN,2016,257987556.4
country/SEN,2017,632440354.12
country/SEN,2018,184284536.02
country/SEN,2019,191719928.53
country/SEN,2020,89902450.644
country/SEN,2021,206081776.4176
country/SRB,2013,64229566.59194165
country/SRB,2014,86496540.0177483
country/SRB,2015,54454123.287208505
country/SRB,2016,20648123.82393818
country/SRB,2017,185773869.92420247
country/SRB,2018,125660240.68758342
country/SRB,2019,130881410.76036145
country/SRB,2020,115501683.38861406
country/SRB,2021,341174011.6432207
country/SYC,2013,4199403.6
country/SLE,2013,31160666.66666667
country/SLE,2014,9000000.0
country/SLE,2016,1821381.0
country/SLE,2017,61000000.0
country/SLE,2018,7713743.062301684
country/SLE,2019,36561723.55
country/SLE,2020,3380000.0
country/SLE,2021,4018450.0
country/SLB,2014,14430000.0
country/SLB,2015,3178000.0000000005
country/SLB,2017,54975000.0
country/SLB,2018,4548225.0
country/SLB,2019,53526600.0
country/SLB,2021,931312.0
country/ZAF,2013,501488805.0
country/ZAF,2014,33643103.0
country/ZAF,2015,456493548.4
country/ZAF,2016,90006635.0
country/ZAF,2018,728267638.0
country/ZAF,2019,42330025.911
country/ZAF,2020,29450000.0
country/ZAF,2021,94607379.2
country/SSD,2013,11550000.000000002
country/SSD,2021,827920.0
country/LKA,2013,215747353.8
country/LKA,2014,224204106.0
country/LKA,2015,336780382.0
country/LKA,2016,359891300.1
country/LKA,2017,148000397.2
country/LKA,2018,2960000.0
country/LKA,2019,327030987.0
country/LKA,2020,104137719.03332101
country/LKA,2021,13340941.816183
country/SDN,2013,1991502.8
country/SDN,2015,244228.40000000002
country/SUR,2015,13865779.0
country/TJK,2014,30000000.0
country/TJK,2015,26400000.0
country/TJK,2016,5088840.0
country/TJK,2017,201040500.0
country/TJK,2021,6744750.0
country/TZA,2013,258679506.4
country/TZA,2015,245072464.0
country/TZA,2016,125538801.0
country/TZA,2017,545215000.0
country/TZA,2018,142774553.8736
country/TZA,2019,456217785.0
country/TZA,2020,253196139.92000002
country/TZA,2021,479186266.40000004
country/THA,2015,337906519.0
country/THA,2016,613440659.1999999
country/TLS,2013,1250000.0
country/TLS,2016,4999755.0
country/TLS,2018,1110000.0
country/TLS,2019,27730000.0
country/TLS,2020,16405000.0
country/TLS,2021,4119800.0
country/TGO,2017,27465100.0
country/TGO,2018,52977519.16764
country/TGO,2019,23573342.8
country/TGO,2020,56900972.3175
country/TGO,2021,106525270.5
country/TON,2013,356250.0
country/TON,2014,3780000.0
country/TON,2015,8250000.0
country/TON,2016,6355200.0
country/TON,2017,1573356.312444
country/TUN,2013,48540393.60000001
country/TUN,2014,506051279.17353415
country/TUN,2015,184371166.4783447
country/TUN,2016,308936029.4159762
country/TUN,2017,410131862.386487
country/TUN,2018,132815541.37371296
country/TUN,2019,163965753.88685822
country/TUN,2020,286609686.4
country/TUN,2021,18921476.0
country/TUR,2013,331975489.0
country/TUR,2014,636543625.0
country/TUR,2015,173310316.0
country/TUR,2016,584551336.1476281
country/TUR,2017,93492313.96196768
country/TUR,2018,17564443.47060771
country/TUR,2019,371958423.6
country/TUR,2020,191108262.2
country/TUR,2021,451592684.20000005
country/UGA,2013,39915029.0
country/UGA,2014,103520000.0
country/UGA,2015,15241500.0
country/UGA,2016,106433596.0
country/UGA,2018,295629037.757
country/UGA,2019,97474710.0
country/UGA,2020,427402440.0
country/UGA,2021,78409118.66
country/UKR,2013,201999422.30419385
country/UKR,2014,397350000.0
country/UKR,2015,365198995.6
country/UKR,2016,66349662.800000004
country/UKR,2017,1375254.4276950422
country/UKR,2018,29160000.0
country/UKR,2019,34050000.0
country/UKR,2021,41037070.32604186
country/URY,2013,28735194.400000002
country/URY,2014,79607271.0
country/UZB,2013,595292066.0
country/UZB,2014,921202851.0
country/UZB,2015,162334369.6
country/UZB,2016,54875126.0025
country/UZB,2017,180717619.23615
country/UZB,2018,358793500.0
country/UZB,2019,654208599.8000001
country/UZB,2020,434817015.0
country/UZB,2021,396697595.0
country/VUT,2015,33835711.2
country/VUT,2016,25503401.5
country/VUT,2017,13472578.16
country/VUT,2020,35500000.0
country/VUT,2021,23400000.0
country/VNM,2013,981242466.4
country/VNM,2014,1015412884.6
country/VNM,2015,855319710.2
country/VNM,2016,1498621174.0
country/VNM,2017,888295460.0
country/VNM,2018,229010100.0
country/VNM,2019,240738675.0
country/VNM,2020,272322205.2
country/VNM,2021,486155446.562944
country/PSE,2018,29505488.0
country/ZMB,2013,208633260.0
country/ZMB,2014,30041400.0
country/ZMB,2016,57384405.0
country/ZMB,2017,30021873.2
country/ZMB,2018,27000000.0
country/ZMB,2019,99010000.0
country/ZMB,2020,43520000.0
country/ZMB,2021,10650395.55
country/ZWE,2021,13760600.0
