dcid,year,climateFinanceProvidedCommitmentsAdaptationCurrentUSD
Earth,2013,9727235144.074234
Earth,2014,10560273920.450289
Earth,2015,11030600051.486301
Earth,2016,11496451724.204102
Earth,2017,17373220184.296944
Earth,2018,17130263336.928179
Earth,2019,22065601129.287895
Earth,2020,28600093958.029915
Earth,2021,26556656996.033443
country/AUS,2013,98645963.0
country/AUS,2014,55191464.6
country/AUS,2015,66564796.800000004
country/AUS,2016,67832821.8
country/AUS,2017,60956484.0
country/AUS,2018,45036193.6
country/AUS,2019,130352922.2
country/AUS,2020,124860580.60000001
country/AUS,2021,258105271.20000002
country/AUT,2013,11299425.6
country/AUT,2014,10006585.2
country/AUT,2015,6869217.200000001
country/AUT,2016,8169423.2
country/AUT,2017,11407018.4
country/AUT,2018,14171624.4
country/AUT,2019,20008665.2
country/AUT,2020,19295300.2
country/AUT,2021,55120632.800000004
country/AZE,2020,2952.8
country/BEL,2013,88492426.2
country/BEL,2014,57254024.800000004
country/BEL,2015,75575302.4
country/BEL,2016,42679178.800000004
country/BEL,2017,68548830.0
country/BEL,2018,37917250.800000004
country/BEL,2019,43445729.4
country/BEL,2020,57947389.0
country/BEL,2021,57796817.800000004
country/CAN,2013,42552483.8
country/CAN,2014,28185994.8
country/CAN,2015,66507155.00000001
country/CAN,2016,101486096.4
country/CAN,2017,42121858.2
country/CAN,2018,70813536.2
country/CAN,2019,149053622.6
country/CAN,2020,59602611.800000004
country/CAN,2021,278512418.4
country/CZE,2013,2142941.1999999997
country/CZE,2014,1738426.6
country/CZE,2015,1499504.8
country/CZE,2016,1597928.4000000001
country/CZE,2017,2099179.4
country/CZE,2018,3162995.8
country/CZE,2019,1926412.6
country/CZE,2020,1925079.2
country/CZE,2021,2345909.6
country/DNK,2013,4785557.4
country/DNK,2015,11322281.4
country/DNK,2016,11032562.4
country/DNK,2017,41749093.8
country/DNK,2018,58543907.2
country/DNK,2019,73486418.4
country/DNK,2020,58001417.800000004
country/DNK,2021,94579021.60000001
country/FIN,2013,19110269.0
country/FIN,2014,20121724.8
country/FIN,2015,11339668.600000001
country/FIN,2016,8245210.600000001
country/FIN,2017,680787.2
country/FIN,2018,16531754.4
country/FIN,2019,38498520.6
country/FIN,2020,24624287.2
country/FIN,2021,46346698.2
country/FRA,2013,369514890.0
country/FRA,2014,650279525.6
country/FRA,2015,747807136.6
country/FRA,2016,712471515.8
country/FRA,2017,874831714.8
country/FRA,2018,128750137.80000001
country/FRA,2019,1161656661.6
country/FRA,2020,2522411368.2
country/FRA,2021,2313279775.4
country/DEU,2013,779680862.0
country/DEU,2014,936094947.6
country/DEU,2015,898408878.6
country/DEU,2016,858216823.8000001
country/DEU,2017,1050480046.2
country/DEU,2018,1206969746.2
country/DEU,2019,1955592544.0
country/DEU,2020,1618222352.4
country/DEU,2021,1651598490.4
country/GRC,2014,46517.0
country/HUN,2019,1069330.2
country/HUN,2020,402.80000000000007
country/ISL,2013,2319633.8000000003
country/ISL,2014,2211274.6
country/ISL,2015,2338557.4
country/ISL,2016,2440111.2
country/ISL,2017,2789604.8
country/ISL,2018,2062292.4000000004
country/ISL,2019,4849162.2
country/ISL,2020,3028089.0
country/ISL,2021,3561862.4
country/IRL,2013,30335546.0
country/IRL,2014,38506111.6
country/IRL,2015,36160722.6
country/IRL,2016,42397285.4
country/IRL,2017,47284246.6
country/IRL,2018,33724780.4
country/IRL,2019,48820560.8
country/IRL,2020,40261910.800000004
country/IRL,2021,28859604.200000003
country/ITA,2013,6114430.800000001
country/ITA,2014,4485310.2
country/ITA,2015,24511350.0
country/ITA,2016,15751752.799999999
country/ITA,2017,43089642.2
country/ITA,2018,35799173.8
country/ITA,2019,21289573.4
country/ITA,2020,76937249.2
country/ITA,2021,64552055.6
country/JPN,2013,1164713220.2
country/JPN,2014,1215006286.2
country/JPN,2015,1104566991.0
country/JPN,2016,653046921.0
country/JPN,2017,1366920511.2
country/JPN,2018,558870773.0
country/JPN,2019,301997912.40000004
country/JPN,2020,4273116315.0000005
country/JPN,2021,2306924746.8
country/KAZ,2020,2400.0
country/KOR,2013,161168739.2
country/KOR,2014,20326045.6
country/KOR,2015,164207030.0
country/KOR,2016,81558943.6
country/KOR,2017,77436284.8
country/KOR,2018,72648073.8
country/KOR,2019,163887688.8
country/KOR,2020,100403935.2
country/KOR,2021,690700830.4
country/LVA,2019,743.2
country/LVA,2020,193.20000000000002
country/LVA,2021,1033.2
country/LIE,2021,375777.0
country/LTU,2017,7891.0
country/LTU,2018,13168.800000000001
country/LTU,2019,7481.200000000001
country/LUX,2013,4948856.4
country/LUX,2014,2374219.4000000004
country/LUX,2015,5249856.600000001
country/LUX,2016,6165759.0
country/LUX,2017,7712111.0
country/LUX,2018,5564158.600000001
country/LUX,2019,4111804.8000000003
country/LUX,2020,949237.0
country/LUX,2021,6868291.399999999
country/NLD,2013,285811989.0
country/NLD,2014,126375740.4
country/NLD,2015,333835961.40000004
country/NLD,2016,177403857.20000002
country/NLD,2017,211565461.4
country/NLD,2018,232086064.8
country/NLD,2019,346617558.6
country/NLD,2020,355937798.8
country/NLD,2021,412474583.0
country/NZL,2013,2565979.2
country/NZL,2014,18108215.6
country/NZL,2015,20334168.8
country/NZL,2016,9552459.4
country/NZL,2017,7159159.0
country/NZL,2018,21298499.6
country/NZL,2019,42095560.4
country/NZL,2020,73255823.0
country/NZL,2021,46860381.8
country/NOR,2013,190604116.8
country/NOR,2014,105659917.8
country/NOR,2015,31066482.2
country/NOR,2016,31386385.8
country/NOR,2017,77589534.6
country/NOR,2018,153582642.6
country/NOR,2019,36761691.800000004
country/NOR,2020,92839584.0
