dcid,year,"climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDAfrica,regional",climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDAlbania,"climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDAmerica,regional",climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDAngola,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDAntiguaandBarbuda,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDArmenia,"climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDAsia,regional",climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDAzerbaijan,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDBangladesh,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDBelarus,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDBenin,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDBhutan,"climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDBilateral,unspecified",climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDBolivia,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDBosniaandHerzegovina,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDBrazil,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDBurkinaFaso,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDCaboVerde,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDCambodia,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDCameroon,"climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDCaribbean&CentralAmerica,regional",climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDChad,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDChile,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDChina(People'sRepublicof),climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDColombia,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDComoros,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDCongo,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDCostaRica,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDCuba,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDCôted'Ivoire,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDDemocraticRepublicoftheCongo,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDDjibouti,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDDominica,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDDominicanRepublic,"climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDEasternAfrica,regional",climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDEcuador,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDEgypt,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDElSalvador,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDEthiopia,"climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDEurope,regional",climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDFiji,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDGambia,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDGeorgia,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDGhana,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDGrenada,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDGuatemala,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDGuinea,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDGuineaBissau,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDGuyana,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDHaiti,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDHonduras,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDIndia,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDIndonesia,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDIraq,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDJamaica,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDJordan,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDKazakhstan,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDKenya,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDKosovo,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDKyrgyzstan,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDLaoPeople'sDemocraticRepublic,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDLebanon,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDLesotho,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDLiberia,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDMadagascar,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDMalawi,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDMaldives,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDMali,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDMauritania,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDMauritius,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDMexico,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDMicronesia,"climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDMiddleEast,regional",climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDMoldova,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDMongolia,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDMontenegro,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDMorocco,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDMozambique,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDMyanmar,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDNamibia,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDNepal,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDNicaragua,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDNiger,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDNigeria,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDNorthMacedonia,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDPakistan,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDPanama,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDPapuaNewGuinea,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDParaguay,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDPeru,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDPhilippines,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDRwanda,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDSaintLucia,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDSaintVincentandtheGrenadines,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDSaoTomeandPrincipe,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDSenegal,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDSerbia,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDSierraLeone,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDSolomonIslands,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDSouthAfrica,"climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDSouthAmerica,regional",climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDSouthSudan,"climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDSouthofSahara,regional",climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDSriLanka,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDSudan,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDTajikistan,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDTanzania,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDThailand,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDTimorLeste,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDTogo,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDTonga,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDTunisia,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDTürkiye,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDUganda,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDUkraine,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDUruguay,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDUzbekistan,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDVanuatu,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDVietNam,climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDWestBankandGazaStrip,"climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDWesternAfrica,regional",climateFinanceProvidedCommitmentsMitigationOdaLoansByRecipientCurrentUSDZambia
Earth,2013,23130115.200000003,,,,,13253581.0,,,693825423.0,,,39000000.0,,940000.0,99575146.0,,4435000.0,17041942.0,,,39830058.0,,95468401.0,40626660.0,100000000.0,,,,,,,6000000.0,8629846.0,,,,24694636.0,22560004.0,27064872.0,,,,29208709.200000003,,,,,,16920000.0,,2700000.0,3363289359.0,769406351.6,,,46468401.0,,201323956.0,14832084.8,,15939000.0,,,,,,,19077500.0,25225704.0,71459283.0,105796541.0,2229343.2,,,43047003.0,33191715.000000004,535462776.6,26398035.0,283988687.0,,176442200.0,15329282.0,,,19915029.0,26553372.0,,47839900.0,,45113719.2,575389206.6,71773555.0,,,,,64229566.59194165,25784000.0,,232180460.0,,11550000.000000002,,163344981.0,1991502.8,,213175310.0,,,,356250.0,,331975489.0,19915029.0,201999422.30419385,28735194.400000002,593291066.0,,367434267.0,,,105000000.0
Earth,2014,,,122955087.0,,,,,,1153666788.2,,,,30000000.0,57326448.0,204482419.0,726837898.0,44812727.0,7776148.0,67087432.0,,,,454297837.0,147273451.2,43291866.800000004,,,158813387.0,,,,329280.0,,,,,248064394.59978518,31262673.0,178500000.0,,,,7005440.0,29884145.0,,3540000.0,,,9966299.85,,92342000.0,3459787700.0,362589420.0,,,,77500000.0,42457211.2,31000000.0,22247500.0,4125000.0,,3710500.0,,,,,,5000000.0,59705453.0,168054016.0,,476000000.0,,,26535757.0,981958643.0,163149815.0,60000000.0,,119717000.0,,43606302.800000004,50000000.0,68108438.89383347,350360140.4,,,,65603817.0,12200000.0,,,,,,37082237.21774829,9000000.0,12630000.0,33643103.0,,,6633939.0,30080000.0,,,,,,,,399653555.7735341,437525448.0,,397350000.0,79607271.0,678702851.0,,503040113.8,,,10125000.0
Earth,2015,,,,78147274.8,,,,,706664897.0,,4140000.0,25250000.0,136300000.0,,,293954553.0,,2732348.0,90263000.4,,70733484.0,,93969730.42,44370493.6,61190000.0,,,,15000000.0,,,,,,,103892402.0,201910888.0,,65446478.0,,,47000000.0,,,,,30000000.0,82222800.0,,29000000.0,209748892.0,1156426981.0,1217641989.8,451569928.0,,118164171.0,,91065724.0,,,62450000.0,29568497.0,,,,,,,,,151796509.0,,,3378000.0,,,11092623.0,20854132.0,296274821.20000005,27731560.0,11700000.0,25499278.8,23707500.0,,43261231.0,274575307.0,,89062770.0,,133111481.0,856409840.4,28120000.0,,,5283194.800000001,48880000.0,47798549.287208505,,,456493548.4,110926234.0,,15529673.0,263710782.0,,3082500.0,58790904.0,337906519.0,,,,135031178.2783447,173310316.0,15241500.0,,,153129369.6,,302987247.6,,,
Earth,2016,42488827.96310457,5307973.2,165198269.0,,,8846621.6,,,791764967.6,,,,24500000.0,75349663.0,,,6545000.000000001,,,39000000.0,44001978.0,,146864978.0,271591284.8,40716554.400000006,,,,,30285000.0,12900000.0,444000.0,,7815715.2,,,522686515.4,,119173970.0,,,3161101.8879,,25231302.0,280200.0,,6800000.0,,,,2600000.0,2452153077.4,,,,,,712699038.0,1105827.6,61668800.0,,,,,29290122.0,,,72116554.0,,,419812915.0,,,,69307225.0,,241070441.0,2100000.0,1998000.0000000002,,,26415000.0,14430000.0,,5160528.975750436,47001896.800000004,108728919.60000001,,,128763009.60000001,47800000.0,,,15000000.0,,37100000.0,20648123.82393818,,,67374765.0,165874157.0,,80243939.0,18049990.0,,,79528801.0,613440659.1999999,,,3641000.0000000005,86885824.4159762,584551336.1476281,105473596.0,66349662.800000004,,54875126.0025,,764463963.0,,,35824405.0
Earth,2017,154915522.0,,,,15000000.0,6763611.600000001,,126817721.0,324609707.91749203,,74873554.2,,112726863.0,363130611.40000004,67636117.0,191224605.0,98202000.0,,,47478559.2411,,,,92436028.0,158841904.0,,10110000.0,92673495.6,,262887235.0,12455100.0,233000.0,18000000.0,,,118316476.0,264635441.0,,134616686.0,,,3850000.0,86518183.46919878,120000.0,579700.0,,11500000.0,,,,10630000.0,1293677382.8,483918733.0,173915678.8,6000000.0,48554447.0,,301479177.0,,27138800.0,21764760.0055,,11071500.0,22655000.0,18284500.0,6776900.0,,90181490.0,,,288533493.6373577,,,2369280.0,27686343.0,8454514.7108556,247352060.9942764,15000000.0,164982827.2,,173396997.96327,39035700.0,39085000.0,69460000.0,,328042909.8,,9538046.91948,,,,148850000.0,17886500.0,1380550.0,,496838863.0,179010258.32420248,61000000.0,54975000.0,,,,,,,170936500.0,390312500.0,,,18804700.0,,174726636.47473788,60766102.761967674,,1375254.4276950422,,38768939.063999996,4485578.16,259141851.6,,,17297850.0
Earth,2018,519771.65675200004,,50447735.0,37294936.800000004,,52000000.0,,,1116004589.6245,,30650595.3706,3300000.0,100800000.0,141787400.0,18765490.5687,210604292.8,39506407.28064,210000.0,59240875.2,25260000.0,,,,,37767024.800000004,,,,,95891927.0,,16749739.799999999,482000.0,41608303.2,,,24784610.0,,556987300.0,,,,43786365.04265726,44456000.0,,,24823228.0614,4520563.8876,14399380.0,,105133194.0,2831087540.04,902733177.0,,18965562.400000002,70813171.0,,89776372.80000001,,2893500.0,2937500.0,,800000.0,,12277000.0,,,11552709.4,,76714268.0,307979399.0,,,,5000000.0,25964829.042,784373893.2,,102702310.0,,96083054.4,2450000.0,41895541.396,414756800.0,25099334.715992495,318448000.0,,24750000.0,,35620205.0,378602254.00000006,77910000.0,,,,15544000.0,113858045.48758341,,4284600.0,690500614.0,20029182.0,,,,,,86946500.0,,,3117000.0,,62002370.173712954,17564443.47060771,78537991.6,29160000.0,,233200000.0,,16349700.0,29505488.0,,
Earth,2019,,,156427094.0,,,22388895.0,,104286842.0,1136422799.4,2350833.9862,8404400.0,975000.0,40065936.0,100750028.0,6716668.4,,10810200.0,540579.8724,89280783.59332,2200000.0,,,,207097279.0,100746502.0,3059000.0,591000.0,,,350620858.0,4873800.0,1108500.0,17831200.0,26315109.0,,233227362.0,89510806.70414114,,137439271.2,,4019400.0,500000.0,255233403.0,84243662.6,4920400.0,40173979.0,67295068.0,1408500.0,332000.0,35855600.0,35258230.0,1299235643.0,107500000.0,,,,,413705299.1,500000.0,50368000.0,21837500.0,,13088800.0,8620000.0,67170000.0,48448800.0,1332500.0,70116331.38,,,215209318.0,,,7000000.0,167963470.8,87316691.0,100742632.13537493,55525003.400000006,80000.0,,69517437.0,,95225738.0,238879634.0,74629647.5216812,298290056.0,,,40681194.0,50375014.0,613316043.6,123345914.0,1262400.0,2981400.0,,156709430.0,121030296.76036145,32230000.0,19973400.0,42330025.911,,,,127610130.00000001,,,168705000.0,,,16998822.8,,133270578.88685821,204041710.6,44777790.0,34050000.0,,548557504.8000001,,113116063.0,,140000000.0,27720000.0
Earth,2020,100608888.0,,287242137.0,,,1709402.0,134208172.0,,950469244.8000001,3988603.9873725735,14576140.0,7246000.0,44444444.2,,12498735.38451321,377318450.0,111933705.0,5500000.0,26978403.0,343621640.0,,,,328000000.4,,16258750.0,,,,274907476.2,60300316.8,2112800.0,1238240.0,,161740276.0,70000000.0,355511380.9502258,,60223750.0,32065600.0,,,241008640.68596977,74144017.0,526000.0,,44050028.0,,105750.0,,53505765.0,1405314588.6,268193862.60000002,,,,,144974442.0,4699100.0,8711650.0,4207000.0,,7368000.0,13221631.6,44029858.879999995,24836450.0,41590260.69024,13800000.0,2007152.0,11396011.0,430506517.0,,,5680300.0,45783505.273276,,193732194.0,,509366371.4,,326195400.0,2800000.0000000005,53176000.0,629057087.0,,320483392.4,,8463000.0,29381260.0,305840433.0,,106952500.0,108000.0,1422800.0,,58856446.21716,85872053.78861405,,,29450000.0,,,170940171.0,57382663.662700005,,,115128899.48,,1950000.0,1545700.0,,85470085.4,134356125.2,145613120.0,,,337038515.0,,46420000.0,,,6980000.0
Earth,2021,139304689.8,70955535.0,,,,71397999.0,,,710272547.0,,17951556.413043477,17098650.0,10500000.0,,19810147.344800003,102104724.4,126514786.0034608,4040280.0,16011084.0,87850400.0,,11993562.0,,,48494565.0,20020.0,14472387.0734994,,,162748908.6882036,99656319.4348236,3122000.0,,137123963.0,,,239378472.97783983,,485751950.0,,,,180315912.6464643,37254200.0,,,16840463.75,,1449999.0,,47642729.5,2962132266.8,,119163342.4,,1896725.1999999997,,317328974.174256,1233385.0192786,26661708.0,19163523.46056,,2706258.0,6751290.0,124414181.0,19241850.1498549,20000000.0,28982614.638331402,1583965.6,,354354360.0,,,950000.0,5030799.0,,41723125.59702525,28861050.0,,,46723590.0,3408720.0,165145811.2216984,177518750.0,8278145.4,337974082.69214296,,7138000.0,84671568.0,82781457.0,,113243231.2,3830000.0,559950.0,,54112942.7482036,272679968.4432207,1500000.0,400435.0,,,,40000000.0,413695.546836,,,261578656.4,,,59999225.0,,,257805109.0,878113.5,30843125.12604186,,285723881.6,,355413051.451972,,,20392.350000000002
country/ARE,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000000.0,,,,,,,,,,,,,,,,,,,,,,,,
country/ARE,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/ARE,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/ARE,2017,,,,,15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/AUT,2020,43774929.0,,,,,,,,,,,,17094017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000000.0,,,,,,,,,
country/AUT,2021,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/BEL,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991502.8,,,,,,,,,,,,,,,,,
