dcid,year,"climateFinanceProvidedCommitmentsCrossCuttingInstrumentUnspecifiedByRecipientCurrentUSDAmerica,regional","climateFinanceProvidedCommitmentsCrossCuttingInstrumentUnspecifiedByRecipientCurrentUSDDevelopingcountries,unspecified",climateFinanceProvidedCommitmentsCrossCuttingInstrumentUnspecifiedByRecipientCurrentUSDVietNam
Earth,2014,,,14000000.0
Earth,2016,,383310060.28,
Earth,2017,37685385.36,2163298.0,
Earth,2018,118800000.0,132884508.312286,
Earth,2019,223374200.0,31721871.66,
Earth,2020,226612540.0,,
Earth,2021,7994178.38,16761064.76,
