dcid,year,"climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDAfrica,regional","climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDAmerica,regional","climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDAsia,regional",climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDAzerbaijan,"climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDBilateral,unspecified",climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDBrazil,climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDCameroon,"climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDCaribbean&CentralAmerica,regional",climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDChile,climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDChina(People'sRepublicof),climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDColombia,climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDDominicanRepublic,climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDEgypt,"climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDEurope,regional",climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDGeorgia,climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDHaiti,climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDIndia,climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDIndonesia,climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDKenya,climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDLaoPeople'sDemocraticRepublic,climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDMalaysia,climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDMexico,climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDMongolia,climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDNamibia,climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDNepal,climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDNigeria,"climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDNorthofSahara,regional",climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDPakistan,climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDPanama,climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDPhilippines,climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDSerbia,climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDSouthAfrica,"climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDSouthAmerica,regional",climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDSouthSudan,"climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDSouthernAfrica,regional","climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDSouthofSahara,regional",climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDThailand,climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDUganda,"climateFinanceProvidedDisbursementsMitigationEquityInvestmentByRecipientCurrentUSDWesternAfrica,regional"
country/CHE,2018,,,,,3067798.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/CHE,2019,,,,,3018716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/CHE,2020,,,,,3194888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/CHE,2021,,,,,7439825.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/DEU,2013,24561869.0,,,,13276686.0,,,,,,,,,4646840.0,,,,,,,,,,,,,,,,,4514073.2,,,,,,,,
country/DEU,2014,,,,2388218.0,,,,,,,,,,7960727.2,,,,,,,,,,,,,,,,,11941091.0,,,,,,,,
country/DEU,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6779126.0,,,,,,,
country/DEU,2016,,,9952449.0,,26539865.0,,,,,,,,,6634966.400000001,,,,,,,,,,,,,,,,,1503682.4000000001,7199876.0,,,,,,,
country/DEU,2017,28181715.0,,,,,,,,,,,,,,,,,,,,,,,3147703.0,,,,,,,24799909.0,2680385.0,,,,,,,
country/DEU,2018,11800850.0,,,,,,,,,,,,,,,,,,,,,,,25026.0,,14634722.0,,,,,,5030528.0,,,,,,,
country/DEU,2019,75002798.2,16791671.0,,,,,,,,,,,,25187507.0,,,16791671.0,,,,,,,3327511.0,,10531736.4,,,,,,2537020.0,,,,,,,
country/DEU,2020,59259259.0,,,,27893343.0,,,,,,,,,,,,3871292.0,,,,,,,3338062.0,,,,5259992.0,,,,932196.8,,,,,,,
country/DEU,2021,15373699.0,15373700.0,,,,,,,,,20695365.0,,,41390729.0,,,,,,,,,,5527752.0,,,,,,,,195661.0,,,,,,,
country/DNK,2016,,,,,,207999.0,,,,4655181.0,,,,,,,173929.0,,36999.0,,416006.0,,,,,,,,,,,,,,,2651635.0,,,
country/DNK,2017,,,,,1710254.0,1781.0,,,,2804371.4,,,,,,,374132.0,,359313.0,,,,213984.0,,,,,,,,,,,,,1233211.0,,,
country/ESP,2013,,537951.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/ESP,2014,,1801676.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/ESP,2015,,6305087.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/ESP,2016,,1793641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3923405.0,,,,,,
country/ESP,2017,,7560408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/ESP,2018,,3532141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/FIN,2013,1200763.0,,80000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/FIN,2014,528765.0,,64800.0,,,,,661200.0,,4643757.0,,,,,,,,,17420724.0,,,3056000.0,,,,,,,,,,,,,,,,,
country/FIN,2015,737689.0,,1427200.0,,,,,,,,,,,,,,,519600.0,4001108.9999999995,,,1801600.0,,,,,,,,,,,,,,,,,
country/FIN,2016,1097000.2,,397844.4,,,,,827031.2000000002,,552914.0,,,,,,,,192203.2,,,,,,,142756.80000000002,,,,,,,,,,,,,,
country/FIN,2017,830251.6,,,,,,,297599.60000000003,,,,,,,,,,,1797993.0,,,,,,685199.2000000001,,,,,,,,,,,,,,
country/FIN,2018,2635995.8000000003,,,,598007.6,,,,,,,,,,,,,3086356.4000000004,,,,,,,890333.2000000001,,,,,,,,,,,,,,
country/FIN,2019,1273494.4,,,,962659.6000000001,,,,,,,,,,,,,,,,,,,,,,,,,,8848091.0,,,,,,,,
country/FIN,2020,23379805.6,,22918145.0,,629736.0,,,,,,,,,,,,1139601.0,,,,,,,,,,,,,,,,,,,,,,
country/FIN,2021,2346426.0,,,,542002.4,,,,,,,,,,,,1773888.0,,2997.0,,,,,,,,46984390.0,,,,,,,,,,1360115.2000000002,,
country/FRA,2018,,,,,95579812.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/FRA,2019,,,,,12190434.2,,,,,,,,,,,,28961844.8,,,,,,,,,2991030.0,,,,138254.80000000002,,,,,,,,,
country/FRA,2020,,,,,12310152.0,1139601.2,,,,,,,,,,,22858871.0,,,,,,,,,,,,,,,,,,,,,,
country/FRA,2021,716356.0,,,,15158974.0,,8029476.000000001,,,,,20695364.0,,,,8969202.0,,,10387282.0,,,,,,,2409850.0,,,,,,,,,,,,,4824190.0
country/GBR,2015,,,3882231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/GBR,2017,,,5999704.0,,,,,,,,,,,,,,993692.0000000001,,,,,,,,,,,,,,,,,,,,,,
country/GBR,2018,,,722956.0,,,,,,,,,,,,,,8276285.0,,,,,,,,,,,,,,,,,,,,,,
country/GBR,2019,,,,,41141972.0,,,,,,,,,,,,24414214.2,,,,,,,,,,,,,,,,,,,,,,
country/GBR,2020,,,,,31324869.6,,,,,,,,,,,,30423086.8,,,,,,,,,,,,,,,17168142.0,,,,,,,
country/GBR,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88477014.0,,,,,,,
country/JPN,2015,,1573964.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/JPN,2016,,3191615.0,,,1102914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/JPN,2017,,4968448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/JPN,2018,,256206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/JPN,2019,,4757826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/JPN,2020,,6659594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/JPN,2021,,11173709.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/NOR,2013,,,,,546613.2000000001,,,,9187443.0,,,,,,,,1956554.0,,3534860.0,,,,,,,,,,1986732.0,,,10521349.0,,4224685.0,,87941.20000000001,,851505.0,
