dcid,year,climateFinanceReceivedDisbursementsMitigationOdaLoansCurrentUSD
Earth,2013,3900723094.021832
Earth,2014,3496385391.565475
Earth,2015,4281715604.462761
Earth,2016,5499602861.000092
Earth,2017,6764493390.892041
Earth,2018,6357499286.385096
Earth,2019,7647016668.143451
Earth,2020,7324357583.520692
Earth,2021,7340297735.299582
country/ALB,2013,2062542.4
country/ALB,2014,1331636.4
country/ALB,2015,2076222.7999999998
country/ALB,2016,2054060.4
country/ALB,2017,196460.0
country/ALB,2018,564995.6000000001
country/ALB,2019,138710.4
country/ALB,2020,1486999.2000000002
country/ALB,2021,2009741.6000000003
country/DZA,2013,4211873.0
country/AGO,2015,78147274.8
country/AGO,2019,657117.0
country/AGO,2020,2200460.0
country/AGO,2021,2389081.0
country/ARG,2017,316000.0
country/ARM,2013,8495624.8
country/ARM,2014,11586447.200000001
country/ARM,2015,8418871.6
country/ARM,2016,13770100.6
country/ARM,2017,15106331.4
country/ARM,2018,16313893.0
country/ARM,2019,9815551.0
country/ARM,2020,10751295.0
country/ARM,2021,36832028.8
country/AZE,2013,3331333.6
country/AZE,2014,3311198.8
country/AZE,2015,1770877.5999999999
country/AZE,2016,3237435.6
country/AZE,2017,1442854.4000000001
country/AZE,2018,11389542.4
country/AZE,2019,55688856.8
country/AZE,2020,36850014.0
country/AZE,2021,41861085.0
country/BGD,2013,145391372.4
country/BGD,2014,174948682.6
country/BGD,2015,243357320.9688
country/BGD,2016,308505896.52614
country/BGD,2017,511283535.11332
country/BGD,2018,515885061.97121096
country/BGD,2019,455137712.2725474
country/BGD,2020,535341819.05219144
country/BGD,2021,643741431.7692108
country/BLR,2019,2350833.9862
country/BLR,2020,3669515.652702768
country/BEN,2017,8519046.48
country/BEN,2018,8443005.648720467
country/BEN,2019,12751362.955808321
country/BEN,2020,20982706.282
country/BEN,2021,21265906.6128
country/BTN,2013,10391749.0
country/BTN,2014,1205413.0
country/BTN,2015,903889.0
country/BTN,2016,193010.0
country/BTN,2017,112234.0
country/BTN,2018,3259865.04
country/BTN,2019,3710290.5
country/BTN,2020,8040347.4399999995
country/BTN,2021,10615238.6744
country/BOL,2014,8829800.0
country/BOL,2016,1358838.0
country/BOL,2017,69720719.0
country/BOL,2018,26273419.240000002
