dcid,year,HivPeopleLivingWithHIVReceivingARTPercent
country/AFG,2018,8.473177
country/AFG,2019,9.273406
country/ALB,2011,20.759193
country/ALB,2014,34.962406
country/ALB,2018,43.963554
country/ALB,2020,48.534668
country/ALB,2021,52.855153
country/DZA,2010,23.147473
country/DZA,2017,56.321077
country/AGO,2010,8.612758
country/AGO,2013,16.862472
country/AGO,2015,23.767695
country/AGO,2017,25.343756
country/AGO,2018,28.368735
country/ARM,2017,37.190083
country/ARM,2021,47.647485
country/ARM,2022,52.983939
country/AUS,2013,74.480946
country/AUS,2016,82.025761
country/AUS,2018,82.295473
country/AUS,2019,83.252632
country/AZE,2010,5.779195
country/BHS,2020,74.261603
country/BGD,2013,11.124807
country/BGD,2020,28.366588
country/BRB,2013,50.56338
country/BRB,2021,66.237351
country/BRB,2022,64.556377
country/BLR,2015,34.453507
country/BLR,2017,47.090856
country/BLR,2019,69.295466
country/BEL,2015,78.579163
country/BEL,2018,83.078895
country/BEN,2020,66.973953
country/BTN,2010,6.694561
country/BTN,2017,39.6
country/BOL,2018,39.079779
country/BWA,2015,75.269442
country/BWA,2017,82.613456
country/BWA,2019,90.216854
country/BRA,2018,68.402208
country/BRA,2019,70.590039
country/BRA,2022,73.814958
country/BGR,2010,19.406737
country/BGR,2011,21.73913
country/BGR,2012,24.602814
country/BGR,2014,29.452614
country/BGR,2017,42.156863
country/BGR,2018,48.33666
country/BGR,2021,56.15921
country/BFA,2020,68.610092
country/BDI,2010,23.316992
country/BDI,2013,35.407746
country/BDI,2015,48.152692
country/CPV,2011,35.995035
country/CPV,2016,53.156481
country/CPV,2020,74.035393
country/CPV,2021,80.423729
country/KHM,2019,79.770973
country/KHM,2021,82.292201
country/CMR,2013,25.987357
country/CMR,2018,56.871993
country/CMR,2021,80.182482
country/CAN,2011,47.479571
country/CAN,2013,62.471317
country/CAN,2018,74.704181
country/CAN,2019,76.247227
country/CAF,2010,10.949161
country/CAF,2014,20.336613
country/CAF,2015,23.348422
country/CAF,2019,39.638941
country/CAF,2022,48.965783
country/TCD,2011,30.388464
country/TCD,2019,59.777018
country/TCD,2021,72.261269
country/CHL,2015,56.444221
country/COL,2017,51.869484
country/COL,2020,72.584229
country/COM,2019,66.37931
country/COG,2010,16.146195
country/COG,2018,21.125771
country/CRI,2012,36.112126
country/CRI,2013,36.862343
country/CRI,2018,54.715061
country/CRI,2021,68.095823
country/HRV,2016,69.148223
country/HRV,2019,76.941748
country/HRV,2021,77.395295
country/CUB,2012,34.081871
country/CUB,2013,37.147855
country/CYP,2011,30.201342
country/CYP,2017,62.008368
country/CYP,2018,67.094703
country/CYP,2020,80.855856
country/CYP,2021,85.514706
country/CZE,2015,48.960902
country/CZE,2018,68.478261
country/CZE,2020,74.536396
country/CIV,2011,19.402194
country/CIV,2018,58.191466
country/CIV,2022,71.802402
country/COD,2018,42.289373
country/COD,2020,62.434022
country/DNK,2013,69.335298
country/DNK,2018,84.143983
country/DOM,2011,23.354049
country/DOM,2021,55.657646
country/DOM,2022,62.889383
country/ECU,2015,42.235127
country/ECU,2017,54.171175
country/EGY,2014,16.970159
country/EGY,2021,41.850265
country/EGY,2022,47.179138
country/SLV,2010,42.138209
country/SLV,2012,43.646721
country/SLV,2013,46.924892
country/SLV,2019,59.869663
country/GNQ,2011,9.246478
country/GNQ,2012,13.043
country/GNQ,2015,22.048312
country/GNQ,2018,33.909387
country/ERI,2012,40.230394
country/EST,2010,30.838732
country/EST,2019,62.539859
country/SWZ,2020,90.68402
country/ETH,2011,39.919331
country/ETH,2015,58.770809
country/ETH,2019,74.265892
country/ETH,2022,82.687938
country/FJI,2011,16.842105
country/FJI,2012,25.0
country/FJI,2013,22.980501
country/FJI,2015,22.46941
country/FJI,2021,35.785398
country/FRA,2010,73.736698
country/FRA,2017,80.611636
country/FRA,2019,80.394018
country/GAB,2012,30.829601
country/GAB,2017,45.476567
country/GAB,2019,49.147002
country/GAB,2021,52.090818
country/GAB,2022,58.767022
country/GMB,2019,31.504594
country/GMB,2022,36.650299
country/GEO,2013,43.080725
country/GEO,2020,70.174081
country/GEO,2021,70.772263
country/DEU,2012,73.73542
country/DEU,2017,81.072335
country/DEU,2020,84.861527
country/DEU,2021,87.149363
country/GHA,2010,13.331033
country/GHA,2011,19.241016
country/GHA,2013,24.105455
country/GHA,2017,31.040529
country/GHA,2021,56.026686
country/GRC,2010,44.188337
country/GRC,2015,55.100028
country/GRC,2019,68.113437
country/GRC,2021,70.066049
country/GRC,2022,69.785178
country/GRD,2013,29.122807
country/GRD,2017,40.462428
country/GRD,2020,34.054054
country/GTM,2012,50.705169
country/GTM,2013,55.160118
country/GTM,2014,56.907773
country/GTM,2017,60.360026
country/GIN,2016,32.1356
country/GIN,2021,56.103025
