dcid,date,SdrAllocationsSdr
country/ARE,2008-06-30,38736800.0
country/GBR,2008-06-30,1913070000.0
country/USA,2008-06-30,4899530000.0
country/URY,2008-06-30,49977000.0
country/UZB,2008-06-30,0.0
country/VUT,2008-06-30,0.0
country/VEN,2008-06-30,316890000.0
country/VNM,2008-06-30,47658000.0
country/YEM,2008-06-30,28743000.0
country/ZMB,2008-06-30,68298000.0
country/ZWE,2008-06-30,10200000.0
Earth,2008-06-30,21433330200.0
country/AFG,1978-05-31,12753000.0
country/DZA,1978-05-31,40290000.0
country/ARG,1978-05-31,152520000.0
country/AUS,1978-05-31,225645000.0
country/AUT,1978-05-31,76745000.0
country/BHR,1978-05-31,0.0
country/BGD,1978-05-31,0.0
country/BRB,1978-05-31,2769000.0
country/BEL,1978-05-31,209346000.0
country/BEN,1978-05-31,4449000.0
country/BOL,1978-05-31,12753000.0
country/BWA,1978-05-31,1569000.0
country/BRA,1978-05-31,152520000.0
country/BFA,1978-05-31,4449000.0
country/BDI,1978-05-31,6567000.0
country/KHM,1978-05-31,8517000.0
country/CMR,1978-05-31,10512600.0
country/CAN,1978-05-31,358620000.0
country/CAF,1978-05-31,4365000.0
country/TCD,1978-05-31,4449000.0
country/CHL,1978-05-31,54654000.0
country/COL,1978-05-31,54441000.0
country/COD,1978-05-31,39189000.0
country/COG,1978-05-31,4449000.0
country/CRI,1978-05-31,11016000.0
country/CIV,1978-05-31,14268000.0
country/CYP,1978-05-31,8898000.0
country/DNK,1978-05-31,82764000.0
country/DOM,1978-05-31,14535000.0
country/ECU,1978-05-31,11229000.0
country/EGY,1978-05-31,65244000.0
country/SLV,1978-05-31,11655000.0
country/GNQ,1978-05-31,2712000.0
country/SWZ,1978-05-31,2712000.0
country/ETH,1978-05-31,0.0
country/FJI,1978-05-31,1378000.0
country/FIN,1978-05-31,61470000.0
country/FRA,1978-05-31,484980000.0
country/GAB,1978-05-31,4791000.0
country/GMB,1978-05-31,2331000.0
country/DEU,1978-05-31,542400000.0
country/GHA,1978-05-31,30123000.0
country/GRC,1978-05-31,46194000.0
country/GTM,1978-05-31,11868000.0
country/GIN,1978-05-31,8304000.0
country/GUY,1978-05-31,6780000.0
country/HTI,1978-05-31,6567000.0
country/HND,1978-05-31,8517000.0
country/ISL,1978-05-31,7419000.0
