dcid,year,climateFinanceProvidedCommitmentsAdaptationOdaLoansCurrentUSD
Earth,2013,3927083451.6666665
Earth,2014,5377593458.135
Earth,2015,4742099151.824803
Earth,2016,4288721224.477598
Earth,2017,5688949224.498188
Earth,2018,5492097287.975616
Earth,2019,5294898900.122139
Earth,2020,10686008493.891733
Earth,2021,8251650488.597476
country/AUT,2021,11729615.600000001
country/BEL,2013,591078.0
country/BEL,2014,4330635.600000001
country/BEL,2015,11093357.6
country/BEL,2019,8955558.0
country/CAN,2021,151575590.0
country/FRA,2013,335691775.0
country/FRA,2014,609126759.0
country/FRA,2015,702209649.0
country/FRA,2016,652825391.0
country/FRA,2017,777412215.0
country/FRA,2018,61589984.0
country/FRA,2019,907335465.8
country/FRA,2020,2097666552.8
country/FRA,2021,2003276679.8000002
country/DEU,2013,149722463.8
country/DEU,2014,239432134.2
country/DEU,2015,264554628.6
country/DEU,2016,229311995.8
country/DEU,2017,184558298.4
country/DEU,2018,307886841.4
country/DEU,2019,832634053.0
country/DEU,2020,480385278.8
country/DEU,2021,236494657.2
country/ITA,2013,2655337.0
country/ITA,2018,20063732.0
country/JPN,2013,869008414.2
country/JPN,2014,1028320933.6
country/JPN,2015,968417956.0
country/JPN,2016,591330914.0
country/JPN,2017,1277088194.0
country/JPN,2018,517257677.2
country/JPN,2019,265884366.00000003
country/JPN,2020,3336927979.6000004
country/JPN,2021,1649018205.2
country/KOR,2013,142752000.0
country/KOR,2015,122677200.0
country/KOR,2016,57080000.0
country/KOR,2017,57600000.0
country/KOR,2018,24634673.200000003
country/KOR,2019,119399386.0
country/KOR,2020,14823000.0
country/KOR,2021,580439314.8
country/POL,2018,58668712.0
country/ESP,2017,8085125.600000001
country/ARE,2013,26136673.200000003
country/ARE,2014,38800000.0
country/ARE,2015,15000000.0
country/ARE,2016,6000000.0
country/ARE,2021,5600000.0
country/GBR,2017,1545198.0
country/GBR,2018,53354.40000000001
