dcid,year,climateFinanceReceivedDisbursementsByProviderCurrentUSDAdaptationFund,climateFinanceReceivedDisbursementsByProviderCurrentUSDAfricanDevelopmentBank,climateFinanceReceivedDisbursementsByProviderCurrentUSDAfricanDevelopmentFund,climateFinanceReceivedDisbursementsByProviderCurrentUSDAsianDevelopmentBank,climateFinanceReceivedDisbursementsByProviderCurrentUSDAsianInfrastructureInvestmentBank,climateFinanceReceivedDisbursementsByProviderCurrentUSDAustralia,climateFinanceReceivedDisbursementsByProviderCurrentUSDAustria,climateFinanceReceivedDisbursementsByProviderCurrentUSDAzerbaijan,climateFinanceReceivedDisbursementsByProviderCurrentUSDBelgium,climateFinanceReceivedDisbursementsByProviderCurrentUSDBlackSeaTrade&DevelopmentBank,climateFinanceReceivedDisbursementsByProviderCurrentUSDCanada,climateFinanceReceivedDisbursementsByProviderCurrentUSDCaribbeanDevelopmentBank,climateFinanceReceivedDisbursementsByProviderCurrentUSDCentralAmericanBankforEconomicIntegration,climateFinanceReceivedDisbursementsByProviderCurrentUSDClimateInvestmentFunds,climateFinanceReceivedDisbursementsByProviderCurrentUSDCouncilofEuropeDevelopmentBank,climateFinanceReceivedDisbursementsByProviderCurrentUSDCzechRepublic,climateFinanceReceivedDisbursementsByProviderCurrentUSDDenmark,climateFinanceReceivedDisbursementsByProviderCurrentUSDEUInstitutions,climateFinanceReceivedDisbursementsByProviderCurrentUSDEstonia,climateFinanceReceivedDisbursementsByProviderCurrentUSDEuropeanBankforReconstructionandDevelopment,climateFinanceReceivedDisbursementsByProviderCurrentUSDFinland,climateFinanceReceivedDisbursementsByProviderCurrentUSDFoodandAgricultureOrganisation,climateFinanceReceivedDisbursementsByProviderCurrentUSDFrance,climateFinanceReceivedDisbursementsByProviderCurrentUSDGermany,climateFinanceReceivedDisbursementsByProviderCurrentUSDGlobalEnvironmentFacility,climateFinanceReceivedDisbursementsByProviderCurrentUSDGlobalGreenGrowthInstitute,climateFinanceReceivedDisbursementsByProviderCurrentUSDGreece,climateFinanceReceivedDisbursementsByProviderCurrentUSDGreenClimateFund,climateFinanceReceivedDisbursementsByProviderCurrentUSDHungary,climateFinanceReceivedDisbursementsByProviderCurrentUSDIFAD,climateFinanceReceivedDisbursementsByProviderCurrentUSDIceland,climateFinanceReceivedDisbursementsByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedDisbursementsByProviderCurrentUSDInternationalBankforReconstructionandDevelopment,climateFinanceReceivedDisbursementsByProviderCurrentUSDInternationalDevelopmentAssociation,climateFinanceReceivedDisbursementsByProviderCurrentUSDIreland,climateFinanceReceivedDisbursementsByProviderCurrentUSDIslamicDevelopmentBank,climateFinanceReceivedDisbursementsByProviderCurrentUSDItaly,climateFinanceReceivedDisbursementsByProviderCurrentUSDJapan,climateFinanceReceivedDisbursementsByProviderCurrentUSDKazakhstan,climateFinanceReceivedDisbursementsByProviderCurrentUSDKorea,climateFinanceReceivedDisbursementsByProviderCurrentUSDLatvia,climateFinanceReceivedDisbursementsByProviderCurrentUSDLiechtenstein,climateFinanceReceivedDisbursementsByProviderCurrentUSDLithuania,climateFinanceReceivedDisbursementsByProviderCurrentUSDLuxembourg,climateFinanceReceivedDisbursementsByProviderCurrentUSDNetherlands,climateFinanceReceivedDisbursementsByProviderCurrentUSDNewZealand,climateFinanceReceivedDisbursementsByProviderCurrentUSDNordicDevelopmentFund,climateFinanceReceivedDisbursementsByProviderCurrentUSDNorway,climateFinanceReceivedDisbursementsByProviderCurrentUSDPoland,climateFinanceReceivedDisbursementsByProviderCurrentUSDPortugal,climateFinanceReceivedDisbursementsByProviderCurrentUSDRomania,climateFinanceReceivedDisbursementsByProviderCurrentUSDSlovakRepublic,climateFinanceReceivedDisbursementsByProviderCurrentUSDSlovenia,climateFinanceReceivedDisbursementsByProviderCurrentUSDSpain,climateFinanceReceivedDisbursementsByProviderCurrentUSDSweden,climateFinanceReceivedDisbursementsByProviderCurrentUSDSwitzerland,climateFinanceReceivedDisbursementsByProviderCurrentUSDUnitedArabEmirates,climateFinanceReceivedDisbursementsByProviderCurrentUSDUnitedKingdom,climateFinanceReceivedDisbursementsByProviderCurrentUSDUnitedStates
Earth,2013,6810239.0,15491701.810628133,11758.535687115756,7870000.0,,285006097.0,36973467.4,,99535228.2,,189152096.2,,,221493888.0,,3839723.2,192223568.20000002,853001473.980073,,,82314926.4,,1608359466.2,2048027083.8,,,184942.40000000002,,,,6777702.0,115048535.0,478972477.68,92860135.92,44759952.2,,41771230.6,2353243898.8,,79422753.4,,,,13061871.8,439353738.2,12785656.2,36244761.0,1136663750.0,6054008.0,21225988.2,,143724.0,773421.2000000001,129506238.2,335505548.2,190400105.4,21748336.6,994298875.2,709048262.0
Earth,2014,40423097.0,7740284.034270059,366196.19493121805,93459894.41230027,,173855710.8,37578466.0,,118853194.0,,85702327.60000001,,,,,2714790.2,212898183.6,1021485536.6953762,,,102461829.2,,674717584.8,2572390074.0,,,253036.0,,,,7018761.2,321580795.8489,302366532.57746613,228099176.1695845,53337724.0,,56320803.2,2523443717.8,,49598121.8,,,,15563254.200000001,372419014.6,42338727.2,22290035.0,774446816.4,2804219.4,12524423.4,131764.40000000002,185216.0,696505.2000000001,59267956.2,336062504.2,220120683.0,48304888.0,993192050.0,969857876.0
Earth,2015,43485441.0,8247683.132294791,491042.55672803277,396179949.6867466,,166865842.0,28988481.400000002,,104013899.4,,82396874.60000001,,,,,4096049.6,138886615.8,855835551.7711949,,,91251397.8,,975943761.6,2460670849.8,,4834695.18157429,194325.0,,,11020221.0,5674827.600000001,559484738.5,1383533438.3576572,583064388.0245473,49316098.6,,88216714.6,2990439286.8,,73818322.8,,,52327.600000000006,13745429.0,305470064.6,29032995.6,10652467.0,509102765.8,1790430.2,11727685.4,,149972.0,799319.8,47375392.8,269477538.40000004,188062373.8,57275261.6,1713162014.4,739838692.2
Earth,2016,39501287.0,59480351.95252993,4713242.797668235,837423187.3972824,,182613931.6,32368092.400000002,,115227397.4,,103999611.60000001,,,,,2918807.6,143464073.4,1297847463.720673,,988199890.3871566,60442941.2,,1068709491.2,3330958564.8,267228620.2,31176352.97,382718.0,5493913.0,,,6561295.8,203080141.0,2347998833.044173,668259611.7571874,61698514.800000004,,48488468.4,3299154462.0,,70384356.8,,,185043.0,17782048.400000002,310296150.6,23332264.400000002,37106956.0,398727005.0,1258035.6,3067795.2,91144.6,30892.0,1074867.8,54158815.6,344128606.8,196279020.0,68544222.0,1392731994.2,1487496765.4
Earth,2017,30850445.0,17906311.899890516,5834297.90688231,1085691620.2996008,26021584.38,162718684.4,41597492.6,,148860912.8,,244178554.4,,,453908795.07131755,,3598009.4,129830812.60000001,1356182816.0403996,,1103970083.9280043,119842479.60000001,,1817129515.4,3217742277.2000003,6887598.4,38235883.8,92088.8,2651682.0,,,7293834.0,963179970.5246,205412578.46,421401432.97148716,62834694.800000004,,147075512.4,4032672245.0,,70333373.0,28170.0,,88504.20000000001,12917545.0,328562194.8,22413103.0,42625492.0,444585474.8,1372290.6,3503260.8,16240.0,167492.0,562328.0,59437017.2,425730093.40000004,205285709.0,50829000.0,1374256108.8,1159345344.0
Earth,2018,49288583.0,471462319.1161846,41473144.187912546,1606071894.364752,80885787.99430001,150401706.60000002,59377643.8,,181981979.20000002,,402169969.6,,,516660772.09199566,1475274.0,4765990.4,216740148.8,1701932225.396214,,724685504.7666042,44713042.0,153372846.4,1064815523.2,3598836812.8,7283495.8,31586996.69238058,830.4000000000001,,,,5531449.0,1077066857.9687,3677631027.2056994,2127304170.0401945,42021313.6,,83013435.8,3149856912.4,,96600865.4,18617.600000000002,,162766.4,13040377.0,456099804.6,38037089.800000004,33587512.0,833533656.0,61095300.0,3025982.4,79756.4,70976.0,1903862.0,68787469.8,563152262.8,225538073.20000002,42280810.0,1855391889.8,998823156.0
Earth,2019,63859325.0,158977522.1846459,112408651.3214666,2001437892.92539,16432559.98,231451536.4,194513006.6,,183282960.20000002,,267375974.8,,,,32855704.000000004,4068514.2,245276744.4,1677190061.1068873,,190845451.60679957,148278336.8,160781083.4,2439679008.0,4079939773.6,,5154535.691209923,,,1245500.6,,8101788.600000001,1269773413.8161,3875758004.6291347,3761545823.6765914,69270065.8,32102689.04646,109286431.60000001,3552638224.6,,116948979.0,4426.2,,350459.4,13764822.4,422540392.6,39400015.0,31011767.0,576601372.8,5510072.4,2083313.6,,638605.6,2282274.8,80135288.2,569487451.8,236940485.4,59436420.4,2132506055.0,843260033.2
Earth,2020,76677937.0,696918509.5267721,336898344.06675845,2317535289.824854,83620478.7,285262495.6,166772407.4,239448.0,183209868.0,62678062.67806269,530521028.0,,500000000.0,266129167.54890123,13333333.8,3461253.8000000003,191580144.8,1813464018.2987514,121253.6,378454676.2761982,110001145.0,12197406.200000001,3736845368.0,4396632098.2,,2817151.2765285117,7630.400000000001,16828303.213029824,19623688.6,,6754779.4,1448868836.6069999,3627542330.4351187,3901613820.62696,58679579.0,586000.0,295235432.40000004,3365641941.0,4070.0,84113122.2,1206.8,,926327.0,2021150.4,451026748.40000004,33166182.8,59640194.0,488245316.40000004,4830945.0,1513140.2,157665.8,345830.0,522714.80000000005,47019301.4,477884770.8,233974144.20000002,8056084.4,1648322982.4,951706741.2
Earth,2021,63498402.0,424238090.99120605,61326058.57566128,2326213455.7184405,165139406.6,440009473.40000004,88546575.0,,177798611.8,,698899573.6,204400.0,247355.0,54227690.03189979,62086092.4,3935035.8,318694028.8,1896030229.8730936,125356.0,389039130.7926509,124410364.0,20551552.0,3683877999.2000003,4129086646.4,26853618.0,1885411.6822162396,,275793834.42797,12383966.8,,10093981.2,893302660.9797,5542826229.863884,4580881096.30903,60524221.0,,342859066.4,4674130616.8,,281717550.8,5763.6,631082.4,1181907.4,16729953.799999999,591250778.2,52867439.4,35738279.0,696853718.8,1905747.6,2846112.8,21190.0,1049997.4,848183.0,79437133.2,559969135.8000001,289279545.6,30056960.0,815432738.8000001,1165616996.0
country/AFG,2013,,,,,,1960114.2000000002,,,265533.60000000003,,,,,,,324468.2,,6480859.2,,,66383.0,,885555.0,15454617.8,,,,,,,,,,,,,166948.80000000002,5620145.0,,11048.0,,,,,5310674.0,4334011.0,,2571130.8,84902.8,,,,,4841204.0,7307881.2,3027587.8000000003,,5671379.8,91784462.0
