dcid,year,"climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDAfrica,regional","climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDAmerica,regional","climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDAsia,regional",climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDAzerbaijan,"climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDBilateral,unspecified",climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDBrazil,"climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDCaribbean&CentralAmerica,regional","climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDCentralAsia,regional",climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDChina(People'sRepublicof),climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDColombia,climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDDominicanRepublic,climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDEgypt,climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDElSalvador,climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDEthiopia,"climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDEurope,regional",climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDGeorgia,climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDHaiti,climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDHonduras,climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDIndia,climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDIndonesia,climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDKenya,climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDLaoPeople'sDemocraticRepublic,climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDMali,climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDMauritius,climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDMexico,climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDMongolia,climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDMyanmar,climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDNamibia,climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDNepal,climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDNigeria,"climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDNorthofSahara,regional",climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDPakistan,climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDPeru,climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDPhilippines,climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDSerbia,climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDSouthAfrica,"climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDSouthernAfrica,regional","climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDSouthofSahara,regional",climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDTanzania,climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDThailand,climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDUganda,"climateFinanceProvidedCommitmentsEquityInvestmentByRecipientCurrentUSDWesternAfrica,regional"
Earth,2013,97040844.3023734,16830086.0,,,38563605.0,,,,,,,,,194370.80000000002,,,,,,,,,,,,,51749.6,,,2655337.2,,,,,4514073.2,,,3983006.0,354222.0,,8685.2,
Earth,2014,15300352.770806495,19856375.4,,2388218.0,51652757.0,,2000000.0,5307151.0,4643757.0,,,,,,7960727.2,2653575.6,,,,,29189333.0,,,800000.0,4000000.0,,3885590.0,,7571263.0,,,,,217062.40000000002,14594666.6,19901818.0,,,,,,
Earth,2015,50209687.60005107,12226644.0,98182231.0,,,,,,,,,,,,,6100943.0,,,,519578.4,,,,,,,,,,,,,,,,,,8097614.999999999,,,,
Earth,2016,18125268.10958463,,14079339.8,,27642779.0,320913.0,7500000.0,,3967552.0,760000.0,,,,,6634966.400000001,,,2100000.0,938825.0,192203.2,,,,,,,,,,,,,,,1503682.4000000001,,,15406332.8,,,,
Earth,2017,50785426.00987415,11272686.4,5999704.0,,22762036.0,4401781.0,7290000.0,,,3100000.0,,9897368.38468628,600000.0,,,,,,1189145.0,,,5636343.0,146435.0,,1200000.0,7103368.0,,33254424.999999996,,,,,,,25635215.0,8454515.0,,14654492.0,,,,
Earth,2018,50578147.78484734,38541506.49,30899023.29,,111382005.4,,,,,1500000.0,,319782.1369960943,,,,,,,1546581.0,2884456.4000000004,,2009910.8,,,,,,,1500000.0,14634722.0,,,,,,,,10621976.0,,,,
Earth,2019,107084415.51875784,87067006.741,,,136978818.8,,,,,19590283.0,,874835.4922585944,,,25187507.0,,,,72503667.72,,,,,,,,,,,13515594.4,,16791671.0,17911116.0,6015806.4,12023956.0,,7353269.8549999995,11194448.0,,,,22966475.32
Earth,2020,172899130.49056378,32136751.400000002,22792023.0,,124890839.0,50142449.8,,,,,,,,,,,,,37032180.0,,,,,,,,1866548.8,,,4364630.0,,,,,,17181976.8,,,,,,
Earth,2021,50938505.0,946074.0,,,80789527.4,,,,,,27672658.0,,,220435.2,41390729.0,,17404219.0,,31171463.6,,11564177.2,,,,,,,,,,46984390.0,,,,,88477014.0,,21877956.0,345000.0,10054991.0,,9648380.0
country/AUT,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4371263.0,,,,,,,,,,,,,
country/AUT,2015,,,,,,,,,,,,,,,,6100943.0,,,,,,,,,,,,,,,,,,,,,,8097614.999999999,,,,
country/AUT,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4644476.0,,,,
country/AUT,2017,,,,,4499493.0,,,,,,,,,,,,,,,,,5636343.0,,,,,,,,,,,,,,,,,,,,
country/AUT,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500000.0,,,,,,,,,,,,,
country/AUT,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10052034.0,,,,
country/CHE,2013,,,,,5925281.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/CHE,2014,,,,,9858940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/CHE,2016,,,4126890.8000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4126890.8000000003,,,,
country/CHE,2017,,,,,15233066.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/CHE,2021,,,,,4157549.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/DEU,2013,85634625.0,,,,32638324.0,,,,,,,,,,,,,,,,,,,,,,,,,2655337.2,,,,,4514073.2,,,,,,,
country/DEU,2014,,9552872.4,,2388218.0,41793817.0,,,5307151.0,,,,,,,7960727.2,2653575.6,,,,,,,,,,,,,,,,,,,14594666.6,19901818.0,,,,,,
country/DEU,2015,49011038.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/DEU,2016,,,9952449.0,,26539865.0,,,,,,,,,,6634966.400000001,,,,,,,,,,,,,,,,,,,,1503682.4000000001,,,,,,,
country/DEU,2017,38327132.6,11272686.4,,,,,,,,,,,,,,,,,,,,,,,,,,33254424.999999996,,,,,,,24799909.0,8454515.0,,,,,,
country/DEU,2018,23604390.4,2360439.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,14634722.0,,,,,,,,,,,,
country/DEU,2019,75002798.2,45897235.0,,,50598902.2,,,,,19590283.0,,,,,25187507.0,,,,16791671.0,,,,,,,,,,,10531736.4,,16791671.0,17911116.0,,,,,,,,,
country/DEU,2020,69743589.4,32136751.400000002,,,48433048.400000006,,,,,,,,,,,,,,3871292.0,,,,,,,,,,,,,,,,,13834.800000000001,,,,,,
country/DEU,2021,15373699.0,946074.0,,,30510880.200000003,,,,,,,,,,41390729.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/DNK,2016,,,,,,320913.0,,,3967552.0,,,,,,,,,,938825.0,,,,,,,,,,,,,,,,,,,,,,,
country/DNK,2017,,,,,3029477.0,1781.0,,,,,,9683449.0,,,,,,,1189145.0,,,,146435.0,,,7103368.0,,,,,,,,,,,,,,,,
country/ESP,2013,,16830086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3983006.0,,,,
country/ESP,2015,,12226644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country/FIN,2013,10158680.2,,,,,,,,,,,,,194370.80000000002,,,,,,,,,,,,,,,,,,,,,,,,,354222.0,,,
country/FIN,2014,1600000.0,,,,,,2000000.0,,4643757.0,,,,,,,,,,,,29189333.0,,,800000.0,4000000.0,,,,3200000.0,,,,,217062.40000000002,,,,,,,,
country/FIN,2015,,,,,,,,,,,,,,,,,,,,519578.4,,,,,,,,,,,,,,,,,,,,,,
country/FIN,2016,1993807.2000000002,,,,,,,,,,,,,,,,,,,192203.2,,,,,,,,,,,,,,,,,,,,,,
