dcid,year,climateFinanceReceivedDisbursementsCrossCuttingCurrentUSD
country/COD,2015,11951726.0
country/COD,2016,60871183.2
country/COD,2017,83365215.60000001
country/COD,2018,21973046.0
country/COD,2019,22753955.400000002
country/COD,2020,24112987.2
country/COD,2021,26575072.200000003
country/DJI,2013,2842161.6
country/DJI,2014,2273203.2
country/DJI,2015,2789558.0
country/DJI,2016,2028405.4000000001
country/DJI,2017,1072602.8
country/DJI,2018,1234584.8
country/DJI,2019,1139260.6
country/DJI,2020,175201.4
country/DJI,2021,44013.600000000006
country/DMA,2013,216404.80000000002
country/DMA,2014,968088.0
country/DMA,2015,59856.0
country/DMA,2016,861621.2000000001
country/DMA,2017,1639386.0
country/DMA,2018,1007744.2000000001
country/DMA,2019,744859.4
country/DMA,2020,2996907.0
country/DMA,2021,950789.6
country/DOM,2013,248974.80000000002
country/DOM,2014,82447.6
country/DOM,2015,207474.0
country/DOM,2016,3391820.8
country/DOM,2017,6541474.6
country/DOM,2018,709196.6000000001
country/DOM,2019,706082.6000000001
country/DOM,2020,2145240.2
country/DOM,2021,5504870.6
country/ECU,2013,6021536.4
country/ECU,2014,7893884.800000001
country/ECU,2015,3319444.4000000004
country/ECU,2016,4635307.47
country/ECU,2017,23352177.599999998
country/ECU,2018,9024342.23
country/ECU,2019,11036419.92
country/ECU,2020,8397931.38
country/ECU,2021,68961800.8
country/EGY,2013,5361363.4
country/EGY,2014,3580529.2
country/EGY,2015,7304698.000000001
country/EGY,2016,17892613.2
country/EGY,2017,10586457.759278553
country/EGY,2018,7043331.2
country/EGY,2019,9839742.200000001
country/EGY,2020,25554113.765977725
country/EGY,2021,13868452.200000001
country/SLV,2013,1015989.2000000001
country/SLV,2014,853919.6000000001
country/SLV,2015,958195.6000000001
country/SLV,2016,6574162.600000001
country/SLV,2017,1427369.6
country/SLV,2018,2340977.8000000003
country/SLV,2019,1895128.0
country/SLV,2020,2789196.8
country/SLV,2021,3334103.0
country/GNQ,2013,2832.4
country/GNQ,2015,9155.6
country/GNQ,2017,11341.2
country/GNQ,2018,23280.0
country/GNQ,2019,7297.200000000001
country/GNQ,2020,52505.200000000004
country/GNQ,2021,346079.4
country/ERI,2013,2637222.0
country/ERI,2014,1439446.6
country/ERI,2015,4023666.8000000003
country/ERI,2016,9740362.999999998
country/ERI,2017,561296.4
country/ERI,2018,1259423.2
country/ERI,2019,3703599.2
country/ERI,2020,394304.4
country/ERI,2021,753476.8
country/SWZ,2013,2504530.0
country/SWZ,2014,1051491.6
country/SWZ,2015,2460028.0
country/SWZ,2016,3915223.0
country/SWZ,2017,1751340.8
country/SWZ,2018,417736.0
country/SWZ,2019,214531.60000000003
country/SWZ,2020,645697.6
country/SWZ,2021,988441.6
country/ETH,2013,54460651.2
country/ETH,2014,32005106.18
country/ETH,2015,92661014.96000001
country/ETH,2016,140219062.2
country/ETH,2017,88319765.60000001
country/ETH,2018,49879318.2
country/ETH,2019,54175911.84
country/ETH,2020,47116668.440000005
country/ETH,2021,46426269.24
country/FJI,2013,742929.2000000001
country/FJI,2014,531319.4
country/FJI,2015,3410960.4000000004
country/FJI,2016,4386459.4
country/FJI,2017,8994212.200000001
country/FJI,2018,10866561.27564477
country/FJI,2019,4206162.418369498
country/FJI,2020,3956188.0017587557
country/FJI,2021,3616591.8000000003
country/GAB,2013,83378.0
country/GAB,2014,43886.4
country/GAB,2015,1433730.4000000001
country/GAB,2016,839146.0
country/GAB,2017,1356355.0
country/GAB,2018,391686.0
country/GAB,2019,104.0
country/GAB,2020,252964.0
country/GAB,2021,696524.8
country/GMB,2013,451896.80000000005
country/GMB,2014,5080.800000000001
country/GMB,2015,2500.0
country/GMB,2016,5370.0
country/GMB,2018,2608896.0
country/GMB,2019,5739127.0
country/GMB,2020,2488045.2
country/GMB,2021,3470712.0
country/GEO,2013,1954419.2
country/GEO,2014,2388265.6
country/GEO,2015,1410928.0
country/GEO,2016,10729640.4
country/GEO,2017,17968755.400000002
country/GEO,2018,15944933.641683
country/GEO,2019,22247397.032120306
country/GEO,2020,29537579.460397296
country/GEO,2021,19107323.6
country/GHA,2013,9164503.8
country/GHA,2014,6649373.820000001
country/GHA,2015,8328789.49
country/GHA,2016,20642296.32
country/GHA,2017,16343715.0
country/GHA,2018,4585924.0
country/GHA,2019,4429048.800000001
country/GHA,2020,8017185.0
country/GHA,2021,8497319.0
country/GRD,2013,1103234.0
country/GRD,2014,79607.20000000001
country/GRD,2019,83729.6
country/GRD,2020,468353.4
country/GRD,2021,1022011.4
country/GTM,2013,8588044.4
country/GTM,2014,12046797.4
country/GTM,2015,9752570.8
country/GTM,2016,40708044.4
country/GTM,2017,32832169.0
country/GTM,2018,4542817.8
country/GTM,2019,5601360.4
country/GTM,2020,4068958.6
country/GTM,2021,8305400.0
country/GIN,2013,342285.0
country/GIN,2014,127663.6
country/GIN,2015,455924.4
country/GIN,2016,753655.8
country/GIN,2017,1037330.6000000001
country/GIN,2018,1082865.6
country/GIN,2019,1358673.2000000002
country/GIN,2020,2402127.6
country/GIN,2021,3312870.4000000004
country/GNB,2013,1249179.2000000002
country/GNB,2014,254798.8
country/GNB,2015,166770.80000000002
country/GNB,2016,1539860.5999999999
country/GNB,2017,118151.8
country/GNB,2018,1651943.4
country/GNB,2019,1959201.2
country/GNB,2020,1153729.2
country/GNB,2021,646271.6000000001
country/GUY,2013,848167.8
country/GUY,2014,1218735.2
country/GUY,2015,1112633.2
country/GUY,2016,11591049.8
country/GUY,2017,4714977.8
country/GUY,2018,313077.4
country/GUY,2019,703337.2
country/GUY,2020,621952.6000000001
country/GUY,2021,458796.8
country/HTI,2013,3293587.6
country/HTI,2014,7416574.8
country/HTI,2015,9347451.0
country/HTI,2016,27784315.4
country/HTI,2017,27612211.0
country/HTI,2018,10999173.1
country/HTI,2019,6807885.54
country/HTI,2020,6645860.600000001
country/HTI,2021,9686268.4
country/HND,2013,2906338.0
country/HND,2014,3852803.8000000003
country/HND,2015,6795069.0
country/HND,2016,30369579.2
country/HND,2017,24358538.400000002
country/HND,2018,16043766.042000001
country/HND,2019,6362094.4
country/HND,2020,9914310.9046
country/HND,2021,11932733.9168
country/IND,2013,37108032.800000004
country/IND,2014,24856771.200000003
country/IND,2015,20065096.8
country/IND,2016,31830579.6
country/IND,2017,44819450.8
country/IND,2018,22060237.400000002
country/IND,2019,30079709.8
country/IND,2020,21822504.0
country/IND,2021,32510143.8
country/IDN,2013,154184435.6
country/IDN,2014,99767988.2
country/IDN,2015,191295954.0
country/IDN,2016,159631276.0
country/IDN,2017,124040960.6
country/IDN,2018,49535952.0
country/IDN,2019,27294024.6
country/IDN,2020,52123984.8
country/IDN,2021,85870551.8
country/IRN,2013,6125.200000000001
country/IRN,2014,484107.60000000003
country/IRN,2015,1002235.6
country/IRN,2016,1241644.8
country/IRN,2017,819217.0
country/IRN,2018,230367.00000000003
country/IRN,2019,1697951.8
country/IRN,2020,168518.80000000002
country/IRN,2021,176508.0
country/IRQ,2013,1381073.0
country/IRQ,2014,1318459.6
country/IRQ,2015,153739.6
country/IRQ,2016,3948360.0
country/IRQ,2017,47231714.6
country/IRQ,2018,2908659.4
country/IRQ,2019,6223327.200000001
country/IRQ,2020,7075860.4
country/IRQ,2021,4902617.4
country/JAM,2013,1332866.4000000001
country/JAM,2014,8933335.6
country/JAM,2015,5284030.8
country/JAM,2016,1360812.6
country/JAM,2017,164608.0
country/JAM,2018,281640.0
country/JAM,2019,1169474.8
country/JAM,2020,699908.3
country/JAM,2021,768587.0
country/JOR,2013,3519720.8
country/JOR,2014,1813978.4000000001
country/JOR,2015,5257479.4
country/JOR,2016,27715944.78875666
country/JOR,2017,136063845.62367138
country/JOR,2018,67709068.8
country/JOR,2019,56735633.800000004
country/JOR,2020,73681938.0
country/JOR,2021,9373685.200000001
country/KAZ,2013,123129.6
country/KAZ,2014,26535.600000000002
country/KAZ,2015,1403403.8
country/KAZ,2016,4238787.4
country/KAZ,2017,6218693.514864773
country/KAZ,2018,357299.00000000006
country/KAZ,2019,259721.40000000002
country/KAZ,2020,405680.0
country/KAZ,2021,852430.6000000001
country/KEN,2013,51239654.4
country/KEN,2014,38595937.6
country/KEN,2015,56333258.400000006
country/KEN,2016,68208218.0
country/KEN,2017,57358647.2
country/KEN,2018,42919879.2
country/KEN,2019,47703196.0
country/KEN,2020,42194235.2
country/KEN,2021,21309156.8
country/KIR,2013,2976263.6
country/KIR,2014,105341.6
country/KIR,2015,241298.4
country/KIR,2016,2472342.0
country/KIR,2017,1765778.8000000003
country/KIR,2018,2219903.8141878997
country/KIR,2019,598514.4
country/KIR,2020,901783.0
country/KIR,2021,3996706.6
country/XKX,2013,4053876.2
country/XKX,2014,5348840.600000001
country/XKX,2015,2750928.6
country/XKX,2016,4469996.8
country/XKX,2017,4731423.600000001
country/XKX,2018,1754578.4000000001
country/XKX,2019,2047161.6
country/XKX,2020,7408695.8
country/XKX,2021,3484845.8000000003
country/KGZ,2013,196046.0
country/KGZ,2014,215022.80000000002
country/KGZ,2015,239804.40000000002
country/KGZ,2016,6126893.0
country/KGZ,2017,8062866.63023727
country/KGZ,2018,3121739.9299788754
country/KGZ,2019,2689233.4000000004
country/KGZ,2020,12788585.777820531
country/KGZ,2021,15929827.091143137
country/LAO,2013,4129112.4
country/LAO,2014,5926863.8100000005
country/LAO,2015,5714481.4
country/LAO,2016,3706187.93
country/LAO,2017,11622368.2
country/LAO,2018,8091509.630000001
country/LAO,2019,6635835.0
country/LAO,2020,22913095.8
country/LAO,2021,12035016.8
country/LBN,2013,168529.4
country/LBN,2014,918812.4
country/LBN,2015,1691234.2000000002
country/LBN,2016,1586510.8
country/LBN,2017,1507356.8
country/LBN,2018,39800665.169030994
country/LBN,2019,5204755.99941
country/LBN,2020,6533063.0
country/LBN,2021,3718280.0
country/LSO,2014,174401.2
country/LSO,2015,144292.80000000002
country/LSO,2016,34739.6
country/LSO,2017,20741.600000000002
country/LSO,2018,82903.20000000001
country/LSO,2019,108435.20000000001
country/LSO,2020,808924.6000000001
country/LSO,2021,2173751.0
country/LBR,2013,13833831.2
country/LBR,2014,10350568.4
country/LBR,2015,14265900.8
country/LBR,2016,21795670.4
country/LBR,2017,9534456.4
country/LBR,2018,2012227.6
country/LBR,2019,15256919.4
country/LBR,2020,9190158.4
country/LBR,2021,9899577.4
country/LBY,2013,600000.0
country/LBY,2016,442.40000000000003
country/LBY,2017,4509.2
country/LBY,2019,681.2
country/LBY,2020,486760.8
country/LBY,2021,192456.4
country/MDG,2013,6134298.2
country/MDG,2014,6008029.0
country/MDG,2015,5847043.600000001
country/MDG,2016,15010254.200000001
country/MDG,2017,7261946.2
country/MDG,2018,8540207.8
country/MDG,2019,9617032.4
country/MDG,2020,21690281.2
country/MDG,2021,13644981.6
country/MWI,2013,13839773.4
country/MWI,2014,13977301.600000001
country/MWI,2015,17035784.0
country/MWI,2016,37158710.2
country/MWI,2017,20889652.400000002
country/MWI,2018,14227145.6
country/MWI,2019,13109924.4
country/MWI,2020,7987966.0
country/MWI,2021,10225730.4
country/MYS,2013,1132721.4
country/MYS,2014,1065450.4
country/MYS,2015,1514310.8
country/MYS,2016,1402280.6
country/MYS,2017,907644.4
country/MYS,2018,158358.0
country/MYS,2019,496385.2
country/MYS,2020,86021.0
country/MYS,2021,656964.8
country/MDV,2013,1520399.6
country/MDV,2014,519021.0
country/MDV,2015,1077762.8
country/MDV,2016,3118428.0
country/MDV,2017,2522742.0
country/MDV,2018,24900.8
country/MDV,2019,696942.4
country/MDV,2020,357928.0
country/MDV,2021,341360.4
country/MLI,2013,8193650.2
country/MLI,2014,10817841.4
country/MLI,2015,10271228.0
country/MLI,2016,29451172.15
country/MLI,2017,15662658.8
country/MLI,2018,26171576.650000002
country/MLI,2019,11917482.8
country/MLI,2020,18940372.8
country/MLI,2021,11281676.0
country/MHL,2013,533961.6
country/MHL,2014,87379.20000000001
country/MHL,2015,63361.600000000006
country/MHL,2016,198362.6
country/MHL,2017,4352.8
country/MHL,2018,7293.6
country/MHL,2019,14256.0
country/MHL,2020,29898.4
country/MHL,2021,83312.8
country/MRT,2013,751287.2000000001
country/MRT,2014,1401021.8
country/MRT,2015,707371.6000000001
country/MRT,2016,2615589.6
country/MRT,2017,1272122.4000000001
country/MRT,2018,5369944.600000001
country/MRT,2019,6770817.600000001
country/MRT,2020,4523975.2
country/MRT,2021,6541324.600000001
country/MUS,2013,1746.0
country/MUS,2014,456674.0
country/MUS,2015,237161.0
country/MUS,2016,333849.0
country/MUS,2017,21192.8
country/MUS,2018,231665.2
country/MUS,2019,1802873.4000000001
country/MUS,2020,137415516.8
country/MUS,2021,2273182.0
country/MEX,2013,6848229.4
country/MEX,2014,58631886.6
country/MEX,2015,6052041.600000001
country/MEX,2016,20269493.2
country/MEX,2017,76598006.4
country/MEX,2018,9134120.0
country/MEX,2019,369315485.307
country/MEX,2020,431311570.6
country/MEX,2021,9493141.0
country/FSM,2013,136798.4
country/FSM,2014,92155.6
country/FSM,2015,150134.11000000002
country/FSM,2016,330830.33
country/FSM,2017,2176.4
country/FSM,2018,36781.2
country/FSM,2019,307670.2
country/FSM,2020,119388.00000000001
country/FSM,2021,75394.0
country/MDA,2013,160370.6
country/MDA,2014,311970.2
country/MDA,2015,816496.0
country/MDA,2016,545951.2
country/MDA,2017,5745602.593151989
country/MDA,2018,1682411.2000000002
country/MDA,2019,3461346.4000000004
country/MDA,2020,6641930.0
country/MDA,2021,11491013.600000001
country/MNG,2013,1550302.6
country/MNG,2014,2324371.2
country/MNG,2015,1998625.0
country/MNG,2016,2045212.4000000001
country/MNG,2017,2732548.8000000003
country/MNG,2018,3084256.0
country/MNG,2019,4180226.2
country/MNG,2020,4315597.8
country/MNG,2021,8474252.6
country/MNE,2013,4076546.8000000003
country/MNE,2014,825827.4
country/MNE,2015,451337.2
country/MNE,2016,588193.8
country/MNE,2017,4786978.0
country/MNE,2018,9926472.399999999
country/MNE,2019,3720276.2
country/MNE,2020,6226803.0
country/MNE,2021,2991608.0
country/MAR,2013,96062683.6
country/MAR,2014,4237798.2
country/MAR,2015,1903858.4000000001
country/MAR,2016,46141559.400000006
country/MAR,2017,51377190.601600684
country/MAR,2018,11866206.2
country/MAR,2019,62397148.6
country/MAR,2020,53782035.60295119
country/MAR,2021,29254056.402491823
country/MOZ,2013,27854279.29
country/MOZ,2014,11731887.8
country/MOZ,2015,44948299.4
country/MOZ,2016,46281532.2
country/MOZ,2017,34839748.4
country/MOZ,2018,18772233.2
country/MOZ,2019,24346115.8
country/MOZ,2020,16238360.4
country/MOZ,2021,46152379.6
country/MMR,2013,5367435.0
country/MMR,2014,8946203.8
country/MMR,2015,3458393.4
country/MMR,2016,7835720.6
country/MMR,2017,14755685.0
country/MMR,2018,6929230.600000001
country/MMR,2019,24889335.6
country/MMR,2020,20189629.6
country/MMR,2021,7444203.0
country/NAM,2013,1300252.4
country/NAM,2014,3074297.6
country/NAM,2015,2275511.8000000003
country/NAM,2016,3621284.2
country/NAM,2017,4739843.600000001
country/NAM,2018,2589993.2
country/NAM,2019,5706229.000000001
country/NAM,2020,6223737.4
country/NAM,2021,2322399.0
country/NRU,2013,90870.40000000001
country/NRU,2014,87379.20000000001
country/NRU,2016,202496.0
country/NRU,2017,48869.200000000004
country/NRU,2018,550487.6000000001
country/NRU,2019,572144.0
country/NRU,2020,244145.20000000004
country/NRU,2021,239922.4
country/NPL,2013,47172344.4
country/NPL,2014,35115856.0
country/NPL,2015,23508812.2
country/NPL,2016,29686150.0
country/NPL,2017,20376318.8
country/NPL,2018,4833487.32
country/NPL,2019,8160704.5200000005
country/NPL,2020,10692543.360000001
country/NPL,2021,11554547.8
country/NIC,2013,6282553.4
country/NIC,2014,8853500.4
country/NIC,2015,5939073.4
country/NIC,2016,3638141.2
country/NIC,2017,3130659.2
country/NIC,2018,3123371.2
country/NIC,2019,6935997.4
country/NIC,2020,4467756.4
country/NIC,2021,7002642.4
country/NER,2013,8472684.4
country/NER,2014,9436741.4
country/NER,2015,7702468.0
country/NER,2016,10678100.4
country/NER,2017,4562741.2
country/NER,2018,9447780.8
country/NER,2019,6722870.600000001
country/NER,2020,4005927.2
country/NER,2021,6511298.600000001
country/NGA,2013,197241.0
country/NGA,2014,3640858.4000000004
country/NGA,2015,37608867.2
country/NGA,2016,48429436.2
country/NGA,2017,49059931.2
country/NGA,2018,7603065.4
country/NGA,2019,20731285.0
country/NGA,2020,15302216.0
country/NGA,2021,17734868.4
country/NIU,2013,68416.8
country/NIU,2014,249813.60000000003
country/NIU,2015,33952.4
country/NIU,2021,65301.600000000006
country/MKD,2013,19058062.000000004
country/MKD,2014,12918620.8
country/MKD,2015,6871606.4
country/MKD,2016,7228962.2
country/MKD,2017,15023494.600000001
country/MKD,2018,29496575.6
country/MKD,2019,8308804.2
country/MKD,2020,13528959.4
country/MKD,2021,25527519.6
country/PAK,2013,2098237.6
country/PAK,2014,3622944.8000000003
country/PAK,2015,42425301.1
country/PAK,2016,41750980.14
country/PAK,2017,4557520.2
country/PAK,2018,5346563.21
country/PAK,2019,9509870.700000001
country/PAK,2020,21752985.45
country/PAK,2021,18491110.26
country/PLW,2013,101549.6
country/PLW,2014,87379.20000000001
country/PLW,2015,21153.800000000003
country/PLW,2016,495173.60000000003
country/PLW,2017,4352.8
country/PLW,2018,19502.8
country/PLW,2019,153211.6
country/PLW,2020,200527.6
country/PLW,2021,130824.0
country/PAN,2013,529240.4
country/PAN,2014,430084.4
country/PAN,2015,125802.0
country/PAN,2016,9997.2
country/PAN,2017,192987.6
country/PAN,2018,58379.6
country/PAN,2019,46563.2
country/PAN,2020,11380.8
country/PAN,2021,9862389.8
country/PNG,2013,4810050.800000001
country/PNG,2014,1735062.8
country/PNG,2015,5810898.4
country/PNG,2016,14184517.8
country/PNG,2017,28814864.8
country/PNG,2018,31414752.200000003
country/PNG,2019,25403671.0
country/PNG,2020,21061525.8
country/PNG,2021,19560126.200000003
country/PRY,2013,847572.4000000001
country/PRY,2014,900980.8
country/PRY,2015,498684.0
country/PRY,2016,826619.6000000001
country/PRY,2017,1287774.6
country/PRY,2018,1093106.0
country/PRY,2019,2004055.8000000003
country/PRY,2020,18552727.0
country/PRY,2021,3988078.14
country/PER,2013,12060547.4
country/PER,2014,15234632.200000001
country/PER,2015,16193999.600000001
country/PER,2016,36047045.6
country/PER,2017,23895379.400000002
country/PER,2018,14937082.0
country/PER,2019,27662602.8
country/PER,2020,43736330.4
country/PER,2021,27785522.0
country/PHL,2013,8484352.8
country/PHL,2014,23060570.6
country/PHL,2015,11389217.99388125
