dcid,year,climateFinanceReceivedCommitmentsAdaptationEquityInvestmentCurrentUSD
Earth,2013,88646526.39999999
Earth,2014,57170290.331962705
Earth,2015,35699890.0
Earth,2016,1387862.0583222061
Earth,2017,695031.4619667669
Earth,2018,18558970.704476416
Earth,2019,50889698.76765135
Earth,2020,20742205.84012186
Earth,2021,19573950.2
country/COL,2018,1125000.0
country/SLV,2017,600000.0
country/ETH,2013,194370.80000000002
country/ETH,2021,220435.2
country/GEO,2014,2653575.6
country/MMR,2013,51749.6
country/MMR,2014,3885590.0
country/MMR,2020,1866548.8
country/NPL,2014,3200000.0
country/PHL,2014,217062.40000000002
country/TZA,2021,345000.0
