dcid,year,climateFinanceReceivedCommitmentsMitigationInstrumentUnspecifiedCurrentUSD
Earth,2013,6027074141.63386
Earth,2014,5441937053.88567
Earth,2015,3917399987.6903725
Earth,2016,5597263056.247427
Earth,2017,5919088483.92039
Earth,2018,2180522493.8616214
Earth,2019,5144360655.47451
Earth,2020,7748152675.7872
Earth,2021,6860561383.135199
country/ALB,2013,2489378.651
country/ALB,2019,447777.9022
country/ATG,2021,2750000.0
country/ARG,2017,1366197.3037989
country/ARG,2018,173396497.23
country/ARG,2020,87900000.0
country/ARM,2013,36617100.372
country/ARM,2015,2218524.68108708
country/ARM,2016,3919919.4299458098
country/ARM,2017,5760342.68966295
country/ARM,2018,1180219.521
country/AZE,2013,1659585.767
country/AZE,2015,1109262.34054354
country/AZE,2017,450907.45124563196
country/BGD,2013,128868826.3
country/BGD,2015,149750415.973378
country/BGD,2018,129824147.3
country/BLR,2019,100750028.0
country/BLZ,2016,173068.73382726999
country/BEN,2019,3651900.9906300004
country/BOL,2018,17605379.22
country/BOL,2020,17875000.0
country/BIH,2013,1659585.767
country/BIH,2014,49754544.25
country/BIH,2016,1437576.025655203
country/BRA,2013,3983005.842
country/BRA,2014,265357569.29999998
country/BRA,2015,3327787.02163062
country/BRA,2018,94417561.67
country/BRA,2019,657969640.6200001
country/BRA,2020,673664786.1662
country/BFA,2013,93000.0
country/BFA,2014,30516120.470000003
country/BFA,2016,66349.6627225478
country/BFA,2017,980000.0
country/BDI,2014,113575149.25999999
country/BDI,2016,630000.0
country/CPV,2015,1435036.0
country/KHM,2018,705413.7945999999
country/CMR,2016,3608095.5097865798
country/CMR,2021,125354780.0
country/TCD,2015,780000.0
country/CHN,2013,267660000.0
country/CHN,2017,202898205.47558698
country/CHN,2018,59010976.04
country/CHN,2019,335833426.6
country/COL,2018,57257466.13999999
country/COL,2020,252400000.0
country/COG,2019,20906844.52
country/CRI,2013,68755495.29
country/CRI,2021,21300000.0
country/CIV,2013,68000000.0
country/CIV,2015,9139212.42373821
country/CIV,2016,50288000.0
country/CIV,2017,3550541.28399805
country/COD,2013,13826000.0
country/COD,2016,25202387.6396107
country/COD,2017,1990000.0
country/DOM,2015,221852.468108708
country/DOM,2016,110582.771204246
country/DOM,2017,112726.86281140799
country/DOM,2018,135725.2449
country/ECU,2020,265553842.2
country/EGY,2015,224514697.72601253
country/EGY,2016,317802044.405839
country/EGY,2017,45500000.0
country/SLV,2021,19698380.0
country/SWZ,2019,223888.9511
country/ETH,2016,104610000.0
country/ETH,2017,100009536.9666666
country/FJI,2017,6529142.98884004
country/GMB,2017,1000000.0
country/GEO,2013,4978757.302
country/GEO,2015,5657237.936772043
