dcid,year,climateFinanceReceivedDisbursementsAdaptationEquityInvestmentCurrentUSD
Earth,2013,82226880.0
Earth,2014,50378917.928891905
Earth,2015,41643773.826693565
Earth,2016,2501386.2285681805
Earth,2017,2055061.061966767
Earth,2018,5069336.104476417
Earth,2019,51760446.87481641
Earth,2020,23113395.095981136
Earth,2021,18475149.610361423
country/ETH,2013,194370.80000000002
country/ETH,2014,318429.2
country/ETH,2015,288408.4
country/ETH,2016,663496.8
country/ETH,2017,1037763.6000000001
country/ETH,2018,2038003.2000000002
country/ETH,2021,220435.2
country/GEO,2014,1326788.0
country/GEO,2015,1109262.4000000001
country/MUS,2015,320000.0
country/MMR,2015,1081500.0
country/MMR,2020,1066543.2
country/MMR,2021,800005.2000000001
country/NPL,2014,66000.0
country/PHL,2014,272787.60000000003
country/PHL,2015,21298.0
country/ZAF,2013,683200.0
country/ZAF,2014,590000.0
country/ZAF,2015,1811200.0
country/TZA,2021,345000.0
