dcid,year,climateFinanceReceivedCommitmentsMitigationOdaLoansCurrentUSD
country/GUY,2013,16920000.0
country/GUY,2014,9966299.85
country/GUY,2018,14399380.0
country/GUY,2019,332000.0
country/GUY,2020,105750.0
country/GUY,2021,1449999.0
country/HTI,2015,29000000.0
country/HTI,2019,35855600.0
country/HND,2013,2700000.0
country/HND,2014,92342000.0
country/HND,2015,209748892.0
country/HND,2016,2600000.0
country/HND,2017,10630000.0
country/HND,2018,105133194.0
country/HND,2019,35258230.0
country/HND,2020,53505765.0
country/HND,2021,47642729.5
country/IND,2013,3363289359.0
country/IND,2014,3459787700.0
country/IND,2015,1156426981.0
country/IND,2016,2452153077.4
country/IND,2017,1293677382.8
country/IND,2018,2831087540.04
country/IND,2019,1299235643.0
country/IND,2020,1405314588.6
country/IND,2021,2962132266.8
country/IDN,2013,769406351.6
country/IDN,2014,362589420.0
country/IDN,2015,1217641989.8
country/IDN,2017,483918733.0
country/IDN,2018,902733177.0
country/IDN,2019,107500000.0
country/IDN,2020,268193862.60000002
country/IRQ,2015,451569928.0
country/IRQ,2017,173915678.8
country/IRQ,2021,119163342.4
country/JAM,2017,6000000.0
country/JAM,2018,18965562.400000002
country/JOR,2013,46468401.0
country/JOR,2015,118164171.0
country/JOR,2017,48554447.0
country/JOR,2018,70813171.0
country/JOR,2021,1896725.1999999997
country/KAZ,2014,77500000.0
country/KEN,2013,201323956.0
country/KEN,2014,42457211.2
country/KEN,2015,91065724.0
country/KEN,2016,712699038.0
country/KEN,2017,301479177.0
country/KEN,2018,89776372.80000001
country/KEN,2019,413705299.1
country/KEN,2020,144974442.0
country/KEN,2021,317328974.174256
country/XKX,2013,14832084.8
country/XKX,2014,31000000.0
country/XKX,2016,1105827.6
country/XKX,2019,500000.0
country/XKX,2020,4699100.0
country/XKX,2021,1233385.0192786
country/KGZ,2014,22247500.0
country/KGZ,2016,61668800.0
country/KGZ,2017,27138800.0
country/KGZ,2018,2893500.0
country/KGZ,2019,50368000.0
country/KGZ,2020,8711650.0
country/KGZ,2021,26661708.0
country/LAO,2013,15939000.0
country/LAO,2014,4125000.0
country/LAO,2015,62450000.0
country/LAO,2017,21764760.0055
country/LAO,2018,2937500.0
country/LAO,2019,21837500.0
country/LAO,2020,4207000.0
country/LAO,2021,19163523.46056
country/LBN,2015,29568497.0
country/LSO,2014,3710500.0
country/LSO,2017,11071500.0
country/LSO,2018,800000.0
country/LSO,2019,13088800.0
country/LSO,2020,7368000.0
country/LSO,2021,2706258.0
country/LBR,2017,22655000.0
country/LBR,2019,8620000.0
country/LBR,2020,13221631.6
country/LBR,2021,6751290.0
country/MDG,2016,29290122.0
country/MDG,2017,18284500.0
country/MDG,2018,12277000.0
country/MDG,2019,67170000.0
country/MDG,2020,44029858.879999995
country/MDG,2021,124414181.0
country/MWI,2017,6776900.0
country/MWI,2019,48448800.0
country/MWI,2020,24836450.0
country/MWI,2021,19241850.1498549
country/MDV,2019,1332500.0
country/MDV,2020,41590260.69024
country/MDV,2021,20000000.0
country/MLI,2013,19077500.0
country/MLI,2016,72116554.0
country/MLI,2017,90181490.0
country/MLI,2018,11552709.4
country/MLI,2019,70116331.38
country/MLI,2020,13800000.0
country/MLI,2021,28982614.638331402
country/MRT,2013,25225704.0
country/MRT,2014,5000000.0
country/MRT,2020,2007152.0
country/MRT,2021,1583965.6
country/MUS,2013,71459283.0
country/MUS,2014,59705453.0
country/MUS,2018,76714268.0
country/MUS,2020,11396011.0
country/MEX,2013,105796541.0
country/MEX,2014,168054016.0
country/MEX,2015,151796509.0
country/MEX,2016,419812915.0
country/MEX,2017,288533493.6373577
country/MEX,2018,307979399.0
country/MEX,2019,215209318.0
country/MEX,2020,430506517.0
country/MEX,2021,354354360.0
