dcid,year,climateFinanceProvidedCommitmentsCrossCuttingEquityInvestmentCurrentUSD
Earth,2013,3018244.4000000004
Earth,2014,11952872.4
Earth,2015,107611148.0
Earth,2016,8848966.0
Earth,2017,25218104.0
Earth,2018,24784610.4
Earth,2019,41005031.0
Earth,2020,66552705.8
Earth,2021,31891968.0
country/FIN,2013,3009559.2
country/FIN,2014,2400000.0
country/FRA,2019,14913915.0
country/FRA,2020,27350427.0
country/DEU,2014,9552872.4
country/DEU,2015,13311148.0
country/DEU,2017,21418104.0
country/DEU,2018,14162634.4
country/DEU,2019,17911116.0
country/DEU,2020,39202278.800000004
country/DEU,2021,18448439.200000003
country/JPN,2015,94300000.0
country/JPN,2021,2800198.8
country/NOR,2013,8685.2
