dcid,year,"climateFinanceProvidedDisbursementsCrossCuttingEquityInvestmentByRecipientCurrentUSDAfrica,regional","climateFinanceProvidedDisbursementsCrossCuttingEquityInvestmentByRecipientCurrentUSDAmerica,regional","climateFinanceProvidedDisbursementsCrossCuttingEquityInvestmentByRecipientCurrentUSDAsia,regional","climateFinanceProvidedDisbursementsCrossCuttingEquityInvestmentByRecipientCurrentUSDBilateral,unspecified",climateFinanceProvidedDisbursementsCrossCuttingEquityInvestmentByRecipientCurrentUSDBrazil,climateFinanceProvidedDisbursementsCrossCuttingEquityInvestmentByRecipientCurrentUSDIndia,climateFinanceProvidedDisbursementsCrossCuttingEquityInvestmentByRecipientCurrentUSDKenya,climateFinanceProvidedDisbursementsCrossCuttingEquityInvestmentByRecipientCurrentUSDMauritius,climateFinanceProvidedDisbursementsCrossCuttingEquityInvestmentByRecipientCurrentUSDNepal,climateFinanceProvidedDisbursementsCrossCuttingEquityInvestmentByRecipientCurrentUSDSierraLeone,"climateFinanceProvidedDisbursementsCrossCuttingEquityInvestmentByRecipientCurrentUSDSouthofSahara,regional",climateFinanceProvidedDisbursementsCrossCuttingEquityInvestmentByRecipientCurrentUSDTanzania
Earth,2013,1465922.0,,646800.0,80400.0,,,,,,,,266800.0
Earth,2014,923834.4,9552872.4,118400.0,,,,,80000.0,,,,71760.0
Earth,2015,14443839.2,,3647242.0,225200.0,,,,,108400.0,,,
Earth,2016,2809528.0,,7874232.0,,,,,,,,6634966.0,238220.0
Earth,2017,11850486.4,11272686.4,8759587.2,179199.6,,,,,,,,
Earth,2018,12106965.6,2360439.2,197739.6,,,,,,,,10621976.0,
Earth,2019,219261.2,8041026.800000001,565124.8,,,,,,749016.4,4428399.2,,
Earth,2020,10532365.600000001,30625034.000000004,98189.0,,20284900.0,,,,,,,
Earth,2021,99700.40000000001,3078835.6,77864.40000000001,17502365.200000003,,208809.2,1020814.4,,593026.8,,,
country/DEU,2014,,9552872.4,,,,,,,,,,
country/DEU,2015,13311148.0,,,,,,,,,,,
country/DEU,2017,10145417.600000001,11272686.4,,,,,,,,,,
country/DEU,2018,11802195.2,2360439.2,,,,,,,,,,
country/DEU,2019,,8041026.800000001,,,,,,,,,,
country/DEU,2020,10484330.4,30625034.000000004,,,,,,,,,,
country/DEU,2021,,3078835.6,,17502365.200000003,,,,,,,,
country/ESP,2016,399612.0,,,,,,,,,,,
country/ESP,2017,117609.20000000001,,,,,,,,,,,
country/ESP,2019,15824.800000000001,,,,,,,,,,,
country/FIN,2013,1465922.0,,646800.0,80400.0,,,,,,,,266800.0
country/FIN,2014,923834.4,,118400.0,,,,,80000.0,,,,71760.0
country/FIN,2015,1132691.2,,1139200.0,225200.0,,,,,108400.0,,,
country/FIN,2016,2409916.0,,,,,,,,,,,238220.0
country/FIN,2017,1587459.6,,559199.2000000001,179199.6,,,,,,,,
country/FIN,2018,304770.4,,197739.6,,,,,,,,,
country/FIN,2019,203436.40000000002,,191270.80000000002,,,,,,749016.4,4428399.2,,
country/FIN,2020,48035.200000000004,,,,,,,,,,,
country/FIN,2021,99700.40000000001,,77864.40000000001,,,,,,593026.8,,,
country/FRA,2020,,,,,20284900.0,,,,,,,
country/JPN,2015,,,2508042.0,,,,,,,,,
country/JPN,2016,,,7874232.0,,,,,,,,,
country/JPN,2017,,,8200388.0,,,,,,,,,
country/JPN,2019,,,373854.0,,,,,,,,,
country/JPN,2020,,,98189.0,,,,,,,,,
country/JPN,2021,,,,,,208809.2,1020814.4,,,,,
