dcid,year,climateFinanceProvidedCommitmentsAdaptationInstrumentUnspecifiedCurrentUSD
Earth,2013,450026545.69640005
Earth,2014,743356742.8889999
Earth,2015,273281125.5844619
Earth,2016,240041228.93040195
Earth,2017,581459442.205681
Earth,2018,232175282.3289144
Earth,2019,419827162.93172
Earth,2020,2034265465.992
Earth,2021,819754527.2530926
