dcid,year,climateFinanceReceivedDisbursementsMitigationCurrentUSD
Earth,2013,7561717829.4791
Earth,2014,6870853093.511104
Earth,2015,8308659462.197097
Earth,2016,11466535849.259813
Earth,2017,12407310334.851412
Earth,2018,17340579349.137222
Earth,2019,17721633551.945515
Earth,2020,17660429102.562252
Earth,2021,19554452435.565933
country/AFG,2013,109322790.8
country/AFG,2014,52294223.6
country/AFG,2015,32250378.400000002
country/AFG,2016,24861966.6
country/AFG,2017,25885262.668500002
country/AFG,2018,38843183.505
country/AFG,2019,64450310.84820001
country/AFG,2020,49963794.6457
country/AFG,2021,36134106.1065
country/ALB,2013,5743431.0
country/ALB,2014,4812209.2
country/ALB,2015,8299173.8100000005
country/ALB,2016,7407343.15
country/ALB,2017,4608124.0
country/ALB,2018,58382037.911246315
country/ALB,2019,8106320.34
country/ALB,2020,98575448.08344784
country/ALB,2021,23287419.171531327
country/DZA,2013,7267519.199999999
country/DZA,2014,2373207.0
country/DZA,2015,1591698.6
country/DZA,2016,755557.2
country/DZA,2017,863789.2000000001
country/DZA,2018,1603065.7999999998
country/DZA,2019,3114503.0
country/DZA,2020,4202240.399999999
country/DZA,2021,7318393.2
country/AGO,2013,816679.2000000001
country/AGO,2014,875287.6000000001
country/AGO,2015,78650022.4
country/AGO,2016,1287072.8
country/AGO,2017,430851.60000000003
country/AGO,2018,2749764.8628000002
country/AGO,2019,76856725.5842
country/AGO,2020,7692409.9274199335
country/AGO,2021,83743697.905
country/ATG,2015,96672.8
country/ATG,2016,2461720.6
country/ATG,2017,758874.8
country/ATG,2018,156896.4
country/ATG,2019,498519.0
country/ATG,2020,291728.0
country/ARG,2013,308034.0
country/ARG,2014,12626684.8
country/ARG,2015,1645068.0000000002
country/ARG,2016,23804354.38
country/ARG,2017,37800433.2
country/ARG,2018,217172989.65840003
country/ARG,2019,200201928.1146
country/ARG,2020,193297482.3491
country/ARG,2021,136027412.9506
country/ARM,2013,16380955.33
country/ARM,2014,16269226.52
country/ARM,2015,16590793.7
country/ARM,2016,36225896.646635965
country/ARM,2017,87297773.95333833
country/ARM,2018,45094185.14661631
country/ARM,2019,45314199.29758201
country/ARM,2020,48768067.21250516
country/ARM,2021,65479421.93689469
country/AZE,2013,3905936.8000000003
country/AZE,2014,6118746.800000001
country/AZE,2015,1919426.7999999998
country/AZE,2016,32370888.370197725
country/AZE,2017,81870585.9304562
country/AZE,2018,76155551.84478323
country/AZE,2019,79911534.28999999
country/AZE,2020,47187272.422
country/AZE,2021,76289160.048
country/BGD,2013,195646759.8
country/BGD,2014,227609375.8
country/BGD,2015,270987819.5688
country/BGD,2016,381162269.54884
country/BGD,2017,634110352.71362
country/BGD,2018,604120225.4716109
country/BGD,2019,663053320.6995522
country/BGD,2020,672518284.3161391
country/BGD,2021,820028218.7985126
country/BLR,2013,240539.2
country/BLR,2014,2104415.2
country/BLR,2015,9544300.8
country/BLR,2016,70382386.04784837
country/BLR,2017,15670787.094209077
country/BLR,2018,61667359.09018377
country/BLR,2019,26306658.8062
country/BLR,2020,24636531.907248214
country/BLR,2021,12428370.95
country/BLZ,2015,48011.0
country/BLZ,2016,98753.0
country/BLZ,2017,681888.76
country/BLZ,2018,1034334.68
country/BLZ,2019,1327630.6
country/BLZ,2020,1285008.6908
country/BLZ,2021,1453506.5564000001
country/BEN,2013,2474792.6
country/BEN,2014,14326349.000000002
country/BEN,2015,7116527.369049502
country/BEN,2016,2835934.1699183728
country/BEN,2017,13359992.08
country/BEN,2018,13655373.56660399
country/BEN,2019,33111892.15445243
country/BEN,2020,44300974.807000004
country/BEN,2021,43326224.197
country/BTN,2013,14029949.2
country/BTN,2014,4766427.4
country/BTN,2015,3656502.7
country/BTN,2016,8559548.363799999
country/BTN,2017,531258.6
country/BTN,2018,3675960.44
country/BTN,2019,12353218.4928
country/BTN,2020,11867060.078
country/BTN,2021,14885336.7255
country/BOL,2013,10275118.4
country/BOL,2014,18245755.2
country/BOL,2015,10486162.0
country/BOL,2016,5873347.6
country/BOL,2017,98981537.14
country/BOL,2018,53701480.24
country/BOL,2019,152663209.46
country/BOL,2020,33668823.603599995
country/BOL,2021,18682395.492
country/BIH,2013,12934565.6
country/BIH,2014,6127021.4
country/BIH,2015,9033420.200000001
country/BIH,2016,34145057.15775462
country/BIH,2017,84705497.36711293
country/BIH,2018,62179080.80124113
country/BIH,2019,41611264.85448987
country/BIH,2020,94119017.58447696
country/BIH,2021,101368427.60357717
country/BWA,2013,1638467.8
country/BWA,2014,1663088.0
country/BWA,2015,933265.8
country/BWA,2016,2368446.5999999996
country/BWA,2017,824326.8
country/BWA,2018,621781.2000000001
country/BWA,2019,68942.4
country/BWA,2020,7416959.56857861
country/BWA,2021,92360836.9157894
country/BRA,2013,1003534311.6
country/BRA,2014,855932504.15
country/BRA,2015,392239897.8
country/BRA,2016,344783626.96
country/BRA,2017,664831556.4
country/BRA,2018,507191390.2316
country/BRA,2019,347113978.7
country/BRA,2020,272146820.068
country/BRA,2021,572584587.5444442
country/BFA,2013,5121963.4
country/BFA,2014,3229541.74
country/BFA,2015,3656803.9000000004
country/BFA,2016,13752160.25
country/BFA,2017,21680726.56
country/BFA,2018,23980958.6
country/BFA,2019,28787596.712608237
country/BFA,2020,50501782.431477726
country/BFA,2021,59567648.879618995
country/BDI,2013,7002157.2
country/BDI,2014,2979032.8
country/BDI,2015,1901030.0
country/BDI,2016,4789789.630000001
country/BDI,2017,283381.8
country/BDI,2018,4100105.07
country/BDI,2019,12171665.1185
country/BDI,2020,13067228.121
country/BDI,2021,23808143.285
country/CPV,2013,20274127.6
country/CPV,2014,18728632.2
country/CPV,2015,14447669.799999999
country/CPV,2016,9776559.6
country/CPV,2017,7088203.199999999
country/CPV,2018,12555573.2
country/CPV,2019,7780756.571360382
country/CPV,2020,10118139.339427853
country/CPV,2021,4971980.433487793
country/KHM,2013,5316785.0
country/KHM,2014,12912953.8
country/KHM,2015,6553349.4
country/KHM,2016,12390671.0
country/KHM,2017,11787955.6
country/KHM,2018,23858375.2
country/KHM,2019,37058921.63883846
country/KHM,2020,95110548.9714238
country/KHM,2021,21693992.388968475
country/CMR,2013,5766186.600000001
country/CMR,2014,5032282.2
country/CMR,2015,4736979.4
country/CMR,2016,9543368.4
country/CMR,2017,7658920.600000001
country/CMR,2018,9318452.23
country/CMR,2019,40173641.374
country/CMR,2020,52349409.21482719
country/CMR,2021,65796744.012214325
country/CAF,2014,231715.0
country/CAF,2015,371797.0
country/CAF,2016,2239660.6000000006
country/CAF,2017,46876.40000000001
country/CAF,2018,667702.7688000001
country/CAF,2019,5175110.834
country/CAF,2020,6543666.861493546
country/CAF,2021,4475585.8194889985
country/TCD,2013,4718788.4
country/TCD,2014,6775214.2
country/TCD,2015,3468065.6
country/TCD,2016,1839753.0
country/TCD,2017,951407.8
country/TCD,2018,681594.1156
country/TCD,2019,3564694.2834
