dcid,year,climateFinanceReceivedDisbursementsMitigationCurrentUSD
country/TCD,2020,13868751.622200001
country/TCD,2021,16327193.4948
country/CHL,2013,32648596.200000003
country/CHL,2014,97921334.4
country/CHL,2015,9904542.8
country/CHL,2016,158420344.6
country/CHL,2017,63456562.2
country/CHN,2013,193633469.2
country/CHN,2014,147779263.938
country/CHN,2015,219272595.23704907
country/CHN,2016,542914722.9152825
country/CHN,2017,273950375.03109175
country/CHN,2018,1154573947.9274826
country/CHN,2019,805322055.6683997
country/CHN,2020,546675130.7205908
country/CHN,2021,543303208.7377789
country/COL,2013,106323456.4
country/COL,2014,9493620.5
country/COL,2015,302894365.410805
country/COL,2016,80005575.87
country/COL,2017,192012005.2
country/COL,2018,476092679.48
country/COL,2019,612262578.745
country/COL,2020,289862198.6575209
country/COL,2021,1375919075.1513314
country/COM,2014,423715.0
country/COM,2015,265268.8
country/COM,2016,217986.8
country/COM,2017,46343.600000000006
country/COM,2018,334860.80000000005
country/COM,2019,447.6
country/COM,2020,20017.999583688656
country/COM,2021,480140.07440000004
country/COG,2013,483555.6
country/COG,2014,5646385.2
country/COG,2015,2802899.2
country/COG,2016,3011838.2
country/COG,2017,1801708.0
country/COG,2018,1047354.1699999999
country/COG,2019,2510670.75
country/COG,2020,3428103.3
country/COG,2021,2718721.44
country/COK,2013,920806.4
country/COK,2014,10780381.8
country/COK,2015,6069545.552999999
country/COK,2016,957922.3844000001
country/COK,2017,2387983.0
country/COK,2018,1209485.6
country/CRI,2013,3621040.2
country/CRI,2014,3149693.2
country/CRI,2015,24423470.400000002
country/CRI,2016,26877914.4
country/CRI,2017,37232431.0
country/CRI,2018,35646263.8
country/CRI,2019,15961753.2
country/CRI,2020,271295489.4
country/CRI,2021,166105639.14012298
country/CUB,2013,3807585.4
country/CUB,2014,2620826.2
country/CUB,2015,1764878.8
country/CUB,2016,2824343.4
country/CUB,2017,1608088.2
country/CUB,2018,6807071.2
country/CUB,2019,10324645.200000001
country/CUB,2020,9291019.459307205
country/CUB,2021,11990659.6
country/CIV,2013,414887.60000000003
country/CIV,2014,522263.60000000003
country/CIV,2015,198564.80000000002
country/CIV,2016,13806004.01
country/CIV,2017,21916029.060000002
country/CIV,2018,23261291.4921
country/CIV,2019,184176423.3937
country/CIV,2020,306320507.07086563
country/CIV,2021,221983469.17184016
country/PRK,2013,119320.8
country/PRK,2014,7343.200000000001
country/PRK,2015,204787.6
country/PRK,2016,29100.800000000003
country/PRK,2017,236028.40000000002
country/PRK,2019,169206.40000000002
country/COD,2013,23461375.2
country/COD,2014,14623594.2
country/COD,2015,27905595.200000003
country/COD,2016,23629171.0
country/COD,2017,20724263.0
country/COD,2018,61636500.15
country/COD,2019,43294293.18
country/COD,2020,26041545.330000002
country/COD,2021,58711728.489989944
country/DJI,2013,3397767.4000000004
country/DJI,2014,231719.2
country/DJI,2015,338800.51
country/DJI,2016,2625199.14
country/DJI,2017,137779.6
country/DJI,2018,3756985.32
country/DJI,2019,15312747.974505551
country/DJI,2020,1033825.4672081107
country/DJI,2021,3788589.9964048183
country/DMA,2013,3457947.2
country/DMA,2015,60164.0
country/DMA,2016,1011742.2
country/DMA,2017,750000.0
country/DMA,2018,157396.0
country/DMA,2019,1544511.2
country/DMA,2020,773034.0800000001
country/DMA,2021,528974.1948
country/DOM,2013,2718087.4
country/DOM,2014,2059942.8
country/DOM,2015,1503048.2
country/DOM,2016,1811686.4000000001
country/DOM,2017,1704041.9
country/DOM,2018,30673969.740000002
country/DOM,2019,167133478.51999998
country/DOM,2020,85079243.44
country/DOM,2021,71999712.56
country/ECU,2013,13073752.9
country/ECU,2014,75376796.49
country/ECU,2015,704833145.6
country/ECU,2016,106508533.52999999
country/ECU,2017,15762714.4
country/ECU,2018,392689368.8
country/ECU,2019,511429815.90999997
country/ECU,2020,497641104.68
country/ECU,2021,75259184.3472
country/EGY,2013,68138560.67556043
country/EGY,2014,108762047.22579482
country/EGY,2015,177972016.347638
country/EGY,2016,472728280.19005936
country/EGY,2017,364878121.66243106
country/EGY,2018,862845997.9594034
country/EGY,2019,278842244.58844936
country/EGY,2020,336156050.7761082
country/EGY,2021,789372619.212339
country/SLV,2013,25294148.6
country/SLV,2014,1009043.0
country/SLV,2015,7958893.4
country/SLV,2016,23874814.0
country/SLV,2017,10472952.0
country/SLV,2018,2818080.2
country/SLV,2019,15977126.4
country/SLV,2020,27539243.68
country/SLV,2021,2098200.8000000003
country/GNQ,2014,636.4000000000001
country/GNQ,2015,15803.000000000002
country/GNQ,2016,700594.0
country/GNQ,2018,33325.2
country/GNQ,2019,10378.800000000001
country/GNQ,2020,2507.0
country/GNQ,2021,323760.0
country/ERI,2013,31502.800000000003
country/ERI,2014,1346686.8000000003
country/ERI,2015,178618.0
country/ERI,2016,495678.2
country/ERI,2017,6177145.6
country/ERI,2018,2072597.6
country/ERI,2019,34703.0
country/ERI,2020,726817.2
country/ERI,2021,7568.6
country/SWZ,2013,1542964.8
country/SWZ,2014,2227588.8000000003
country/SWZ,2015,299168.4
country/SWZ,2016,24084.800000000003
country/SWZ,2017,119803.6
country/SWZ,2018,226814.6
country/SWZ,2019,605089.6000000001
country/SWZ,2020,1361442.7991713977
country/SWZ,2021,3964595.478009084
country/ETH,2013,48305680.6
country/ETH,2014,22791044.0
country/ETH,2015,22219123.8
country/ETH,2016,18005498.73
country/ETH,2017,58078517.980000004
country/ETH,2018,262829779.5287
country/ETH,2019,387059516.59884506
country/ETH,2020,379105612.79054326
country/ETH,2021,123995431.11987707
country/FJI,2013,669416.6
country/FJI,2014,885447.6
country/FJI,2015,4370379.36538122
country/FJI,2016,1007069.64
country/FJI,2017,1317154.4
country/FJI,2018,2699291.2
country/FJI,2019,3508130.2449641353
country/FJI,2020,4940462.599564021
country/FJI,2021,1635386.4
country/GAB,2013,2957088.0
country/GAB,2014,1865246.2
country/GAB,2015,278707.4
country/GAB,2016,1671508.05
country/GAB,2017,57372.200000000004
country/GAB,2018,4647382.5
country/GAB,2019,7426773.65
country/GAB,2020,1521085.16
country/GAB,2021,23021815.62
country/GMB,2013,1864075.0000000002
country/GMB,2014,2014179.6000000003
country/GMB,2015,825752.0
country/GMB,2016,2160337.9847207917
country/GMB,2017,7536643.2
country/GMB,2018,9122972.301015943
country/GMB,2019,1849783.4078050999
country/GMB,2020,11834736.594115896
country/GMB,2021,16696423.205
country/GEO,2013,9454241.6
country/GEO,2014,12262568.4
country/GEO,2015,26579384.4
country/GEO,2016,38493545.81992418
country/GEO,2017,66539053.20989214
country/GEO,2018,89908981.34826846
country/GEO,2019,188859751.69631627
country/GEO,2020,321258492.18934923
country/GEO,2021,207786303.55024993
country/GHA,2013,34486198.0
country/GHA,2014,15066364.76
country/GHA,2015,5885218.24
country/GHA,2016,11461853.75
country/GHA,2017,16401136.200000001
country/GHA,2018,51830949.89
country/GHA,2019,65767067.620000005
country/GHA,2020,54373517.690000005
country/GHA,2021,59050384.401
country/GRD,2014,115721.0
country/GRD,2015,425936.0
country/GRD,2016,1794970.4000000001
country/GRD,2017,410607.45
country/GRD,2018,434295.05
country/GRD,2019,246912.41
country/GRD,2020,702090.59
country/GRD,2021,339985.35000000003
country/GTM,2013,2886934.6
country/GTM,2014,1358956.8800000001
country/GTM,2015,2038698.4000000001
country/GTM,2016,2378333.4000000004
country/GTM,2017,2903398.4
country/GTM,2018,29218221.2
country/GTM,2019,40644891.0
country/GTM,2020,15125658.725
country/GTM,2021,13915972.0
country/GIN,2013,1047808.0
country/GIN,2014,658670.0
country/GIN,2016,8123292.0
country/GIN,2017,6974264.5
country/GIN,2018,26258518.0
country/GIN,2019,54140890.07814693
country/GIN,2020,3530429.2522
country/GIN,2021,50380473.709
country/GNB,2013,1119601.0
country/GNB,2014,1668001.4000000001
country/GNB,2015,1681742.2000000002
country/GNB,2016,1404600.0751991628
country/GNB,2017,1411667.2
country/GNB,2018,12322245.578547394
country/GNB,2019,7844214.811631774
country/GNB,2020,15909491.504219366
country/GNB,2021,12841037.99439065
country/GUY,2013,17284256.8
country/GUY,2014,91997945.82
country/GUY,2015,5192952.6
country/GUY,2016,2092803.0
country/GUY,2017,4541929.8
country/GUY,2018,3005081.6
country/GUY,2019,49906127.77651529
country/GUY,2020,12027124.432906907
country/GUY,2021,5388710.901593093
country/HTI,2013,25050525.6
country/HTI,2014,10343970.200000001
country/HTI,2015,11237818.4
country/HTI,2016,10453518.4
country/HTI,2017,5439632.12
country/HTI,2018,23542529.4
country/HTI,2019,30308774.622
country/HTI,2020,27075557.526
country/HTI,2021,24359527.236
country/HND,2013,2047007.4000000001
country/HND,2014,46109873.8
country/HND,2015,18622131.6
country/HND,2016,2105331.6
country/HND,2017,1585826.8
country/HND,2018,39664769.806
country/HND,2019,30342762.21
country/HND,2020,293876527.2475197
country/HND,2021,10600626.112648021
country/IND,2013,1201511153.0
country/IND,2014,1166246030.6884322
country/IND,2015,1456112081.8796072
country/IND,2016,2133539108.7089357
country/IND,2017,2539770264.177514
country/IND,2018,2596268168.861514
country/IND,2019,3369970469.9214845
country/IND,2020,2309144674.022356
country/IND,2021,3262199798.1398106
country/IDN,2013,130286040.0
country/IDN,2014,138371111.4
country/IDN,2015,557271591.2
country/IDN,2016,548507375.54
country/IDN,2017,568626337.2
country/IDN,2018,734418592.97
country/IDN,2019,511531467.99787
country/IDN,2020,404828497.8632
country/IDN,2021,536130040.80697024
country/IRN,2013,1027882.0
country/IRN,2014,1019826.0
country/IRN,2015,1280438.0
country/IRN,2016,1086268.0
country/IRN,2017,1282182.6
country/IRN,2018,2725077.4000000004
country/IRN,2019,3726439.4
country/IRN,2020,3196948.2
country/IRN,2021,737561.0
country/IRQ,2013,5415547.0
country/IRQ,2014,5301469.399999999
country/IRQ,2015,375893227.8
country/IRQ,2016,456673601.26
country/IRQ,2017,86015791.2
country/IRQ,2018,48973020.9
country/IRQ,2019,62105138.6
country/IRQ,2020,73074161.4625
country/IRQ,2021,123759741.2945
country/JAM,2013,104457.8
country/JAM,2014,368495.64
country/JAM,2015,174411.6
country/JAM,2016,2870634.8
country/JAM,2017,14242657.6
country/JAM,2018,12666424.129999999
country/JAM,2019,1092768.52
country/JAM,2020,1192884.982
country/JAM,2021,10255520.664
country/JOR,2013,11827998.4
country/JOR,2014,5463511.4
country/JOR,2015,101810620.2
country/JOR,2016,194369980.96276882
country/JOR,2017,163297126.6173694
country/JOR,2018,137934087.35949686
country/JOR,2019,231101210.8042
country/JOR,2020,52707321.717174776
country/JOR,2021,104467831.50910072
country/KAZ,2013,3648169.6
country/KAZ,2014,6384571.0
country/KAZ,2015,3471524.4
country/KAZ,2016,49701592.83461499
country/KAZ,2017,155879716.53550586
country/KAZ,2018,34362607.661718495
country/KAZ,2019,57268058.331568114
country/KAZ,2020,15501237.575657383
country/KAZ,2021,2997656.1999999997
country/KEN,2013,303149088.8
country/KEN,2014,87948121.0
country/KEN,2015,99836748.0
country/KEN,2016,88522500.78
country/KEN,2017,106026707.55394909
country/KEN,2018,191466449.49417216
country/KEN,2019,337136962.9675687
country/KEN,2020,403576437.3508405
country/KEN,2021,491422568.10124487
country/KIR,2013,2216083.4000000004
country/KIR,2014,1804262.0
country/KIR,2015,3928790.2
country/KIR,2016,840751.4
country/KIR,2017,625404.9
country/KIR,2018,1897198.0
country/KIR,2019,1901390.2
country/KIR,2020,254729.2
country/KIR,2021,1858970.5128000001
country/XKX,2013,3613988.8
country/XKX,2014,16186212.2
country/XKX,2015,14069492.6
country/XKX,2016,16100634.374275148
country/XKX,2017,18402038.70211886
country/XKX,2018,27954524.359183274
country/XKX,2019,15272874.4
country/XKX,2020,17474613.399082944
country/XKX,2021,25947255.846501593
country/KGZ,2013,6336251.600000001
country/KGZ,2014,15140881.4
country/KGZ,2015,11513069.8
country/KGZ,2016,15362618.10419109
country/KGZ,2017,16006878.19534942
country/KGZ,2018,15683452.570964446
country/KGZ,2019,13865756.386
country/KGZ,2020,7950627.78242375
country/KGZ,2021,25523435.401970506
country/LAO,2013,6671402.6
country/LAO,2014,22320729.5164
country/LAO,2015,35730932.056
country/LAO,2016,13078763.9778
country/LAO,2017,29391634.192251727
country/LAO,2018,22248199.021900002
country/LAO,2019,24282759.243320446
country/LAO,2020,16280417.471471382
country/LAO,2021,16310849.121777805
country/LBN,2013,1738377.0
country/LBN,2014,2494719.0
country/LBN,2015,3864354.2
country/LBN,2016,4591068.0
country/LBN,2017,9328218.8
country/LBN,2018,85417054.2782958
country/LBN,2019,39606779.83299885
country/LBN,2020,15081332.779622044
country/LBN,2021,15651724.8
country/LSO,2013,28050.800000000003
country/LSO,2014,45292.8
country/LSO,2015,27461.6
country/LSO,2016,705002.8
country/LSO,2017,65818.8
country/LSO,2018,2341122.38
country/LSO,2019,2294012.78
country/LSO,2020,1335434.1
country/LSO,2021,4296434.6305
country/LBR,2013,21661717.2
country/LBR,2014,33909605.2
country/LBR,2015,19357822.6
country/LBR,2016,38969484.4
country/LBR,2017,29944123.6
country/LBR,2018,16934377.17
country/LBR,2019,20925150.949999996
country/LBR,2020,44032027.64000001
country/LBR,2021,42847810.759282306
country/LBY,2014,25380.0
country/LBY,2016,1896.0
country/LBY,2017,1933.0
country/LBY,2020,32678.0
country/LBY,2021,464316.4
country/MDG,2013,6822214.4
country/MDG,2014,4961665.8
country/MDG,2015,4843245.4
country/MDG,2016,17249617.85
country/MDG,2017,13532263.79
country/MDG,2018,24544362.39
country/MDG,2019,37262630.902
country/MDG,2020,24224341.981
country/MDG,2021,47022111.51526485
country/MWI,2013,7946501.800000001
country/MWI,2014,10681234.6
country/MWI,2015,5809690.6
country/MWI,2016,5318368.4
country/MWI,2017,3848251.0
country/MWI,2018,19527978.17
country/MWI,2019,12006900.279
country/MWI,2020,9305054.804
country/MWI,2021,22281362.667122934
country/MYS,2013,1603534.2
country/MYS,2014,2651507.2
country/MYS,2015,1123393.8
country/MYS,2016,3070696.6
country/MYS,2017,1771141.8
country/MYS,2018,1618985.0
country/MYS,2019,3336402.2012300002
country/MYS,2020,2769865.4
country/MYS,2021,3308471.6
country/MDV,2013,612949.0
country/MDV,2014,2104180.0
country/MDV,2015,1885283.0
country/MDV,2016,5978030.0
country/MDV,2017,12593947.8426
country/MDV,2018,13316963.605999999
country/MDV,2019,8351435.8516999995
country/MDV,2020,2402148.5402
country/MDV,2021,1995878.2062000001
country/MLI,2013,9582851.8
country/MLI,2014,38416169.199999996
country/MLI,2015,9087670.46
country/MLI,2016,10987546.51
country/MLI,2017,6365345.0
country/MLI,2018,24903616.2696
country/MLI,2019,52437339.0794
country/MLI,2020,11852002.795228194
country/MLI,2021,49183371.379
country/MHL,2013,12696.0
country/MHL,2015,2846058.0
country/MHL,2016,400571.6
country/MHL,2017,395663.6
country/MHL,2018,4706042.75
country/MHL,2019,5652985.02
country/MHL,2020,3935062.22
country/MHL,2021,8143426.4501
country/MRT,2013,1160021.2
country/MRT,2014,187373.2
country/MRT,2015,1718131.4000000001
country/MRT,2016,1342437.2
country/MRT,2017,945372.6000000001
country/MRT,2018,1062351.044
country/MRT,2019,7263105.415
country/MRT,2020,11389595.404599998
country/MRT,2021,1446475.2337
country/MUS,2013,31807533.0
country/MUS,2014,23626543.4
country/MUS,2015,16526.0
country/MUS,2016,517340.0
country/MUS,2017,6290114.6
country/MUS,2018,3148682.8
country/MUS,2019,11801937.799999999
country/MUS,2020,6392153.2
country/MUS,2021,8418376.0
country/MEX,2013,303005734.3
country/MEX,2014,134750909.01
country/MEX,2015,75347424.26418866
country/MEX,2016,348921025.87
country/MEX,2017,345375188.8373577
country/MEX,2018,557357475.8199999
country/MEX,2019,383331857.57476735
country/MEX,2020,725359196.0671062
country/MEX,2021,428684328.50181186
country/FSM,2013,773298.0
country/FSM,2014,673751.40481796
country/FSM,2015,2640870.187266605
country/FSM,2016,7559932.920887077
country/FSM,2017,2322715.453147527
country/FSM,2018,3662101.410169753
country/FSM,2019,2574673.590937131
country/FSM,2020,2461281.04
country/FSM,2021,591371.3894
country/MDA,2013,13023628.2
country/MDA,2014,13782683.600000001
country/MDA,2015,11563623.450000001
country/MDA,2016,18717880.2
country/MDA,2017,6185547.35155632
country/MDA,2018,4868186.6
country/MDA,2019,7220455.2
country/MDA,2020,21965657.368998874
country/MDA,2021,31197605.94
country/MNG,2013,18695989.4
country/MNG,2014,9651021.8
country/MNG,2015,8545846.32171203
country/MNG,2016,41440175.487110734
country/MNG,2017,87760374.43463285
country/MNG,2018,71044486.41397381
country/MNG,2019,58971645.815463915
country/MNG,2020,24860837.048304882
country/MNG,2021,29941694.96267776
country/MNE,2013,16110861.6
country/MNE,2014,4323789.0
country/MNE,2015,7342885.4
country/MNE,2016,20098886.378877312
country/MNE,2017,46337049.68922943
country/MNE,2018,17062856.32021785
country/MNE,2019,15584683.120307155
country/MNE,2020,33100715.0108292
country/MNE,2021,16264839.5702707
country/MSR,2015,780528.0000000001
country/MSR,2016,2937901.6
country/MSR,2017,643225.6000000001
country/MSR,2018,2702996.8000000003
country/MSR,2019,1793255.6
country/MSR,2020,2282728.4
country/MSR,2021,978834.0000000001
country/MAR,2013,477037592.55
country/MAR,2014,78024066.2
country/MAR,2015,205646437.0
country/MAR,2016,596740635.8444842
country/MAR,2017,417653805.00774884
country/MAR,2018,409901294.920888
country/MAR,2019,236044386.7860543
country/MAR,2020,205678172.82169953
country/MAR,2021,127867799.04824162
country/MOZ,2013,44018053.45
country/MOZ,2014,29941049.6
country/MOZ,2015,40323382.57
country/MOZ,2016,36779776.65
country/MOZ,2017,102469989.0
country/MOZ,2018,68957820.14
country/MOZ,2019,39443821.45704451
country/MOZ,2020,74841213.97120939
country/MOZ,2021,126367719.56051083
country/MMR,2013,2673864.4
country/MMR,2014,4600738.8
country/MMR,2015,11735571.8
country/MMR,2016,53892627.47
country/MMR,2017,21359475.5575
country/MMR,2018,84378831.37
country/MMR,2019,85828411.88134754
country/MMR,2020,130065271.27100769
country/MMR,2021,28274719.65642113
country/NAM,2013,807822.6
country/NAM,2014,584767.0
country/NAM,2015,27880511.400000002
country/NAM,2016,459052.4
country/NAM,2017,4235103.8
country/NAM,2018,24620136.548934203
country/NAM,2019,7587734.6
country/NAM,2020,24104608.915613726
country/NAM,2021,10296465.4
country/NRU,2013,667947.0
country/NRU,2014,459525.4
country/NRU,2015,2497694.02
country/NRU,2016,422881.405
country/NRU,2017,325449.3271
country/NRU,2018,1015645.3160000001
country/NRU,2019,739582.0
country/NRU,2020,322898.6
country/NRU,2021,4036110.6
country/NPL,2013,7528927.0
country/NPL,2014,12101932.6
country/NPL,2015,10422133.9
country/NPL,2016,19621164.28
country/NPL,2017,29196673.3582591
country/NPL,2018,102530779.8820904
country/NPL,2019,76040753.21104304
country/NPL,2020,114173166.05015542
country/NPL,2021,83268380.85305966
country/NIC,2013,7209417.4
country/NIC,2014,5409341.2
country/NIC,2015,9086422.4
country/NIC,2016,7991660.2
country/NIC,2017,27373444.150000002
country/NIC,2018,10591360.8
country/NIC,2019,5663426.584
country/NIC,2020,2217770.5293
country/NIC,2021,6290927.7931
country/NER,2013,4947239.2299999995
country/NER,2014,3491848.06
country/NER,2015,6157057.039999999
country/NER,2016,8154064.22
country/NER,2017,22687336.88
country/NER,2018,29593429.23
country/NER,2019,78163555.2403
country/NER,2020,27915535.2399
country/NER,2021,39185774.056099996
country/NGA,2013,53566842.6
country/NGA,2014,7249691.399999999
country/NGA,2015,6676275.6
country/NGA,2016,31447547.6
country/NGA,2017,51130767.800000004
country/NGA,2018,54336721.800000004
country/NGA,2019,69521568.90490972
country/NGA,2020,82320542.95502777
country/NGA,2021,161350153.0034
country/NIU,2013,6636.0
country/NIU,2014,6320.8
country/NIU,2015,413380.6
country/NIU,2016,63937.8
country/NIU,2017,667188.0
country/NIU,2018,2450015.5999999996
country/NIU,2019,851638.0
country/NIU,2020,178030.0
country/MKD,2013,39762047.97884769
country/MKD,2014,54651237.38524193
country/MKD,2015,39658215.863126144
country/MKD,2016,4571710.178147283
country/MKD,2017,5053869.627093503
country/MKD,2018,4611388.232792495
country/MKD,2019,45665187.370249756
country/MKD,2020,32523858.17746676
country/MKD,2021,13288902.619864237
country/PAK,2013,52060287.2
country/PAK,2014,113704808.8
country/PAK,2015,166899253.25
country/PAK,2016,151599158.56190953
country/PAK,2017,330181066.3600238
country/PAK,2018,173435961.33124715
country/PAK,2019,349394248.5594175
country/PAK,2020,333153809.2588975
country/PAK,2021,707940909.8341223
country/PLW,2013,5101093.4
country/PLW,2014,1281712.4000000001
country/PLW,2015,4631962.0
country/PLW,2016,67387.6
country/PLW,2017,733291.4
country/PLW,2018,67782.0
country/PLW,2019,461197.6
country/PLW,2020,284762.8
country/PLW,2021,5248.400000000001
country/PAN,2013,2170333.2
country/PAN,2014,421409.95
country/PAN,2015,299025.2
country/PAN,2016,1018306.0
country/PAN,2017,50790768.02
