dcid,year,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDAfricanDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDAfricanDevelopmentFund,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDAsianDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDAustria,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDBelgium,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDCanada,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDCaribbeanDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDClimateInvestmentFunds,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDFrance,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDGermany,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDIFAD,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDInternationalDevelopmentAssociation,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDIslamicDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDItaly,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDJapan,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDKorea,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDNordicDevelopmentFund,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDPoland,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDSpain,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDUnitedArabEmirates,climateFinanceReceivedCommitmentsAdaptationOdaLoansByProviderCurrentUSDUnitedKingdom
country/KGZ,2015,,,,,,,,,,,,,1254000.0,,,39387681.199999996,,,,,,
country/KGZ,2016,,,1839285.0,,,,,,,,10161600.0,,,,,,,,,,,
country/KGZ,2018,,,25782692.0,,,,,,,,,,11260500.0,,,,,,,,,
country/KGZ,2019,,,5614500.0,,,,,,,,,,280000.0,20000000.0,,,,,,,,
country/KGZ,2020,,,,,,,,,,,,,19332650.0,,,,,,,,,
country/KGZ,2021,,,5750000.0,,,,,,,,5507080.0,,695209.1,,,,,,,,,
country/KHM,2013,,,,,,,,10000000.0,26553372.0,,,,,,,,46700000.0,,,,,
country/KHM,2014,,,19600000.0,,,,,10000000.0,,,52272000.0,,,,,6420558.0,,,,,,
country/KHM,2015,,,18400800.0,,,,,24000000.0,,,,,,,,63496313.6,,,,,,
country/KHM,2016,,,,,,,,,,,29005600.0,,58392000.0,,,,34038000.0,,,,,
country/KHM,2017,,,,,,,,,1127269.0,,8000000.0,,60000000.0,,,,,,,,,
country/KHM,2018,,,22919342.5,,,,,,36492387.6,,9652800.0,,107324000.0,,,,24634673.200000003,,,,,
country/KHM,2019,,,19555100.0,,,,,,111944476.0,,38470520.0,,59953545.23272,,,13201780.0,57199386.0,,,,,
country/KHM,2020,,,1908295.0,,,,,,85470085.0,34188034.0,,,120819000.0,,,110214832.4,,,,,,
country/KHM,2021,,,43329315.0,,,,,,23651845.0,,,,1250000.0,,,23089264.4,174649800.0,,,,,
country/LAO,2013,,,11210500.0,,,,,,,,,,,,,,,,,,,
country/LAO,2014,,,28000000.0,,,,,,,,,,,,,,,,,,,
country/LAO,2015,,,999000.0,,,,,,,,,,,,,,21223200.0,,,,,
country/LAO,2016,,,,,,,,,,,8000000.0,,19000000.0,,,37760092.4,23042000.0,6634966.0,,,,
country/LAO,2017,,,,,,,,,,,,,52604900.0011,,,,,,,,,
country/LAO,2018,,,,,,,,,,,,,25112500.0,,,,,9441756.0,,,,
country/LAO,2019,,,12524000.0,,,,,,,,6184835.0,,63512500.0,,,,,,,,,
country/LAO,2020,,,,,,,,,,,,,1909500.0,,,,,,,,,
country/LAO,2021,,,,,,,,,,,,,9089340.0,,,,,,,,,
country/LBN,2014,,,,,,,,,,3715006.0,,,,,,,,,,,,
country/LBN,2017,,,,,,,,,,,3440000.0,,,,,,,,,,,
country/LBR,2015,,,,,,,,,,,26000000.0,,,,,,,,,,,
country/LBR,2017,,,,,,,,,,,,,7501500.0,,,,,,,,,
country/LBR,2018,,,,,,,,,,,9530400.0,,7484400.0,,,,,,,,,
country/LBR,2019,,,,,,,,,,,,,3135000.0,,,,,,,,,
country/LBR,2020,,,,,,,,,,,,,4230000.0,,,,,,,,,
country/LBR,2021,,5585725.6,,,,,,,,,,,11011790.0,,,,,,,,,
country/LCA,2014,,,,,,,,30000000.0,,,,,41000000.0,,,,,,,,,
country/LCA,2016,,,,,,,,,,,,,1619999.99,,,,,,,,,
country/LCA,2017,,,,,,,,1608000.0,,,,,,,,,,,,,,
country/LCA,2018,,,,,,,,,,,,,1270000.0,,,,,,,,,
country/LCA,2019,,,,,,,,,,,,,2654400.0,,,,,,,,,
country/LCA,2020,,,,,,,,,,,,,18379000.0,,,,,,,,,
country/LCA,2021,,,,,,,,,,,,,6374430.0,,,,,,,,,
country/LKA,2013,,,,,,,,,,,,,,,,52402372.800000004,,,,,,
country/LKA,2014,,,15000000.0,,,,,,,,,,110000000.0,,,,,,,,,
country/LKA,2015,,,37000000.0,,,,,,,,36069600.0,,,,,,,,,,,
country/LKA,2016,,,10352000.7,,,,,,141545947.0,,,,99575000.0,,,85060389.2,,,,,,
country/LKA,2017,,,2676000.0,,,,,,,,31902678.4,,,,,113421718.8,,,,,,
country/LKA,2018,,,,,,,,,,,,,2960000.0,,,,,,,,,
country/LKA,2019,,,,,,,,,83958357.0,,,,115462500.0,,,,,,,,,
country/LKA,2020,,,,,,,,,,,,,46755055.370621,,,,,,,,,
country/LKA,2021,,,,,,,,,,,,,1954446.269347,,,,10972800.0,,,,,
country/LSO,2014,,,,,,,,,,,8127000.0,,,,,,,,,,,
country/LSO,2017,,,,,,,,,,,,,439200.0,,,,,,,,,
country/LSO,2018,,,,,,,,,,,,,4000000.0,,,,,,,,,
country/LSO,2019,,,,,,,,,,,2500000.0,,54025600.0,,,,,,,,,
country/LSO,2021,,,,,,,,,,,4496030.0,,1551445.71,,,,,,,,,
country/MAR,2013,,,,,,,,,,22304832.8,,,,,,,,,,,,
country/MAR,2014,,,,,,,,,,,51010000.0,,,,,,,,,,,
country/MAR,2016,,,,,,,,,37598142.0,8846621.6,,,,,,,,,,,,
country/MAR,2017,,,,,,,,,56363431.0,,,,,,,19150834.8,,,,,,
country/MAR,2018,,,,,,,,,,48152956.8,,,,,,,,,,,,
country/MAR,2019,,,,,,,,,111944476.0,14991604.4,,,,,,,,,,,,
country/MAR,2020,,,,,,,,,45584045.6,34188034.0,,,,,,,,,,,,
country/MAR,2021,,,,,,,,,165562913.60000002,,,,,,,,,,,,,
country/MDA,2013,,,,,,,,,,,22539941.2,,9782000.0,,,,,,,,,
country/MDA,2015,,,,,,,,,,,,,24000000.0,,,,,,,,,
country/MDA,2016,,,,,,,,,,,36400000.0,,1452480.0,,,,,,,,,
country/MDA,2017,,,,,,,,,,,,,10430720.0,,,,,,,,,
country/MDA,2018,,,,,,,,,,,,,9550000.0,,,,,,,,,
country/MDA,2020,,,,,,,,,,,6196387.0,,1418400.0,,,7714326.4,,,,,,
country/MDA,2021,,,,,,,,,,,,,950000.0,,,,,,,,,
country/MDG,2013,,9718500.0,,,,,,,,,,,,,,,,,,,,
country/MDG,2014,,,,,,,,,,,,,2112500.0,,,,,,,,,
country/MDG,2015,,,,,,,,,,,102794164.0,,,,,,,,,,,
country/MDG,2016,,,,,,,,,51973903.0,,8800532.4,,2120000.0,,,,,,,,,
country/MDG,2017,,,,,,,,,,,25716315.2,,50388000.0,,,,,,,,,
country/MDG,2018,,400025.46150000003,,,,,,,,,,,56267500.0,,,,,,,,,
country/MDG,2019,,,,,,,,,11194448.0,,,,15022000.0,,,,,,,,,
country/MDG,2020,,21694110.505999997,,,,,,,,,,,38433000.0,,,,,,,,,
country/MDG,2021,,,,,,,,,,,14534760.0,,107483250.0,,,,,,,,,
country/MDV,2015,,,,,,,,,,,,,,,,,,,,,6000000.0,
country/MDV,2019,,,,,,,,,,,,,5028500.0,,,,,,,,,
country/MDV,2020,,,3553530.0,,,,,,,,2378350.0,,6530925.0,,,,,,,,,
country/MDV,2021,,,,,,,,,,,,,,,,,,,,,5600000.0,
country/MEX,2013,,,,,,,,3600000.0,,,,,,,,,,,,,,
country/MEX,2014,,,,,,,,,132678785.0,,,,,,,,,,,,,
country/MEX,2015,,,,,,,,,,44370493.6,,,,,,,,,,,,
country/MEX,2017,,,,,,,,,90181490.0,,,,,,,,,,,,,
country/MEX,2019,,,,,,,,,,53733348.0,,,,,,,,,,,,
country/MEX,2021,,,,,,,,,152181976.4,,,,,,,,,,,,,
country/MKD,2019,,,,,,,,,,35822232.0,,,,,,,,,,,,
country/MLI,2013,,,,,,,,,,,23258771.200000003,,8386500.0,6421000.0,,,,,,,,
country/MLI,2015,,,,,,,,,29950083.0,,,,9657000.0,,,,,,,,9000000.0,
country/MLI,2017,,36296910.0,,,,,,,,,,,20192765.0943,,,,,,,,,
country/MLI,2018,,,,,,,,,,,18291658.4,,38996200.0,,,,,,,,,
country/MLI,2019,,8892630.18223407,,,,,,,,,,,12978000.0,,,,,,,,,
country/MLI,2020,,24839446.256,,,,,,,96866097.0,,8857062.102,,1500000.0,,,,,,,,,
country/MLI,2021,,,,,,,,,,,,,55769617.2490174,,,,,,,,,
country/MMR,2014,,,,,,,,,,,26216447.6,,11850000.0,,,145692624.0,,,,,,
country/MMR,2015,,,,,,,,,,,38589740.0,,49000000.0,,,,24520000.0,,,,,
country/MMR,2016,,,,,,,,,,,,,91880000.0,,,,,,,,,
country/MMR,2017,,,25890000.0,,,,,,28181716.0,,23334640.0,,,,,53965347.6,,,,,,
country/MMR,2018,,,29190350.0,,,,,,,,7187200.0,,,,,110357142.4,,,58668712.0,,,
country/MMR,2019,,,72159240.0,,,,,,,,,,19000000.0,,,,,,,,,
country/MMR,2020,,,19759480.0,,,,,,,,,,135030000.0,,,559114444.8,,,,,,
country/MNE,2015,,,,,,,,,,12778702.0,,,,,,,,,,,,
country/MNE,2017,,,,,,,,,,15781760.8,8248766.0,,,,,,,,,,,
country/MNE,2021,,,,,,,,,23651844.8,,,,,,,,,,,,,
country/MNG,2016,,,,,,,,,,,7248000.0,,,,,,,,,,,
country/MNG,2018,,,15000000.0,,,,,,,,,,,,,,,,,,,
country/MNG,2019,,,5349300.0,,,,,,,,,,12879000.0,,,,,,,,,
country/MNG,2020,,,16020001.529168002,,,,,,,,,,284000.0,,,,14823000.0,,,,,
country/MNG,2021,,,,,,,,,,,,,880494.0,,,,,,,,,
country/MOZ,2013,,,,,,,,26000000.0,,,,,44831160.0,,,,,,,,,
country/MOZ,2014,,,,,,,,,,,,,10750000.0,,,,,,,,,
country/MOZ,2015,,,,,,,,,,,,,40528800.0,,,,,,,,,
country/MOZ,2016,,,,,,,,20000000.0,,,,,3460000.0,,,,,,,,,
country/MOZ,2017,,,,,,,,,,,,,16848000.0,,,,,,,,,
country/MOZ,2019,,,,,,,,,,,,,,648878.6347526169,,,,,,,,
country/MOZ,2021,,,,,,,,,,,,,31467000.0,,,,,,,,,
country/MRT,2013,,460000.0,,,,,,,,,,,1491000.0,4810000.0,,,,,,,,
country/MRT,2019,,10777494.0,,,,,,,,,,,,,,,,,,,,
country/MRT,2020,,,,,,,,,,,131460.0,,,,,,,,,,,
country/MRT,2021,,,,,,,,,,,,,410052.39999999997,474400.0,,,,,,,,
country/MWI,2013,,,,,,,,,,,,,23516660.0,,,,,,,,,
country/MWI,2015,,2484000.0,,,,,,,,,52966000.0,,4506832.6,,,,,,,,,
country/MWI,2016,,,,,,,,,,,,,22800000.0,,,,,,,,,
country/MWI,2017,,,,,,,,,,,16800000.0,,194026500.0,,,,,,,,,
country/MWI,2019,,46890389.28,,,,,,,,,,,7218000.0,,,,,,,,,
country/MWI,2020,,5946257.04,,,,,,,,,,,95046750.0,,,,,,,,,
country/MWI,2021,,,,,,,,,,,,,41564219.1600621,,,,,,,,,
country/NAM,2015,,,,,,,,,,13311146.8,,,,,,,,,,,,
country/NAM,2017,,,,,,,,,,13527224.4,,,,,,,,,,,,
country/NER,2013,,,,,,,,,,,,,100000000.0,7940000.0,,,,,,,,
country/NER,2015,,,,,4481420.0,,,,28840821.0,,38800766.624803245,,9657000.0,,,,,,,,,
country/NER,2016,,,,,,,,,,,24245060.687598377,,96570000.0,,,,,,,,,
country/NER,2017,,,,,,,,,33818059.0,,,,6178125.0,,,,,,,,,
country/NER,2018,,,,,,,,19194000.0,,,5000000.0,,17518183.63276,,,,,,,,,
country/NER,2019,,76884690.98644209,,,8955558.0,,,,,,,,61976500.0,,,,,,,,,
country/NER,2020,,19530530.61,,,,,,,45584046.0,,724405.3423580786,,73191000.0,,,,,,,,,
country/NER,2021,,1322335.04,,,,,,,18921476.0,,724450.0,,219878147.6690174,,,,,,,,,
country/NGA,2013,,,,,,,,,,,140056478.0,,,,,,,,,,,
country/NGA,2014,,,,,,,,,,,,,244577002.817,,,,,,,,,
country/NGA,2015,,,,,,,,,29356628.0,,,,,,,,,,,,,
country/NGA,2016,,,,,,,,,,,,,1000000.0,,,,,,,,,
country/NGA,2017,,,,,,,,,,,48000000.0,,61809000.0,,,,,,,,,
country/NGA,2018,,,,,,,,,,,67276106.15046862,,408158000.0,,,,,,,,,
country/NGA,2019,,14814494.541,,,,,,,,,17671493.849531382,,6547500.0,992462.6211452858,,,,,,,,
country/NGA,2020,,,,,,,,,227920228.0,,,,548584000.0,,,,,,,,,
country/NGA,2021,,,,,,,,,,,16912170.0,,887967394.0,,,,,,,,,
country/NIC,2013,,,,,,,,,,,16120348.0,3660000.0,,,,,,,,,,
country/NIC,2014,,,,,,,,,,,,,9401000.0,,,,,,,,,
country/NIC,2016,,,,,,,,,,,16403200.0,1218000.0,8040000.0,,,,,,,,,
country/NIC,2017,,,,,,,,,,,,4636800.0,23474000.0,,,,8400000.0,,,,,
country/NIC,2018,,,,,,,,,,,,,17205500.0,,,,,,,,,
country/NIC,2020,,,,,,,,,,,,,1900000.0,,,,,,,,,
country/NIC,2021,,,,,,,,,,8514664.0,,,76591280.0,,,,,,,,,
country/NPL,2013,,,77200000.0,,,,,,,,,,,,,,,,,,,
country/NPL,2014,,,54260000.0,,,,,,,,,,,,,,,,,,,
country/NPL,2015,,,35000000.0,,,,,28800000.0,,,,,171300000.0,,,,,,,,,
country/NPL,2016,,,,,,,,,,,,,30800000.000000004,,,,,,,,,
country/NPL,2017,,,81197034.92145,,,,,,,,30560000.0,,289376000.0,,,,,,,,,
country/NPL,2018,,,38807239.68,,,,,,,,,,131019800.0,,,,,,,,,
country/NPL,2019,,,19659000.0,,,,,,,,,,17500000.0,,,,,,,,,
country/NPL,2020,,,7949000.0,,,,,,,,75007574.75,,437345000.0,,,,,,,,,
country/NPL,2021,,,498000.0,,,,,,,,,,19558455.0,,,,,,,,,
country/PAK,2013,,,,,,,,,,,48306728.400000006,,,,,,,,,,,
country/PAK,2014,,,5778000.0,,,,,,,,,,208999665.024,,,,,,,,,
country/PAK,2015,,,,,,,,,,,93800000.0,,268024300.0,,,,,,,,,
country/PAK,2016,,,45500000.0,,,,,,,,,,165120000.0,,,,,,,,,
country/PAK,2017,,,,,,,,,,,86080000.0,,7568000.0,,,,,,,,,
country/PAK,2018,,,40700.0,,,,,,,,29200000.0,,461075600.0,,,,,,,,,
country/PAK,2019,,,2530000.0,,,,,,105239001.0,,,,202872900.0,,,,,,,,,
country/PAK,2020,,,,,,,,,,,8861490.0,,363075100.0,,,,,,,,,
country/PAK,2021,,,,,,,,,30747398.400000002,,17226220.0,,231458448.0,,,,,,,,,
country/PAN,2019,,,,,,,,,19940234.0,,,,,,,,,,,,,
country/PER,2013,,,,,,,,,,5310674.4,,,,,,20813394.8,,,,,,
country/PER,2014,,,,,,,,,,,,,,,,103847517.0,,,,,,
country/PER,2015,,,,,,,,,,6655574.0,,,,,,,,,,,,
country/PER,2016,,,,,,,,,,9473447.200000001,,,,,,,,,,,,
country/PER,2017,,,,,,,,,,6763611.600000001,,,,,,,,,,,,
country/PER,2018,,,,,,,,,,28325268.400000002,,,,,,,,,,,,
country/PHL,2013,,,,,,,,,,,,,,,,,96052000.0,,,,,
country/PHL,2014,,,,,,,,,,,,,,,,472377713.0,,,,,,
country/PHL,2015,,,,,,,,,,,,,,,,38267041.199999996,,,,,,
country/PHL,2016,,,,,,,,,55291386.0,,8280000.0,,,,,,,,,,,
country/PHL,2017,,,,,,,,,112726863.0,,,,,,,114766953.2,,,,,,
country/PHL,2019,,,,,,,,,,,,,,,,139042366.4,,,,,,
country/PHL,2020,,,,,,,,,,,,,,,,781039017.6000001,,,,,,
country/PHL,2021,,,,,,,,,295648061.0,,,,,,,,56613000.0,,,,,
country/PNG,2014,,,3229000.0,,,,,,,,,,,,,,,,,,,
country/PNG,2016,,,2501270.0,,,,,,,,,,,,,,,,,,,
country/PNG,2017,,,4998654.414189,,,,,,,,20400000.0,,7728000.0,,,,,,,,,
country/PNG,2020,,,,,,,,,,,,,14760000.0,,,,,,,,,
country/PNG,2021,,,8012000.0,,,,,,,,,,7138000.0,,,,,,,,,
country/PRY,2017,,,,,,,,,,,8400000.0,,,,,,,,,,,
country/RWA,2013,,,,,,,,,,,26937414.0,,,,,,,,,,,
country/RWA,2016,,,,,,,,,,,34895040.0,,19686000.0,,,,,,,,,
country/RWA,2017,,,,,,,,,,,9040000.0,,38762000.0,,,,,,,,,
country/RWA,2018,,,,,,,,,,,6800000.0,,16200000.0,,,,,,,,,
country/RWA,2019,,,,,,,,,,,2736414.0,,37250000.0,,,,,4477779.0,,,,
country/RWA,2020,,30643202.4,,,,,,2380000.0,,,,,56565000.0,,,,,,,,,
country/RWA,2021,,,,,,,,,,,4725100.0,,8898440.0,,,,,,,,,
country/SDN,2015,,,,,244228.40000000002,,,,,,,,,,,,,,,,,
country/SEN,2013,,23496400.0,,,,,,,,,48575800.0,,1228500.0,17470000.0,,,,,,,,
country/SEN,2014,,,,,,,,,39803635.0,,,,,,,,,,,,,
country/SEN,2015,,30705000.0,,,,,,,75429839.0,,,,40055500.0,,,,,,,,,
country/SEN,2016,,,,,,,,,101736150.0,,,,18187000.0,,,100964406.4,,,,,,
country/SEN,2017,,,,,,,,,61999775.0,,4654416.12,,68947300.0,,,,,,,,,
country/SEN,2018,,14171197.620000003,,,,,,,4720878.0,,37034557.6,,65126000.0,,,,,4720878.0,,,,
country/SEN,2019,,,,,,,,,16791671.0,,6273327.529999999,,11945500.0,,,,,,,,,
country/SEN,2020,,,,,,,,,,,,,26487600.02684,,,,,,,,,
country/SEN,2021,,,,,,,,,87038789.6,,,,37405212.0693964,1400000.0,,26124832.0,,,,,,
country/SLB,2014,,,1500000.0,,,,,,,,,,,,,,,,,,,
country/SLB,2015,,,,,,,,,,,3178000.0000000005,,,,,,,,,,,
country/SLB,2018,,,,,,,,,,,,,263625.0,,,,,,,,,
country/SLB,2019,,,9112000.0,,,,,,,,,,18441200.0,,,,,,,,,
country/SLB,2021,,,405372.0,,,,,,,,,,125505.0,,,,,,,,,
country/SLE,2013,,5376666.66666667,,,,,,,,,,,,,,,,,,,,
country/SLE,2016,,363381.0,,,,,,,,,,,1458000.0,,,,,,,,,
country/SLE,2018,,,,,,,,,,,7713743.062301684,,,,,,,,,,,
country/SLE,2019,,4331723.55,,,,,,,,,,,,,,,,,,,,
country/SLE,2020,,,,,,,,,,,,,,3380000.0,,,,,,,,
country/SLE,2021,,,,,,,,,,,2518450.0,,,,,,,,,,,
country/SLV,2014,,,,,,,,,,,,,,,,47596778.400000006,,,,,,
country/SLV,2016,,,,,,,,,,,,,,,,45954742.0,,,,,,
country/SLV,2019,,,,,,,,,,12313892.0,,,,,,,32200000.0,,,,,
country/SLV,2021,,,,,,,,,,,,,,,,,14000000.0,,,,,
country/SRB,2014,,,,,,,,,,,,,,,,,,,,,38800000.0,
country/SRB,2015,,,,,,,,,,6655574.0,,,,,,,,,,,,
country/SRB,2021,,,,11729615.600000001,,,,,23651844.8,,,,,,,,,,,,,
country/SSD,2021,,,,,,,,,,,827920.0,,,,,,,,,,,
country/STP,2015,,1996710.0,,,,,,,,,,,,,,,,,,,,
country/STP,2020,,,,,,,,,,,164870.88,,,,,,,,,,,
country/SUR,2015,,,,,,,,,13865779.0,,,,,,,,,,,,,
country/SYC,2013,,,,,,,,,,,4199403.6,,,,,,,,,,,
country/TCD,2013,,,,,,,,,,,,,,7000000.0,,,,,,,,
country/TCD,2019,,6632304.0,,,,,,,,,,,,,,,,,,,,
country/TCD,2020,,,,,,,,,,,499935.00000000006,,,,,,,,,,,
country/TCD,2021,,,,,,,,,,,868800.0,,,,,,,,,,,
country/TGO,2017,,,,,,,,,,,,,8660400.0,,,,,,,,,
country/TGO,2018,,11310519.16764,,,,,,,,,3000000.0,,35550000.0,,,,,,,,,
country/TGO,2019,,5526920.0,,,,,,,,,,,1047600.0,,,,,,,,,
country/TGO,2020,,2973172.7175000003,,,,,,,45584046.0,,5298053.6,,1500000.0,,,,,,,,,
country/TGO,2021,,,,,,,,,,,,,46526045.5,,,,,,,,,
country/TJK,2014,,,,,,,,30000000.0,,,,,,,,,,,,,,
country/TJK,2015,,,,,,,,,,,17400000.0,,5917500.0,,,,,,,,,
country/TJK,2016,,,5088840.0,,,,,,,,,,,,,,,,,,,
country/TJK,2017,,,,,,,,,,,12264000.0,,17840000.0,,,,,,,,,
country/TJK,2021,,,,,,,,,,,6744750.0,,,,,,,,,,,
country/TLS,2013,,,,,,,,,,,,,1250000.0,,,,,,,,,
country/TLS,2016,,,4999755.0,,,,,,,,,,,,,,,,,,,
country/TLS,2018,,,1110000.0,,,,,,,,,,,,,,,,,,,
country/TLS,2019,,,,,,,,,,,,,27730000.0,,,,,,,,,
country/TLS,2020,,,,,,,,,,,,,14455000.0,,,,,,,,,
country/TLS,2021,,,4119800.0,,,,,,,,,,,,,,,,,,,
country/TON,2014,,,,,,,,,,,,,3780000.0,,,,,,,,,
country/TON,2015,,,,,,,,,,,,,8250000.0,,,,,,,,,
country/TON,2016,,,,,,,,,,,,,2714200.0,,,,,,,,,
country/TON,2017,,,375062.71244399995,,,,,,,,1198293.6,,,,,,,,,,,
country/TUN,2013,,,,,,,,,,3983006.0,,,,,,44557387.60000001,,,,,,
country/TUN,2014,,,,,,,,,39803635.0,,27299820.8,,,,,39294267.6,,,,,,
country/TUN,2015,,,,,,,,,,42684414.2,,,,,,,,,,,,
country/TUN,2016,,,,,,,,,55291386.0,100409156.0,,,,,,,,,,,,
country/TUN,2017,22771.51174909112,,,,,,,,67636118.0,4509074.4,,,,,,130771925.60000001,,,,,,
country/TUN,2018,,,,,,,,,,70813171.2,,,,,,,,,,,,
country/TUN,2019,,,,,,,,,,21157505.8,,,,,,,,,,,,
country/TUN,2020,,,,,,,,,43304843.0,157834758.0,,,,,,,,,,,,
country/TUN,2021,,,,,,,,,18921476.0,,,,,,,,,,,,,
country/TUR,2017,,,,,,,,,,,32726211.200000003,,,,,,,,,,,
country/TUR,2020,,,,,,,,,56752137.0,,,,,,,,,,,,,
country/TUR,2021,,,,,,,,,29801324.400000002,,,,,,,163986250.8,,,,,,
country/TZA,2013,,,,,,,,,,,,,,,,45504196.400000006,,,,,,
country/TZA,2015,,6328889.999999999,,,,,,,,,161848670.0,,18104000.0,,,,,,,,,
country/TZA,2016,,,,,,,,,,,,,46010000.0,,,,,,,,,
country/TZA,2017,,,,,,,,,,,,,154902500.0,,,,,,,,,
country/TZA,2018,,6520053.8736,,,,,,,,,,,49308000.0,,,,,,,,,
country/TZA,2019,,6217785.0,,,,,,,,,,,281295000.0,,,,,,,,,
country/TZA,2020,,40574746.44,,,,,,,34188034.0,,14104460.0,,49200000.00000001,,,,,,,,,
country/TZA,2021,,,,,,,,,,,,,217607610.0,,,,,,,,,
country/UGA,2013,,,,,,,,,,,,,,20000000.0,,,,,,,,
country/UGA,2014,,,,,,,,,,,100400000.0,,3120000.0,,,,,,,,,
country/UGA,2016,,,,,,,,,,,,,960000.0,,,,,,,,,
country/UGA,2018,,56479572.957,,,,,,,,,60656000.0,,83432400.0,,,,,,,,,
country/UGA,2019,,30398060.0,,,,,,,,,22298860.0,,,,,,,,,,,
country/UGA,2020,,,,,,,,,,,,,280359320.0,1429999.9999999998,,,,,,,,
country/UGA,2021,,37421511.66,,,,,,,32639546.0,,,,1749947.5,,,,,,,,,
country/UKR,2015,,,,,,,,,,7542984.0,,,,,,357656011.6,,,,,,
country/UKR,2021,,,,,,,,,,10193945.200000001,,,,,,,,,,,,
country/UZB,2013,,,2000999.9999999998,,,,,,,,,,,,,,,,,,,
country/UZB,2014,,,,,,,,,,,,,242500000.0,,,,,,,,,
country/UZB,2015,,,,,,,,,,,,,9205000.0,,,,,,,,,
country/UZB,2017,,,50005432.98015,,,,,,,,36960000.0,,54983247.192,,,,,,,,,
country/UZB,2018,,,87593500.0,,,,,,,,,,38000000.0,,,,,,,,,
country/UZB,2019,,,72742160.0,,,,,,,,10997335.0,,21911600.0,,,,,,,,,
country/UZB,2020,,,16998800.0,,,,,,,,,,80779700.0,,,,,,,,,
country/UZB,2021,,,,,,,,,47303689.6,,,,63670023.800000004,,,,,,,,,
country/VCT,2014,,,,,,,,,,,,,35600000.0,,,,,,,,,
country/VCT,2017,,,,,,,,,,,,,2875250.0,,,,,,,,,
country/VCT,2018,,,,,,,,,,,,,10000.0,,,,,,,,,
country/VCT,2019,,,,,,,980000.0,,,,,,11804400.0,,,,,,,,,
country/VCT,2020,,,,,,,,,,,,,14628800.0,,,,,,,,,
country/VCT,2021,,,,,,,,,,,,,29119760.0,,,,,,,,,
country/VNM,2013,,,168448000.0,,591078.0,,,,,,75500592.2,,15000000.0,,,180565831.2,,,,,,
country/VNM,2014,,,40000000.0,,,,,,,,13999860.0,,151200000.0,,,113400883.6,,,,,,
country/VNM,2015,,,12688000.0,,,,,,20854132.0,12308374.8,14000000.0,,182037800.0,,,87360322.80000001,76934000.0,,,,,
country/VNM,2016,,,3150000.0,,,,,,57890081.0,,34000000.0,,470125000.0,,,77082646.00000001,,,,,,
country/VNM,2017,,,,,,,,,,,,,363648940.0,,,174561052.4,,,,,,
country/VNM,2018,,,178476400.0,,,,,,,,,,34184000.0,,,,,,,,,
country/VNM,2019,,,15010612.0,,,,,,,,,,112612000.0,,,,,,,,,
country/VNM,2020,,,,,,,,,140170940.0,,,,37980000.0,,,47751265.2,,,,,,
country/VNM,2021,,,,,,,,,29150899.0,,,,3081311.1109719994,,,98510185.0,,,,,,
country/VUT,2015,,,,,,,,,,,,,18636000.0,,,15199711.200000001,,,,,,
country/VUT,2016,,,503401.5,,,,,,,,,,25000000.0,,,,,,,,,
country/VUT,2017,,,,,,,,,,,,,8987000.0,,,,,,,,,
country/VUT,2020,,,,,,,,,,,,,35500000.0,,,,,,,,,
country/VUT,2021,,,,,,,,,,,,,23400000.0,,,,,,,,,
country/WSM,2016,,,,,,,,,,,,,1000000.0,,,,,,,,,
country/XKX,2016,,,,,,,,,,,,,24500000.0,,,,,,,,,
country/XKX,2018,,,,,,,,,,,,,2062500.0,,,,,,,,,
country/XKX,2020,,,,,,,,,,,,,21739160.0,,,,,,,,,
country/XKX,2021,,,,,,,,,,,,,1848575.03047,,,,,,,,,
country/ZAF,2013,,,,,,,,,269308345.0,,,,,,,,,,,,,
