dcid,year,healthExpenditureCurrentUSD
country/DZA,2000,1911648470.4371238
country/DZA,2001,2101027609.3193233
country/DZA,2002,2117197412.4612992
country/DZA,2003,2443795406.290912
country/DZA,2004,3024238523.382734
country/DZA,2005,3338635586.172294
country/DZA,2006,3926386397.439475
country/DZA,2007,5158038165.080153
country/DZA,2008,7185248529.79431
country/DZA,2009,7353684576.992296
country/DZA,2010,8249251539.100448
country/DZA,2011,10535990042.211721
country/DZA,2012,12544612897.928226
country/DZA,2013,12660299943.050385
country/DZA,2014,13998599407.910366
country/DZA,2015,11582847332.593378
country/DZA,2016,10574236543.688437
country/DZA,2017,10681057076.787855
country/DZA,2018,10810871505.093687
country/DZA,2019,10700290530.36894
country/DZA,2020,9335668079.648643
country/AGO,2000,213124235.6250107
country/AGO,2001,490039328.83007556
country/AGO,2002,508927892.251296
country/AGO,2003,631989966.8941057
country/AGO,2004,934357049.0306523
country/AGO,2005,1054482314.5344188
country/AGO,2006,1406710967.9991992
country/AGO,2007,1941278482.2242937
country/AGO,2008,2942054311.4020667
country/AGO,2009,2701630056.2641673
country/AGO,2010,2258479353.689669
country/AGO,2011,2957518051.0939775
country/AGO,2012,3067827169.9387574
country/AGO,2013,3736044891.661033
country/AGO,2014,3546821811.7367578
country/AGO,2015,3027767891.230927
country/AGO,2016,2743640984.3816414
country/AGO,2017,3409088292.2505174
country/AGO,2018,2623824328.5061865
country/AGO,2019,2244670576.5314555
country/AGO,2020,1696249103.2559195
country/BWA,2000,337273174.3387299
country/BWA,2001,337968105.52405924
country/BWA,2002,349258867.8546358
country/BWA,2003,463942670.6720988
country/BWA,2004,519015419.1669925
country/BWA,2005,498454304.8712562
country/BWA,2006,483956288.9662626
country/BWA,2007,583337589.1949418
country/BWA,2008,632849019.9327902
country/BWA,2009,669924101.9644377
country/BWA,2010,792001836.5099633
country/BWA,2011,886865434.070204
country/BWA,2012,883135919.3654885
country/BWA,2013,927539570.0298355
country/BWA,2014,909705326.5967889
country/BWA,2015,825765982.7419451
country/BWA,2016,870022132.8259485
country/BWA,2017,1067752449.5347434
country/BWA,2018,1028744479.1531352
country/BWA,2019,1022117974.2317338
country/BWA,2020,923667901.1493708
country/BFA,2000,87574732.26008703
country/BFA,2001,92149197.07703148
country/BFA,2002,107624725.11815406
country/BFA,2003,149005783.4586794
country/BFA,2004,229909144.6346961
country/BFA,2005,242848284.8883475
country/BFA,2006,295580830.3449586
country/BFA,2007,399109895.0009176
country/BFA,2008,439284502.3525075
country/BFA,2009,480245858.3097068
country/BFA,2010,529701979.20748025
country/BFA,2011,561574515.6736814
country/BFA,2012,578142366.9984453
country/BFA,2013,747948914.4347256
country/BFA,2014,697188763.93578
country/BFA,2015,607217401.9475499
country/BFA,2016,764177126.809438
country/BFA,2017,854361301.4093406
country/BFA,2018,795374085.2430844
country/BFA,2019,860499111.4833212
country/BFA,2020,1166030566.657459
country/BDI,2000,53763328.10288529
country/BDI,2001,56150668.22708006
country/BDI,2002,53414582.4734376
country/BDI,2003,49531543.70300753
country/BDI,2004,70476180.00045417
country/BDI,2005,94102089.99573587
country/BDI,2006,126603066.42182699
country/BDI,2007,143496906.91605088
country/BDI,2008,148859934.1523125
country/BDI,2009,183767870.87246728
country/BDI,2010,229151463.06650892
country/BDI,2011,225146328.7226231
country/BDI,2012,198953816.9045268
country/BDI,2013,209302243.33090985
country/BDI,2014,195109047.62007347
country/BDI,2015,195273463.1374595
country/BDI,2016,212247066.5588205
country/BDI,2017,230964909.30016685
country/BDI,2018,224712779.87157696
country/BDI,2019,197001816.74854264
country/BDI,2020,200658869.1433432
country/BEN,2000,109215059.19184232
