dcid,year,climateFinanceProvidedCommitmentsCrossCuttingOtherOfficialFlowsCurrentUSD
Earth,2013,357061780.9039796
Earth,2014,588895270.8666484
Earth,2015,159756437.75130895
Earth,2016,274370100.6262151
Earth,2017,693331942.7545575
Earth,2018,1278106189.1714387
Earth,2019,1256784628.4129457
Earth,2020,188243386.17692184
Earth,2021,804391880.9477285
country/AUT,2019,10000000.0
country/CAN,2020,387712.4
country/FIN,2019,5612000.800000001
country/FRA,2018,944175.6000000001
country/ITA,2020,79767075.0
country/ITA,2021,59129610.0
country/NOR,2020,100724.40000000001
country/USA,2019,42000000.0
country/USA,2021,104819544.0
