dcid,year,climateFinanceProvidedDisbursementsMitigationEquityInvestmentCurrentUSD
Earth,2013,88410083.57393159
Earth,2014,63783744.873931594
Earth,2015,32059203.505273502
Earth,2016,108338599.10015704
Earth,2017,114622464.33259366
Earth,2018,240891159.397367
Earth,2019,338144677.1120339
Earth,2020,329309129.2973397
Earth,2021,355980681.92128944
country/AUT,2014,89369.0
country/AUT,2015,2727019.0
country/AUT,2016,1496993.0
country/AUT,2017,5449233.0
country/AUT,2018,7240244.0
country/AUT,2019,4565441.0
country/AUT,2020,2850478.0
country/AUT,2021,2956784.0
country/DNK,2016,8141749.0
country/DNK,2017,6697046.4
country/FIN,2013,1280763.0
country/FIN,2014,26375246.0
country/FIN,2015,8487198.0
country/FIN,2016,3209749.8000000003
country/FIN,2017,3611043.4000000004
country/FIN,2018,7210693.000000001
country/FIN,2019,11084245.0
country/FIN,2020,48067287.6
country/FIN,2021,53009818.6
country/FRA,2018,95579812.0
country/FRA,2019,44281563.8
country/FRA,2020,36308624.2
country/FRA,2021,71190694.0
country/DEU,2013,46999468.2
country/DEU,2014,22290036.2
country/DEU,2015,6779126.0
country/DEU,2016,51830838.8
country/DEU,2017,58809712.0
country/DEU,2018,31491126.0
country/DEU,2019,150169914.6
country/DEU,2020,100554144.8
country/DEU,2021,98556906.0
country/JPN,2015,1573964.0
country/JPN,2016,4294529.0
country/JPN,2017,4968448.0
country/JPN,2018,256206.0
country/JPN,2019,4757826.0
country/JPN,2020,6659594.0
country/JPN,2021,11173709.0
country/NOR,2013,32897682.4
country/ESP,2013,537951.0
country/ESP,2014,1801676.0
country/ESP,2015,6305087.0
country/ESP,2016,5717046.0
country/ESP,2017,7560408.0
country/ESP,2018,3532141.0
country/CHE,2013,5925281.0
country/CHE,2014,9858940.0
country/CHE,2016,8253781.600000001
country/CHE,2018,3067798.0
country/CHE,2019,3018716.0
country/CHE,2020,3194888.0
country/CHE,2021,7439825.2
country/GBR,2015,3882231.0
country/GBR,2017,6993396.0
country/GBR,2018,8999241.0
country/GBR,2019,65556186.2
country/GBR,2020,78916098.4
country/GBR,2021,88477014.0
