dcid,year,climateFinanceProvidedDisbursementsCrossCuttingOtherOfficialFlowsCurrentUSD
Earth,2013,68724038.48
Earth,2014,31796847.91
Earth,2015,34173579.28
Earth,2016,66893652.53170889
Earth,2017,99891193.42136483
Earth,2018,70648691.95303349
Earth,2019,425263759.8991203
Earth,2020,538109014.9738603
Earth,2021,173917521.25877514
country/AUT,2019,5000000.0
country/AUT,2020,5000000.0
country/FIN,2019,3249174.4000000004
country/FIN,2020,1267689.6
country/FIN,2021,991498.4000000001
country/ITA,2020,79767075.0
country/ITA,2021,59129610.0
country/USA,2021,80000000.0
