dcid,year,healthExpenditureExternalCurrentUSD
country/DZA,2000,997631.9290457771
country/DZA,2001,972370.0172543074
country/DZA,2002,942266.3257276746
country/DZA,2003,1227469.8712674822
country/DZA,2004,1415474.3261405497
country/DZA,2005,2650041.418662263
country/DZA,2006,2054298.4471632873
country/DZA,2007,3416080.526435799
country/DZA,2008,2633875.613321193
country/DZA,2009,3787415.8312121658
country/DZA,2010,2322117.139676181
country/DZA,2011,2076428.0568419755
country/DZA,2012,4011711.990865312
country/DZA,2013,2510480.7719445024
country/DZA,2014,4965566.402171283
country/DZA,2015,3107770.4045991437
country/DZA,2016,2126055.325447745
country/DZA,2017,3088882.2463899166
country/DZA,2018,2912306.877974841
country/DZA,2019,4769656.192571285
country/DZA,2020,3724976.0605252706
country/AGO,2000,1094720.9600940417
country/AGO,2001,7010502.819667382
country/AGO,2002,6501157.710944319
country/AGO,2003,6567809.883707212
country/AGO,2004,18026998.30278684
country/AGO,2005,32033358.137896597
country/AGO,2006,82383461.87305747
country/AGO,2007,52368687.25223444
country/AGO,2008,73221970.5009633
country/AGO,2009,103403381.61144942
country/AGO,2010,73320312.76055832
country/AGO,2011,84621297.50917526
country/AGO,2012,66738475.75086682
country/AGO,2013,95865429.65541096
country/AGO,2014,112439463.41627076
country/AGO,2015,80851163.86070773
country/AGO,2016,99913632.02959785
country/AGO,2017,106185912.66507322
country/AGO,2018,89366487.76536037
country/AGO,2019,71695708.88969961
country/AGO,2020,70624060.38863333
country/BWA,2000,55748879.14625758
country/BWA,2001,48737265.01733309
country/BWA,2002,47792615.41638404
country/BWA,2003,60748652.846656315
country/BWA,2004,60759891.43983244
country/BWA,2005,59583458.49611569
country/BWA,2006,51731542.65646707
country/BWA,2007,87478861.12804036
country/BWA,2008,79274710.02840501
country/BWA,2009,49289241.55939142
country/BWA,2010,40413607.52175753
country/BWA,2011,42892041.630148165
country/BWA,2012,40711427.97255424
country/BWA,2013,81972092.10720842
country/BWA,2014,72328083.8803115
country/BWA,2015,58051395.64632525
country/BWA,2016,49290560.95323218
country/BWA,2017,102629483.6633939
country/BWA,2018,87804986.01025982
country/BWA,2019,97751762.60676314
country/BWA,2020,52315122.291269
country/BFA,2000,18651057.925902415
country/BFA,2001,18057123.838852707
country/BFA,2002,23886718.455348082
country/BFA,2003,47297692.25056493
country/BFA,2004,61372778.025054656
country/BFA,2005,85943585.16451335
country/BFA,2006,104647455.58734709
country/BFA,2007,171863467.1211998
country/BFA,2008,161098310.50194585
country/BFA,2009,148776815.56096923
country/BFA,2010,219424007.52145356
country/BFA,2011,183213404.9463616
country/BFA,2012,220910838.24459547
country/BFA,2013,220727833.21544984
country/BFA,2014,164566422.56537122
country/BFA,2015,149805345.89355356
country/BFA,2016,179403250.81994647
country/BFA,2017,153759790.07362074
country/BFA,2018,120770898.05733511
country/BFA,2019,135943496.7225646
country/BFA,2020,211706935.47967058
country/BDI,2000,381389.99343669356
country/BDI,2001,11187890.039035598
country/BDI,2002,8365805.007245952
country/BDI,2003,8899345.96528791
country/BDI,2004,16957002.32769552
country/BDI,2005,26729410.34760187
country/BDI,2006,34777061.98618497
country/BDI,2007,37683804.465636276
country/BDI,2008,43730757.04395973
country/BDI,2009,66358093.00416248
country/BDI,2010,98312932.3089478
country/BDI,2011,60117804.608148776
country/BDI,2012,57202660.66363519
country/BDI,2013,92381940.36289218
country/BDI,2014,25038843.801539153
country/BDI,2015,19748229.236068107
country/BDI,2016,79219079.70579451
country/BDI,2017,95277165.70363583
country/BDI,2018,95395853.05350935
country/BDI,2019,60810259.71153679
country/BDI,2020,62181579.44067967
country/BEN,2000,18284038.515067782
country/BEN,2001,20286537.366703045
country/BEN,2002,23521055.575672176
country/BEN,2003,32438206.814072307
country/BEN,2004,38398528.962128036
country/BEN,2005,39038842.32263478
country/BEN,2006,41842811.35994422
country/BEN,2007,59075141.459066674
country/BEN,2008,68485564.07567744
country/BEN,2009,60553401.21660004
country/BEN,2010,73589048.79144363
country/BEN,2011,85619499.76712447
country/BEN,2012,137857180.8406739
country/BEN,2013,91015403.35513411
country/BEN,2014,101317261.45277141
country/BEN,2015,87385689.66620758
country/BEN,2016,71294956.10404906
country/BEN,2017,64509572.35097573
country/BEN,2018,106816288.27965632
country/BEN,2019,82219021.95576707
country/BEN,2020,81493092.39706264
country/CPV,2000,694342.7055830044
country/CPV,2001,829434.1657288194
country/CPV,2002,921763.2162721142
country/CPV,2003,650714.3318931357
country/CPV,2004,1759876.4604579543
country/CPV,2005,2525956.8211791296
country/CPV,2006,5055853.674656035
