dcid,year,healthExpenditureExternalCurrentUSD
country/CPV,2007,3296104.4525951203
country/CPV,2008,3952648.7180943643
country/CPV,2009,2082112.0540256714
country/CPV,2010,4499739.006560724
country/CPV,2011,3790292.181088361
country/CPV,2012,11623577.27461661
country/CPV,2013,14951218.13452105
country/CPV,2014,14924595.418651287
country/CPV,2015,3209203.4402656658
country/CPV,2016,4110970.888514338
country/CPV,2017,7458182.663218682
country/CPV,2018,9730943.492595546
country/CPV,2019,6695131.90852803
country/CPV,2020,13443442.916323377
country/CMR,2000,11584138.260512158
country/CMR,2001,9562443.21164401
country/CMR,2002,17235311.743392993
country/CMR,2003,14759081.388549842
country/CMR,2004,23504265.790233616
country/CMR,2005,35042009.04786371
country/CMR,2006,36376476.84537512
country/CMR,2007,45833582.736301444
country/CMR,2008,61949368.23989901
country/CMR,2009,55874019.13741992
country/CMR,2010,78763761.37391393
country/CMR,2011,143464991.40418229
country/CMR,2012,93172871.27219275
country/CMR,2013,89511561.93410364
country/CMR,2014,146155773.9059871
country/CMR,2015,114763659.3325928
country/CMR,2016,119433346.88213015
country/CMR,2017,116338022.66693322
country/CMR,2018,206768123.65046996
country/CMR,2019,189002631.26614037
country/CMR,2020,183108201.48307803
country/CAF,2000,4315717.698316741
country/CAF,2001,2475450.183341604
country/CAF,2002,6446557.896389445
country/CAF,2003,6452850.716493958
country/CAF,2004,5491020.308846128
country/CAF,2005,13528857.530345444
country/CAF,2006,12499916.93294197
country/CAF,2007,17729264.95018563
country/CAF,2008,16221768.039970683
country/CAF,2009,34227494.792192325
country/CAF,2010,17547817.14535681
country/CAF,2011,25897492.919202335
country/CAF,2012,24567544.773462724
country/CAF,2013,26713950.79348619
country/CAF,2014,32035324.871621497
country/CAF,2015,35347361.58014028
country/CAF,2016,32611221.345489237
country/CAF,2017,43450895.90951615
country/CAF,2018,128718460.56031734
country/CAF,2019,49331282.23490513
country/CAF,2020,76942792.74679247
country/TCD,2000,2943503.264210269
country/TCD,2001,3630118.7001217674
country/TCD,2002,4956304.257142445
country/TCD,2003,28775952.662750952
country/TCD,2004,28714940.55573335
country/TCD,2005,32469930.057395063
country/TCD,2006,40319429.85862618
country/TCD,2007,23741825.997808773
country/TCD,2008,24810444.46595093
country/TCD,2009,33659241.14479654
country/TCD,2010,25813060.10643482
country/TCD,2011,60763397.86295386
country/TCD,2012,51701562.65968148
country/TCD,2013,42132532.43652121
country/TCD,2014,64927038.87068496
country/TCD,2015,84354918.69893098
country/TCD,2016,113820603.77186401
country/TCD,2017,93331662.5287933
country/TCD,2018,97497491.4344921
country/TCD,2019,97273781.14281121
country/TCD,2020,124261499.77347118
country/COM,2000,1501907.4709992264
country/COM,2001,1952426.600846754
country/COM,2002,1914446.7188565005
country/COM,2003,4102862.1989189764
country/COM,2004,4963419.975379435
country/COM,2005,3787969.575124235
country/COM,2006,2410264.046190264
country/COM,2007,1858683.5110683392
country/COM,2008,2029943.9766227838
country/COM,2009,1948274.748156241
country/COM,2010,3712118.271248468
country/COM,2011,7757589.784025671
country/COM,2012,7620964.023324243
country/COM,2013,9440097.790116152
country/COM,2014,12739675.862422237
country/COM,2015,4794342.503672929
country/COM,2016,5968148.000505601
country/COM,2017,11240863.741099311
country/COM,2018,7591889.040179364
country/COM,2019,10812517.171357047
country/COM,2020,8624399.060354447
country/COG,2000,6299563.148672436
country/COG,2001,5811050.525097437
country/COG,2002,6619449.975304748
country/COG,2003,8263530.382655676
country/COG,2004,19843059.59220904
country/COG,2005,24348594.369343583
country/COG,2006,23819658.544691164
country/COG,2007,30724956.12472452
country/COG,2008,29982059.994976826
country/COG,2009,39924011.410999514
country/COG,2010,28571471.173669506
country/COG,2011,57510343.52544516
country/COG,2012,89065180.32791916
country/COG,2013,69260324.25139913
country/COG,2014,64232007.058323495
country/COG,2015,55250023.479069926
country/COG,2016,14502222.222592412
country/COG,2017,20276958.733980075
country/COG,2018,14203141.114177274
country/COG,2019,23003570.7023839
country/COG,2020,50670711.19594154
country/CIV,2000,65023724.08614949
country/CIV,2001,64792463.19979762
country/CIV,2002,74729044.44475223
country/CIV,2003,81939052.65325026
country/CIV,2004,104575249.22783941
country/CIV,2005,78941270.91395034
country/CIV,2006,89860734.99489914
country/CIV,2007,109687215.86753958
country/CIV,2008,177578458.83952773
country/CIV,2009,155222242.91664702
country/CIV,2010,160672841.36002868
country/CIV,2011,190451570.04561514
country/CIV,2012,256616103.88298005
country/CIV,2013,139980041.71182334
country/CIV,2014,245698317.97556427
country/CIV,2015,192988475.00833127
country/CIV,2016,240025086.8889643
country/CIV,2017,222236950.6203849
country/CIV,2018,222137616.58650997
country/CIV,2019,250320800.56643328
country/CIV,2020,309301758.3901568
country/COD,2000,240276904.2366954
country/COD,2001,43671738.918990105
country/COD,2002,36672328.42144524
country/COD,2003,67097035.46168655
country/COD,2004,83321748.29223166
country/COD,2005,98419373.0600635
country/COD,2006,128235409.12920843
country/COD,2007,173685356.68571565
country/COD,2008,378798370.94813
country/COD,2009,348294185.3342869
country/COD,2010,372717915.8820056
country/COD,2011,379769295.5416327
country/COD,2012,364096290.694792
country/COD,2013,467925567.9137331
country/COD,2014,574281770.4935601
country/COD,2015,591039675.6517696
country/COD,2016,700869137.5523003
country/COD,2017,671184054.3175356
country/COD,2018,548324034.0972651
country/COD,2019,693188445.7714819
country/COD,2020,739671312.0567209
country/GNQ,2000,792894.1135860113
country/GNQ,2001,3534059.933214916
country/GNQ,2002,2709697.128514855
country/GNQ,2003,2393488.024806657
country/GNQ,2004,3108472.5920804506
country/GNQ,2005,3825750.3973823995
country/GNQ,2006,8473520.578834983
country/GNQ,2007,11435048.63849305
country/GNQ,2008,9119873.806856954
country/GNQ,2009,16445629.110797696
country/GNQ,2010,12914077.773765381
country/GNQ,2011,14325664.02013534
country/GNQ,2012,9550301.793789044
country/GNQ,2013,4909650.068139076
country/GNQ,2014,1702376.9904990897
country/GNQ,2015,4784976.702868303
country/GNQ,2016,4217636.78745129
country/GNQ,2017,7587723.661883239
country/GNQ,2018,9566990.407201722
country/GNQ,2019,3158454.0268409546
country/GNQ,2020,5455618.83913091
country/ERI,2000,201952.0
country/ERI,2001,4755934.03055005
country/ERI,2002,8413871.967081679
country/ERI,2003,18936059.01934417
country/ERI,2004,25640148.916772444
country/ERI,2005,30537759.62215648
country/ERI,2006,34296517.83349593
country/ERI,2007,17709058.050081294
country/ERI,2008,25717441.030243907
country/ERI,2009,24272964.30048781
country/ERI,2010,23317962.730406504
country/ERI,2011,51916091.4393496
country/ERI,2012,22211492.970406502
country/ERI,2013,34617081.0998374
country/ERI,2014,36641457.51219512
country/ERI,2015,36966268.529430896
country/ERI,2016,17360600.179153092
country/ERI,2017,22737322.113432843
country/ERI,2018,29390607.359867327
country/ERI,2019,34638530.53333334
country/ERI,2020,29054574.62553898
country/SWZ,2000,3313348.2912761783
country/SWZ,2001,8795744.825896623
country/SWZ,2002,12517113.509352874
country/SWZ,2003,25548166.583183676
country/SWZ,2004,38700814.98306615
country/SWZ,2005,44138149.170365766
country/SWZ,2006,66852183.34061663
country/SWZ,2007,64478936.118994534
country/SWZ,2008,70928074.5632104
country/SWZ,2009,71633167.88020538
country/SWZ,2010,97423656.30554959
country/SWZ,2011,130811546.82356068
country/SWZ,2012,118304916.71111636
country/SWZ,2013,102683425.91911997
country/SWZ,2014,117846571.21145585
country/SWZ,2015,93599044.27909349
country/SWZ,2016,84973385.23888795
country/SWZ,2017,73019818.537754
country/SWZ,2018,99991408.78419006
country/SWZ,2019,79180824.15795739
country/SWZ,2020,58092430.941410586
country/ETH,2000,57970316.23158984
country/ETH,2001,65355871.68457154
country/ETH,2002,46849168.0814683
country/ETH,2003,59844009.10149794
country/ETH,2004,129381467.25621709
country/ETH,2005,112971289.86810231
country/ETH,2006,219975675.79861143
country/ETH,2007,322365931.18520623
country/ETH,2008,521562050.486775
country/ETH,2009,447729328.1815782
country/ETH,2010,504271024.92900276
country/ETH,2011,511168464.1990089
country/ETH,2012,535463505.7113514
country/ETH,2013,441371622.8254288
country/ETH,2014,511994382.01163405
country/ETH,2015,440385025.126843
country/ETH,2016,525669252.0980959
country/ETH,2017,937677194.0834888
country/ETH,2018,957875509.1995959
country/ETH,2019,1022205120.9322407
country/ETH,2020,1158495862.679403
country/GAB,2000,3340346.7814544463
country/GAB,2001,2103419.314733739
country/GAB,2002,2888636.861561229
country/GAB,2003,3787068.113968244
country/GAB,2004,4093086.667123895
country/GAB,2005,10965740.317355782
country/GAB,2006,7426039.278698141
country/GAB,2007,10957446.249744311
country/GAB,2008,9009736.859554894
country/GAB,2009,7091430.117765011
country/GAB,2010,4057011.9669162645
country/GAB,2011,5066684.440442394
country/GAB,2012,2003732.1619535019
country/GAB,2013,1846479.2061328662
country/GAB,2014,4608017.938396103
country/GAB,2015,3138094.1231893073
country/GAB,2016,2997243.132958009
country/GAB,2017,2525102.140809869
country/GAB,2018,5660172.987251224
country/GAB,2019,2654169.14005211
country/GAB,2020,56586100.41052635
country/GMB,2000,50082778.519655384
country/GMB,2001,41206566.84241207
country/GMB,2002,41653954.28968776
country/GMB,2003,32782178.24977419
country/GMB,2004,36918022.777492605
country/GMB,2005,37950251.424358726
country/GMB,2006,37776984.51117867
country/GMB,2007,41652152.47070844
country/GMB,2008,45593441.73690483
country/GMB,2009,37066724.48289583
country/GMB,2010,34392916.197180584
country/GMB,2011,31879086.753576547
country/GMB,2012,28524990.297670137
country/GMB,2013,24773450.902261678
country/GMB,2014,10505539.836629707
country/GMB,2015,15299175.019017853
country/GMB,2016,12677238.323372595
country/GMB,2017,18518702.539085835
country/GMB,2018,21497952.438856866
country/GMB,2019,15528773.630981807
country/GMB,2020,5186930.9117548745
country/GHA,2000,38391014.53283818
country/GHA,2001,50034541.29749105
country/GHA,2002,59531367.36178286
country/GHA,2003,62111462.54232209
country/GHA,2004,102497529.1290283
country/GHA,2005,135566409.6770131
country/GHA,2006,157292023.32566714
country/GHA,2007,156633061.7932435
country/GHA,2008,168313371.2099974
country/GHA,2009,185222598.84457478
country/GHA,2010,175164477.3202489
country/GHA,2011,233878139.2453761
country/GHA,2012,189053370.21152195
country/GHA,2013,477798452.06551087
country/GHA,2014,345235321.02569413
country/GHA,2015,559593679.9646438
country/GHA,2016,243688973.09763008
country/GHA,2017,267769401.06500372
country/GHA,2018,252077182.84309185
country/GHA,2019,261490512.59830934
country/GHA,2020,251279761.27240393
country/GIN,2000,53448718.84062336
country/GIN,2001,53237544.63082973
country/GIN,2002,61016481.76544325
country/GIN,2003,64270224.84144979
country/GIN,2004,60088028.26314755
country/GIN,2005,41848143.36041713
country/GIN,2006,32909220.126879342
country/GIN,2007,44651038.71212587
country/GIN,2008,45449718.49980062
country/GIN,2009,46808880.98525912
country/GIN,2010,45628955.31620495
country/GIN,2011,66598298.37269154
country/GIN,2012,56910104.61348215
country/GIN,2013,65470101.521935955
country/GIN,2014,77751637.82267414
country/GIN,2015,119864037.70249484
country/GIN,2016,126338963.5557163
country/GIN,2017,38382403.37464346
country/GIN,2018,47841441.7793367
country/GIN,2019,59342308.92435226
country/GIN,2020,139416193.4036997
country/GNB,2000,2949606.754230359
country/GNB,2001,3681210.3580616363
country/GNB,2002,7490454.323919625
country/GNB,2003,7652649.264837707
country/GNB,2004,9805535.798773833
country/GNB,2005,11998970.356159389
country/GNB,2006,11973293.42289649
country/GNB,2007,15959482.211128915
country/GNB,2008,18847818.738121796
country/GNB,2009,13792292.396381944
country/GNB,2010,24510792.946069755
country/GNB,2011,38073993.06475897
country/GNB,2012,17589736.823852427
country/GNB,2013,18798323.11807489
country/GNB,2014,40828210.66237292
country/GNB,2015,21988748.58931223
country/GNB,2016,27682441.86862016
country/GNB,2017,21780980.379504513
country/GNB,2018,29530071.075060047
country/GNB,2019,30426090.076074533
country/GNB,2020,29760842.82984728
country/KEN,2000,91659228.77953495
country/KEN,2001,99951443.60676779
country/KEN,2002,114699290.79510593
country/KEN,2003,144795226.3478341
country/KEN,2004,196332232.35619792
country/KEN,2005,209944642.72160837
country/KEN,2006,458126577.06456363
country/KEN,2007,578012324.6574892
country/KEN,2008,655349978.0969034
country/KEN,2009,654495632.2349553
country/KEN,2010,704764860.5891124
country/KEN,2011,641797738.8794497
country/KEN,2012,687999947.7932143
country/KEN,2013,688715618.8375473
country/KEN,2014,671577865.3134571
country/KEN,2015,598695379.0884211
country/KEN,2016,576442116.4331303
country/KEN,2017,689526569.1611043
country/KEN,2018,837329315.8668568
country/KEN,2019,811713328.9037992
country/KEN,2020,775989520.6397028
country/LSO,2000,1836870.2751292847
country/LSO,2001,3829285.29766237
country/LSO,2002,5071712.410000035
country/LSO,2003,5503733.631176797
country/LSO,2004,9313152.370643029
country/LSO,2005,14123109.528600646
country/LSO,2006,13113334.688184956
country/LSO,2007,15054194.49382679
country/LSO,2008,28509343.38497891
country/LSO,2009,41524495.84546149
country/LSO,2010,39035031.16097265
country/LSO,2011,63422286.33737783
country/LSO,2012,68452012.57403524
country/LSO,2013,81212314.9752177
country/LSO,2014,68911829.5701942
country/LSO,2015,52061016.642907016
country/LSO,2016,45261473.42314017
country/LSO,2017,66887318.474389315
country/LSO,2018,100632480.64583424
country/LSO,2019,111566982.75545251
country/LSO,2020,80448498.46381514
country/LBR,2000,3040793.197481816
country/LBR,2001,4464514.012770138
country/LBR,2002,3917615.7439848846
country/LBR,2003,4141643.589719122
country/LBR,2004,9222704.362863695
country/LBR,2005,16217737.41639058
country/LBR,2006,18008794.87146634
country/LBR,2007,29414034.505775698
country/LBR,2008,27561664.366570424
country/LBR,2009,62244890.526408255
country/LBR,2010,65240761.39377248
country/LBR,2011,71094609.28798224
country/LBR,2012,96243878.23119989
country/LBR,2013,110869254.29734266
country/LBR,2014,103623509.17626725
country/LBR,2015,109200302.47678901
country/LBR,2016,96933027.59188221
country/LBR,2017,111197108.22959274
country/LBR,2018,99891843.43798195
country/LBR,2019,63699212.20777489
country/LBR,2020,92396518.51589173
country/MDG,2000,28953018.734260604
country/MDG,2001,51348466.80613552
country/MDG,2002,52119043.02172121
country/MDG,2003,34087508.128171705
country/MDG,2004,56458017.76456522
country/MDG,2005,70725222.66644934
country/MDG,2006,79702616.6111634
country/MDG,2007,65495182.3179308
country/MDG,2008,89705788.5252706
country/MDG,2009,111132753.74273774
country/MDG,2010,74083381.12208906
country/MDG,2011,136429814.79291448
country/MDG,2012,86940598.40854973
country/MDG,2013,94578585.90048006
country/MDG,2014,139449991.8878406
country/MDG,2015,159862721.79977918
country/MDG,2016,164661053.4980022
country/MDG,2017,145074606.68622094
country/MDG,2018,173571610.22806388
country/MDG,2019,151116460.1821397
country/MDG,2020,110372109.64659026
country/MWI,2000,29272252.775176603
country/MWI,2001,25308298.141898137
country/MWI,2002,60750686.50239132
country/MWI,2003,68830117.53524686
country/MWI,2004,131688573.23552209
country/MWI,2005,138261318.03352475
country/MWI,2006,173129239.6360629
country/MWI,2007,221723068.7101441
country/MWI,2008,261558007.85643905
country/MWI,2009,318062422.7883976
country/MWI,2010,316324159.7005263
country/MWI,2011,386380781.64403045
country/MWI,2012,361835559.68259865
country/MWI,2013,436155869.6950244
country/MWI,2014,370251470.91214305
country/MWI,2015,319687216.78479224
country/MWI,2016,320940012.2561821
country/MWI,2017,406005735.27005327
country/MWI,2018,390095037.7967275
country/MWI,2019,246703361.45946205
country/MWI,2020,231560896.76859492
country/MLI,2000,9389096.715011258
country/MLI,2001,10773519.805538805
country/MLI,2002,27721891.004582897
country/MLI,2003,21246794.162465636
country/MLI,2004,34415367.77173945
country/MLI,2005,46093429.76562696
country/MLI,2006,71836591.88117006
country/MLI,2007,76461093.32683237
country/MLI,2008,102409442.42787284
country/MLI,2009,125938228.07710189
country/MLI,2010,136792009.02021092
country/MLI,2011,169794410.9946178
country/MLI,2012,194514464.8005165
country/MLI,2013,221038554.4491958
country/MLI,2014,285488337.6418877
country/MLI,2015,222605912.05117038
country/MLI,2016,159999888.50768223
country/MLI,2017,161608311.25549746
country/MLI,2018,222982556.49548593
country/MLI,2019,225879016.4150549
country/MLI,2020,267731324.25918752
country/MRT,2000,2615878.234998678
country/MRT,2001,2417463.2897263262
country/MRT,2002,3514365.5709059197
country/MRT,2003,7676093.539140021
country/MRT,2005,5258418.728698136
country/MRT,2006,2654550.1787043926
country/MRT,2007,5232288.336598941
country/MRT,2008,8140992.721904268
country/MRT,2009,7695387.166265943
country/MRT,2010,8775152.307678355
country/MRT,2011,8937161.693474289
country/MRT,2012,9433747.892926976
country/MRT,2013,18492634.724431686
country/MRT,2014,23526996.44892229
country/MRT,2015,19568476.871506065
country/MRT,2016,4665913.008312743
country/MRT,2017,19260558.030884687
country/MRT,2018,23451269.889986686
country/MRT,2019,31541228.435622
country/MRT,2020,19956854.16864228
country/MUS,2000,426331.24976388534
country/MUS,2001,804299.4000018891
country/MUS,2002,505146.17014885525
country/MUS,2003,218520.0001075212
country/MUS,2004,68740.00015758416
country/MUS,2005,95236.00007684609
country/MUS,2006,208876.99996425703
country/MUS,2007,482175.9998083903
country/MUS,2008,3659351.757447741
country/MUS,2009,6738159.90650755
country/MUS,2010,8627277.732552852
country/MUS,2011,19493225.57901759
country/MUS,2012,10799128.26373712
country/MUS,2013,8058474.221037462
country/MUS,2014,3218775.990925797
country/MUS,2015,17321191.633268394
country/MUS,2016,1577889.9048212143
country/MUS,2017,3857096.1572770295
country/MUS,2018,4152089.0664207023
country/MUS,2019,2545884.587328291
country/MUS,2020,1432101.9018847735
country/MOZ,2000,12039059.6207457
country/MOZ,2001,40748328.53513008
country/MOZ,2002,65367619.153510764
country/MOZ,2003,89894099.54202223
country/MOZ,2004,145798107.44201767
country/MOZ,2005,199005592.35053694
country/MOZ,2006,216340686.3995475
country/MOZ,2007,230157115.4641291
country/MOZ,2008,311330370.8907227
country/MOZ,2009,404196084.890105
country/MOZ,2010,410707746.77829516
country/MOZ,2011,475924147.4725657
country/MOZ,2012,500857779.3453909
country/MOZ,2013,608942585.6684127
country/MOZ,2014,605434008.505379
country/MOZ,2015,585866195.1270652
country/MOZ,2016,513190645.2351705
country/MOZ,2017,642988125.5320343
country/MOZ,2018,748501966.8773786
country/MOZ,2019,751504322.8653046
country/MOZ,2020,556919598.4567769
country/NAM,2000,19479320.148409057
country/NAM,2001,19814217.09943949
country/NAM,2002,19193782.19000293
country/NAM,2003,30059124.41379692
country/NAM,2004,94035735.8728763
country/NAM,2005,152678235.96348393
country/NAM,2006,195464709.74782592
country/NAM,2007,184115057.35599685
country/NAM,2008,182426699.9075952
country/NAM,2009,155512421.2594819
country/NAM,2010,156266252.27516112
country/NAM,2011,132264895.42707044
country/NAM,2012,95878125.80064635
country/NAM,2013,70297991.41339937
country/NAM,2014,62998048.83154972
country/NAM,2015,64615047.62055104
country/NAM,2016,69676432.56538604
country/NAM,2017,76184442.82763335
country/NAM,2018,53130743.377162
country/NAM,2019,49586503.8539103
country/NAM,2020,48182862.81884104
country/NER,2000,9646766.99236428
country/NER,2001,10781828.249989128
country/NER,2002,12651121.481905136
country/NER,2003,16277090.494143281
country/NER,2004,19205752.577750858
country/NER,2005,27289595.442361083
country/NER,2006,29909948.969205484
country/NER,2007,40682665.111738496
country/NER,2008,47174331.40712091
country/NER,2009,46812175.1530606
country/NER,2010,47828522.21846657
country/NER,2011,45800051.59826759
country/NER,2012,53375253.28655159
country/NER,2013,54015556.215044826
country/NER,2014,63926490.84409718
country/NER,2015,127150748.1807154
country/NER,2016,69267078.55381128
country/NER,2017,90291107.77526096
country/NER,2018,80217505.76732513
country/NER,2019,111605982.14744556
country/NER,2020,133480338.78148101
country/NGA,2000,367955922.6540203
country/NGA,2001,156624484.75037366
country/NGA,2002,170988124.48050514
country/NGA,2003,297308280.8567559
country/NGA,2004,375716174.4970625
country/NGA,2005,412634989.3682197
country/NGA,2006,513096880.9136543
country/NGA,2007,605055341.5723817
country/NGA,2008,740257049.3310916
country/NGA,2009,661931592.2011014
country/NGA,2010,761294565.7778739
country/NGA,2011,1080487058.2500608
country/NGA,2012,1303853333.3333333
country/NGA,2013,2191869982.094987
country/NGA,2014,2337514569.950659
country/NGA,2015,1756644691.6013825
country/NGA,2016,1522863561.7692077
country/NGA,2017,1069479759.9431114
country/NGA,2018,934476067.566249
country/NGA,2019,1664079112.9053285
country/NGA,2020,1392782311.8177755
country/RWA,2000,34441592.87055773
country/RWA,2001,26623242.890446413
country/RWA,2002,21659445.19504816
country/RWA,2003,62893614.025420785
country/RWA,2004,84288885.87851489
country/RWA,2005,113889239.53235935
country/RWA,2006,144069287.75651002
country/RWA,2007,176922736.5354005
country/RWA,2008,207692088.75086063
country/RWA,2009,234313501.41915244
country/RWA,2010,257109301.55881616
country/RWA,2011,269994920.4941148
country/RWA,2012,330801204.6207523
country/RWA,2013,234398599.16819397
country/RWA,2014,270994081.29236126
country/RWA,2015,239756461.69675666
country/RWA,2016,261698864.61462405
country/RWA,2017,232572577.66199994
country/RWA,2018,252992019.90119806
country/RWA,2019,219298610.58911127
country/RWA,2020,272444679.74724084
country/STP,2000,2148775.1926454324
country/STP,2001,2007464.9911488872
country/STP,2002,2222777.032071366
country/STP,2003,2650966.688003139
country/STP,2004,2896514.814830086
country/STP,2005,3601529.904848201
country/STP,2006,6249707.586991915
country/STP,2007,5564957.068366829
country/STP,2008,7383340.9762665
country/STP,2009,6830480.27870889
country/STP,2010,6324042.548546502
country/STP,2011,7032482.644864382
country/STP,2012,7665791.402015573
country/STP,2013,11964811.180183638
country/STP,2014,11261461.08918442
country/STP,2015,8673443.5021921
country/STP,2016,9808944.283969516
country/STP,2017,9185340.574018762
country/STP,2018,8240257.065806573
country/STP,2019,7808810.216412857
country/STP,2020,6357143.019804135
country/SEN,2000,8495960.390830005
country/SEN,2001,8610949.513653355
country/SEN,2002,13868663.443150148
country/SEN,2003,11032011.405284896
country/SEN,2004,9894593.487531682
country/SEN,2005,26720917.099141985
country/SEN,2006,23921909.80771203
country/SEN,2007,27798534.712483022
country/SEN,2008,38307637.64945689
country/SEN,2009,42108097.600153714
country/SEN,2010,79999387.9188809
country/SEN,2011,64060410.12054859
country/SEN,2012,70395478.1300801
country/SEN,2013,78180785.55887344
country/SEN,2014,159680582.5645368
country/SEN,2015,140100848.5668299
country/SEN,2016,140605868.40902397
country/SEN,2017,160329956.2785737
country/SEN,2018,208939063.14184296
country/SEN,2019,202820191.4547176
country/SEN,2020,212122999.21366194
country/SYC,2000,0.0
country/SYC,2001,72282.99926732628
country/SYC,2002,244672.99347327583
country/SYC,2003,347471.0072428657
country/SYC,2004,1037203.9890909091
country/SYC,2005,291986.0
country/SYC,2006,305704.98895620654
country/SYC,2007,211886.9936950366
country/SYC,2008,165420.9945870641
country/SYC,2009,125029.00111430527
country/SYC,2010,984497.5287026276
country/SYC,2011,3360949.86437935
country/SYC,2012,992436.7900724304
country/SYC,2013,1756464.0725142625
country/SYC,2014,287910.1281082403
country/SYC,2015,214061.59340690295
country/SYC,2016,2896027.1146610007
country/SYC,2017,441078.0068399083
country/SYC,2018,310119.8403674751
country/SYC,2019,0.0
country/SYC,2020,170587.93917935103
country/SLE,2000,6207809763.202487
country/SLE,2001,6539026133.422832
country/SLE,2002,9128286950.002962
