dcid,year,climateFinanceProvidedCommitmentsAdaptationEquityInvestmentCurrentUSD
Earth,2013,88646526.39999999
Earth,2014,57170290.331962705
Earth,2015,35699890.0
Earth,2016,1387862.0583222061
Earth,2017,695031.4619667669
Earth,2018,18558970.704476416
Earth,2019,50889698.76765135
Earth,2020,20742205.84012186
Earth,2021,19573950.2
country/FIN,2013,194370.80000000002
country/FIN,2014,3417062.4
country/FIN,2018,3999998.4000000004
country/FIN,2020,1866548.8
country/FIN,2021,6565435.2
country/DEU,2013,80434394.0
country/DEU,2014,49754543.6
country/DEU,2015,35699890.0
country/DEU,2019,50598902.2
country/DEU,2020,18233618.400000002
country/DEU,2021,13008515.0
country/JPN,2014,3885590.0
country/NOR,2013,51749.6
country/ESP,2013,7966012.0
