dcid,year,climateFinanceReceivedDisbursementsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDAsianInfrastructureInvestmentBank,climateFinanceReceivedDisbursementsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDAustria,climateFinanceReceivedDisbursementsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDEuropeanBankforReconstructionandDevelopment,climateFinanceReceivedDisbursementsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDFinland,climateFinanceReceivedDisbursementsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDGreenClimateFund,climateFinanceReceivedDisbursementsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedDisbursementsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDInternationalBankforReconstructionandDevelopment,climateFinanceReceivedDisbursementsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDItaly,climateFinanceReceivedDisbursementsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDUnitedStates
Earth,2013,,,,,,,68724038.48,,
Earth,2014,,,,,,,31796847.91,,
Earth,2015,,,,,,,34173579.28,,
Earth,2016,,,35398841.60170889,,5493913.0,,26000897.93,,
Earth,2017,,,34072148.077364825,,2651682.0,63167363.344,,,
Earth,2018,1999423.5,,51551410.483033486,,,,17097857.97,,
Earth,2019,,5000000.0,4715855.832120306,3249174.4000000004,,395566806.70699996,16731922.959999999,,
Earth,2020,1250000.0,5000000.0,24341416.3947602,1267689.6,,423969792.8991,2513041.08,79767075.0,
Earth,2021,10975780.0,,8310385.998475154,991498.4000000001,,12948917.7003,1561329.1600000001,59129610.0,80000000.0
country/ARG,2021,,,,,,1888523.46,,,
country/ARM,2017,,,3263779.2314807544,,,,,,
country/BLZ,2020,,,,,,429792.89910000004,,,
country/BLZ,2021,,,,,,745042.8403,,,
country/BOL,2019,,,,,,35710000.0,,,
country/BRA,2014,,,,,,,4511923.59,,
country/BRA,2015,,,,,,,769557.0,,
country/BRA,2016,,,,,,,660491.24,,
country/BRA,2018,,,,,,,964202.98,,
country/BRA,2019,,,,,,,2327239.27,,
country/BRA,2020,,,,,,,727765.37,,
country/BRA,2021,,,,,,,1561329.1600000001,,
country/CHN,2013,,,,,,,2208108.48,,
country/CHN,2014,,,,,,,27139424.32,,
country/CHN,2015,,,,,,,33404022.28,,
country/CHN,2016,,,,,,,24999091.82,,
country/CHN,2018,,,,,,,15494930.36,,
country/CHN,2019,,,,,,,13890645.77,,
country/CHN,2020,,,,,,,1603561.73,,
country/COL,2017,,,,,,63150000.0,,,
country/COL,2021,,,,,,134112.0,,,
country/ECU,2014,,,,,,,145500.0,,
country/ECU,2016,,,,,,,341314.87,,
country/ECU,2018,,,,,,,638724.63,,
country/ECU,2019,,,,,,168000.0,514037.92,,
country/ECU,2020,,,,,,,181713.97999999998,,
country/ECU,2021,,,,,,,,,60000000.0
country/EGY,2017,,,6819974.959278552,,,,,,
country/EGY,2020,,,5698005.965977726,,,,,,
country/GEO,2018,,,659518.6416829982,,,,,,
country/GEO,2019,,,4715855.832120306,,,,,,
country/GEO,2020,,,9779184.460397296,,,,,,
country/IND,2020,1250000.0,,,,,,,,
country/IND,2021,10975780.0,,,,,,,,
country/JOR,2016,,,4268280.988756661,,,,,,
country/JOR,2017,,,677038.2236713724,,,,,,
country/KAZ,2017,,,2390968.514864772,,,,,,
country/KGZ,2017,,,2231801.6302372697,,,,,,
country/KGZ,2018,,,201345.32997887523,,,,,,
country/KGZ,2020,,,283974.97782053053,,,,,,
country/KGZ,2021,,,913781.0911431374,,,,,,
country/LBN,2018,,,37100908.769030996,,,,,,
country/MAR,2013,,,,,,,66515930.0,,
country/MAR,2017,,,4523686.001600687,,,,,,
country/MAR,2020,,,8340325.002951189,,,,,,
country/MAR,2021,,,7042109.002491821,,,,,,
country/MDA,2017,,,863712.9931519894,,,,,,
country/MEX,2019,,,,,,359538806.70699996,,,
country/MEX,2020,,,,,,423540000.0,,,
country/MOZ,2021,,,,,,,,,20000000.0
country/MUS,2019,,,,935695.2000000001,,,,,
country/NIC,2019,,,,1779999.6,,,,,
country/NIC,2020,,,,1087689.6,,,,,
country/NIC,2021,,,,759697.6000000001,,,,,
country/PAN,2021,,,,,,9822000.0,,,
country/PRY,2019,,,,,,150000.0,,,
country/PRY,2021,,,,,,336569.94,,,
country/RWA,2019,,,,60875.600000000006,,,,,
country/RWA,2021,,,,31800.800000000003,,,,,
country/SLE,2019,,,,320000.0,,,,,
country/SLE,2020,,,,180000.0,,,,,
country/SLE,2021,,,,200000.0,,,,,
country/SRB,2021,,,49835.920568728696,,,,,,
country/SUR,2021,,,,,,22669.46,,,
country/TJK,2017,,,935120.8495656393,,,,,,
country/TJK,2018,1999423.5,,,,,,,,
country/TJK,2020,,,239925.9876134574,,,,,,
country/TJK,2021,,,304659.98427146673,,,,,,
country/TUR,2016,,,31130560.612952225,,,,,,
country/TUR,2017,,,7100212.553746466,,,,,,
country/TUR,2018,,,8890121.6440511,,,,,,
country/TZA,2019,,,,50868.0,,,,,
country/UGA,2019,,,,101736.0,,,,,
country/UKR,2017,,,5265853.119767326,,,,,,
country/UKR,2018,,,4699516.098289521,,,,,,
country/URY,2017,,,,,,17363.344,,,
