dcid,year,climateFinanceReceivedDisbursementsMitigationOdaLoansByProviderCurrentUSDAfricanDevelopmentBank,climateFinanceReceivedDisbursementsMitigationOdaLoansByProviderCurrentUSDAfricanDevelopmentFund,climateFinanceReceivedDisbursementsMitigationOdaLoansByProviderCurrentUSDAsianDevelopmentBank,climateFinanceReceivedDisbursementsMitigationOdaLoansByProviderCurrentUSDAustria,climateFinanceReceivedDisbursementsMitigationOdaLoansByProviderCurrentUSDBelgium,climateFinanceReceivedDisbursementsMitigationOdaLoansByProviderCurrentUSDCanada,climateFinanceReceivedDisbursementsMitigationOdaLoansByProviderCurrentUSDClimateInvestmentFunds,climateFinanceReceivedDisbursementsMitigationOdaLoansByProviderCurrentUSDCouncilofEuropeDevelopmentBank,climateFinanceReceivedDisbursementsMitigationOdaLoansByProviderCurrentUSDEUInstitutions,climateFinanceReceivedDisbursementsMitigationOdaLoansByProviderCurrentUSDFrance,climateFinanceReceivedDisbursementsMitigationOdaLoansByProviderCurrentUSDGermany,climateFinanceReceivedDisbursementsMitigationOdaLoansByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedDisbursementsMitigationOdaLoansByProviderCurrentUSDInternationalDevelopmentAssociation,climateFinanceReceivedDisbursementsMitigationOdaLoansByProviderCurrentUSDItaly,climateFinanceReceivedDisbursementsMitigationOdaLoansByProviderCurrentUSDJapan,climateFinanceReceivedDisbursementsMitigationOdaLoansByProviderCurrentUSDKorea,climateFinanceReceivedDisbursementsMitigationOdaLoansByProviderCurrentUSDPortugal,climateFinanceReceivedDisbursementsMitigationOdaLoansByProviderCurrentUSDSpain,climateFinanceReceivedDisbursementsMitigationOdaLoansByProviderCurrentUSDUnitedArabEmirates,climateFinanceReceivedDisbursementsMitigationOdaLoansByProviderCurrentUSDUnitedKingdom
Earth,2013,,,7870000.0,,7407630.8,,91122788.0,,128302299.97183205,1072717162.0,867486244.2,16920000.0,18618089.25,881396.4,1638461683.4,,17041942.0,33893858.0,,
Earth,2014,,,360817.4564,,1940891.0,,,,123075508.38907503,237534401.0,1359099891.0,52171799.99999999,20041764.52,705833.6000000001,1693678336.6,,7776148.0,,,
Earth,2015,,,35556884.2748,,1730527.2000000002,,,,78481879.7579609,532327455.8,1468688981.4,14200000.0,130835840.03,,1996191130.2,1715282.0,7340421.2,1437526.2,,13209676.400000002
Earth,2016,,,37771042.80914,,198079.6,,,,112168490.20300761,552635630.4,1916789449.0,35244.0,234957703.1879443,,2637998917.4,661994.0,587845.6,1391076.0,32669.999999999996,4374718.800000001
Earth,2017,31012.924207878386,2758123.2,32727004.9218903,,1422614.8,,144521269.0,,233752230.20029157,1289101854.0,1480186223.6,89812500.0,180356478.64565173,,3292235962.4,,86934.8,,8230000.0,9271182.4
Earth,2018,,1634555.626102311,41719962.6183875,,3343915.2,115731811.0,218715387.0,,202209238.5412538,462859353.00000006,1636402478.2,16633765.456,956821677.1433517,,2693888938.6,,,560254.0,6977950.0,
Earth,2019,,30202213.16435224,86485718.59176867,,2590723.6,,,839584.0,172830966.5273429,1486931571.6,1757807511.0,,1028647742.659987,,3071481073.0,,,,9199564.0,
Earth,2020,,10946036.979102615,64400173.14539745,50271122.0,4179278.6,168505814.0,62106880.0,797721.4,169257038.46166897,1790758290.2,1647414127.8,33847436.525,1180725788.6095223,,2139231687.8,,,571238.0,1344950.0,
Earth,2021,,5128941.849804103,158323410.7837056,20306102.0,1684937.2000000002,331392101.0,9130143.0,,212857894.8378257,1692664131.2,826167651.6,45450.0,1355758663.4282463,,2723616372.2000003,3221936.2,,,,
country/AGO,2015,,,,,,,,,,,,,,,78147274.8,,,,,
