dcid,year,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDAsianInfrastructureInvestmentBank,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDAustria,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDCanada,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDCouncilofEuropeDevelopmentBank,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDEuropeanBankforReconstructionandDevelopment,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDFinland,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDFrance,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDGreenClimateFund,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDInternationalBankforReconstructionandDevelopment,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDIslamicDevelopmentBank,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDItaly,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDNorway,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDUnitedStates
Earth,2013,,,,,141021780.9039796,,,,,216040000.0,,,,
Earth,2014,,,,,539795270.8666484,,,,,49100000.0,,,,
Earth,2015,,,,,131756437.75130893,,,28000000.0,,,,,,
Earth,2016,,,,,87655100.62621512,,,186600000.0,115000.0,,,,,
Earth,2017,350000000.0,,,,42552942.75455751,,,158704000.0,142075000.0,,,,,
Earth,2018,250000000.0,,,,186097014.04461223,,944175.6000000001,405684999.5268265,435379999.99999994,,,,,
Earth,2019,549146764.0,10000000.0,,,97922920.47923476,5612000.800000001,,,550814380.0,,1288563.133711087,,,42000000.0
Earth,2020,1980000.0,,387712.4,91168091.2,14839783.176921833,,,,,,,79767075.0,100724.40000000001,
Earth,2021,69053000.0,,,,18923809.347728528,,,,469854100.0,,82611817.6,59129610.0,,104819544.0
country/ALB,2013,,,,,7966011.6834838,,,,,,,,,
country/ALB,2016,,,,,12161450.8459582,,,,,,,,,
country/ALB,2018,,,,,16464062.315590702,,,,,,,,,
country/ARG,2019,,,,,,,,,5750000.0,,,,,
country/ARG,2021,,,,,,,,,41520000.0,,,,,
country/ARM,2013,,,,,6746528.478491771,,,,,,,,,
country/ARM,2018,,,,,3864510.7990086097,,,,,,,,,
country/ARM,2019,,,,,1391964.7889846629,,,,,,,,,
country/ARM,2020,,,,,1150454.4839886,,,,,,,,,
country/ARM,2021,,,,,280133.00183301826,,,,,,,,,
country/BIH,2013,,,,,23234200.74349439,,,,,,,,,
country/BIH,2014,,,,,9287514.92636327,,,,,,,,,
country/BLZ,2019,,,,,,,,,1577000.0,,,,,
country/BLZ,2021,,,,,,,,,4500000.0,,,,,
country/BOL,2019,,,,,,,,,35710000.0,,,,,
country/BRA,2013,,,,,,,,,,8280000.0,,,,
country/BRA,2014,,,,,,,,,,17100000.0,,,,
country/BRA,2018,,,,,,,,,2760000.0,,,,,
country/BRA,2021,,,,,,,,,250395000.0,,,,,
country/CHN,2013,,,,,,,,,,138850000.0,,,,
country/COL,2017,,,,,,,,,63150000.0,,,,,
country/COL,2021,,,,,,,,,2803500.0,,,,,
country/CRI,2021,,,,,,,,,45450000.0,,,,,
country/DOM,2019,,,,,,,,,26895000.0,,,,,
country/ECU,2013,,,,,,,,,,2910000.0,,,,
country/ECU,2019,,,,,,,,,394380.0,,,,,
country/ECU,2021,,,,,,,,,,,,,,60000000.0
country/EGY,2013,,,,,2025074.42434944,,,,,,,,,
country/EGY,2014,,,,,72973331.5642829,,,,,,,,,
country/EGY,2015,,,,,63307649.56516921,,,,,,,,,
country/EGY,2016,,,,,294907.612212761,,,,,,,,,
country/EGY,2019,,,,,42287033.135904565,,,,,,,,,
country/EGY,2020,,,,,2575278.5169662973,,,,,,,,,
country/EGY,2021,,,,,4821102.322177154,,,,,,,,,
country/GEO,2014,,,,,98105760.44845429,,,,,,,,,
country/GEO,2017,,,,,1388022.3737662,,,,,,,,,
country/GEO,2018,,,,,20819072.3474566,,,,,,,,,
country/GEO,2019,,,,,24450380.49479458,,,,,,,,,
country/HTI,2018,,,,,,,944175.6000000001,,,,,,,
country/IDN,2018,250000000.0,,,,,,,,,,,,,
country/IND,2017,335000000.0,,,,,,,,,,,,,
country/IND,2019,500000000.0,,,,,,,,,,,,,
country/IND,2021,18000000.0,,,,,,,,,,,,,
country/IRQ,2021,,,,,,,,,,,170000.0,,,
country/JOR,2013,,,,,18487295.99934599,,,,,,,,,
country/JOR,2014,,,,,33216919.623192247,,,,,,,,,
country/JOR,2015,,,,,1225309.34664448,,,,,,,,,
country/JOR,2016,,,,,13510524.75523451,,,,,,,,,
country/JOR,2019,,,,,5969374.794581889,,,,,,,,,
country/KAZ,2013,,,,,13674986.7233139,,,,,,,,,
country/KAZ,2014,,,,,38324695.24837473,,,,,,,,,
country/KAZ,2015,,,,,11813298.78889628,,,,,,,,,
country/KAZ,2016,,,,,8286823.88698441,,,,,,,,,
country/KAZ,2017,,,,,3476164.8535678,,,,,,,,,
country/KAZ,2018,,,,,13862150.35996696,,,,,,,,,
country/KAZ,2019,,,,,1761278.36113288,,,,,,,,,
country/KAZ,2020,,,,,1754798.6264387472,,,,,,,,,
country/KGZ,2013,,,,,1991502.92087095,,,,,,,,,
