dcid,year,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDAsianInfrastructureInvestmentBank,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDAustria,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDCanada,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDCouncilofEuropeDevelopmentBank,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDEuropeanBankforReconstructionandDevelopment,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDFinland,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDFrance,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDGreenClimateFund,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDInternationalBankforReconstructionandDevelopment,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDIslamicDevelopmentBank,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDItaly,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDNorway,climateFinanceReceivedCommitmentsCrossCuttingOtherOfficialFlowsByProviderCurrentUSDUnitedStates
country/KGZ,2014,,,,,7297333.1564282905,,,,,,,,,
country/KGZ,2015,,,,,898502.495840266,,,,,,,,,
country/KGZ,2016,,,,,680638.238416455,,,,,,,,,
country/KGZ,2018,,,,,206066.32833707103,,,,,,,,,
country/KGZ,2019,,,,,1635244.8949572702,,,,,,,,,
country/KGZ,2020,,,,,557057.8360445009,,,,,,,,,
country/KGZ,2021,,,,,287590.15297706146,,,,,,,,,
country/KHM,2018,,,,,,,,9000000.0,,,,,,
country/LBN,2018,,,,,37100908.769030996,,,,,,,,,
country/MAR,2013,,,,,477960.701009028,,,,,66000000.0,,,,
country/MAR,2014,,,,,86241210.03051609,,,,,,,,,
country/MAR,2015,,,,,8347199.1125901295,,,,,,,,,
country/MAR,2018,,,,,4741885.99079429,,,,,,,,,
country/MAR,2019,,,,,2126945.2037832877,,,,,,1288563.133711087,,,
country/MAR,2020,,,,,1905555.711680912,,,,,,,,,
country/MAR,2021,,,,,9549432.187202971,,,,,,,,,
country/MDA,2013,,,,,13542219.8619225,,,,,,,,,
country/MDA,2014,,,,,17248242.00610322,,,,,,,,,
country/MDA,2015,,,,,229617.30449251202,,,,,,,,,
country/MDA,2020,,,,,85470.0854700855,,,,,,,,,
country/MDG,2016,,,,,,,,49000000.0,,,,,,
country/MDV,2020,1980000.0,,,,,,,,,,,,,
country/MEX,2017,,,,,,,,,62400000.0,,,,,
country/MEX,2018,,,,,,,,,369239999.99999994,,,,,
country/MEX,2019,,,,,,,,,473540000.0,,,,,
country/MEX,2021,,,,,,,,,5910000.0,,,,,
country/MKD,2013,,,,,7966011.6834838,,,,,,,,,
country/MNE,2013,,,,,5310674.45565587,,,,,,,,,
country/MNG,2014,,,,,7097165.788775381,,,,,,,,,
country/MNG,2018,,,,,2169007.43538298,,,85500000.0,,,,,,
country/MNG,2019,,,,,4238674.31831412,,,,,,,,,
country/MNG,2020,,,,,167117.360683761,,,,,,,,,
country/MOZ,2021,,,,,,,,,,,,,,20000000.0
country/MUS,2019,,,,,,1134221.6,,,,,,,,
country/NGA,2021,,,,,,,,,,,12041817.600000001,,,
country/NIC,2019,,,,,,4477779.2,,,,,,,,
country/PAK,2019,49146764.0,,,,,,,,,,,,,
country/PAN,2019,,,,,,,,,2400000.0,,,,,
country/PAN,2021,,,,,,,,,23550000.0,,,,,
country/PER,2019,,,,,,,,,1883999.9999999998,,,,,
country/PER,2021,,,,,,,,,45620000.0,,,,,
country/PRY,2017,,,,,,,,,900000.0,,,,,
country/PRY,2018,,,,,,,,,62780000.0,,,,,
country/PRY,2019,,,,,,,,,2168000.0,,,,,
country/SLB,2017,,,,,,,,98000000.0,,,,,,
country/SLV,2021,,,,,,,,,50105600.0,,,,,
country/SRB,2013,,,,,19251161.710037168,,,,,,,,,
country/SRB,2015,,,,,3803376.31363492,,,,,,,,,
country/SRB,2016,,,,,2007317.6659335806,,,,,,,,,
country/SRB,2019,,,,,1679167.1219544776,,,,,,,,,
country/SRB,2020,,,,91168091.2,1709401.7205492125,,,,,,,,,
country/SRB,2021,,,,,326395.45884579,,,,,,,,,
country/SUR,2018,,,,,,,,,600000.0,,,,,
country/TJK,2014,,,,,58415133.76675065,,,,,,,,,
country/TJK,2015,,,,,1531636.6833056,,,,,,,,,
country/TJK,2017,15000000.0,,,,,,,37800000.0,,,,,,
country/TJK,2018,,,,,39162044.1402101,,,,,,,,,
country/TJK,2019,,,,,149565.077801411,,,,,,,,,
country/TJK,2020,,,,,219341.53709401703,,,,,,,,,
country/TJK,2021,,,,,2103935.97327342,,,,,,,,,
country/TUN,2015,,,,,1109262.34054354,,,,,,,,,
country/TUR,2014,,,,,111587964.30740735,,,,,,,,,
country/TUR,2015,,,,,39490585.800192,,,,,,,,,
country/TUR,2016,,,,,50713437.621475205,,,,,,,,,
country/TUR,2017,,,,,24524123.567805212,,,,,,,,,
country/TUR,2018,,,,,20912309.6896022,,,,,,,,,
country/TUR,2019,,,,,12233292.2870256,,,,,,,,,
country/TUR,2020,,,,,1374076.08159544,,,,,,,,,
country/TUR,2021,10578000.0,,,,247764.90066225198,,,,,,,,,
country/UGA,2021,,,,,,,,,,,70400000.0,,,
country/UKR,2013,,,,,15037477.06286511,,,,,,,,,
country/UKR,2017,,,,,13164631.9594183,,,,,,,,,
country/UKR,2018,,,,,6183406.113537122,,,,,,,,,
country/URY,2014,,,,,,,,,,32000000.0,,,,
country/URY,2016,,,,,,,,,115000.0,,,,,
country/URY,2017,,,,,,,,,15625000.0,,,,,
country/UZB,2018,,,,,20611589.7556946,,,,,,,,,
country/UZB,2020,,,,,3341231.21641026,,,,,,,,,
country/UZB,2021,40000000.0,,,,1307455.35075686,,,,,,,,,
country/VNM,2021,475000.0,,,,,,,,,,,,,14819544.0
country/XKX,2013,,,,,5310674.45565587,,,,,,,,,
country/ZAF,2018,,,,,,,,49500000.0,,,,,,
