dcid,year,climateFinanceProvidedCommitmentsCrossCuttingOdaGrantsCurrentUSD
Earth,2013,1870528739.8
Earth,2014,1686949863.0
Earth,2015,2346942971.3938813
Earth,2016,3017218756.06
Earth,2017,2841079707.23
Earth,2018,3137509398.138879
Earth,2019,2979682462.825012
Earth,2020,2996606918.20232
Earth,2021,3869940697.2000003
country/AUS,2013,117880985.8
country/AUS,2014,110139165.4
country/AUS,2015,82054699.80000001
country/AUS,2016,109418918.4
country/AUS,2017,83732826.8
country/AUS,2018,89008760.2
country/AUS,2019,92828434.4
country/AUS,2020,165341175.6
country/AUS,2021,171901034.6
country/AUT,2013,12935270.6
country/AUT,2014,5334944.800000001
country/AUT,2015,3652928.2
country/AUT,2016,4029298.8000000003
country/AUT,2017,5490411.600000001
country/AUT,2018,7425271.600000001
country/AUT,2019,9016076.0
country/AUT,2020,8284439.2
country/AUT,2021,10314318.8
country/BEL,2013,21891972.0
country/BEL,2014,59124703.4
country/BEL,2015,59653171.6
country/BEL,2016,41441698.400000006
country/BEL,2017,29005842.400000002
country/BEL,2018,41909577.400000006
country/BEL,2019,84249545.4
country/BEL,2020,69223637.0
country/BEL,2021,80792141.0
country/CAN,2013,12712739.200000001
country/CAN,2014,5526166.8
country/CAN,2015,44658706.0
country/CAN,2016,72167185.4
country/CAN,2017,28567460.8
country/CAN,2018,52008624.6
country/CAN,2019,55070838.800000004
country/CAN,2020,28286338.200000003
country/CAN,2021,26560799.400000002
country/CZE,2013,137386.0
country/CZE,2014,52028.8
country/CZE,2015,214830.00000000003
country/CZE,2016,176971.6
country/CZE,2017,224456.40000000002
country/CZE,2018,342565.60000000003
country/CZE,2019,361175.60000000003
country/CZE,2020,698558.0000000001
country/CZE,2021,615080.0
country/DNK,2013,223561960.0
country/DNK,2014,149898551.6
country/DNK,2015,66639946.2
country/DNK,2016,30469402.0
country/DNK,2017,44546714.2
country/DNK,2018,56259773.6
country/DNK,2019,74404973.0
country/DNK,2020,43837124.0
country/DNK,2021,47422257.8
country/EST,2020,121253.6
country/EST,2021,1356433.0
country/FIN,2013,10042002.4
country/FIN,2014,4349633.2
country/FIN,2015,11718808.8
country/FIN,2016,3816547.2
country/FIN,2017,6196150.800000001
country/FIN,2018,13369685.8
country/FIN,2019,392549.2
country/FIN,2020,10395512.0
country/FIN,2021,38721618.0
country/FRA,2013,9593730.0
country/FRA,2014,5755875.4
country/FRA,2015,9186514.4
country/FRA,2016,8519516.8
country/FRA,2017,15249123.0
country/FRA,2018,20169701.6
country/FRA,2019,75265573.60000001
country/FRA,2020,133712214.4
country/FRA,2021,27787670.8
country/DEU,2013,197223435.60000002
country/DEU,2014,223521247.20000002
country/DEU,2015,221717634.8
country/DEU,2016,283970714.0
country/DEU,2017,366159798.40000004
country/DEU,2018,423996325.6
country/DEU,2019,584996532.4
country/DEU,2020,433218376.40000004
country/DEU,2021,632351483.4
country/GRC,2013,184942.40000000002
country/GRC,2014,206519.0
country/GRC,2015,194325.0
country/GRC,2016,382718.0
country/GRC,2017,92088.8
country/GRC,2018,830.4000000000001
country/GRC,2020,7631.200000000001
country/HUN,2019,29994.4
country/HUN,2020,19620363.8
country/HUN,2021,11395339.200000001
country/ISL,2013,406990.80000000005
country/ISL,2014,380111.60000000003
country/ISL,2015,329007.20000000007
country/ISL,2016,244015.2
country/ISL,2017,395024.00000000006
country/ISL,2018,1109878.0
country/ISL,2019,1713269.0
country/ISL,2020,1233688.8
country/ISL,2021,1521340.4
country/IRL,2013,10415644.4
country/IRL,2014,12516192.4
country/IRL,2015,11125426.0
country/IRL,2016,17993597.6
country/IRL,2017,14370679.4
country/IRL,2018,5954906.4
country/IRL,2019,19728916.8
country/IRL,2020,17396649.0
country/IRL,2021,28233864.400000002
country/ITA,2013,17527379.2
country/ITA,2014,14723368.8
country/ITA,2015,90805017.0
country/ITA,2016,15554505.4
country/ITA,2017,78569087.4
country/ITA,2018,34425427.0
country/ITA,2019,57765365.0
country/ITA,2020,47219876.2
country/ITA,2021,66075878.2
country/JPN,2013,27250730.0
country/JPN,2014,32553412.6
country/JPN,2015,35392128.6
country/JPN,2016,20330471.0
country/JPN,2017,4909429.800000001
country/JPN,2018,3441453.4
country/JPN,2019,11688231.6
country/JPN,2020,11767871.0
country/JPN,2021,15827627.0
country/KAZ,2020,1670.0
country/KOR,2013,18644063.0
country/KOR,2014,4784325.2
country/KOR,2015,8280064.0
country/KOR,2016,11489572.8
country/KOR,2017,15598991.2
country/KOR,2018,17428469.4
country/KOR,2019,20613623.6
country/KOR,2020,15666095.4
country/KOR,2021,30645499.2
country/LVA,2018,18617.600000000002
country/LVA,2020,1013.6
country/LVA,2021,4730.400000000001
country/LTU,2015,74844.0
country/LTU,2016,118251.40000000001
country/LTU,2017,78913.20000000001
country/LTU,2018,4566.8
country/LTU,2019,160830.80000000002
country/LTU,2020,21712.800000000003
country/LTU,2021,46796.4
country/LUX,2013,7093200.0
country/LUX,2014,10421607.0
country/LUX,2015,6042738.4
country/LUX,2016,7232112.2
country/LUX,2017,1958346.0000000002
country/LUX,2018,1544025.4000000001
country/LUX,2019,3568239.4000000004
country/LUX,2020,931291.4
country/LUX,2021,1922837.6
country/NLD,2013,43669629.400000006
country/NLD,2014,8128918.4
country/NLD,2015,103975255.2
country/NLD,2016,65816971.4
country/NLD,2017,86386825.4
country/NLD,2018,158020958.4
country/NLD,2019,266769961.4
country/NLD,2020,370700159.2
country/NLD,2021,122416199.6
country/NZL,2013,1432429.6
country/NZL,2014,18520688.4
country/NZL,2015,2146457.2
country/NZL,2016,5452438.4
country/NZL,2017,10475771.6
country/NZL,2018,11731779.200000001
country/NZL,2019,10865190.4
country/NZL,2020,22474956.2
country/NZL,2021,14833648.0
country/NOR,2013,73841988.0
country/NOR,2014,22688716.2
country/NOR,2015,25832624.0
country/NOR,2016,13234383.4
country/NOR,2017,20929814.6
country/NOR,2018,18290923.400000002
country/NOR,2019,41973176.6
country/NOR,2020,22302516.2
country/NOR,2021,22328509.400000002
country/POL,2013,5212922.0
country/POL,2014,930371.6
country/POL,2015,47202.0
country/POL,2016,18980.0
country/POL,2017,16655.2
country/POL,2018,7200.0
country/POL,2019,289392.4
country/POL,2020,281668.80000000005
country/POL,2021,616240.0
country/PRT,2013,199983.6
country/PRT,2014,109068.80000000002
country/PRT,2015,110676.8
country/PRT,2016,120175.20000000001
country/PRT,2017,254046.40000000002
country/PRT,2018,360147.60000000003
country/PRT,2019,206662.40000000002
country/PRT,2020,1759.6000000000001
country/PRT,2021,307716.80000000005
country/ROU,2016,91144.6
country/ROU,2017,16240.0
country/ROU,2020,25772.8
country/SVK,2014,29720.0
country/SVK,2018,13936.0
country/SVK,2019,956303.6
country/SVK,2020,118728.0
country/SVK,2021,180489.6
country/SVN,2013,486948.80000000005
country/SVN,2014,148372.0
country/SVN,2015,44281.600000000006
country/SVN,2016,29508.0
country/SVN,2018,2676299.6
country/SVN,2019,169486.4
country/SVN,2020,59259.200000000004
country/SVN,2021,131409.6
country/ESP,2013,10485852.8
country/ESP,2014,18917832.0
country/ESP,2015,4020726.2
country/ESP,2016,5608095.2
country/ESP,2017,9437765.0
country/ESP,2018,32541598.6
country/ESP,2019,34386878.6
country/ESP,2020,14264577.200000001
country/ESP,2021,27500043.2
country/SWE,2013,185742551.0
country/SWE,2014,152045304.4
country/SWE,2015,78365830.4
country/SWE,2016,134587046.0
country/SWE,2017,115219800.60000001
country/SWE,2018,219927371.20000002
country/SWE,2019,183718865.0
country/SWE,2020,105081079.39999999
country/SWE,2021,105137565.0
country/CHE,2013,64144971.6
country/CHE,2014,43145378.800000004
country/CHE,2015,17293535.6
country/CHE,2016,28342205.400000002
country/CHE,2017,36680762.6
country/CHE,2018,53760808.0
country/CHE,2019,53266800.400000006
country/CHE,2020,81303566.0
country/CHE,2021,94061402.2
country/ARE,2018,2722572.0
country/ARE,2019,15464000.0
country/GBR,2013,149545662.2
country/GBR,2014,237208940.6
country/GBR,2015,620131805.4
country/GBR,2016,82663170.0
country/GBR,2017,101003744.60000001
country/GBR,2018,114015219.4
country/GBR,2019,162937714.20000002
country/GBR,2020,24116566.0
country/GBR,2021,39204322.800000004
country/USA,2013,136194926.0
country/USA,2014,206271228.0
country/USA,2015,181182834.6
