dcid,year,healthExpenditureGovernmentCurrentUSD
country/DZA,2000,1375687903.2905457
country/DZA,2001,1601550782.0288644
country/DZA,2002,1593798099.8172734
country/DZA,2003,1874249373.801335
country/DZA,2004,2157900021.4137673
country/DZA,2005,2313369604.970366
country/DZA,2006,2688109614.341386
country/DZA,2007,3599673261.4061575
country/DZA,2008,5173049728.722817
country/DZA,2009,5212590139.658921
country/DZA,2010,5731760713.26265
country/DZA,2011,7440244114.444738
country/DZA,2012,9148720296.502825
country/DZA,2013,8994920930.87211
country/DZA,2014,10080164514.755428
country/DZA,2015,8161201870.733055
country/DZA,2016,7157438571.528158
country/DZA,2017,7044419497.8571005
country/DZA,2018,7118682140.7623625
country/DZA,2019,6960160715.268904
country/DZA,2020,5842811114.19061
country/AGO,2000,124058707.88510507
country/AGO,2001,223658083.7146722
country/AGO,2002,200031378.5206011
country/AGO,2003,261062400.66117755
country/AGO,2004,397236997.42148685
country/AGO,2005,472768423.50730646
country/AGO,2006,756444673.1778667
country/AGO,2007,1123879692.284879
country/AGO,2008,1893342321.3420913
country/AGO,2009,1828308986.5096247
country/AGO,2010,1402883297.3868842
country/AGO,2011,1915201775.700686
country/AGO,2012,2001896858.0250707
country/AGO,2013,2317461046.986162
country/AGO,2014,1920719831.2396286
country/AGO,2015,1434109276.4924812
country/AGO,2016,1210995253.3156953
country/AGO,2017,1577680211.9303615
country/AGO,2018,1118847245.3872304
country/AGO,2019,925006721.2346989
country/AGO,2020,713456154.2410011
country/BWA,2000,184908589.3762381
country/BWA,2001,191401334.29105374
country/BWA,2002,203042464.39845383
country/BWA,2003,268927114.34170634
country/BWA,2004,302872560.08308786
country/BWA,2005,281818982.1859579
country/BWA,2006,276855465.92628163
country/BWA,2007,330666814.0931063
country/BWA,2008,393614383.3364056
country/BWA,2009,345058062.86155504
country/BWA,2010,455834587.04447186
country/BWA,2011,544672722.9479353
country/BWA,2012,569650527.0554053
country/BWA,2013,592965040.0962826
country/BWA,2014,617317933.3844562
country/BWA,2015,559521519.4727328
country/BWA,2016,578760158.7014854
country/BWA,2017,807857194.7680957
country/BWA,2018,705552395.9617547
country/BWA,2019,730106438.036914
country/BWA,2020,690030301.0463709
country/BFA,2000,28534737.777403135
country/BFA,2001,30998289.91942684
country/BFA,2002,38324113.285663255
country/BFA,2003,46468402.71711394
country/BFA,2004,92666668.38848561
country/BFA,2005,75160837.28070597
country/BFA,2006,93692147.2215709
country/BFA,2007,109210151.9433203
country/BFA,2008,128644778.71275371
country/BFA,2009,155159519.50071996
country/BFA,2010,132062864.06059207
country/BFA,2011,162625157.97310334
country/BFA,2012,133712158.27421798
country/BFA,2013,216771217.11524272
country/BFA,2014,226832278.95746535
