dcid,date,SdrHoldingsSdr
country/KIR,2008-06-30,11136.0
country/KOR,2008-06-30,53158635.0
country/KWT,2008-06-30,149146785.0
country/KGZ,2008-06-30,27122685.0
country/LAO,2008-06-30,9795732.0
country/LVA,2008-06-30,111175.0
country/LBN,2008-06-30,22523116.0
country/LSO,2008-06-30,3959116.0
country/LBR,2008-06-30,7210800.0
country/LBY,2008-06-30,572047239.0
country/LTU,2008-06-30,70865.0
country/LUX,2008-06-30,13246495.0
country/MDG,2008-06-30,220368.0
country/MWI,2008-06-30,22762.0
country/MYS,2008-06-30,146081726.0
country/MDV,2008-06-30,389040.0
country/MLI,2008-06-30,123563.0
country/MLT,2008-06-30,38810421.0
country/MRT,2008-06-30,67997.0
country/MUS,2008-06-30,18758434.0
country/MEX,2008-06-30,334524582.0
country/FSM,2008-06-30,1367044.0
country/MDA,2008-06-30,83810.0
country/MNG,2008-06-30,22200.0
country/MNE,2008-06-30,212875.0
country/MAR,2008-06-30,16311017.0
country/MOZ,2008-06-30,90570.0
country/MMR,2008-06-30,161349.0
country/NAM,2008-06-30,19734.0
country/NPL,2008-06-30,5568948.0
country/NLD,2008-06-30,554082954.0
country/NZL,2008-06-30,16150605.0
country/NIC,2008-06-30,205562.0
country/NER,2008-06-30,1079447.0
country/NGA,2008-06-30,177116.0
country/MKD,2008-06-30,992724.0
country/NOR,2008-06-30,237327661.0
country/OMN,2008-06-30,12568733.0
country/PAK,2008-06-30,133124372.0
country/PAN,2008-06-30,682093.0
country/PNG,2008-06-30,102185.0
country/PRY,2008-06-30,28250659.0
country/PER,2008-06-30,7016021.0
country/PHL,2008-06-30,7779087.0
country/POL,2008-06-30,69007599.0
country/PRT,2008-06-30,78695691.0
country/QAT,2008-06-30,28913746.0
country/ROU,2008-06-30,78815244.0
country/RUS,2008-06-30,498277.0
country/RWA,2008-06-30,20321113.0
country/WSM,2008-06-30,2617681.0
country/SMR,2008-06-30,1062995.0
country/STP,2008-06-30,9500.0
country/SAU,2008-06-30,466917949.0
country/SEN,2008-06-30,352135.0
country/SRB,2008-06-30,1677857.0
country/SYC,2008-06-30,5835.0
country/SLE,2008-06-30,19763154.0
country/SGP,2008-06-30,225706739.0
country/SVK,2008-06-30,986488.0
country/SVN,2008-06-30,7793886.0
country/SLB,2008-06-30,6443.0
country/SOM,2008-06-30,0.0
country/ZAF,2008-06-30,223067697.0
country/ESP,2008-06-30,167828280.0
country/LKA,2008-06-30,2790463.0
country/KNA,2008-06-30,4276.0
country/LCA,2008-06-30,1600135.0
country/VCT,2008-06-30,3476.0
country/SDN,2008-06-30,0.0
country/SUR,2008-06-30,460875.0
country/SWE,2008-06-30,207342475.0
country/CHE,2008-06-30,143104362.0
country/SYR,2008-06-30,36571051.0
country/TJK,2008-06-30,2310258.0
country/TZA,2008-06-30,90870.0
country/THA,2008-06-30,5704944.0
country/TGO,2008-06-30,729.0
country/TON,2008-06-30,454282.0
country/TTO,2008-06-30,1231899.0
country/TUN,2008-06-30,3702532.0
country/TUR,2008-06-30,41105720.0
country/UGA,2008-06-30,61940.0
country/UKR,2008-06-30,2903492.0
country/ARE,2008-06-30,10923861.0
country/GBR,2008-06-30,237621905.0
country/USA,2008-06-30,6029036383.0
country/URY,2008-06-30,292020.0
country/UZB,2008-06-30,453218.0
country/VUT,2008-06-30,1256267.0
country/VEN,2008-06-30,14814999.0
country/VNM,2008-06-30,5092917.0
country/YEM,2008-06-30,3950283.0
country/ZMB,2008-06-30,7881704.0
country/ZWE,2008-06-30,0.0
Earth,2008-06-30,21446936415.0
country/AFG,1978-05-31,5377063.0
country/DZA,1978-05-31,46355509.0
country/ARG,1978-05-31,107712286.0
country/AUS,1978-05-31,104784371.0
country/AUT,1978-05-31,103092196.0
country/BHR,1978-05-31,81822.0
country/BGD,1978-05-31,3273101.0
country/BRB,1978-05-31,2637170.0
country/BEL,1978-05-31,414135388.0
country/BEN,1978-05-31,4444002.0
country/BOL,1978-05-31,6399508.0
country/BWA,1978-05-31,1567338.0
country/BRA,1978-05-31,175793036.0
country/BFA,1978-05-31,4423083.0
country/BDI,1978-05-31,3670021.0
country/KHM,1978-05-31,0.0
country/CMR,1978-05-31,3877650.0
country/CAN,1978-05-31,406271636.0
country/CAF,1978-05-31,1632966.0
country/TCD,1978-05-31,1432498.0
country/CHL,1978-05-31,54580420.0
country/COL,1978-05-31,28750564.0
country/COD,1978-05-31,1.0
country/COG,1978-05-31,1427248.0
country/CRI,1978-05-31,4169948.0
country/CIV,1978-05-31,7802010.0
country/CYP,1978-05-31,3053864.0
country/DNK,1978-05-31,97911197.0
country/DOM,1978-05-31,4524741.0
country/ECU,1978-05-31,10114809.0
country/EGY,1978-05-31,15950827.0
country/SLV,1978-05-31,7629679.0
country/GNQ,1978-05-31,1701314.0
country/SWZ,1978-05-31,808857.0
country/ETH,1978-05-31,21494.0
country/FJI,1978-05-31,1195784.0
country/FIN,1978-05-31,34137501.0
country/FRA,1978-05-31,236992466.0
country/GAB,1978-05-31,4605417.0
country/GMB,1978-05-31,1252923.0
country/DEU,1978-05-31,799563445.0
country/GHA,1978-05-31,9648595.0
country/GRC,1978-05-31,12751071.0
country/GTM,1978-05-31,11602217.0
country/GIN,1978-05-31,1577998.0
country/GUY,1978-05-31,2178102.0
country/HTI,1978-05-31,4132192.0
country/HND,1978-05-31,3141773.0
country/ISL,1978-05-31,4660238.0
country/IND,1978-05-31,175935279.0
country/IDN,1978-05-31,29315315.0
country/IRN,1978-05-31,73638105.0
country/IRQ,1978-05-31,34558765.0
country/IRL,1978-05-31,47074059.0
country/ISR,1978-05-31,16561717.0
country/ITA,1978-05-31,193290311.0
country/JAM,1978-05-31,6378619.0
country/JPN,1978-05-31,523665522.0
country/JOR,1978-05-31,7361043.0
country/KEN,1978-05-31,12684590.0
country/KOR,1978-05-31,11031491.0
country/LAO,1978-05-31,1270200.0
country/LSO,1978-05-31,414437.0
country/LBR,1978-05-31,3103041.0
country/LUX,1978-05-31,7582720.0
country/MDG,1978-05-31,5579318.0
country/MWI,1978-05-31,3565940.0
country/MYS,1978-05-31,28476098.0
country/MLI,1978-05-31,2451216.0
country/MLT,1978-05-31,5821694.0
country/MRT,1978-05-31,419043.0
country/MUS,1978-05-31,1879284.0
country/MEX,1978-05-31,38960698.0
country/MAR,1978-05-31,9464910.0
country/MMR,1978-05-31,6975249.0
country/NPL,1978-05-31,1355917.0
country/NLD,1978-05-31,413675103.0
country/NZL,1978-05-31,45386277.0
country/NIC,1978-05-31,4485962.0
country/NER,1978-05-31,4381082.0
country/NGA,1978-05-31,66798425.0
country/NOR,1978-05-31,96288232.0
country/OMN,1978-05-31,741344.0
country/PAK,1978-05-31,13157914.0
country/PAN,1978-05-31,4332617.0
country/PNG,1978-05-31,490813.0
country/PRY,1978-05-31,6640235.0
country/PER,1978-05-31,1520429.0
country/PHL,1978-05-31,5744286.0
country/ROU,1978-05-31,587084.0
country/RWA,1978-05-31,2206015.0
country/WSM,1978-05-31,13976.0
country/SEN,1978-05-31,1719474.0
country/SLE,1978-05-31,371473.0
country/SOM,1978-05-31,4096532.0
country/ZAF,1978-05-31,28209407.0
country/ESP,1978-05-31,112700139.0
country/LKA,1978-05-31,12727566.0
country/SDN,1978-05-31,1342953.0
country/SWE,1978-05-31,107041766.0
country/SYR,1978-05-31,5991949.0
country/TZA,1978-05-31,6923167.0
country/THA,1978-05-31,29635851.0
country/TGO,1978-05-31,4423274.0
country/TTO,1978-05-31,12939952.0
country/TUN,1978-05-31,9066969.0
country/TUR,1978-05-31,24010.0
country/UGA,1978-05-31,5902834.0
country/GBR,1978-05-31,489384057.0
country/USA,1978-05-31,2262266999.0
country/URY,1978-05-31,8278310.0
country/VEN,1978-05-31,154859059.0
country/VNM,1978-05-31,2896966.0
country/YUG,1978-05-31,9801250.0
country/ZMB,1978-05-31,17316380.0
Earth,1978-05-31,7971798957.0
country/AFG,2022-04-30,344600832.0
country/ALB,2022-04-30,231224609.0
country/DZA,2022-04-30,3026769273.0
country/AND,2022-04-30,93816919.0
country/AGO,2022-04-30,835170587.0
country/ATG,2022-04-30,177807.0
country/ARG,2022-04-30,4393031272.0
country/ARM,2022-04-30,37121341.0
country/AUS,2022-04-30,9612824331.0
country/AUT,2022-04-30,5566551764.0
country/AZE,2022-04-30,471086305.0
country/BHS,2022-04-30,299250162.0
country/BHR,2022-04-30,445601647.0
country/BGD,2022-04-30,2112407759.0
country/BRB,2022-04-30,91678207.0
country/BLR,2022-04-30,1026817064.0
country/BEL,2022-04-30,10459846612.0
country/BLZ,2022-04-30,45951630.0
country/BEN,2022-04-30,404257800.0
country/BTN,2022-04-30,25684444.0
country/BOL,2022-04-30,398903838.0
country/BIH,2022-04-30,2077118.0
country/BWA,2022-04-30,248379816.0
country/BRA,2022-04-30,14193595331.0
country/BRN,2022-04-30,506388044.0
country/BGR,2022-04-30,1483226447.0
country/BFA,2022-04-30,268063251.0
country/BDI,2022-04-30,113911803.0
country/CPV,2022-04-30,28395.0
country/KHM,2022-04-30,256688051.0
country/CMR,2022-04-30,128363767.0
country/CAN,2022-04-30,17348394295.0
country/CAF,2022-04-30,39956702.0
country/TCD,2022-04-30,4972867.0
country/CHL,2022-04-30,2265511213.0
country/CHN,2022-04-30,38883086605.0
country/COL,2022-04-30,2542421925.0
country/COM,2022-04-30,9084213.0
country/COD,2022-04-30,537349947.0
country/COG,2022-04-30,7459675.0
country/CRI,2022-04-30,438875035.0
country/CIV,2022-04-30,1634935156.0
country/HRV,2022-04-30,992584877.0
country/CYP,2022-04-30,356281623.0
country/CZE,2022-04-30,2547227189.0
country/DNK,2022-04-30,4809680694.0
country/DJI,2022-04-30,2776081.0
country/DMA,2022-04-30,10846354.0
country/DOM,2022-04-30,458144046.0
country/ECU,2022-04-30,47035010.0
country/EGY,2022-04-30,147929675.0
country/SLV,2022-04-30,434400564.0
country/GNQ,2022-04-30,20969893.0
country/ERI,2022-04-30,18610033.0
country/EST,2022-04-30,262136282.0
country/SWZ,2022-04-30,123293363.0
country/ETH,2022-04-30,3984282.0
country/FJI,2022-04-30,138599281.0
country/FIN,2022-04-30,3522948955.0
country/FRA,2022-04-30,28032669872.0
country/GAB,2022-04-30,265198564.0
country/GMB,2022-04-30,61913324.0
country/GEO,2022-04-30,345812790.0
country/DEU,2022-04-30,38118527858.0
country/GHA,2022-04-30,654724811.0
country/GRC,2022-04-30,821590119.0
country/GRD,2022-04-30,15585071.0
country/GTM,2022-04-30,531494917.0
country/GIN,2022-04-30,61819825.0
country/GNB,2022-04-30,59598969.0
country/GUY,2022-04-30,1159723.0
country/HTI,2022-04-30,101785246.0
country/HND,2022-04-30,47043533.0
country/HUN,2022-04-30,1861367458.0
country/ISL,2022-04-30,421922674.0
country/IND,2022-04-30,13656556912.0
country/IDN,2022-04-30,5569651785.0
country/IRN,2022-04-30,4971769362.0
country/IRQ,2022-04-30,3047437.0
country/IRL,2022-04-30,4051356424.0
country/ISR,2022-04-30,2765068664.0
country/ITA,2022-04-30,20532159102.0
country/JAM,2022-04-30,118664452.0
country/JPN,2022-04-30,44902811881.0
country/JOR,2022-04-30,6156216.0
country/KAZ,2022-04-30,1463847862.0
country/KEN,2022-04-30,467080994.0
country/KIR,2022-04-30,14723215.0
country/KOR,2022-04-30,11177653021.0
country/XKX,2022-04-30,127588250.0
country/KWT,2022-04-30,3190552709.0
country/KGZ,2022-04-30,286013867.0
country/LAO,2022-04-30,89162527.0
country/LVA,2022-04-30,439317429.0
country/LBN,2022-04-30,3046876.0
country/LSO,2022-04-30,66046600.0
country/LBR,2022-04-30,384576842.0
country/LBY,2022-04-30,3179896550.0
country/LTU,2022-04-30,580746511.0
country/LUX,2022-04-30,1517686558.0
country/MDG,2022-04-30,242826026.0
country/MWI,2022-04-30,3018160.0
country/MYS,2022-04-30,4307310322.0
country/MDV,2022-04-30,1894093.0
country/MLI,2022-04-30,550067362.0
country/MLT,2022-04-30,248524699.0
country/MHL,2022-04-30,7710174.0
country/MRT,2022-04-30,7051764.0
country/MUS,2022-04-30,226461415.0
country/MEX,2022-04-30,11842191020.0
country/FSM,2022-04-30,12645626.0
country/MDA,2022-04-30,2619116.0
country/MNG,2022-04-30,95981927.0
country/MNE,2022-04-30,74912780.0
country/MAR,2022-04-30,1459069195.0
country/MOZ,2022-04-30,221804153.0
country/MMR,2022-04-30,493084462.0
country/NAM,2022-04-30,182184955.0
country/NRU,2022-04-30,2863923.0
country/NPL,2022-04-30,152826315.0
country/NLD,2022-04-30,13788237429.0
country/NZL,2022-04-30,2119707649.0
country/NIC,2022-04-30,281533392.0
country/NER,2022-04-30,371380268.0
country/NGA,2022-04-30,3792719091.0
country/MKD,2022-04-30,653814.0
country/NOR,2022-04-30,5267118813.0
country/OMN,2022-04-30,691998199.0
country/PAK,2022-04-30,1639818687.0
country/PLW,2022-04-30,7236318.0
country/PAN,2022-04-30,474506194.0
country/PNG,2022-04-30,259003995.0
country/PRY,2022-04-30,97228695.0
country/PER,2022-04-30,1782966144.0
country/PHL,2022-04-30,2814410227.0
country/POL,2022-04-30,4234632691.0
country/PRT,2022-04-30,2691248457.0
country/QAT,2022-04-30,981756984.0
country/ROU,2022-04-30,2737389945.0
country/RUS,2022-04-30,17302155838.0
country/RWA,2022-04-30,53603212.0
country/WSM,2022-04-30,17079149.0
country/SMR,2022-04-30,48150176.0
country/STP,2022-04-30,789267.0
country/SAU,2022-04-30,15421464302.0
country/SEN,2022-04-30,883881565.0
country/SRB,2022-04-30,72518112.0
country/SYC,2022-04-30,24026864.0
country/SLE,2022-04-30,353942975.0
country/SGP,2022-04-30,4559026171.0
country/SVK,2022-04-30,1311157879.0
country/SVN,2022-04-30,802367120.0
country/SLB,2022-04-30,20703423.0
country/SOM,2022-04-30,117031320.0
country/ZAF,2022-04-30,4421953968.0
country/SSD,2022-04-30,85866809.0
country/ESP,2022-04-30,11865511509.0
country/LKA,2022-04-30,85689218.0
country/KNA,2022-04-30,16623945.0
country/LCA,2022-04-30,23461288.0
country/VCT,2022-04-30,11071439.0
country/SDN,2022-04-30,771981991.0
country/SUR,2022-04-30,123476189.0
country/SWE,2022-04-30,6835346861.0
country/CHE,2022-04-30,9077099314.0
country/SYR,2022-04-30,563640201.0
country/TJK,2022-04-30,190301137.0
country/TZA,2022-04-30,6992185.0
country/THA,2022-04-30,4071487889.0
country/TLS,2022-04-30,27925464.0
country/TGO,2022-04-30,350427739.0
country/TON,2022-04-30,18680553.0
country/TTO,2022-04-30,771438476.0
country/TUN,2022-04-30,18799608.0
country/TKM,2022-04-30,257563194.0
country/TUV,2022-04-30,3480583.0
country/TUR,2022-04-30,5508112674.0
country/UGA,2022-04-30,389667504.0
country/UKR,2022-04-30,953474958.0
country/ARE,2022-04-30,2368348190.0
country/GBR,2022-04-30,29520516068.0
country/USA,2022-04-30,118325327827.0
country/URY,2022-04-30,632809158.0
country/UZB,2022-04-30,794430139.0
country/VUT,2022-04-30,23889684.0
country/VEN,2022-04-30,3610268774.0
country/VNM,2022-04-30,1382402656.0
country/YEM,2022-04-30,467636651.0
country/ZMB,2022-04-30,1066959504.0
country/ZWE,2022-04-30,478411504.0
Earth,2022-04-30,660698906854.0
country/AFG,1984-09-30,13801304.0
country/DZA,1984-09-30,110754235.0
country/ATG,1984-09-30,2106.0
country/ARG,1984-09-30,539522.0
country/AUS,1984-09-30,187149128.0
country/AUT,1984-09-30,194392168.0
country/BHS,1984-09-30,794509.0
country/BHR,1984-09-30,12913327.0
country/BGD,1984-09-30,345108.0
country/BRB,1984-09-30,34882.0
country/BEL,1984-09-30,395988983.0
country/BLZ,1984-09-30,31629.0
country/BEN,1984-09-30,362119.0
country/BTN,1984-09-30,42375.0
country/BOL,1984-09-30,39051.0
country/BWA,1984-09-30,8229674.0
country/BRA,1984-09-30,1278549.0
country/BFA,1984-09-30,5628263.0
country/BDI,1984-09-30,351318.0
country/CPV,1984-09-30,97332.0
country/KHM,1984-09-30,338072.0
country/CMR,1984-09-30,6647398.0
country/CAN,1984-09-30,88489864.0
country/CAF,1984-09-30,2352744.0
country/TCD,1984-09-30,37083.0
country/CHL,1984-09-30,725030.0
country/CHN,1984-09-30,404729137.0
country/COL,1984-09-30,0.0
country/COM,1984-09-30,0.0
country/COD,1984-09-30,321286.0
country/COG,1984-09-30,2300576.0
country/CRI,1984-09-30,104387.0
country/CIV,1984-09-30,133247.0
country/CYP,1984-09-30,91560.0
country/DNK,1984-09-30,149208953.0
country/DJI,1984-09-30,404405.0
country/DMA,1984-09-30,3849.0
country/DOM,1984-09-30,308880.0
country/ECU,1984-09-30,333734.0
country/EGY,1984-09-30,172674.0
country/SLV,1984-09-30,62126.0
country/GNQ,1984-09-30,0.0
country/SWZ,1984-09-30,2573575.0
country/ETH,1984-09-30,2174731.0
country/FJI,1984-09-30,6461348.0
country/FIN,1984-09-30,135671715.0
country/FRA,1984-09-30,566569499.0
country/GAB,1984-09-30,6008801.0
country/GMB,1984-09-30,25369.0
country/DEU,1984-09-30,1407423326.0
country/GHA,1984-09-30,2081429.0
country/GRC,1984-09-30,1089834.0
country/GRD,1984-09-30,8741.0
country/GTM,1984-09-30,16562.0
country/GIN,1984-09-30,0.0
country/GNB,1984-09-30,167647.0
country/GUY,1984-09-30,0.0
country/HTI,1984-09-30,56121.0
country/HND,1984-09-30,118825.0
country/HUN,1984-09-30,1267003.0
country/ISL,1984-09-30,122229.0
country/IND,1984-09-30,180857514.0
country/IDN,1984-09-30,460812.0
country/IRN,1984-09-30,317926096.0
country/IRQ,1984-09-30,32672.0
country/IRL,1984-09-30,84673250.0
country/ISR,1984-09-30,144078.0
country/ITA,1984-09-30,673471621.0
country/JAM,1984-09-30,25217.0
country/JPN,1984-09-30,1919930746.0
country/JOR,1984-09-30,15930707.0
country/KEN,1984-09-30,5915030.0
country/KOR,1984-09-30,3447300.0
country/KWT,1984-09-30,67437632.0
country/LAO,1984-09-30,11175.0
country/LBN,1984-09-30,567780.0
country/LSO,1984-09-30,1035529.0
country/LBR,1984-09-30,0.0
country/LBY,1984-09-30,126066478.0
country/LUX,1984-09-30,16445132.0
country/MDG,1984-09-30,3603.0
country/MWI,1984-09-30,8680021.0
country/MYS,1984-09-30,102177204.0
country/MDV,1984-09-30,18505.0
country/MLI,1984-09-30,108779.0
country/MLT,1984-09-30,34584338.0
country/MRT,1984-09-30,13944.0
country/MUS,1984-09-30,73014.0
country/MEX,1984-09-30,9035086.0
country/MAR,1984-09-30,0.0
country/MMR,1984-09-30,58810.0
country/NPL,1984-09-30,68492.0
country/NLD,1984-09-30,548556943.0
country/NZL,1984-09-30,137379.0
country/NIC,1984-09-30,0.0
country/NER,1984-09-30,2936535.0
country/NGA,1984-09-30,13896945.0
country/NOR,1984-09-30,268708665.0
country/OMN,1984-09-30,6780970.0
country/PAK,1984-09-30,2267443.0
country/PAN,1984-09-30,3151972.0
country/PNG,1984-09-30,5332577.0
country/PRY,1984-09-30,33977344.0
country/PER,1984-09-30,683673.0
country/PHL,1984-09-30,545222.0
country/PRT,1984-09-30,1385218.0
country/QAT,1984-09-30,14967320.0
country/ROU,1984-09-30,830238.0
country/RWA,1984-09-30,8314364.0
country/WSM,1984-09-30,301076.0
country/STP,1984-09-30,92349.0
country/SAU,1984-09-30,484707613.0
country/SEN,1984-09-30,78863.0
country/SYC,1984-09-30,30985.0
country/SLE,1984-09-30,0.0
country/SGP,1984-09-30,55876289.0
country/SLB,1984-09-30,1471892.0
country/SOM,1984-09-30,0.0
country/ZAF,1984-09-30,516652.0
country/ESP,1984-09-30,123442454.0
country/LKA,1984-09-30,145256.0
country/LCA,1984-09-30,994.0
country/VCT,1984-09-30,1364.0
country/SDN,1984-09-30,0.0
country/SUR,1984-09-30,1433778.0
country/SWE,1984-09-30,168387826.0
country/SYR,1984-09-30,6010135.0
country/TZA,1984-09-30,0.0
country/THA,1984-09-30,1542415.0
country/TGO,1984-09-30,52343.0
country/TTO,1984-09-30,101828249.0
country/TUN,1984-09-30,2281686.0
country/TUR,1984-09-30,459916.0
country/UGA,1984-09-30,79003.0
country/ARE,1984-09-30,65419901.0
country/GBR,1984-09-30,551595727.0
country/USA,1984-09-30,5559910961.0
country/URY,1984-09-30,154545.0
country/VUT,1984-09-30,68490.0
country/VEN,1984-09-30,372070921.0
country/VNM,1984-09-30,0.0
country/YUG,1984-09-30,297.0
country/ZMB,1984-09-30,449724.0
country/ZWE,1984-09-30,9963301.0
Earth,1984-09-30,21438984153.0
country/AFG,1987-10-31,10753351.0
country/DZA,1987-10-31,141252818.0
country/ATG,1987-10-31,2601.0
country/ARG,1987-10-31,16172621.0
country/AUS,1987-10-31,262954446.0
country/AUT,1987-10-31,210863301.0
country/BHS,1987-10-31,356538.0
country/BHR,1987-10-31,14489088.0
country/BGD,1987-10-31,24679907.0
country/BRB,1987-10-31,250104.0
country/BEL,1987-10-31,221839436.0
country/BLZ,1987-10-31,182366.0
country/BEN,1987-10-31,200165.0
country/BTN,1987-10-31,129743.0
country/BOL,1987-10-31,509844.0
country/BWA,1987-10-31,15008165.0
country/BRA,1987-10-31,5432950.0
country/BFA,1987-10-31,5644553.0
country/BDI,1987-10-31,182633.0
country/CPV,1987-10-31,74544.0
country/KHM,1987-10-31,0.0
country/CMR,1987-10-31,545774.0
country/CAN,1987-10-31,407453725.0
country/CAF,1987-10-31,5852467.0
country/TCD,1987-10-31,6591379.0
country/CHL,1987-10-31,10429466.0
country/CHN,1987-10-31,454592684.0
country/COL,1987-10-31,114292954.0
country/COM,1987-10-31,151584.0
country/COD,1987-10-31,10993834.0
country/COG,1987-10-31,2176480.0
country/CRI,1987-10-31,1097061.0
country/CIV,1987-10-31,4302499.0
country/CYP,1987-10-31,567365.0
country/DNK,1987-10-31,211090231.0
country/DJI,1987-10-31,333315.0
country/DMA,1987-10-31,1181625.0
country/DOM,1987-10-31,916814.0
country/ECU,1987-10-31,633615.0
country/EGY,1987-10-31,4321520.0
country/SLV,1987-10-31,547315.0
country/GNQ,1987-10-31,123183.0
country/SWZ,1987-10-31,4033906.0
country/ETH,1987-10-31,760050.0
country/FJI,1987-10-31,3960419.0
country/FIN,1987-10-31,171806484.0
country/FRA,1987-10-31,1044633556.0
country/GAB,1987-10-31,8764420.0
country/GMB,1987-10-31,3982685.0
country/DEU,1987-10-31,1391137120.0
country/GHA,1987-10-31,6168401.0
country/GRC,1987-10-31,1121855.0
country/GRD,1987-10-31,2975.0
country/GTM,1987-10-31,692438.0
country/GIN,1987-10-31,2299058.0
country/GNB,1987-10-31,101432.0
country/GUY,1987-10-31,227000.0
country/HTI,1987-10-31,157490.0
country/HND,1987-10-31,93631.0
country/HUN,1987-10-31,203883.0
country/ISL,1987-10-31,2184950.0
country/IND,1987-10-31,169858454.0
country/IDN,1987-10-31,15599897.0
country/IRN,1987-10-31,340497205.0
country/IRQ,1987-10-31,6065351.0
country/IRL,1987-10-31,124429580.0
country/ISR,1987-10-31,1721694.0
country/ITA,1987-10-31,657659602.0
country/JAM,1987-10-31,1278746.0
country/JPN,1987-10-31,1743325687.0
country/JOR,1987-10-31,13419221.0
country/KEN,1987-10-31,1982233.0
country/KIR,1987-10-31,4140.0
country/KOR,1987-10-31,10998753.0
country/KWT,1987-10-31,143545689.0
country/LAO,1987-10-31,1.0
country/LBN,1987-10-31,3188891.0
country/LSO,1987-10-31,671435.0
country/LBR,1987-10-31,0.0
country/LBY,1987-10-31,192304170.0
country/LUX,1987-10-31,17848069.0
country/MDG,1987-10-31,1730225.0
country/MWI,1987-10-31,760757.0
country/MYS,1987-10-31,113915602.0
country/MDV,1987-10-31,10953.0
country/MLI,1987-10-31,759818.0
country/MLT,1987-10-31,45693793.0
country/MRT,1987-10-31,2385682.0
country/MUS,1987-10-31,1875452.0
country/MEX,1987-10-31,412765915.0
country/MAR,1987-10-31,6351857.0
country/MMR,1987-10-31,1084603.0
country/NPL,1987-10-31,425794.0
country/NLD,1987-10-31,628211234.0
country/NZL,1987-10-31,3089808.0
country/NIC,1987-10-31,0.0
country/NER,1987-10-31,931342.0
country/NGA,1987-10-31,2508934.0
country/NOR,1987-10-31,374917921.0
country/OMN,1987-10-31,6708639.0
country/PAK,1987-10-31,10273130.0
country/PAN,1987-10-31,1882983.0
country/PNG,1987-10-31,3387477.0
country/PRY,1987-10-31,44092963.0
country/PER,1987-10-31,1426000.0
country/PHL,1987-10-31,10563113.0
country/POL,1987-10-31,81542.0
country/PRT,1987-10-31,19622044.0
country/QAT,1987-10-31,24133298.0
country/ROU,1987-10-31,1177244.0
country/RWA,1987-10-31,8030574.0
