dcid,date,SdrHoldingsSdr
country/AFG,2008-06-30,78017.0
country/ALB,2008-06-30,7110203.0
country/DZA,2008-06-30,7449864.0
country/AGO,2008-06-30,164645.0
country/ATG,2008-06-30,6623.0
country/ARG,2008-06-30,320635415.0
country/ARM,2008-06-30,8865589.0
country/AUS,2008-06-30,117073196.0
country/AUT,2008-06-30,147736268.0
country/AZE,2008-06-30,6344323.0
country/BHS,2008-06-30,49717.0
country/BHR,2008-06-30,8094320.0
country/BGD,2008-06-30,450422.0
country/BRB,2008-06-30,121843.0
country/BLR,2008-06-30,618199.0
country/BEL,2008-06-30,381365321.0
country/BLZ,2008-06-30,2234421.0
country/BEN,2008-06-30,42113.0
country/BTN,2008-06-30,405299.0
country/BOL,2008-06-30,27468864.0
country/BIH,2008-06-30,462864.0
country/BWA,2008-06-30,39020983.0
country/BRA,2008-06-30,670423.0
country/BRN,2008-06-30,12481520.0
country/BGR,2008-06-30,4037510.0
country/BFA,2008-06-30,83307.0
country/BDI,2008-06-30,196432.0
country/CPV,2008-06-30,28617.0
country/KHM,2008-06-30,49052.0
country/CMR,2008-06-30,2999912.0
country/CAN,2008-06-30,642824011.0
country/CAF,2008-06-30,41417.0
country/TCD,2008-06-30,130727.0
country/CHL,2008-06-30,37744578.0
country/CHN,2008-06-30,770400762.0
country/COL,2008-06-30,144585863.0
country/COM,2008-06-30,16620.0
country/COD,2008-06-30,1705595.0
country/COG,2008-06-30,162632.0
country/CRI,2008-06-30,358238.0
country/CIV,2008-06-30,1363353.0
country/HRV,2008-06-30,272948.0
country/CYP,2008-06-30,1981856.0
country/CZE,2008-06-30,13222965.0
country/DNK,2008-06-30,190198318.0
country/DJI,2008-06-30,454735.0
country/DMA,2008-06-30,5100.0
country/DOM,2008-06-30,91194571.0
country/ECU,2008-06-30,17132352.0
country/EGY,2008-06-30,79250423.0
country/SLV,2008-06-30,25012590.0
country/GNQ,2008-06-30,460136.0
country/EST,2008-06-30,60621.0
country/SWZ,2008-06-30,2544812.0
country/ETH,2008-06-30,122831.0
country/FJI,2008-06-30,6691161.0
country/FIN,2008-06-30,154410118.0
country/FRA,2008-06-30,627480997.0
country/GAB,2008-06-30,118959.0
country/GMB,2008-06-30,54511.0
country/GEO,2008-06-30,201748.0
country/DEU,2008-06-30,1416195711.0
country/GHA,2008-06-30,630459.0
country/GRC,2008-06-30,16343344.0
country/GRD,2008-06-30,62190.0
country/GTM,2008-06-30,2621900.0
country/GIN,2008-06-30,2638938.0
country/GNB,2008-06-30,34092.0
country/GUY,2008-06-30,310466.0
country/HTI,2008-06-30,4783765.0
country/HND,2008-06-30,190688.0
country/HUN,2008-06-30,59611936.0
country/ISL,2008-06-30,44267.0
country/IND,2008-06-30,6780479.0
country/IDN,2008-06-30,23814566.0
country/IRN,2008-06-30,282771994.0
country/IRQ,2008-06-30,90921500.0
country/IRL,2008-06-30,63609605.0
country/ISR,2008-06-30,9442499.0
country/ITA,2008-06-30,163077697.0
country/JAM,2008-06-30,123761.0
country/JPN,2008-06-30,1944385534.0
country/JOR,2008-06-30,2951364.0
country/KAZ,2008-06-30,886201.0
country/KEN,2008-06-30,1956007.0
