dcid,year,principalRepaymentsPPGCurrentUSD
country/AFG,2006,3493000.0
country/AFG,2012,1613738.5
country/AFG,2014,12102333.3
country/AFG,2015,18688050.9
country/AFG,2024,97935075.1
country/AFG,2026,94948964.6
country/AFG,2027,94320393.2
country/ALB,2001,8375645.8
country/ALB,2009,79875233.9
country/ALB,2010,174232587.8
country/ALB,2011,190385807.6
country/ALB,2016,191313813.0
country/ALB,2017,221743078.1
country/ALB,2019,263122915.0
country/ALB,2024,429965514.2
country/ALB,2026,411645171.2
country/AFG,2008,1296000.0
country/AFG,2010,966000.0
country/AFG,2011,862000.0
country/AFG,2017,22530342.2
country/AFG,2019,25288634.9
country/AFG,2022,89796136.9
country/AFG,2023,91053279.8
country/AFG,2028,94320393.2
country/ALB,1991,803337.7
country/ALB,1993,5032389.7
country/ALB,1997,7953237.4
country/ALB,1998,10433000.3
country/ALB,2004,37387425.2
country/ALB,2005,40130134.3
country/ALB,2006,57168731.3
country/ALB,2008,57523993.4
country/ALB,2025,1015606240.0
country/DZA,1970,34566405.5
country/DZA,1971,52629637.3
country/DZA,1977,646069044.0
country/DZA,1983,3312280108.6
country/DZA,1987,3819637956.2
country/DZA,2001,2814110513.5
country/DZA,2004,4118316984.3
country/DZA,2008,908433720.1
country/DZA,2010,323899919.2
country/DZA,2011,415096807.5
country/DZA,2019,92540388.9
country/DZA,2021,100618029.2
country/AGO,1998,1284570825.2
country/AGO,2000,1530133178.4
country/AGO,2002,1284812600.3
country/AGO,2003,1316585486.1
country/AGO,2004,1701660087.1
country/AGO,2006,3508619541.3
country/AGO,2008,1133083526.7
country/AGO,2012,3654591435.2
country/AGO,2015,5243741012.2
country/AGO,2018,6904952436.0
country/AGO,2021,6751870996.0
country/AGO,2022,7167013277.6
country/AGO,2023,7680600858.0
country/DZA,1979,1563384907.3
country/DZA,1986,3573815908.5
country/DZA,1997,2019298533.6
country/DZA,2005,4218929389.0
country/DZA,2009,387814498.8
country/DZA,2014,210609416.3
country/DZA,2015,167362207.7
country/DZA,2017,139748883.2
country/DZA,2022,102148863.2
country/DZA,2025,82469213.6
country/DZA,2026,82213965.7
country/DZA,2027,81258768.1
country/AGO,1989,139630329.2
country/AGO,1990,182632302.3
country/AGO,1993,62876532.1
country/AGO,1995,335208678.8
country/AGO,2005,2288858416.3
country/AGO,2010,2113033246.8
country/AGO,2027,4861327401.5
country/AGO,2028,5056435805.6
country/AFG,2016,22747293.1
country/AFG,2020,21632557.5
country/AFG,2025,96134679.0
country/ALB,1994,8084293.3
country/ALB,2012,190952542.8
country/ALB,2014,175850181.8
country/ALB,2018,554003942.6
country/ALB,2020,537174130.9
country/ALB,2021,369499776.3
country/ALB,2028,320248139.5
country/DZA,1973,232891396.7
country/DZA,1975,252262551.7
country/DZA,1978,903604864.2
country/DZA,1981,2552041168.9
country/DZA,1982,2953979008.9
country/DZA,1984,3600373631.5
country/DZA,1985,3476578968.0
country/DZA,1988,4592078859.4
country/DZA,1989,5118180484.0
country/DZA,1992,7078781725.6
country/DZA,1994,3357554956.2
country/DZA,1996,1968106008.0
country/DZA,1999,3026455807.1
country/DZA,2013,261579903.1
country/DZA,2016,148801942.5
country/DZA,2020,77328250.5
country/DZA,2023,95651137.0
country/DZA,2028,76545772.7
country/AGO,1991,232466118.5
country/AGO,1992,144023383.7
country/AGO,1994,153295191.0
country/AGO,1996,654263311.5
country/AGO,1997,816341436.9
country/AGO,1999,1269938131.2
country/AGO,2001,2083958049.7
country/AGO,2011,2646705346.7
country/AGO,2014,5871620786.3
country/AGO,2016,7040191911.3
country/AGO,2017,6823105555.7
country/AGO,2019,8543516102.3
country/AGO,2020,4554552633.4
country/AGO,2024,7081833361.4
country/AGO,2025,7391753549.1
country/AFG,2007,1272000.0
country/AFG,2009,3140000.0
country/AFG,2013,4155110.6
country/AFG,2018,24702520.6
country/AFG,2021,14054000.0
country/ALB,1995,412150.1
country/ALB,1996,5311429.4
country/ALB,1999,8280554.8
country/ALB,2000,9148784.9
country/ALB,2002,20119431.6
country/ALB,2003,26190277.7
country/ALB,2007,55433507.2
country/ALB,2013,123943111.8
country/ALB,2015,499647240.1
country/ALB,2022,422727017.1
country/ALB,2023,428846497.1
country/ALB,2027,955289550.2
country/DZA,1972,138428036.7
country/DZA,1974,491799292.3
country/DZA,1976,439849280.5
country/DZA,1980,2528495125.4
country/DZA,1990,6782959837.2
country/DZA,1991,7223959802.8
country/DZA,1993,6981928258.8
country/DZA,1995,2248095900.8
country/DZA,1998,2704064062.0
country/DZA,2000,2719381623.9
country/DZA,2002,2589183610.3
country/DZA,2003,2769728447.4
country/DZA,2006,12638962889.7
country/DZA,2007,605561239.2
country/DZA,2012,579507083.6
country/DZA,2018,121505082.9
country/DZA,2024,95764241.1
country/AGO,2007,3783730205.2
country/AGO,2009,3138328663.0
country/AGO,2013,3992940563.0
country/AGO,2026,5186227696.1
country/ARG,1976,616970654.1
country/ARG,1977,733555979.9
country/ARG,1980,1216368449.5
country/ARG,1991,1534349695.5
country/ARG,1994,1030637774.8
country/ARG,1995,1808505164.4
country/ARG,2002,2396662492.2
country/ARG,2004,1837036427.5
country/ARG,2005,1724365749.8
country/ARG,2008,3395507866.7
country/ARG,2012,3479259596.6
country/ARG,2017,17820618852.9
country/ARG,2020,8200257564.4
country/ARG,2021,4472555872.5
country/ARM,1995,2817000.0
country/ARM,2002,29839868.3
country/ARM,2003,61052600.6
country/ARM,2008,14954063.2
country/ARM,2010,23853767.0
country/ARM,2011,28492787.2
country/ARM,2014,41835863.7
country/ARM,2016,72829146.3
country/ARM,2025,858635302.0
country/ARM,2026,440541225.3
country/ARM,2027,361564267.3
country/ARG,1970,348203496.2
country/ARG,1978,1624817240.8
country/ARG,1979,910611804.5
country/ARG,1981,1107143877.8
country/ARG,1983,982484189.0
country/ARG,1984,513961891.4
country/ARG,1987,1366911112.1
country/ARG,1988,1276644511.9
country/ARG,1989,1461526085.6
country/ARG,1990,2761081386.8
country/ARG,1992,944846816.6
country/ARG,1993,2177375711.0
country/ARG,1998,4208396570.7
country/ARG,2003,5672459083.1
country/ARG,2016,5363215064.6
country/ARG,2018,15786740278.2
country/AZE,2007,64264650.4
country/AZE,2009,212651860.3
country/AZE,2017,1261895875.9
country/AZE,2018,1639485017.9
country/AZE,2022,999627871.2
country/AZE,2023,1009932943.5
country/AZE,2024,2778961285.7
country/AZE,2028,671152605.9
country/ARM,1993,592000.0
country/ARM,1999,25672410.8
country/ARM,2005,15895470.6
country/ARM,2012,30012866.9
country/ARM,2013,536818090.1
country/AZE,2000,14152000.0
country/AZE,2003,66744034.3
country/AZE,2008,149848078.2
country/AZE,2014,569389626.4
country/AZE,2015,582917731.8
country/AZE,2020,860659438.7
country/AZE,2025,988466699.4
country/AZE,2027,807264050.1
country/BGD,1974,16135538.9
country/BGD,1976,41912025.6
country/BGD,1977,50257795.2
country/BGD,1980,33739599.2
country/BGD,1982,69358937.1
country/BGD,1983,71204073.1
country/BGD,1989,198546034.3
country/BGD,2003,412157193.1
country/BGD,2006,481708657.1
country/BGD,2008,631323940.3
country/BGD,2018,1179901304.3
country/BGD,2019,1250007130.6
country/BLR,1998,60468628.0
country/BLR,2000,134305768.3
country/BLR,2004,179227040.6
country/BLR,2007,252743258.9
country/BLR,2010,462778122.7
country/BLR,2011,1318413011.0
country/BLR,2013,1063736408.3
country/BLR,2020,2712307453.1
country/BLR,2022,2693966180.1
country/BLR,2027,2636900419.5
country/BLR,2028,1722756430.0
country/BGD,1979,55023999.1
country/BGD,1987,169877500.0
country/BGD,1993,266340119.9
country/BGD,1994,304127458.3
country/BGD,1996,367302910.5
country/BGD,1997,382562755.8
country/BGD,2004,451849669.7
country/BGD,2010,723848140.8
country/BGD,2012,981564416.3
country/BGD,2014,1267458306.2
country/BGD,2020,1306694969.7
country/BGD,2022,2547384306.3
country/BGD,2025,3999633086.1
country/BGD,2026,4206601342.7
country/BGD,2027,4972958949.2
country/BGD,2028,5041599488.0
country/BLZ,1974,192123.2
country/BLZ,1993,11503283.9
country/BLZ,1994,16692368.9
country/BLZ,2002,139447348.0
country/BLZ,2005,155456703.7
country/BLZ,2011,40501903.7
country/BLZ,2015,39562043.8
country/BLZ,2023,93832014.2
country/BLZ,2024,93536915.9
country/BLR,1995,107934273.5
country/BLR,1996,58940227.7
country/BLR,1999,90303774.5
country/BLR,2005,177204547.1
country/BLR,2008,183384089.5
country/BLR,2019,2562830712.6
country/BLR,2021,1938076993.7
country/BLZ,1981,1511958.0
country/BLZ,1985,10081542.7
country/BLZ,1987,7979627.6
country/BLZ,1992,10307039.1
country/BLZ,1995,25386504.5
country/BLZ,1997,25461287.3
country/BLZ,1999,24526272.4
country/BLZ,2004,254463369.9
country/BLZ,2009,50736397.5
country/BLZ,2010,49221529.7
country/BLZ,2019,43946878.1
country/BLZ,2025,78946776.7
country/BLZ,2027,75046318.4
country/BLZ,2028,73705828.6
country/ARG,1971,303639572.2
country/ARG,1972,325147753.4
country/ARG,1982,1025187912.9
country/ARG,1999,5181479534.8
country/ARG,2000,6185401649.8
country/ARG,2001,7468627119.6
country/ARG,2006,2634311730.7
country/ARG,2014,4747396147.0
country/ARG,2015,6365265797.0
country/ARG,2024,5338224310.5
country/ARG,2026,3915972063.5
country/ARM,1998,40163505.4
country/ARM,2004,51945687.7
country/ARM,2006,16868853.4
country/ARM,2015,259703479.9
country/ARM,2018,138209771.1
country/ARM,2019,567570363.9
country/ARM,2020,313102365.2
country/ARM,2022,282457560.2
country/ARM,2024,346093085.6
country/AZE,1997,57609867.0
country/AZE,1998,2686000.0
country/AZE,1999,15556000.0
country/AZE,2001,49095424.8
country/AZE,2002,53104011.5
country/AZE,2005,54551914.9
country/AZE,2011,255712175.8
country/AZE,2013,720991484.8
country/AZE,2021,1272474633.9
country/ARG,1973,474000421.5
country/ARG,1974,560601038.6
country/ARG,1975,533132738.5
country/ARG,1985,849916644.1
country/ARG,1986,1528081319.5
country/ARG,1996,3277108071.6
country/ARG,1997,4874920578.2
country/ARG,2007,3333017212.9
country/ARG,2009,5592470723.5
country/ARG,2010,6034879678.2
country/ARG,2011,5364704957.6
country/ARG,2013,4767627036.4
country/ARG,2019,19296426547.7
country/ARG,2022,5377133976.5
country/ARG,2023,19446134401.7
country/ARG,2025,3114006254.3
country/ARG,2027,3168274320.8
country/ARG,2028,3056179063.0
country/BGD,1973,6249139.2
country/BGD,1978,63376698.8
country/BGD,1985,107826112.6
country/BGD,1990,333703802.3
country/BGD,1992,288739726.5
country/BGD,1995,510828430.0
country/BGD,2002,447346613.7
country/BGD,2005,574839419.5
country/BGD,2007,729458292.1
country/BGD,2009,699635165.1
country/BGD,2011,950542569.6
country/BGD,2013,1240789620.0
country/BGD,2016,892352572.1
country/BGD,2021,1786659416.9
country/BGD,2024,3650555158.2
country/ARM,1996,32829954.7
country/ARM,1997,7532306.8
country/ARM,2000,12848251.0
country/ARM,2001,24046000.0
country/ARM,2007,16968029.3
country/ARM,2009,21158050.7
country/ARM,2017,90547361.3
country/ARM,2021,245947690.6
country/ARM,2023,335264444.5
country/ARM,2028,336629435.5
country/BLR,1993,2000246.3
country/BLR,2001,143293801.2
country/BLR,2006,171399532.7
country/BLR,2012,2656328866.2
country/BLR,2015,2482969596.6
country/BLR,2016,2313757257.0
country/BLR,2017,1680017987.6
country/BLR,2024,2630642276.3
country/BLR,2025,2268348479.0
country/AZE,2004,53870884.5
country/AZE,2006,64168585.2
country/AZE,2010,233202536.7
country/AZE,2012,262937334.1
country/AZE,2016,735219857.4
country/AZE,2019,1197644790.1
country/AZE,2026,2939622856.9
country/BLZ,1973,198721.2
country/BLZ,1977,151623.1
country/BLZ,1978,132491.7
country/BLZ,1982,3191027.1
country/BLZ,1984,3161216.3
country/BLZ,1989,6290808.6
country/BLZ,1990,9048396.1
country/BLZ,1991,10582595.2
country/BLZ,1996,27331758.8
country/BLZ,1998,25042293.7
country/BLZ,2008,52417846.7
country/BLZ,2012,53686536.4
country/BLZ,2013,89273527.3
country/BLZ,2016,43010665.3
country/BLZ,2017,44441231.1
country/BLZ,2020,43174367.5
country/BLZ,2021,596629593.2
country/BGD,1975,57257159.4
country/BGD,1981,56379459.4
country/BGD,1984,93595055.0
country/BGD,1986,142737879.1
country/BGD,1988,214614438.5
country/BGD,1991,272948144.5
country/BGD,1998,354049041.1
country/BGD,1999,408962985.7
country/BGD,2000,488655171.4
country/BGD,2001,424756413.1
country/BGD,2015,989010903.3
country/BGD,2017,992770310.1
country/BGD,2023,3041114990.8
country/BLR,1994,87170700.7
country/BLR,1997,69366341.6
country/BLR,2002,123562171.7
country/BLR,2003,138145005.5
country/BLR,2009,458052570.2
country/BLR,2014,2099344060.7
country/BLR,2018,3454947044.1
country/BLR,2023,3370273285.2
country/BLR,2026,2562257392.7
country/BLZ,1971,5071.9
country/BLZ,1972,30018.4
country/BLZ,1975,180523.2
country/BLZ,1976,156721.4
country/BLZ,1979,235806.9
country/BLZ,1980,572839.7
country/BLZ,1983,4151904.1
country/BLZ,1986,8243696.6
country/BLZ,1988,8316096.1
country/BLZ,2000,41182907.1
country/BLZ,2001,48147511.3
country/BLZ,2003,86076653.3
country/BLZ,2006,72741347.1
country/BLZ,2007,585074893.1
country/BLZ,2014,37209719.6
country/BLZ,2018,42248299.1
country/BLZ,2022,85253865.6
country/BLZ,2026,74179997.4
country/BEN,1972,2400881.4
country/BEN,1980,5826840.6
country/BEN,1982,8569425.3
country/BEN,1987,13938938.1
country/BEN,1989,7152033.1
country/BEN,1993,17868801.6
country/BEN,1995,23311668.0
country/BEN,2002,21436740.3
country/BEN,2008,16457515.6
country/BEN,2014,47119588.5
country/BEN,2016,60607908.7
country/BEN,2017,54079811.3
country/BEN,2019,415595636.5
country/BEN,2022,369452278.5
country/BEN,2027,581648275.8
country/BTN,1989,4065905.2
country/BTN,1992,4085431.5
country/BTN,1999,4921835.6
country/BTN,2000,4722081.3
country/BTN,2001,4539049.9
country/BTN,2007,23920464.2
country/BTN,2010,46643857.9
country/BTN,2012,74300507.6
country/BTN,2014,39940057.8
country/BTN,2015,90267896.1
country/BEN,1974,5437913.4
country/BEN,1975,5268660.3
country/BEN,1977,3024704.4
country/BEN,1978,3175780.4
country/BEN,1988,10249221.2
country/BEN,1990,18446928.5
country/BEN,1994,18893689.9
country/BEN,1996,24194159.5
country/BEN,1999,34996492.0
country/BEN,2000,43328937.3
country/BEN,2001,20456660.7
country/BEN,2003,26602956.3
country/BEN,2007,18662146.5
country/BEN,2009,31555196.6
country/BEN,2015,45157757.7
country/BEN,2018,169598817.2
country/BEN,2021,621401439.8
country/BTN,1988,645271.7
country/BTN,1990,2939366.7
country/BTN,1994,5094964.4
country/BTN,1995,7172100.6
country/BTN,1998,7026758.8
country/BTN,2003,4820180.6
country/BTN,2006,5900402.7
country/BTN,2008,43470533.2
country/BTN,2009,41056990.9
country/BTN,2011,45472127.7
country/BTN,2016,41584461.8
country/BTN,2018,50786258.6
country/BTN,2021,73089465.8
country/BTN,2022,189558588.2
country/BTN,2023,119674277.5
country/BOL,1970,21273242.9
country/BOL,1977,105427420.7
country/BOL,1979,153938523.0
country/BOL,1983,109763979.6
country/BOL,1985,152124383.3
country/BOL,1986,107193793.7
country/BOL,1989,158727478.1
country/BOL,1990,176644049.9
country/BOL,1993,166824409.0
country/BOL,1994,158900914.5
country/BOL,2001,146846143.1
country/BOL,2005,185184624.8
country/BOL,2015,373582741.0
country/BOL,2024,668532866.5
country/BOL,1971,19749351.7
country/BOL,1972,31838850.4
country/BOL,1974,54094200.3
country/BOL,1975,54940358.0
country/BOL,1980,129895822.4
country/BOL,1982,110821578.2
country/BOL,1984,117618866.2
country/BOL,1991,117918362.1
country/BOL,1998,210468017.0
country/BOL,2006,201309223.1
country/BOL,2008,376113263.9
country/BOL,2013,187387260.7
country/BOL,2014,231189638.0
country/BOL,2020,458263753.3
country/BOL,2021,760511607.8
country/BOL,2026,679448011.7
country/BIH,2001,190741384.0
country/BIH,2004,50926639.5
country/BIH,2009,110020487.9
country/BIH,2010,145282136.6
country/BIH,2014,226766808.2
country/BIH,2019,383751358.5
country/BIH,2021,410344009.2
country/BIH,2023,553421802.5
country/BIH,2024,449903578.9
country/BIH,2027,413954821.4
country/BWA,1972,392492.3
country/BWA,1973,252682.6
country/BWA,1974,253946.5
country/BWA,1978,3621577.9
country/BWA,1981,1982182.3
country/BWA,1983,11907330.1
country/BWA,1995,63940011.1
country/BWA,2003,38045441.5
country/BWA,2013,154490249.5
country/BWA,2018,144301642.5
country/BWA,2025,171936208.4
country/BWA,2028,185912313.7
country/BIH,2000,169920480.0
country/BIH,2002,57789088.4
country/BIH,2003,47908152.3
country/BIH,2007,79356606.8
country/BIH,2011,171306728.3
country/BIH,2013,198919678.4
country/BIH,2015,341816216.7
country/BIH,2025,436633473.0
country/BIH,2028,395868068.3
country/BWA,1970,183800.0
country/BWA,1971,299312.9
country/BWA,1976,1104013.1
country/BWA,1982,3988180.2
country/BWA,1985,26691361.7
country/BWA,1988,40046380.9
country/BWA,1990,66451300.3
country/BWA,1991,53415705.7
country/BWA,1992,61310057.4
country/BWA,1994,61433963.3
country/BWA,2002,44612320.2
country/BWA,2004,36800501.6
country/BWA,2006,44507198.8
country/BWA,2011,55416538.0
country/BWA,2017,143752822.2
country/BWA,2022,153224310.8
country/BWA,2024,152750439.2
country/BEN,1970,1378055.5
country/BEN,1976,3362889.8
country/BEN,1981,6927198.0
country/BEN,1985,27311267.2
country/BEN,2005,24500456.6
country/BEN,2006,27433978.2
country/BEN,2010,25599004.3
country/BEN,2011,29445323.2
country/BEN,2012,39952426.6
country/BEN,2013,62459007.6
country/BEN,2020,99400246.1
country/BEN,2028,563546453.3
country/BEN,1971,2710783.6
country/BEN,1973,1879158.2
country/BEN,1979,3408380.2
country/BEN,1983,11845874.9
country/BEN,1984,22175797.0
country/BEN,1986,29762046.8
country/BEN,1991,15295237.6
country/BEN,1992,15054984.4
country/BEN,1997,25549604.3
country/BEN,1998,27755776.3
country/BEN,2004,18013803.7
country/BEN,2023,459756488.9
country/BEN,2024,587990225.9
country/BEN,2025,635705525.8
country/BEN,2026,658433292.5
country/BTN,1991,5236762.4
country/BTN,1997,4858142.1
country/BTN,2017,41614953.8
country/BTN,2028,186573566.5
country/BOL,1981,113399658.5
country/BOL,1987,91466644.8
country/BOL,1988,196541571.1
country/BOL,1996,158709627.9
country/BOL,2002,150825103.6
country/BOL,2004,182664716.8
country/BOL,2007,165879574.1
country/BOL,2009,197094036.6
country/BOL,2011,173455814.1
country/BOL,2012,376391763.5
