dcid,year,climateFinanceReceivedDisbursementsAdaptationOdaLoansCurrentUSD
Earth,2013,607079327.12
Earth,2014,756224901.1310977
Earth,2015,980293874.7961835
Earth,2016,1153104228.6273232
Earth,2017,1221074262.0885036
Earth,2018,1766800765.263204
Earth,2019,3027776822.5014644
Earth,2020,3738724354.6385546
Earth,2021,5283695296.603549
country/ALB,2013,1426626.8
country/ALB,2014,755784.0
country/ALB,2015,3161448.4000000004
country/ALB,2016,6160632.0
country/ALB,2017,54719.600000000006
country/ALB,2018,4098327.2
country/ALB,2019,10309977.6
country/ALB,2020,9477522.4
country/ALB,2021,9838776.0
country/ATG,2021,98012.40000000001
country/ARG,2018,27224.0
country/ARG,2020,825483.2000000001
country/ARG,2021,1501769.6
country/ARM,2015,2410193.0
country/ARM,2016,17434195.716160808
country/ARM,2017,29348365.0
country/ARM,2018,25377019.2
country/ARM,2019,3973542.0
country/ARM,2020,10263589.0
country/ARM,2021,10961725.6
country/BGD,2013,5768915.0
country/BGD,2014,14968040.85486648
country/BGD,2015,100609285.97653103
country/BGD,2016,86970982.65272407
country/BGD,2017,232018172.08694598
country/BGD,2018,213706037.22311077
country/BGD,2019,439918303.0747565
country/BGD,2020,304194285.80377966
country/BGD,2021,453126875.42659163
country/BEN,2018,10392774.835892335
country/BEN,2019,1153772.6882
country/BEN,2020,13856861.1444
country/BEN,2021,9557158.233173788
country/BTN,2018,142979.09360000447
country/BTN,2019,1155630.9575999824
country/BTN,2020,9390266.418399967
country/BTN,2021,1397970.425400007
country/BOL,2013,339829.60000000003
country/BOL,2014,1020002.4
country/BOL,2015,94713219.2
country/BOL,2016,132601388.9
country/BOL,2017,167391085.6
country/BOL,2018,82067299.16
country/BOL,2019,38319144.4
country/BOL,2020,17755633.8
country/BOL,2021,15853899.5
country/BIH,2014,5048017.2
country/BIH,2015,17435440.0
country/BIH,2016,29412250.6
country/BIH,2018,10189371.6
country/BIH,2019,11379234.4
country/BIH,2020,7624034.0
country/BIH,2021,1532023.0
country/BRA,2017,760000.0000000001
country/BRA,2020,6772731.0
country/BRA,2021,155037406.0
country/BFA,2013,906071.2000000001
country/BFA,2014,806968.0
country/BFA,2015,549959.2000000001
country/BFA,2016,1226433.3202203985
country/BFA,2017,11272686.0
