dcid,year,climateFinanceReceivedCommitmentsMitigationCurrentUSD
Earth,2013,26489004028.29043
Earth,2014,31634783322.279114
Earth,2015,25696618867.282032
Earth,2016,28248233101.94762
Earth,2017,33910204843.155087
Earth,2018,34670747444.919235
Earth,2019,39176599814.81436
Earth,2020,41169537652.22941
Earth,2021,45516747685.38924
country/AFG,2013,246306362.0
country/AFG,2014,123047830.4
country/AFG,2015,36306817.8
country/AFG,2016,27393800.977
country/AFG,2017,95306321.10000001
country/AFG,2018,163691674.2
country/AFG,2019,33322544.200000003
country/AFG,2020,118581176.8
country/AFG,2021,9837462.2016
country/ALB,2013,6785300.513791367
country/ALB,2014,121211948.169935
country/ALB,2015,1695795.8
country/ALB,2016,174108910.48202989
country/ALB,2017,10433951.0
country/ALB,2018,46996953.41978048
country/ALB,2019,134959749.14111194
country/ALB,2020,44159712.67578343
country/ALB,2021,139234809.68836325
country/DZA,2013,1046075.2
country/DZA,2014,9368045.8
country/DZA,2015,1667327.0
country/DZA,2016,11980555.4
country/DZA,2017,1357773.6
country/DZA,2018,28116008.8
country/DZA,2019,85212.6
country/DZA,2020,6158261.4
country/DZA,2021,595150.6000000001
country/AGO,2013,15156980.399999999
country/AGO,2014,5243146.4
country/AGO,2015,78161994.8
country/AGO,2016,21946075.6
country/AGO,2017,4088774.8
country/AGO,2018,45998899.2
country/AGO,2019,102307881.2
country/AGO,2020,464494527.7
country/AGO,2021,158213441.46
country/ATG,2013,3844170.0
country/ATG,2015,1934676.0
country/ATG,2017,18008874.8
country/ATG,2018,1154498.4
country/ATG,2019,3558850.0
country/ATG,2020,12894.0
country/ATG,2021,2750000.0
country/ARG,2013,306059621.2
country/ARG,2014,10993360.8
country/ARG,2015,246550607.6
country/ARG,2016,52485529.0
country/ARG,2017,1075573578.303799
country/ARG,2018,1039068098.23
country/ARG,2019,386936704.0
country/ARG,2020,171320679.8
country/ARG,2021,1199564878.4
country/ARM,2013,82550332.91708763
country/ARM,2014,22378269.075056776
country/ARM,2015,80191312.25415024
country/ARM,2016,65603190.17408006
country/ARM,2017,136385603.37544805
country/ARM,2018,76698687.30612923
country/ARM,2019,96857836.7086784
country/ARM,2020,57321117.711957276
country/ARM,2021,209622567.40407997
country/AZE,2013,62841440.641965225
country/AZE,2014,12703735.232105615
country/AZE,2015,14569121.65843652
country/AZE,2016,172697974.73370817
country/AZE,2017,275060063.2512456
country/AZE,2018,7388905.29182108
country/AZE,2019,117354327.22854584
country/AZE,2020,258141.6
country/AZE,2021,7425710.79262062
country/BGD,2013,840986198.9
country/BGD,2014,1234483693.8
country/BGD,2015,1196926746.773378
country/BGD,2016,1117985465.4
country/BGD,2017,663747086.917492
country/BGD,2018,1788084704.9245
country/BGD,2019,1633980049.41616
country/BGD,2020,1751936290.2
country/BGD,2021,1058831067.0
country/BLR,2013,167320857.2201588
country/BLR,2014,114310465.74500686
country/BLR,2015,62287563.678589694
country/BLR,2016,26112817.629496466
country/BLR,2017,5666814.62588209
country/BLR,2018,159064885.75274393
country/BLR,2019,260240093.63637352
country/BLR,2020,41925093.5181851
country/BLR,2021,334249.0
country/BLZ,2013,784000.0
country/BLZ,2015,48011.0
country/BLZ,2016,5798878.733827271
country/BLZ,2017,2572235.0
country/BLZ,2018,16546637.399999999
country/BLZ,2019,11603037.6
country/BLZ,2020,109073.6
country/BLZ,2021,630603.6
country/BEN,2013,21809001.6
country/BEN,2014,17969280.8
country/BEN,2015,16698138.4
country/BEN,2016,319812.8
country/BEN,2017,111821605.8
country/BEN,2018,87431036.53257
country/BEN,2019,97332882.59063
country/BEN,2020,50919981.2
country/BEN,2021,78786075.8056005
country/BTN,2013,39231665.6
country/BTN,2014,5553881.0
country/BTN,2015,112196493.8
country/BTN,2016,18954.0
country/BTN,2017,4023367.4
country/BTN,2018,4584235.4
country/BTN,2019,6735337.2
country/BTN,2020,8499561.0
country/BTN,2021,19342306.4
country/BOL,2013,18700159.2
country/BOL,2014,68359112.0
country/BOL,2015,2736705.5
country/BOL,2016,80743689.35000001
country/BOL,2017,415870969.40000004
country/BOL,2018,180559733.01999998
country/BOL,2019,227686444.4
country/BOL,2020,39957135.0
country/BOL,2021,37604340.06666666
country/BIH,2013,172652495.27692786
country/BIH,2014,261725327.42821413
country/BIH,2015,29833454.369670153
country/BIH,2016,56811116.57603404
country/BIH,2017,201663700.0567098
country/BIH,2018,91795335.89781602
country/BIH,2019,76832349.40634726
country/BIH,2020,114543992.14759226
country/BIH,2021,92555444.47285107
country/BWA,2013,1506275.8
country/BWA,2014,5351108.0
country/BWA,2015,938144.0
country/BWA,2016,1524653.5999999999
country/BWA,2017,824326.8
country/BWA,2018,551057.2000000001
country/BWA,2019,1244584.4
country/BWA,2020,13991409.0384
country/BWA,2021,94713574.74000001
country/BRA,2013,764974543.442
country/BRA,2014,1477088781.7
country/BRA,2015,565345084.2216306
country/BRA,2016,1021715690.6
country/BRA,2017,921551419.3
country/BRA,2018,2464996851.47
country/BRA,2019,2009707477.4896002
country/BRA,2020,1520270421.0462
country/BRA,2021,885520850.15
country/BFA,2013,20614411.000000004
country/BFA,2014,86612273.07000001
country/BFA,2015,2171231.6
country/BFA,2016,13098290.46272255
country/BFA,2017,108993713.6
country/BFA,2018,88106560.3785038
country/BFA,2019,61175575.7792
country/BFA,2020,207669031.84
country/BFA,2021,199062121.0389216
country/BDI,2013,129728576.2
country/BDI,2014,230318190.06
country/BDI,2015,2500630.2
country/BDI,2016,18055334.6
country/BDI,2017,67496450.2
country/BDI,2018,16513971.6
country/BDI,2019,27024340.6
country/BDI,2020,92520000.0
country/BDI,2021,58256894.45
country/CPV,2013,19176582.0
country/CPV,2014,8273612.0
country/CPV,2015,4667996.2
country/CPV,2016,2290136.0
country/CPV,2017,2919172.2
country/CPV,2018,1986736.2
country/CPV,2019,2951216.8723999998
country/CPV,2020,5508984.8
country/CPV,2021,9714867.2
country/KHM,2013,16923755.0
country/KHM,2014,73933095.0
country/KHM,2015,92913652.2
country/KHM,2016,4278818.4
country/KHM,2017,6723190.4
country/KHM,2018,87259450.5946
country/KHM,2019,103132228.39232
country/KHM,2020,40599158.29344338
country/KHM,2021,29888698.958
country/CMR,2013,7605675.8
country/CMR,2014,4278762.4
country/CMR,2015,4099807.0
country/CMR,2016,64907964.90978658
country/CMR,2017,58041031.241100006
country/CMR,2018,407336901.8
country/CMR,2019,31591243.329
country/CMR,2020,620498204.6
country/CMR,2021,215364667.2
country/CAF,2013,624854.0
country/CAF,2014,5307.0
country/CAF,2015,5546312.0
country/CAF,2016,4434814.0
country/CAF,2018,35876219.26066
country/CAF,2019,65212896.4
country/CAF,2020,4228167.20735
country/CAF,2021,1676009.48
country/TCD,2013,7312574.0
country/TCD,2014,779164.8
country/TCD,2015,831041.0
country/TCD,2016,5385107.6
country/TCD,2017,1203466.8
country/TCD,2018,7851532.4
country/TCD,2019,16044944.2
country/TCD,2020,102342618.0
country/TCD,2021,21757711.8
country/CHL,2013,325830346.4
country/CHL,2014,574796823.6
country/CHL,2015,110943979.42
country/CHL,2016,266760375.60000002
country/CHL,2017,103030575.41049999
country/CHN,2013,1091180191.8
country/CHN,2014,1339463181.2
country/CHN,2015,602221119.7724918
country/CHN,2016,1677687827.144
country/CHN,2017,1408661269.5280092
country/CHN,2018,1634437193.45
country/CHN,2019,2075225281.4164925
country/CHN,2020,1358798633.75594
country/CHN,2021,1356921982.5370045
country/COL,2013,144795066.8
country/COL,2014,57879229.60000001
country/COL,2015,411948887.210805
country/COL,2016,98563693.47
country/COL,2017,1245552099.6
country/COL,2018,426230940.54
country/COL,2019,1371033029.3999999
country/COL,2020,780255394.807463
country/COL,2021,1852425979.8778317
country/COM,2013,10369500.0
country/COM,2014,418000.0
country/COM,2016,5921692.8
country/COM,2017,10936343.6
country/COM,2018,320421.0
country/COM,2019,11027477.92
country/COM,2020,32557317.6
country/COM,2021,44770.4
country/COG,2013,2009133.0
country/COG,2014,693749.6
country/COG,2015,29385.2
country/COG,2016,199208.8
country/COG,2017,16751897.4
country/COG,2018,29632912.0
country/COG,2019,21712212.52
country/COG,2020,92193.00000000001
country/COG,2021,71880120.2734994
country/COK,2013,5338237.4
country/COK,2014,17688819.8
country/COK,2015,16269744.8
country/COK,2016,4799196.8
country/COK,2018,764067.6000000001
country/CRI,2013,72776862.49000001
country/CRI,2014,163061373.0
country/CRI,2015,223211445.6
