dcid,year,"climateFinanceProvidedDisbursementsAdaptationEquityInvestmentByRecipientCurrentUSDAfrica,regional","climateFinanceProvidedDisbursementsAdaptationEquityInvestmentByRecipientCurrentUSDAmerica,regional","climateFinanceProvidedDisbursementsAdaptationEquityInvestmentByRecipientCurrentUSDAsia,regional","climateFinanceProvidedDisbursementsAdaptationEquityInvestmentByRecipientCurrentUSDBilateral,unspecified","climateFinanceProvidedDisbursementsAdaptationEquityInvestmentByRecipientCurrentUSDCentralAsia,regional",climateFinanceProvidedDisbursementsAdaptationEquityInvestmentByRecipientCurrentUSDEthiopia,climateFinanceProvidedDisbursementsAdaptationEquityInvestmentByRecipientCurrentUSDGeorgia,climateFinanceProvidedDisbursementsAdaptationEquityInvestmentByRecipientCurrentUSDMauritius,climateFinanceProvidedDisbursementsAdaptationEquityInvestmentByRecipientCurrentUSDMyanmar,climateFinanceProvidedDisbursementsAdaptationEquityInvestmentByRecipientCurrentUSDNepal,climateFinanceProvidedDisbursementsAdaptationEquityInvestmentByRecipientCurrentUSDPhilippines,climateFinanceProvidedDisbursementsAdaptationEquityInvestmentByRecipientCurrentUSDSouthAfrica,"climateFinanceProvidedDisbursementsAdaptationEquityInvestmentByRecipientCurrentUSDSouthofSahara,regional",climateFinanceProvidedDisbursementsAdaptationEquityInvestmentByRecipientCurrentUSDTanzania
Earth,2013,61845156.0,71257.6,,19361638.0,,194370.80000000002,,,,,,683200.0,71257.6,
Earth,2014,478410.72889190423,112767.20000000001,,41793817.0,5307151.0,318429.2,1326788.0,,,66000.0,272787.60000000003,590000.0,112767.20000000001,
Earth,2015,36078589.826693565,466757.60000000003,,,,288408.4,1109262.4000000001,320000.0,1081500.0,,21298.0,1811200.0,466757.60000000003,
Earth,2016,1323952.6285681806,513936.80000000005,,,,663496.8,,,,,,,,
Earth,2017,283831.0619667669,366733.2,,,,1037763.6000000001,,,,,,,366733.2,
Earth,2018,1333605.3044764171,548864.0,599999.6,,,2038003.2000000002,,,,,,,548864.0,
Earth,2019,484099.0748164131,338722.80000000005,,50598902.2,,,,,,,,,338722.80000000005,
Earth,2020,237181.8959811334,99628.8,1083424.0,20526988.400000002,,,,,1066543.2,,,,99628.8,
Earth,2021,2321192.210361422,216976.0,,14354565.0,,220435.2,,,800005.2000000001,,,,216976.0,345000.0
country/DEU,2013,61072756.0,,,19361638.0,,,,,,,,,,
country/DEU,2014,,,,41793817.0,5307151.0,,1326788.0,,,,,,,
country/DEU,2015,35699890.0,,,,,,1109262.4000000001,,,,,,,
country/DEU,2019,,,,50598902.2,,,,,,,,,,
country/DEU,2020,,,,18233618.400000002,,,,,,,,,,
country/DEU,2021,,,,13008515.0,,,,,,,,,,
country/ESP,2013,,71257.6,,,,,,,,,,,71257.6,
country/ESP,2014,,112767.20000000001,,,,,,,,,,,112767.20000000001,
country/ESP,2015,,466757.60000000003,,,,,,,,,,,466757.60000000003,
country/ESP,2016,513936.80000000005,513936.80000000005,,,,,,,,,,,,
country/ESP,2017,,366733.2,,,,,,,,,,,366733.2,
country/ESP,2018,,548864.0,,,,,,,,,,,548864.0,
country/ESP,2019,,338722.80000000005,,,,,,,,,,,338722.80000000005,
country/ESP,2020,,99628.8,,,,,,,,,,,99628.8,
country/ESP,2021,,216976.0,,,,,,,,,,,216976.0,
country/FIN,2013,772400.0,,,,,194370.80000000002,,,,,,683200.0,,
country/FIN,2014,458000.0,,,,,318429.2,,,,66000.0,272787.60000000003,590000.0,,
country/FIN,2015,372400.0,,,,,288408.4,,320000.0,,,21298.0,1811200.0,,
country/FIN,2016,633871.2000000001,,,,,663496.8,,,,,,,,
country/FIN,2017,188799.6,,,,,1037763.6000000001,,,,,,,,
country/FIN,2018,1201828.0,,599999.6,,,2038003.2000000002,,,,,,,,
country/FIN,2019,182400.0,,,,,,,,,,,,,
country/FIN,2020,,,1083424.0,32892.0,,,,,1066543.2,,,,,
country/FIN,2021,2186475.2,,,,,220435.2,,,800005.2000000001,,,,,345000.0
country/JPN,2015,,,,,,,,,1081500.0,,,,,
