dcid,year,climateFinanceReceivedCommitmentsMitigationOtherOfficialFlowsCurrentUSD
country/SLV,2019,26700000.0
country/SLV,2020,96325000.0
country/SLV,2021,38298980.0
country/SWZ,2019,26761447.992
country/SWZ,2020,2896000.0
country/SWZ,2021,60000.0
country/ETH,2019,58096330.0
country/ETH,2020,53587127.5
country/FJI,2019,415800.0
country/FJI,2020,3900000.0
country/GAB,2015,25320000.0
country/GAB,2019,4680000.0
country/GAB,2021,23749405.41
country/GMB,2019,84195.0
country/GEO,2013,38905848.3323358
country/GEO,2014,61034268.112617604
country/GEO,2015,25839418.801289044
country/GEO,2016,68458575.74825633
country/GEO,2017,21751036.69948431
country/GEO,2018,72868792.63543025
country/GEO,2019,200352845.31565535
country/GEO,2020,276159834.87999725
country/GEO,2021,218871404.64118946
country/GHA,2018,11822885.200000001
country/GHA,2019,12950000.0
country/GHA,2021,528595.0
country/GRD,2017,771300.0
country/GTM,2014,29460000.0
country/GTM,2019,52500000.0
country/GTM,2020,50732000.0
country/GTM,2021,81015150.0
country/GIN,2019,29943995.51
country/GIN,2021,8500000.0
country/GNB,2019,2119860.0
country/GUY,2014,14809500.0
country/GUY,2019,14630000.110000001
country/HTI,2020,5040000.0
country/HND,2014,6500000.0
country/HND,2015,5900000.0
country/HND,2017,1000000.0
country/HND,2018,16462020.0
country/HND,2019,5368674.5
country/HND,2020,250000000.0
country/HND,2021,250000000.0
country/IND,2014,1485410000.0
country/IND,2015,927840000.0
country/IND,2016,963705000.0
country/IND,2017,1454309500.0
country/IND,2018,1489194650.8
country/IND,2019,1827172153.2
country/IND,2020,2750425629.08
country/IND,2021,2541612190.90499
country/IDN,2013,49500000.0
country/IDN,2015,715820000.0
country/IDN,2016,65000000.0
country/IDN,2017,129325000.0
country/IDN,2018,748866259.0
country/IDN,2019,313175320.0
country/IDN,2020,369466704.6
country/IDN,2021,847435520.481268
country/IRQ,2015,360000000.0
country/IRQ,2016,321394342.5
country/IRQ,2017,112000000.0
country/IRQ,2018,95025000.0
country/IRQ,2019,83600000.0
country/IRQ,2021,421400.0
country/JAM,2016,13050000.0
country/JAM,2017,34694400.0
country/JAM,2018,600000.0
country/JAM,2019,9852000.0
country/JAM,2021,7500000.0
country/JOR,2013,7250105.730710436
country/JOR,2014,82425664.51293613
country/JOR,2015,116699715.73327792
country/JOR,2016,354430629.7180766
country/JOR,2017,81095986.0337561
country/JOR,2018,173827003.4226368
country/JOR,2019,271383784.4800179
country/JOR,2020,29520592.54017099
country/JOR,2021,81809025.30476223
country/KAZ,2013,215608484.70525765
country/KAZ,2014,201438642.78684396
country/KAZ,2015,355314379.52581125
country/KAZ,2016,468050538.85819733
country/KAZ,2017,287084604.7637358
country/KAZ,2018,182035498.6427475
country/KAZ,2019,297784303.5292479
country/KAZ,2020,273564544.93682945
country/KAZ,2021,343804356.0199645
country/KEN,2018,32340091.40758
country/KEN,2019,75912662.0729
country/KEN,2020,44680007.50539
country/KEN,2021,6998835.390305724
country/XKX,2013,4646839.690379802
country/XKX,2014,13931272.88509809
country/XKX,2015,24215196.450487044
country/XKX,2016,14082715.871895606
country/XKX,2017,2254537.25622816
country/XKX,2018,25610763.602029942
country/XKX,2019,100026597.15505202
country/XKX,2020,8339051.773677673
country/XKX,2021,11234626.300851457
country/KGZ,2013,9824259.50687104
country/KGZ,2014,22237445.848891836
country/KGZ,2015,11043846.140455225
country/KGZ,2016,15773905.354601726
country/KGZ,2017,13923008.471841417
country/KGZ,2018,6595538.770211253
country/KGZ,2019,8784455.758044686
country/KGZ,2020,2228231.3441780074
country/KGZ,2021,21585403.584809184
country/LAO,2018,2009910.8
country/LAO,2019,2336981.6
country/LAO,2020,2265916.0
country/LBN,2018,327654684.7067155
country/LBN,2019,126875893.4213421
country/LSO,2018,848840.0
