dcid,year,climateFinanceReceivedDisbursementsAdaptationOdaLoansByProviderCurrentUSDAfricanDevelopmentBank,climateFinanceReceivedDisbursementsAdaptationOdaLoansByProviderCurrentUSDAfricanDevelopmentFund,climateFinanceReceivedDisbursementsAdaptationOdaLoansByProviderCurrentUSDAsianDevelopmentBank,climateFinanceReceivedDisbursementsAdaptationOdaLoansByProviderCurrentUSDBelgium,climateFinanceReceivedDisbursementsAdaptationOdaLoansByProviderCurrentUSDCanada,climateFinanceReceivedDisbursementsAdaptationOdaLoansByProviderCurrentUSDClimateInvestmentFunds,climateFinanceReceivedDisbursementsAdaptationOdaLoansByProviderCurrentUSDFrance,climateFinanceReceivedDisbursementsAdaptationOdaLoansByProviderCurrentUSDGermany,climateFinanceReceivedDisbursementsAdaptationOdaLoansByProviderCurrentUSDIFAD,climateFinanceReceivedDisbursementsAdaptationOdaLoansByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedDisbursementsAdaptationOdaLoansByProviderCurrentUSDInternationalDevelopmentAssociation,climateFinanceReceivedDisbursementsAdaptationOdaLoansByProviderCurrentUSDItaly,climateFinanceReceivedDisbursementsAdaptationOdaLoansByProviderCurrentUSDJapan,climateFinanceReceivedDisbursementsAdaptationOdaLoansByProviderCurrentUSDKorea,climateFinanceReceivedDisbursementsAdaptationOdaLoansByProviderCurrentUSDNordicDevelopmentFund,climateFinanceReceivedDisbursementsAdaptationOdaLoansByProviderCurrentUSDPoland,climateFinanceReceivedDisbursementsAdaptationOdaLoansByProviderCurrentUSDSpain,climateFinanceReceivedDisbursementsAdaptationOdaLoansByProviderCurrentUSDUnitedArabEmirates,climateFinanceReceivedDisbursementsAdaptationOdaLoansByProviderCurrentUSDUnitedKingdom
country/BFA,2020,,7190996.622344388,,,,,30110685.6,,,,16671287.55,,,,,,,,
country/BFA,2021,,389945.008614342,,,,,20663477.6,,,,22374622.39808129,,,,,,,,
country/BGD,2013,,,,,,1038971.0,,,,,,,4729944.0,,,,,,
country/BGD,2014,,,915429.5248664797,,,,,,,,8425364.33,,5627247.0,,,,,,
country/BGD,2015,,,6794601.576531032,,,,,,,,16706421.2,,75778560.0,,,,,1329703.2000000002,
country/BGD,2016,,,9124022.682724072,,,,,,,,28697425.97,,49149534.0,,,,,,
country/BGD,2017,,,16014629.28694598,,,11232914.0,,,,,2210087.0,,202560541.8,,,,,,
country/BGD,2018,,,33959440.03470833,,,15908990.0,,,,,115671952.38840242,,48165654.8,,,,,,
country/BGD,2019,,,40822636.33593856,,,,8989209.0,,,,332950313.1388179,,55397364.6,,,,,1758780.0,
country/BGD,2020,,,55736648.10317968,,,,10711016.0,,,,221867809.3006,,15878812.4,,,,,,
country/BGD,2021,,,51736482.074291594,,,,46150283.800000004,,,,218538918.7523,,136701190.8,,,,,,
country/BIH,2014,,,,,,,,,,,5048017.2,,,,,,,,
country/BIH,2015,,,,,,,,,,,17435440.0,,,,,,,,
country/BIH,2016,,,,,,,,,,,29412250.6,,,,,,,,
country/BIH,2018,,,,,,,,,,,10189371.6,,,,,,,,
country/BIH,2019,,,,,,,,,,,11379234.4,,,,,,,,
country/BIH,2020,,,,,,,,,,,7624034.0,,,,,,,,
country/BIH,2021,,,,,,,,,,,1532023.0,,,,,,,,
country/BOL,2013,,,,,,,,339829.60000000003,,,,,,,,,,,
country/BOL,2014,,,,,,,,616202.4,,403800.0,,,,,,,,,
country/BOL,2015,,,,,,,,901474.8,,15678300.0,78133444.4,,,,,,,,
country/BOL,2016,,,,,,,,1019906.4000000001,,131581482.5,,,,,,,,,
country/BOL,2017,,,,,,4081044.0000000005,112726863.0,3359428.6,,47220000.0,3750.0,,,,,,,,
country/BOL,2018,,,,,,7452710.0,4720878.0,4379333.0,,65514378.16,,,,,,,,,
country/BOL,2019,,,,,,,30225008.0,4099815.0,,,728980.2000000001,,,3265341.2000000007,,,,,
country/BOL,2020,,,,,,13207095.0,,1296538.8,,,1812000.0,,,1440000.0,,,,,
country/BOL,2021,,,,,,,14191107.0,1476052.2000000002,,,186740.30000000002,,,,,,,,
country/BRA,2017,,,,,,760000.0000000001,,,,,,,,,,,,,
country/BRA,2020,,,,,,,5858831.0,913900.0,,,,,,,,,,,
country/BRA,2021,,,,,,,94607379.2,,,,,,60430026.800000004,,,,,,
country/BTN,2018,,,142979.09360000447,,,,,,,,,,,,,,,,
country/BTN,2019,,,175594.45759998233,,,,,,,,980036.5,,,,,,,,
country/BTN,2020,,,365647.1383999662,,,,,,,,9024619.280000001,,,,,,,,
country/BTN,2021,,,1397970.425400007,,,,,,,,,,,,,,,,
country/CHN,2013,,,,,,,,1379295.2000000002,,,,,,,,,,,
country/CHN,2014,,,,,,,,115667.6,,,,,,,,,,,
country/CHN,2015,,,,,,,,161987.2,,,,,,,,,,,
country/CHN,2019,,,,,,,8015358.600000001,,,,,,,,,,,,
country/CHN,2020,,,,,,,35923871.0,,,,,,,,,,,,
country/CIV,2017,,,,,,,,67636.0,,,,,,,,,,,
country/CIV,2018,,,,,,,,237923.6,,,16192410.346900001,,,,,,,,
country/CIV,2019,,,,,,,,728718.4,,,12617486.330400001,,,,,,,,
country/CIV,2020,,162202.0,,,,,2034252.0,120221.20000000001,,,7052048.473300001,,,,,,,,
country/CIV,2021,,58974.0,,,,,25098110.400000002,264827.2,,,9797575.453235686,,,,,,,,
country/CMR,2014,,,,,,,,,,,3474515.44,,,,,,,,
country/CMR,2015,,,,,,,,,,,287918.03,,,,,,,,
country/CMR,2017,,,,,,,24746062.0,,,,,,,,,,,,
country/CMR,2018,,91041.9195924622,,,,,5311784.800000001,,,,291732.20999999996,,,,,,,,
country/CMR,2019,,,,,,,60944268.0,,,,33316659.259999998,,,,,,,,
country/CMR,2020,,684329.3270498556,,,,,21496187.0,,,,3960911.791099601,,,,,,,,
country/CMR,2021,,259317.42421312758,,,,,4125356.0,,,,31016585.02467818,,,,,,,,
country/COD,2020,,,,,,,,,,,8279937.350000001,,,,,,,,
country/COD,2021,,,,,,,,,,,33338409.4116,,,,,,,,
country/COG,2017,,,,,,,3755566.0,,,,,,,,,,,,
country/COG,2018,,,,,,,32123.600000000002,,,,34614.6,,,,,,,,
country/COG,2019,,,,,,,75546.0,,,,226526.05000000002,,,,,,,,
country/COG,2020,,,,,,,109864.0,,,,504808.61604878213,,,,,,,,
country/COG,2021,,,,,,,,,,,344023.10000000003,,,,,,,,
country/COL,2014,,,,,,,54640798.0,,,,,,,,,,,,
country/COL,2020,,,,,,,,45312914.400000006,,,,,,,,,,,
country/COL,2021,,,,,,,94607379.2,47303689.6,,,,,,,,,,,
country/COM,2018,,73320.33778066807,,,,,,,,,,,,,,,,,
country/COM,2019,,79167.44833581464,,,,,,,,,,,,,,,,,
country/COM,2020,,93987.15167241708,,,,,,,,,,,,,,,,,
country/COM,2021,,3922945.042718431,,,,,,,,,337648.5,,,,,,,,
country/CPV,2013,,,,,,,5511896.0,,,,,,,,,,601956.4,,
country/CPV,2015,,,,,,,,,,,,,2773666.0,,,,,,
country/CPV,2016,,,,,,,,,,,,,2634034.0,,,,,,
country/CPV,2017,,,,,,,,,,,,,222423.0,,,,,,
country/CPV,2018,,,,,,,,,,,,,985884.0,,,,,,
country/CPV,2019,,,,,,,,,,,,,426980.0,,,,,,
country/CPV,2020,,,,,,,,,,,,,376935.0,,,,,,
country/CPV,2021,,,,,,,,,,,1963999.0375999997,,744558.0,,,,,,
country/CUB,2020,,,,,,,5326179.2,,,,,,,,,,,,
country/CUB,2021,,,,,,,4484306.800000001,,,,,,,,,,,,
country/DJI,2015,,,,,,,,,,,211438.32,,,,,,,,
country/DJI,2016,,,,,,,,,,,448310.62,,,,,,,,
country/DJI,2018,,,,,,,,,,,1011154.3099999998,,,,,,,,
country/DJI,2019,,,,,,,,,,,912759.6599999999,,,,,,,,
country/DJI,2020,,,,,,,,,,,594064.81,,,,,,,,
country/DJI,2021,,,,,,,,,,,4630196.1245,,,,,,,,
country/DMA,2014,,,,,,,,,,,753545.0,,,,,,,,
country/DMA,2015,,,,,,,,,,,1000000.0,,,,,,,,
country/DMA,2018,,,,,,,,,,,2250000.0,,,,,,,,
country/DMA,2019,,,,,,,,,,,2254427.6,,,,,,,,
country/DMA,2020,,,,,,,,,,,9006083.98,,,,,,,,
country/DMA,2021,,,,,,,,,,,12392068.0808,,,,,,,,
country/DOM,2013,,,,,,,,,,,,,,,,,3952537.2,,
country/DOM,2015,,,,,,,,,,,,,,,,,2168231.2,,
country/DOM,2016,,,,,,,20981975.0,,,,,,,,,,2167512.0,,
country/DOM,2017,,,,,,,18779986.0,,,,,,,,,,,,
country/DOM,2020,,,,,,,9318842.0,,,,,,,,,,,,
country/DOM,2021,,,,,,,,,,,,,,50000000.0,,,,,
country/ECU,2013,,,,,,,,368151.2,,,,,,,,,,,
country/ECU,2014,,,,,,,,262432.8,,,,,,,,,,,
country/ECU,2015,,,,,,,,597268.0,,,,,,,,,,,
country/ECU,2016,,,,,,,23079730.0,733010.4,,,,,,,,,,,
country/ECU,2017,,,,,,,,,,,,,,,,,392274.80000000005,,
country/ECU,2018,,,,,,,10181328.0,,,,,,,,,,,,
country/ECU,2019,,,,,,,15952187.600000001,,,,,,,,,,1193526.8,,
country/ECU,2020,,,,,,,,,,,,,,,,,736684.8,,
country/ECU,2021,,,,,,,13765936.0,501245.00000000006,,,,,,,,,716071.6000000001,,
country/EGY,2013,,,,,,,,,,,,,,,,,630096.0,,
country/EGY,2016,,,,,,,,3877946.8000000003,,,,,,,,,,,
country/EGY,2017,,,,,,,,3580625.6,,,,,,,,,,,
country/EGY,2018,,,,,,,,3637496.0,,,,,,,,,456032.80000000005,,
country/EGY,2019,,,,,,,,262789.2,,,,,,,,,,,
country/EGY,2020,,,,,,,,1043102.0,,,,,,,,,,,
country/EGY,2021,,,,,,,,2314248.0,,,,,,,,,,,
country/ETH,2014,,,,,,,,,,,947077.3800000001,,,,,,,,
country/ETH,2015,,,,,,,,,,,24803900.4,,,,,,,,
country/ETH,2016,,,,,,,,,,,37253071.52,,,,,,,,
country/ETH,2017,,855681.77,,,,,,,,,11090155.4,,,,,,,,
country/ETH,2018,,,,,,,,,,,4786291.76,,,,,,,,
country/ETH,2019,,,,,,,,,,,27674799.41,,,,,,,,
country/ETH,2020,,,,,,,,,,,63450378.418,,,,,,,,
country/ETH,2021,,,,,,,,,,,15810227.1669,2365184.4,3038747.2,,,,,,
country/FJI,2020,,,,,,,,,,,,,8055270.4,,,,,,
country/FJI,2021,,,,,,,,,,,39566406.142771855,,10385796.0,,,,,,
country/GAB,2013,,,,,,,719607.0,,,,,,,,,,,,
country/GAB,2017,,,,,,,178851.0,,,,,,,,,,,,
country/GEO,2014,,,,,,,,150838.8,,,,,,,,,,,
country/GEO,2015,,,,,,,,1951895.6000000003,,,28500.0,,,,,,,,
country/GEO,2016,,,,,,,,4032698.4000000004,,,103990.94,,,,,,,,
country/GEO,2017,,,,,,,,3612122.0,,,,,,,,,,,
country/GEO,2018,,,,,,,,4153364.8,,,149868.16,,,,,,,,
country/GEO,2019,,,,,,,,4976551.600000001,,,51726.840000000004,,,,,,,,
country/GEO,2020,,,,,,,,5088224.800000001,,,110299.04000000001,,,,,,,,
country/GEO,2021,,,,,,,,2396267.2,,,181792.1,,,,,,,,
country/GHA,2013,,,,,,,,103191.6,,,,,,,,,,,
country/GHA,2015,,,,,,,,,,,,,,,,,210988.80000000002,,
country/GHA,2018,,2225943.3795459615,,,,,,,,,544722.24,,,,,,,,
country/GHA,2019,,28200431.091601588,,,,,,,,,4572304.9918,,,,,,,,
country/GHA,2020,,14194774.895751676,,,,,,,,,29509194.9075,,,,,,,,
country/GHA,2021,,5637573.281141732,,,,,16619654.0,,,,36509730.4599,,,,,,,,
country/GIN,2015,,,,,,,,,,,13673.94,,,,,,,,
country/GIN,2018,,,,,,,,,,,59805.00000000001,,,,,,,,
country/GIN,2019,,,,,,,,,,,13119691.1012,,,,,,,,
country/GIN,2020,,4181772.678,,,,,,,,,4621758.8780000005,,,,,,,,
country/GIN,2021,,780257.8105340323,,,,,,,,,3906108.4820000003,,,,,,,,
country/GMB,2014,,,,,,,,,,,129860.0,,,,,,,,
country/GMB,2015,,,,,,,,,,,613049.62,,,,,,,,
country/GMB,2016,,,,,,,,,,,1834360.6099999999,,,,,,,,
country/GMB,2018,,1323876.794,,,,,,,,,833240.21,,,,,,,,
country/GNB,2018,,,,,,,,,,,583842.36,,,,,,,,
country/GNB,2019,,,,,,,,,,,1634992.77,,,,,,,,
country/GNB,2020,,,,,,,,,,,3931186.08,,,,,,,,
country/GNB,2021,,,,,,,,,,,412309.54,,,,,,,,
country/GRD,2014,,,,,,,,,,,4347520.0,,,,,,,,
country/GRD,2018,,,,,,2857755.0,,,,,11638297.75,,,,,,,,
country/GRD,2020,,,,,,,,,,,1133618.43,,,,,,,,
country/GRD,2021,,,,,,,,,,,4170875.6199999996,,,,,,,,
country/GTM,2020,,,,,,,,,,3066550.676,,,,,,,,,
country/GUY,2015,,,,,,,,,,,2660630.0,,,,,,,,
country/GUY,2016,,,,,,,,,,,189308.0,,,,,,,,
country/GUY,2017,,,,,,,,,,,66543.07470506555,,,,,,,,
country/GUY,2018,,,,,,,,,,367315.89,20611.801457399997,,,,,,,,
country/GUY,2019,,,,,,,,,,,144922.00023873665,,,,,,,,
country/GUY,2020,,,,,,,,,,,83127.11587767444,,,,,,,,
country/GUY,2021,,,,,,,,,,,2014663.0899823701,,,,,,,,
country/HND,2018,,,,,,,,,,399222.584,512099.80000000005,,,,,,,,
country/HND,2019,,,,,,,,,,,3089233.38,,,30000000.0,,,,,
country/HND,2020,,,,,,,,,,8408744.8586,98912381.25,,,,,,,,
country/HND,2021,,,,,,,,,,192092.52,9155196.83,,,,,,,,
country/IDN,2013,,,,,,,1582463.0,,,,,,,1354626.0,,,,,
country/IDN,2014,,,,,,,,,,,,,,416753.0,,,,,
country/IDN,2015,,,,,,,,,,,,,,10450508.0,,,,,
country/IDN,2016,,,,,,,,,,,,,2187261.6,13200426.0,,,,,
country/IDN,2017,,,,,,,,,,,,,2687737.2,11416837.0,,,,,
country/IDN,2018,,,,,,,,,,,,,3751790.8000000003,11231603.0,,,,,
country/IDN,2019,,,,,,,,,,,,,7307124.8,12902929.0,,,,,
country/IDN,2020,,,,,,,91168091.2,,,,,,149516875.0,,,,,,
country/IDN,2021,,,,,,,47350993.2,163251.6,,,,,485120661.0,565403.6,,,,,
country/IND,2013,,,,,,,,1334042.8,,,,,1834759.6,,,,,,
country/IND,2014,,,,,,,,6675630.0,,,79968275.8,,841512.8,,,,,,
country/IND,2015,,,,,,,,4045540.8000000003,,,58871083.69,,725870.4,,,,,,
country/IND,2016,,,,,,,,11222663.2,,,47096501.85,,32648086.8,,,,,,
country/IND,2017,,,,,,,,15675416.200000003,,,,,40462288.00000001,,,,,,
country/IND,2018,,,,,,,2933526.8000000003,6495549.4,,,82424132.43018577,,64310811.6,,,,,,
country/IND,2019,,,,,,,,9850170.0,,,276191789.17138433,,49477495.2,,,,,,
country/IND,2020,,,,,,,,9851727.4,,,60633770.43,,45939198.800000004,,,,,,
country/IND,2021,,,,,,,,174504688.4,,,98423052.9554,,243060558.0,,,,,,
country/IRQ,2013,,,,,,,,,,,,,854751.2000000001,,,,,,
country/IRQ,2014,,,,,,,,,,,,,2722067.2,,,,,,
country/IRQ,2015,,,,,,,,,,,,,1665224.8,,,,,,
country/IRQ,2016,,,,,,,,,,,,,999902.0,,,,,,
country/IRQ,2017,,,,,,,,,,,,,145112.80000000002,,,,,,
country/IRQ,2018,,,,,,,,,,,,,4061072.0,,,,,,
country/IRQ,2019,,,,,,,,,,,,,6136665.200000001,,,,,,
country/IRQ,2020,,,,,,,,,,,,,11578685.200000001,,,,,,
country/IRQ,2021,,,,,,,,,,,,,5256565.600000001,,,,,,
country/JAM,2017,,,,,,3317600.0,,,,,,,,,,,,,
country/JAM,2018,,,,,,6800000.0,,,,,,,,,,,,,
country/JAM,2021,,,,,,280000.0,,,,,,,,,,,,,
country/JOR,2013,,,,,,,66383431.0,242341.2,,,,,,,,,,,
country/JOR,2014,,,,,,,,2170975.6,,,,,,,,,,,
country/JOR,2015,,,,,,,85281198.0,4155542.4000000004,,,,,,,,,,,
country/JOR,2016,,,,,,,96199271.0,8616273.4,,,,,,,,,,,
country/JOR,2017,,,,,,,12322984.0,20860444.4,,,,,,,,,,,
country/JOR,2018,,,,,,,11305658.400000002,12129390.8,,,,,,,,,,,
country/JOR,2019,,,,,,,,14571871.4,,,,,,,,,,,
country/JOR,2020,,,,,,,11396011.0,8541715.0,,,,,,,,,,,
country/JOR,2021,,,,,,,9283349.0,5647335.6,,,,,,,,,,,
country/KEN,2013,,,,,,,,191184.40000000002,,,1521886.0,,3564776.0,,,,,,
country/KEN,2014,,,,,,,,723110.8,,,1763519.75,,502705.0,,,,,,
country/KEN,2015,,,,1031880.0,,,,297623.60000000003,,,5127129.6,,13656434.0,,,,,,
country/KEN,2016,,,,2063672.4000000001,,,,1203279.2000000002,,,10243732.1864,,1417447.2000000002,,,,,,
country/KEN,2017,,,,1368680.8,,,,2682065.6,,,2074516.04,,13602003.4,,,,,,
country/KEN,2018,,,,,,,,3217256.8000000003,,,71661203.6771,,37285576.0,,,,,,
country/KEN,2019,,80104.56464176108,,,,,,3168498.4000000004,,,185415428.1336,,38613169.2,,,,,,
country/KEN,2020,,42196.00830594118,,361254.4,,,1526720.0,4135664.8000000003,,,368516058.6606,,19273992.8,,,,,,
country/KEN,2021,,753778.816703183,,,,,8429800.0,6843705.600000001,,,169517374.5912251,,34666763.6,,,,,,
country/KGZ,2017,,,7133.968,,,,,,,,,,,,,,,,
country/KGZ,2018,,,3991.38,,,,,,,,,,466704.80000000005,,,,,,
country/KGZ,2019,,,10665.925000000001,,,,,,,,335792.30220000003,,224331.2,,,,,,
country/KGZ,2020,,,29020.911,,,,,,,,1255409.396,,131348.4,,,,,,
country/KGZ,2021,,,824576.0283999998,,,,,,,,1070109.384,,331500.80000000005,,,,,,
country/KHM,2013,,,,,,,,,,,,,1307293.0,5895901.2,,,,,
country/KHM,2014,,,,,,,,,,,,,502515.00000000006,,,,,,
country/KHM,2015,,,461445.7037037037,,,,,,,,,,1174605.4,,,,,,
country/KHM,2016,,,447036.5037037037,,,,,,,,553040.0,,2141490.2,,,,,,
country/KHM,2017,,,2595699.8222222226,,,7485126.0,1127269.0,,,,520000.00000000006,,8635340.8,,,,,,
country/KHM,2018,,,5418516.362562964,,,8521268.0,,,,,7488209.08,,12013148.8,535185.2000000001,,,,,
country/KHM,2019,,,5139939.570048149,,,,147223260.0,,,,25256107.93063672,,28489334.599999998,351134.80000000005,,,,,
country/KHM,2020,,,6523599.6505296305,,,128694.0,,,,,11142086.673999999,,22470116.400000002,1201506.4,,,,,
country/KHM,2021,,,9870251.52992963,,,691234.0,103912351.0,,,,32263630.058399998,,24101813.6,8599730.0,,,,,
country/LAO,2014,,,160315.27479999998,,,,,,,,,,,,,,,,
country/LAO,2015,,,243713.06699999998,,,,,,,,,,,,,,,,
country/LAO,2016,,,127001.1921,,,,,,,,,,,,,,,,
country/LAO,2017,,,2138769.4287,,,,,,,,6198007.651130346,,,,,,,,
country/LAO,2018,,,5129855.243299999,,,,,,,,4529565.9767,,563932.4,,,,,,
country/LAO,2019,,,9642166.6766,,,,,,,,24443294.8435,,645450.8,497924.80000000005,1619077.0,,,,
country/LAO,2020,,,6475427.5117999995,,,,,,,,13719972.4536,,1006176.4,77093.2,7237852.0,,,,
country/LAO,2021,,,3763362.7265999997,,,,,,,,15629918.1747,,321677.2,3937409.2,1747398.0,,,,
country/LBN,2013,,,,,,,,,,,,1126950.4000000001,,,,,,,
country/LBN,2014,,,,,,,,,,,,1348040.0,,,,,,,
country/LBN,2015,,,,,,,,,,,,408104.0,,,,,,,
country/LBN,2016,,,,,,,,,,,,282621.2,,,,,,,
country/LBN,2017,,,,,,,,,,,,219262.80000000002,,,,,,,
country/LBN,2018,,,,,,,,,,,,937901.6000000001,,,,,,,
country/LBN,2019,,,,,,,,,,,,534256.0,,,,,,,
country/LBN,2020,,,,,,,169023.2,,,,,668334.8,,,,,,,
country/LBN,2021,,,,,,,,,,,,1247408.4000000001,,,,,,,
country/LBR,2018,,,,,,,,,,,614975.6799999999,,,,,,,,
country/LBR,2019,,,,,,,,,,,972713.89,,,,,,,,
country/LBR,2020,,,,,,,,,,,7371430.34,,,,,,,,
country/LBR,2021,,,,,,,,,,,4552062.96,,,,,,,,
country/LCA,2014,,,,,,,,,,,1206700.0,,,,,,,,
country/LCA,2015,,,,,,,,,,,1083303.0,,,,,,,,
country/LCA,2016,,,,,,,,,,,2683930.0,,,,,,,,
country/LCA,2017,,,,,,2986360.0,,,,,,,,,,,,,
country/LCA,2018,,,,,,1705024.0,,,,,1405845.0,,,,,,,,
country/LCA,2019,,,,,,,,,,,2721573.567,,,,,,,,
country/LCA,2020,,,,,,,,,,,7461661.628,,,,,,,,
country/LCA,2021,,,,,,,,,,,16802095.709,,,,,,,,
country/LKA,2013,,,,,,,,,,,,,12109231.2,,,,,,
country/LKA,2014,,,,,,,,,,,15000000.0,,8593268.8,,,,,,
country/LKA,2015,,,4579660.0,,,,,,,,3529940.0,,3307176.4000000004,,,,,,
country/LKA,2016,,,,,,,,,,,,,4003393.6,,,,,,
country/LKA,2017,,,1410054.5999999999,,,,,,,,,,4002168.0,,,,,,
country/LKA,2018,,,519615.536,,,,822447.2000000001,,,,9452836.6,,10140546.0,,,,,,
country/LKA,2019,,,2048294.4598,,,,1498977.4,,,,18565360.6548,,10575073.600000001,,,,,,
country/LKA,2020,,,1345096.3476000002,,,,1329129.0,,,,17434920.6,,8363202.4,,,,,,
country/LKA,2021,,,1546045.5376000002,,,,9034631.0,,,,14759795.861476304,,3963260.0,,,,,,
country/LSO,2014,,,,,,,,,,,,,,,,,,3372720.0,
