dcid,year,climateFinanceProvidedDisbursementsOdaGrantsCurrentUSD
Earth,2013,7172818524.319319
Earth,2014,7017114484.324883
Earth,2015,6677877063.556361
Earth,2016,8115736615.97628
Earth,2017,8237970806.188809
Earth,2018,9789560300.240126
Earth,2019,10450510064.345694
Earth,2020,11149875319.945951
Earth,2021,11570204315.01332
country/AUS,2013,285006097.0
country/AUS,2014,173855710.8
country/AUS,2015,166865842.0
country/AUS,2016,182613931.6
country/AUS,2017,162718684.4
country/AUS,2018,150401706.60000002
country/AUS,2019,231451536.4
country/AUS,2020,285262495.6
country/AUS,2021,440009473.40000004
country/AUT,2013,36973467.4
country/AUT,2014,37489097.0
country/AUT,2015,26261462.400000002
country/AUT,2016,30871099.400000002
country/AUT,2017,36148259.6
country/AUT,2018,33004827.8
country/AUT,2019,44142125.0
country/AUT,2020,48515539.0
country/AUT,2021,58188135.4
country/AZE,2020,239448.0
country/BEL,2013,89229372.2
country/BEL,2014,116656196.2
country/BEL,2015,99670940.60000001
country/BEL,2016,112655829.4
country/BEL,2017,144154590.8
country/BEL,2018,164624187.6
country/BEL,2019,152436492.4
country/BEL,2020,165022501.0
country/BEL,2021,152196202.6
country/CAN,2013,189152096.2
country/CAN,2014,85702327.60000001
country/CAN,2015,82396874.60000001
country/CAN,2016,103999611.60000001
country/CAN,2017,129780584.4
country/CAN,2018,132365166.2
country/CAN,2019,96974630.8
country/CAN,2020,162956590.0
country/CAN,2021,160822265.6
country/CZE,2013,3839723.2
country/CZE,2014,2714790.2
country/CZE,2015,4096049.6
country/CZE,2016,2918807.6
country/CZE,2017,3598009.4
country/CZE,2018,4765990.4
country/CZE,2019,4068514.2
country/CZE,2020,3461253.8000000003
country/CZE,2021,3935035.8
country/DNK,2013,192223568.20000002
country/DNK,2014,212898183.6
country/DNK,2015,138886615.8
country/DNK,2016,135322324.4
country/DNK,2017,123133766.2
country/DNK,2018,195459728.8
country/DNK,2019,220689708.4
country/DNK,2020,174535072.8
country/DNK,2021,262439269.20000002
country/EST,2020,121253.6
country/EST,2021,125356.0
country/FIN,2013,76924270.60000001
country/FIN,2014,73187372.0
country/FIN,2015,77345402.2
country/FIN,2016,53287687.400000006
country/FIN,2017,112679014.60000001
country/FIN,2018,33160008.2
country/FIN,2019,89127854.2
country/FIN,2020,33979093.2
country/FIN,2021,47362996.6
country/FRA,2013,70114186.2
country/FRA,2014,22430468.8
country/FRA,2015,24126565.8
country/FRA,2016,45318577.800000004
country/FRA,2017,70442414.4
country/FRA,2018,62930040.2
country/FRA,2019,189493868.6
country/FRA,2020,305897455.2
country/FRA,2021,301828146.0
country/DEU,2013,925666861.0
country/DEU,2014,1004208985.4
country/DEU,2015,844724059.0
country/DEU,2016,1201021925.8
country/DEU,2017,1387138716.2
country/DEU,2018,1725130156.4
country/DEU,2019,1862866398.2
country/DEU,2020,2248253335.2000003
country/DEU,2021,2723503798.6
country/GRC,2013,184942.40000000002
country/GRC,2014,253036.0
country/GRC,2015,194325.0
country/GRC,2016,382718.0
country/GRC,2017,92088.8
country/GRC,2018,830.4000000000001
country/GRC,2020,7630.400000000001
country/HUN,2019,1245500.6
country/HUN,2020,19623688.6
country/HUN,2021,12383966.8
country/ISL,2013,6777702.0
country/ISL,2014,7018761.2
country/ISL,2015,5674827.600000001
country/ISL,2016,6561295.8
country/ISL,2017,7293834.0
country/ISL,2018,5531449.0
country/ISL,2019,8101788.600000001
country/ISL,2020,6754779.4
country/ISL,2021,10093981.2
country/IRL,2013,44759952.2
country/IRL,2014,53337724.0
country/IRL,2015,49316098.6
country/IRL,2016,61698514.800000004
country/IRL,2017,62834694.800000004
country/IRL,2018,42021313.6
country/IRL,2019,69270065.8
country/IRL,2020,58679579.0
country/IRL,2021,60524221.0
country/ITA,2013,38994466.6
country/ITA,2014,54266929.6
country/ITA,2015,86867169.8
country/ITA,2016,48189756.800000004
country/ITA,2017,99773499.2
country/ITA,2018,77354656.2
country/ITA,2019,103885399.2
country/ITA,2020,128487903.4
country/ITA,2021,120341421.60000001
country/JPN,2013,388745037.4
country/JPN,2014,326864622.6
country/JPN,2015,280291447.2
country/JPN,2016,187470020.4
country/JPN,2017,146243706.8
country/JPN,2018,127267287.4
country/JPN,2019,144431864.0
country/JPN,2020,731026546.0
country/JPN,2021,616267920.2
country/KAZ,2020,4070.0
country/KOR,2013,52165413.2
country/KOR,2014,48333122.0
country/KOR,2015,47198332.800000004
country/KOR,2016,45832577.800000004
country/KOR,2017,43173180.0
country/KOR,2018,58969560.6
country/KOR,2019,50076078.0
country/KOR,2020,62050272.0
country/KOR,2021,96615057.4
country/LVA,2017,28170.0
country/LVA,2018,18617.600000000002
country/LVA,2019,4426.2
