dcid,year,climateFinanceReceivedCommitmentsMitigationOdaLoansByProviderCurrentUSDAfricanDevelopmentFund,climateFinanceReceivedCommitmentsMitigationOdaLoansByProviderCurrentUSDAsianDevelopmentBank,climateFinanceReceivedCommitmentsMitigationOdaLoansByProviderCurrentUSDAustria,climateFinanceReceivedCommitmentsMitigationOdaLoansByProviderCurrentUSDBelgium,climateFinanceReceivedCommitmentsMitigationOdaLoansByProviderCurrentUSDCanada,climateFinanceReceivedCommitmentsMitigationOdaLoansByProviderCurrentUSDClimateInvestmentFunds,climateFinanceReceivedCommitmentsMitigationOdaLoansByProviderCurrentUSDEUInstitutions,climateFinanceReceivedCommitmentsMitigationOdaLoansByProviderCurrentUSDFrance,climateFinanceReceivedCommitmentsMitigationOdaLoansByProviderCurrentUSDGermany,climateFinanceReceivedCommitmentsMitigationOdaLoansByProviderCurrentUSDGlobalEnvironmentFacility,climateFinanceReceivedCommitmentsMitigationOdaLoansByProviderCurrentUSDGreenClimateFund,climateFinanceReceivedCommitmentsMitigationOdaLoansByProviderCurrentUSDIFAD,climateFinanceReceivedCommitmentsMitigationOdaLoansByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedCommitmentsMitigationOdaLoansByProviderCurrentUSDInternationalDevelopmentAssociation,climateFinanceReceivedCommitmentsMitigationOdaLoansByProviderCurrentUSDIslamicDevelopmentBank,climateFinanceReceivedCommitmentsMitigationOdaLoansByProviderCurrentUSDItaly,climateFinanceReceivedCommitmentsMitigationOdaLoansByProviderCurrentUSDJapan,climateFinanceReceivedCommitmentsMitigationOdaLoansByProviderCurrentUSDKorea,climateFinanceReceivedCommitmentsMitigationOdaLoansByProviderCurrentUSDPortugal,climateFinanceReceivedCommitmentsMitigationOdaLoansByProviderCurrentUSDUnitedArabEmirates
Earth,2013,531500.0,349579643.2,,1991502.8,,1661989516.0,67828988.8961355,1405117207.6,1236790707.6,,,,17860000.0,738302735.0,,,4704325192.4,,17041942.0,
Earth,2014,,168671000.0,,,,1745150000.0,320341730.0849011,1385965951.8,3581900021.8,,,,65678099.849999994,1417845920.0,12000000.0,10614302.8,4378062780.4,,7776148.0,14000000.0
Earth,2015,8362800.0,152054680.0,,,,873109730.42,60943981.9655532,2091060456.0,1462814658.2,,,,49400000.0,1098061540.0,,,3824677712.0,,8015542.800000001,15000000.0
Earth,2016,,70533990.0,,22083380.0,,809700000.0,138056526.72639742,1485695012.0,3001259931.8,,,,24515000.0,880649601.8904,,,3187007183.0,,,15000000.0
Earth,2017,2758123.2,254428665.360242,,,,578249200.0,233752230.20029157,2284363144.0,1708268921.2,,,,117625700.0,2186670109.3106,,,1452978654.8000002,31600000.0,,26000000.0
Earth,2018,88040034.45299199,145281264.4,,3776702.4000000004,,822680000.0,202209238.5412538,419723484.2,3028186348.6,,,,234957108.0,2574216519.8245,,,3441497385.8,,,
Earth,2019,66759666.67999999,188126196.0,,3582223.2,,292400000.0,184003058.37801695,2410868709.2,2144168850.8,15000000.0,,,33118830.0,1738856795.59332,500000.0,,2288797652.6000004,292484228.0,,
Earth,2020,85298482.75999999,368465643.963516,69868946.0,,298240381.0,71749500.0,123380838.79669537,2737697701.0,1946311937.4,,,5753992.0,34436265.0,2823150348.87986,,,1873991266.8,,,
Earth,2021,110740266.4,163784195.0,500000.0,,98045475.0,12000000.0,229174954.8353919,2191248562.8,1434828334.4,10000000.0,40000000.0,3099773.9130434785,14810000.0,2464250052.4031215,32777869.0,,2743661689.0,65978000.0,,
country/AGO,2015,,,,,,,,,,,,,,,,,78147274.8,,,
country/AGO,2018,,,,,,,,37294936.800000004,,,,,,,,,,,,
country/ALB,2016,,,,,,,,,5307973.2,,,,,,,,,,,
country/ALB,2021,,,,,,,,,70955535.0,,,,,,,,,,,
country/ARM,2013,,,,,,,,13253581.0,,,,,,,,,,,,
country/ARM,2016,,,,,,,,,8846621.6,,,,,,,,,,,
country/ARM,2017,,,,,,,,,6763611.600000001,,,,,,,,,,,
country/ARM,2018,,,,,,52000000.0,,,,,,,,,,,,,,
country/ARM,2019,,,,,,,,,22388895.0,,,,,,,,,,,
country/ARM,2020,,,,,,,,1709402.0,,,,,,,,,,,,
country/ARM,2021,,,,,,,,24094309.0,47303690.0,,,,,,,,,,,
country/ATG,2017,,,,,,,,,,,,,,,,,,,,15000000.0
country/AZE,2017,,,,,,,,126817721.0,,,,,,,,,,,,
country/AZE,2019,,,,,,,,104286842.0,,,,,,,,,,,,
country/BEN,2015,4140000.0,,,,,,,,,,,,,,,,,,,
country/BEN,2017,2758123.2,,,,,,,56363431.0,,,,,,15752000.0,,,,,,
country/BEN,2018,1819595.3705999998,,,,,,,,,,,,,28831000.0,,,,,,
country/BEN,2019,,,,,,,,,,,,,,8404400.0,,,,,,
country/BEN,2020,,,,,,,,,,,,2201140.0,,12375000.0,,,,,,
country/BEN,2021,,,,,,,532166.5,,,,,122673.91304347826,,17296716.0,,,,,,
country/BFA,2013,,,,,,,,,,,,,,4435000.0,,,,,,
