dcid,year,climateFinanceProvidedCommitmentsOdaGrantsCurrentUSD
Earth,2013,11200581919.204252
Earth,2014,9171492724.579927
Earth,2015,9683092123.706255
Earth,2016,11448620647.874247
Earth,2017,13722662869.11944
Earth,2018,13626810875.675243
Earth,2019,15958633509.950663
Earth,2020,17107051215.684946
Earth,2021,19001794247.836254
country/AUS,2013,285006097.0
country/AUS,2014,173855710.8
country/AUS,2015,166865842.0
country/AUS,2016,182613931.6
country/AUS,2017,162718684.4
country/AUS,2018,150401706.60000002
country/AUS,2019,231451536.4
country/AUS,2020,314783203.2
country/AUS,2021,440009473.40000004
country/AUT,2013,58436684.4
country/AUT,2014,38956521.800000004
country/AUT,2015,22423889.2
country/AUT,2016,34198868.4
country/AUT,2017,35194902.6
country/AUT,2018,44536512.4
country/AUT,2019,47734704.4
country/AUT,2020,56755800.0
country/AUT,2021,72572192.8
country/AZE,2020,239448.0
country/BEL,2013,136935880.0
country/BEL,2014,133787691.0
country/BEL,2015,130665468.2
country/BEL,2016,84994668.8
country/BEL,2017,130250402.2
country/BEL,2018,131926519.60000001
country/BEL,2019,150051625.8
country/BEL,2020,160889498.6
country/BEL,2021,150412237.8
country/CAN,2013,165932420.8
country/CAN,2014,103778677.80000001
country/CAN,2015,134050862.2
country/CAN,2016,247559787.60000002
country/CAN,2017,94348679.6
country/CAN,2018,162852316.20000002
country/CAN,2019,212548082.6
country/CAN,2020,99598292.2
country/CAN,2021,185550162.4
country/CZE,2013,3839773.6
country/CZE,2014,2722507.0
country/CZE,2015,4101799.4
country/CZE,2016,3038003.0
country/CZE,2017,3635353.0
country/CZE,2018,5051230.6
country/CZE,2019,4240905.600000001
country/CZE,2020,3471333.0
country/CZE,2021,4055464.6
country/DNK,2013,265612519.6
country/DNK,2014,223136562.20000002
country/DNK,2015,103105192.60000001
country/DNK,2016,70798477.60000001
country/DNK,2017,94135858.8
country/DNK,2018,168590297.6
country/DNK,2019,283045477.0
country/DNK,2020,197166041.0
country/DNK,2021,314201890.6
country/EST,2020,121253.6
