dcid,year,"climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDAfrica,regional","climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDAmerica,regional","climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDAsia,regional",climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDAzerbaijan,"climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDBilateral,unspecified",climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDBrazil,climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDCameroon,"climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDCaribbean&CentralAmerica,regional","climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDCentralAsia,regional",climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDChile,climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDChina(People'sRepublicof),climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDColombia,climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDDominicanRepublic,climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDEgypt,climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDEthiopia,"climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDEurope,regional",climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDGeorgia,climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDHaiti,climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDIndia,climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDIndonesia,climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDKenya,climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDLaoPeople'sDemocraticRepublic,climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDMalaysia,climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDMauritius,climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDMexico,climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDMongolia,climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDMyanmar,climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDNamibia,climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDNepal,climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDNigeria,"climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDNorthofSahara,regional",climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDPakistan,climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDPanama,climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDPhilippines,climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDSerbia,climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDSierraLeone,climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDSouthAfrica,"climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDSouthAmerica,regional",climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDSouthSudan,"climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDSouthernAfrica,regional","climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDSouthofSahara,regional",climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDTanzania,climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDThailand,climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDUganda,"climateFinanceProvidedDisbursementsEquityInvestmentByRecipientCurrentUSDWesternAfrica,regional"
Earth,2013,89842647.97393158,609208.6,726800.0,,39190618.2,,,,,9187443.0,,,,,194370.80000000002,4646840.0,,,1956554.0,,3534860.0,,,,,,,,,,,,1986732.0,,4514073.2,,11204549.0,,4224685.0,,159198.80000000002,266800.0,,851505.0,
Earth,2014,5299487.802823497,11467315.6,183200.0,2388218.0,51652757.0,,,661200.0,5307151.0,,4643757.0,,,,318429.2,7960727.2,1326788.0,,,,17420724.0,,,80000.0,3056000.0,,,,155369.0,,,,,272787.60000000003,11941091.0,,590000.0,,,,112767.20000000001,71760.0,,,
Earth,2015,53564696.531967066,8345808.6,8956673.0,,225200.0,,,,,,,,,,288408.4,,1109262.4000000001,,,519600.0,4001108.9999999995,,,320000.0,1801600.0,,1081500.0,,235958.0,,,,,21298.0,,,8590326.0,,,,3066218.6,,,,
Earth,2016,27179534.85392644,5499192.8,22351416.2,,27642779.0,207999.0,,827031.2000000002,,,5208095.0,,,,663496.8,6634966.400000001,162325.0,,173929.0,192203.2,36999.0,,416006.0,,,,,,418322.80000000005,,,,,,4948540.274798769,,7199876.0,3923405.0,,,14472593.8,238220.0,,,
Earth,2017,53509546.00987415,24168275.6,14759291.2,,2602967.6,1781.0,,297599.60000000003,,,2804371.4,,,213919.38468627943,1037763.6000000001,,187535.0,,1367824.0,,2157306.0,560816.0,,,65116.2,213984.0,,3147703.0,1675828.2000000002,,,,,,24799909.0,,2680385.0,,,,12487563.2,,,,
Earth,2018,50719398.384847336,36873717.49,31696762.49,,100114062.6,,,,,,,,,319782.1369960943,2038003.2000000002,,1748094.0,,8276285.0,3086356.4000000004,,383571.0,,,,,,25026.0,1587357.2000000002,14634722.0,,,,,,,5030528.0,,,,14713950.0,,,,
Earth,2019,111213320.1086824,32630522.351461567,565124.8,,109297614.0,,,,,,,,,724001.8218360809,,25187507.0,257751.99999999997,,74196351.60570085,,,,,,,,,3327511.0,749016.4,13522766.4,,,,138254.80000000002,8848091.0,4428399.2,2537020.0,,,7745055.50646483,5370503.8,,,,3169140.592704599
Earth,2020,119339309.98384346,37384256.800000004,24099758.0,,95938031.0,21424501.2,,,,,,,,671489.1013142472,,,1447602.0,,63836732.31694377,,,11396.0,,,,,1066543.2,3338062.0,,,,5259992.0,,,,,18100338.8,,,,13398866.8,,,,8646133.791219356
Earth,2021,35579852.39400368,29843220.6,77864.40000000001,,56739716.8,,8029476.000000001,,,,,20695365.0,20695364.0,815457.0458077024,220435.2,41390729.0,553804.0,8969202.0,6013644.984686298,,11411093.4,,,,,,800005.2000000001,5527752.0,593026.8,2409850.0,46984390.0,,,,,,88672675.0,,,,1707116.0,345000.0,1360115.2000000002,,7602092.507153165
country/AUT,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89369.0,,,,,,,,,,,,,,,,
country/AUT,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127558.0,,,,,,,,,,,,2599461.0,,,,
country/AUT,2016,,,,,,,,,,,,,,,,,162325.0,,,,,,,,,,,,275566.0,,,,,,,,,,,,1059102.0,,,,
country/AUT,2017,,,,,713514.0,,,,,,,,,,,,187535.0,,,,,560816.0,,,,,,,990629.0,,,,,,,,,,,,2996739.0,,,,
country/AUT,2018,,,,,868445.0,,,,,,,,,,,,1748094.0,,,,,383571.0,,,,,,,697024.0,,,,,,,,,,,,3543110.0,,,,
country/AUT,2019,,,,,1384930.0,,,,,,,,,,,,257751.99999999997,,,,,,,,,,,,,,,,,,,,,,,,2922759.0,,,,
country/AUT,2020,,,,,58054.0,,,,,,,,,,,,1447602.0,,,,,11396.0,,,,,,,,,,,,,,,,,,,1333426.0,,,,
country/AUT,2021,,,,,1741985.0,,,,,,,,,,,,553804.0,,,,,,,,,,,,,,,,,,,,,,,,660995.0,,,,
country/CHE,2013,,,,,5925281.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
