dcid,year,interestPaymentsCurrentUSD
country/AFG,2008,5996000.0
country/AFG,2009,6530000.0
country/AFG,2015,9868365.3
country/AFG,2017,9027536.5
country/AFG,2019,8769406.7
country/AFG,2020,8132844.6
country/AFG,2007,3242050.9
country/AFG,2011,8885904.9
country/AFG,2013,7525164.0
country/AFG,2024,29310074.9
country/AFG,2006,5766252.2
country/AFG,2010,7709000.0
country/AFG,2014,9145959.4
country/AFG,2016,8422589.8
country/AFG,2022,35462796.1
country/AFG,2023,32406488.1
country/AFG,2026,22099901.5
country/AFG,2027,18882155.1
country/AFG,2028,15683473.8
country/AFG,2012,8300000.0
country/AFG,2018,9265540.1
country/AFG,2021,5180000.0
country/AFG,2025,26111693.6
country/ALB,1993,2098562.7
country/ALB,1994,9114645.2
country/ALB,1998,6943942.9
country/ALB,2002,22056879.3
country/ALB,2005,36334050.1
country/ALB,2011,166533680.9
country/ALB,2012,178918658.9
country/ALB,2015,98407379.4
country/ALB,2020,146145963.5
country/ALB,2023,245576496.4
country/ALB,2024,200240089.6
country/ALB,1992,1917988.2
country/ALB,1995,4538144.3
country/ALB,2000,8365455.7
country/ALB,2001,10330489.3
country/ALB,2004,20965728.8
country/ALB,2014,184578116.9
country/ALB,2021,114956272.6
country/ALB,2027,106466708.2
country/ALB,2028,69291689.7
country/ALB,1991,2764725.8
country/ALB,1996,5416947.4
country/ALB,1997,5704988.2
country/ALB,1999,6369193.3
country/ALB,2003,15510717.2
country/ALB,2006,39323909.3
country/ALB,2010,110000728.0
country/ALB,2013,192865329.4
country/ALB,2016,94832853.7
country/ALB,2022,290289205.9
country/ALB,2025,169711347.9
country/ALB,2007,45372449.9
country/ALB,2008,65182564.9
country/ALB,2009,95814823.1
country/ALB,2017,95851339.3
country/ALB,2018,146790762.4
country/ALB,2019,111998761.9
country/ALB,2026,124808356.8
country/DZA,1973,68726578.4
country/DZA,1974,219532463.8
country/DZA,1978,613847241.1
country/DZA,1981,1360847127.6
country/DZA,1984,1375675872.2
country/DZA,1996,2021328269.5
country/DZA,1998,1878656722.4
country/DZA,1999,1722092302.3
country/DZA,2009,123514578.5
country/DZA,2010,94890066.5
country/DZA,2011,80194642.5
country/DZA,1970,10144602.6
country/DZA,1971,16491809.8
country/DZA,1979,1252655047.9
country/DZA,1982,1425486808.4
