dcid,year,HivDeathsPeople
country/COG,2008,5500.0
country/COG,2011,5100.0
country/COG,2014,6000.0
country/COG,2019,7100.0
country/CRI,1992,100.0
country/CRI,1993,100.0
country/CRI,2008,500.0
country/CRI,2018,500.0
country/CRI,2019,500.0
country/HRV,1990,100.0
country/HRV,1992,100.0
country/HRV,1993,100.0
country/HRV,1995,100.0
country/HRV,1996,100.0
country/HRV,2002,100.0
country/HRV,2003,100.0
country/HRV,2005,100.0
country/HRV,2007,100.0
country/HRV,2013,100.0
country/HRV,2021,100.0
country/HRV,2022,100.0
country/CUB,1991,100.0
country/CUB,2001,500.0
country/CUB,2006,500.0
country/CUB,2007,500.0
country/CUB,2009,500.0
country/CUB,2012,500.0
country/CUB,2015,500.0
country/CUB,2020,500.0
country/CUB,2022,500.0
country/CYP,1992,100.0
country/CYP,1993,100.0
country/CYP,2001,100.0
country/CYP,2004,100.0
country/CYP,2005,100.0
country/CYP,2012,100.0
country/CYP,2018,100.0
country/CYP,2019,100.0
country/CYP,2020,100.0
country/CYP,2021,100.0
country/CZE,1990,100.0
country/CZE,1993,100.0
country/CZE,1999,100.0
country/CZE,2000,100.0
country/CZE,2006,100.0
country/CZE,2010,100.0
country/CZE,2014,100.0
country/CZE,2019,100.0
country/CIV,1991,20000.0
country/CIV,1992,25000.0
country/CIV,1997,51000.0
country/CIV,1998,56000.0
country/CIV,1999,59000.0
country/CIV,2004,62000.0
country/CIV,2006,53000.0
country/CIV,2010,34000.0
country/CIV,2012,28000.0
country/COD,1991,22000.0
country/COD,1993,29000.0
country/COD,2000,51000.0
country/COD,2002,53000.0
country/COD,2003,54000.0
country/COD,2007,48000.0
country/COD,2010,43000.0
country/COD,2015,32000.0
country/COD,2017,22000.0
country/COD,2020,19000.0
country/COD,2021,14000.0
country/DNK,1992,500.0
country/DNK,1993,500.0
country/DNK,1997,100.0
country/DNK,2005,100.0
country/DNK,2006,100.0
country/DNK,2007,100.0
country/DNK,2010,100.0
country/DNK,2013,100.0
country/DOM,2000,4700.0
country/DOM,2002,5400.0
country/DOM,2003,5700.0
country/DOM,2006,5100.0
country/DOM,2009,3600.0
country/DOM,2013,3000.0
country/ECU,1993,500.0
country/ECU,2001,1000.0
country/ECU,2002,1100.0
country/ECU,2010,1000.0
country/ECU,2011,1000.0
country/ECU,2014,1100.0
country/ECU,2022,500.0
country/EGY,1991,100.0
country/EGY,1992,100.0
country/EGY,1994,100.0
country/EGY,1995,100.0
country/EGY,2004,100.0
country/EGY,2006,500.0
country/EGY,2012,500.0
country/EGY,2014,500.0
country/EGY,2015,500.0
country/EGY,2018,500.0
country/EGY,2019,500.0
country/SLV,1990,100.0
country/SLV,1992,500.0
country/SLV,1999,1000.0
country/SLV,2000,1000.0
country/SLV,2006,500.0
country/SLV,2008,500.0
country/SLV,2009,500.0
country/SLV,2016,500.0
country/SLV,2020,500.0
country/SLV,2021,500.0
country/GNQ,1997,1000.0
country/GNQ,1999,1000.0
country/GNQ,2000,1000.0
country/GNQ,2002,1200.0
country/GNQ,2004,1500.0
country/GNQ,2005,1600.0
country/GNQ,2021,2700.0
country/GNQ,2022,2800.0
country/ERI,1991,1000.0
country/ERI,1992,1000.0
country/ERI,2001,1500.0
country/ERI,2006,1400.0
country/ERI,2016,500.0
country/ERI,2019,500.0
country/ERI,2022,500.0
country/EST,1996,100.0
country/EST,1998,100.0
country/EST,2001,100.0
country/EST,2009,100.0
country/EST,2011,100.0
country/EST,2019,100.0
country/EST,2021,100.0
country/SWZ,1990,500.0
country/SWZ,1991,500.0
country/SWZ,1994,1700.0
country/SWZ,1995,2400.0
country/SWZ,2000,7500.0
country/SWZ,2001,8500.0
country/SWZ,2004,10000.0
country/SWZ,2005,10000.0
country/SWZ,2006,9200.0
country/SWZ,2012,4700.0
country/SWZ,2017,3200.0
country/SWZ,2019,3100.0
country/SWZ,2020,3100.0
country/SWZ,2021,2700.0
country/SWZ,2022,2700.0
country/ETH,1994,40000.0
country/ETH,1998,62000.0
country/ETH,2001,71000.0
country/ETH,2008,39000.0
country/ETH,2012,19000.0
country/ETH,2019,15000.0
country/ETH,2020,13000.0
country/ETH,2022,11000.0
country/FJI,1991,100.0
country/FJI,1994,100.0
country/FJI,2001,100.0
country/FJI,2004,100.0
country/FJI,2011,100.0
country/FJI,2017,100.0
country/FRA,1997,2900.0
country/FRA,2000,1000.0
country/FRA,2012,1000.0
country/FRA,2015,1000.0
country/GAB,1990,500.0
country/GAB,1992,500.0
country/GAB,1995,1000.0
country/GAB,1997,1500.0
country/GAB,1998,1800.0
country/GAB,1999,2000.0
country/GAB,2000,2300.0
country/GAB,2002,2700.0
country/GAB,2017,1900.0
country/GMB,1993,100.0
country/GMB,1994,500.0
country/GMB,1997,500.0
country/GMB,2002,1000.0
country/GMB,2005,1300.0
country/GMB,2009,1500.0
country/GMB,2013,1300.0
country/GMB,2014,1400.0
country/GMB,2016,1400.0
country/GMB,2017,1400.0
country/GMB,2020,1400.0
country/GMB,2021,1400.0
country/GEO,1995,100.0
country/GEO,1998,100.0
country/GEO,2001,100.0
country/GEO,2006,100.0
country/GEO,2007,100.0
country/GEO,2010,100.0
country/GEO,2011,100.0
country/GEO,2016,100.0
country/GEO,2018,100.0
country/DEU,2020,500.0
country/DEU,2021,500.0
country/GHA,1991,6300.0
country/GHA,1992,7800.0
country/GHA,1996,15000.0
country/GHA,2001,22000.0
country/GHA,2009,21000.0
country/GHA,2010,20000.0
country/GHA,2011,18000.0
country/GHA,2014,17000.0
country/GHA,2022,9400.0
country/GRC,1994,500.0
country/GRC,1999,100.0
country/GRC,2014,100.0
country/GRC,2020,100.0
country/GRD,1991,100.0
country/GRD,1997,100.0
country/GRD,2000,100.0
country/GRD,2001,100.0
country/GRD,2005,100.0
country/GRD,2006,100.0
country/GRD,2007,100.0
country/GRD,2008,100.0
country/GRD,2011,100.0
country/GRD,2015,100.0
country/GRD,2020,100.0
country/GTM,1990,500.0
country/GTM,1994,1000.0
country/GTM,1998,1700.0
country/GTM,2006,1600.0
country/GTM,2009,1000.0
country/GTM,2010,1000.0
country/GTM,2017,1000.0
country/GTM,2018,1000.0
country/GIN,1997,3700.0
country/GIN,1998,4100.0
country/GIN,2001,5400.0
country/GIN,2011,4100.0
country/GIN,2014,4500.0
country/GNB,1993,500.0
country/AFG,1998,500.0
country/AFG,2001,500.0
country/AFG,2006,500.0
country/AFG,2015,1000.0
country/AFG,2017,1000.0
country/AFG,2022,1000.0
country/ALB,1992,100.0
country/ALB,1993,100.0
country/ALB,1996,100.0
country/ALB,2002,100.0
country/ALB,2007,100.0
country/ALB,2010,100.0
country/ALB,2011,100.0
country/ALB,2013,100.0
country/ALB,2014,100.0
country/ALB,2015,100.0
country/DZA,1995,100.0
country/DZA,1996,100.0
country/DZA,2001,500.0
country/DZA,2003,500.0
country/DZA,2004,500.0
country/DZA,2007,500.0
country/DZA,2009,500.0
country/DZA,2018,500.0
country/DZA,2019,500.0
country/AGO,1997,5400.0
country/AGO,2000,8000.0
country/AGO,2002,10000.0
country/AGO,2003,11000.0
country/AGO,2006,14000.0
country/AGO,2008,15000.0
country/AGO,2009,15000.0
country/AGO,2014,15000.0
country/AGO,2015,15000.0
country/AGO,2017,17000.0
country/AGO,2019,17000.0
country/ARG,1994,1300.0
country/ARG,1997,2300.0
country/ARG,1999,1700.0
country/ARG,2002,1400.0
country/ARG,2006,1500.0
country/ARG,2009,1400.0
country/ARG,2012,1400.0
country/ARG,2019,1500.0
country/ARG,2021,1400.0
country/AFG,1990,100.0
country/AFG,1991,100.0
country/AFG,1992,100.0
country/AFG,1995,500.0
country/AFG,1999,500.0
country/AFG,2004,500.0
country/AFG,2008,500.0
country/AFG,2014,1000.0
country/AFG,2021,1000.0
country/ALB,1991,100.0
country/ALB,1997,100.0
country/ALB,2005,100.0
country/ALB,2009,100.0
country/ALB,2012,100.0
country/ALB,2019,100.0
country/ALB,2020,100.0
country/ALB,2021,100.0
country/DZA,1992,100.0
