dcid,year,healthExpenditureFinancingSchemeOopCurrentUSD
country/COG,2005,59375065.84566679
country/COG,2006,67144485.89124691
country/COG,2007,82114983.7188935
country/COG,2008,98742143.29335809
country/COG,2009,104921730.88327439
country/COG,2010,102634577.39353883
country/COG,2011,112730302.22412641
country/COG,2012,100479741.0663365
country/COG,2013,106984462.42206158
country/COG,2014,110225752.66778082
country/COG,2015,94818009.71064158
country/COG,2016,125505054.47723511
country/COG,2017,127587101.8318206
country/COG,2018,130371723.18791269
country/COG,2019,138379656.83077306
country/COG,2020,116072377.17354816
country/CIV,2000,664805878.2648352
country/CIV,2001,693550656.1028022
country/CIV,2002,739595489.0076063
country/CIV,2003,841831410.1558414
country/CIV,2004,878534326.5422217
country/CIV,2005,831458141.119274
country/CIV,2006,791503964.2630444
country/CIV,2007,811916572.4743884
country/CIV,2008,912107538.5848469
country/CIV,2009,897803148.2028441
country/CIV,2010,889622004.631617
country/CIV,2011,924953360.5217773
country/CIV,2012,865602807.5922134
country/CIV,2013,902543712.269282
country/CIV,2014,932759823.7707255
country/CIV,2015,628272412.8556159
country/CIV,2016,643252032.9852612
country/CIV,2017,668635248.1352756
country/CIV,2018,710799732.2163877
country/CIV,2019,717530434.45623
country/CIV,2020,730594810.7395366
country/COD,2000,478086609.2518755
country/COD,2001,205048793.11586905
country/COD,2002,160006658.83141604
country/COD,2003,227130378.9038114
country/COD,2004,321963543.4099123
country/COD,2005,348601428.1193992
country/COD,2006,430925689.65286875
country/COD,2007,461309710.10917944
country/COD,2008,491639179.38723844
country/COD,2009,384741819.29500717
country/COD,2010,308448821.1167561
country/COD,2011,327312937.5301757
country/COD,2012,389619527.23110074
country/COD,2013,459617468.6319797
country/COD,2014,553151987.5667182
country/COD,2015,563285023.2229514
country/COD,2016,604619471.9043559
country/COD,2017,634074037.8023628
country/COD,2018,647874875.0716035
country/COD,2019,687304537.7780133
country/COD,2020,783828742.7738143
country/GNQ,2000,19431655.155881874
country/GNQ,2001,28802439.88521793
country/GNQ,2002,40923487.5182366
country/GNQ,2003,61534138.605932444
country/GNQ,2004,81499550.57502222
country/GNQ,2005,95346305.01412618
country/GNQ,2006,110190729.4680475
country/GNQ,2007,145569900.77171263
country/GNQ,2008,278276302.9758002
country/GNQ,2009,160705513.74754283
country/GNQ,2010,196392982.6194807
country/GNQ,2011,213484741.4069758
country/GNQ,2012,137645203.29483116
country/GNQ,2013,295037598.65910655
country/GNQ,2014,355498779.216759
country/GNQ,2015,296553673.82706463
country/GNQ,2016,262843694.0017942
country/GNQ,2017,272392645.613255
country/GNQ,2018,305358410.16465414
country/GNQ,2019,260829464.1665397
country/GNQ,2020,280122000.8333161
country/ERI,2000,20103896.103896104
country/ERI,2001,19275911.723545462
country/ERI,2002,17373307.5428274
country/ERI,2003,19239235.12703397
country/ERI,2004,21142339.07524932
country/ERI,2005,20562318.683404233
country/ERI,2006,22146341.463414636
country/ERI,2007,23739837.398373984
country/ERI,2008,19783713.787317075
country/ERI,2009,32223283.84520326
country/ERI,2010,38713872.17105691
country/ERI,2011,39950132.76422764
country/ERI,2012,45153795.20065041
country/ERI,2013,48156168.8494309
country/ERI,2014,55624389.65918699
country/ERI,2015,37781783.66699186
country/ERI,2016,43185277.432573296
country/ERI,2017,29056178.252736323
country/ERI,2018,40484127.66567165
country/ERI,2019,38169782.57910447
country/ERI,2020,38586306.55389718
country/SWZ,2000,14841865.684958111
country/SWZ,2001,14158199.7334822
country/SWZ,2002,13355885.309832532
country/SWZ,2003,21107309.949360505
country/SWZ,2004,27642493.37410411
country/SWZ,2005,31049271.017353263
country/SWZ,2006,31948820.77427136
country/SWZ,2007,33388406.772395752
country/SWZ,2008,30761063.344532926
country/SWZ,2009,32219142.598754305
country/SWZ,2010,39871078.81291901
country/SWZ,2011,42802625.53360027
country/SWZ,2012,40156794.3051692
country/SWZ,2013,36103003.51173617
country/SWZ,2014,33859641.32198142
country/SWZ,2015,30281340.21090805
country/SWZ,2016,27549880.936601643
country/SWZ,2017,32277746.095736686
country/SWZ,2018,34234739.342313744
country/SWZ,2019,32082017.9416535
country/SWZ,2020,29195160.131009486
country/ETH,2000,128219107.57947458
country/ETH,2001,132288668.8744397
country/ETH,2002,138198605.11219397
country/ETH,2003,145269521.54827416
country/ETH,2004,152218167.1938781
country/ETH,2005,159201839.12466955
country/ETH,2006,263616918.51510096
country/ETH,2007,357629827.36575603
country/ETH,2008,429165715.3968551
country/ETH,2009,553673089.7065563
country/ETH,2010,619170990.9079123
country/ETH,2011,633901706.6483358
country/ETH,2012,808006016.8198637
country/ETH,2013,804243130.850026
country/ETH,2014,840561962.4017246
country/ETH,2015,886107645.240382
country/ETH,2016,920483745.5942774
country/ETH,2017,912330247.102281
country/ETH,2018,940499880.9829823
country/ETH,2019,1135211364.2631946
country/ETH,2020,1112449234.4433215
country/GAB,2000,83511250.76294447
country/GAB,2001,80446048.01761122
country/GAB,2002,96076444.06120946
country/GAB,2003,115367816.75610158
country/GAB,2004,129289935.15548705
country/GAB,2005,144748771.0132655
country/GAB,2006,163496000.06151745
country/GAB,2007,199072895.03822428
country/GAB,2008,226109844.46555772
country/GAB,2009,237212545.32410526
country/GAB,2010,90749981.95061438
country/GAB,2011,129164560.48969656
country/GAB,2012,116413761.88873973
country/GAB,2013,142928425.79460946
country/GAB,2014,129699036.15693544
country/GAB,2015,99013206.87986767
country/GAB,2016,98281134.077638
country/GAB,2017,104436826.83227706
country/GAB,2018,107020663.32625996
country/GAB,2019,107854784.32464002
country/GAB,2020,105650507.34310143
country/GMB,2000,8738351.904206736
country/GMB,2001,7189646.6710828915
country/GMB,2002,7267706.01709775
country/GMB,2003,5235767.170873525
country/GMB,2004,5134333.178118614
country/GMB,2005,6369434.372765425
country/GMB,2006,7476530.229666256
country/GMB,2007,9554737.871731969
country/GMB,2008,11962862.407991942
country/GMB,2009,11008292.576120032
country/GMB,2010,11464170.675028492
country/GMB,2011,11844558.974128276
country/GMB,2012,11746174.306540878
country/GMB,2013,11252381.92056763
country/GMB,2014,10067352.15723276
country/GMB,2015,10249616.76311416
country/GMB,2016,14467623.25516929
country/GMB,2017,13463035.227419622
country/GMB,2018,12535246.298344001
country/GMB,2019,11579364.141405378
country/GMB,2020,11249491.668438414
country/GHA,2000,168378973.01690304
country/GHA,2001,181615534.49917984
country/GHA,2002,222217947.41165453
country/GHA,2003,253126771.57530028
country/GHA,2004,269347198.35328555
country/GHA,2005,332038581.12832445
country/GHA,2006,412012464.2209451
country/GHA,2007,499359649.24033105
country/GHA,2008,557584860.4404742
country/GHA,2009,478752638.40660405
country/GHA,2010,505344161.02985
country/GHA,2011,905768662.405261
country/GHA,2012,859054515.7655337
country/GHA,2013,1121593862.7703333
country/GHA,2014,991267272.554655
country/GHA,2015,803601065.1543322
country/GHA,2016,720237875.6037147
country/GHA,2017,820479036.5219594
country/GHA,2018,855700843.9859769
country/GHA,2019,829347875.5298005
country/GHA,2020,841498512.0900698
country/GIN,2000,125177259.75019202
country/GIN,2001,117888440.46466887
country/GIN,2002,127990958.94102961
country/GIN,2003,142036192.04331636
country/GIN,2004,166388941.70727825
country/GIN,2005,127540093.9408215
country/GIN,2006,108032412.80283758
country/GIN,2007,156215202.70254952
country/GIN,2008,161349938.41893733
country/GIN,2009,174398135.52874693
country/GIN,2010,162784807.7224366
country/GIN,2011,154240005.0824464
country/GIN,2012,161516110.20579705
country/GIN,2013,179465128.6881751
country/GIN,2014,245291281.00601414
country/GIN,2015,252127684.05081227
country/GIN,2016,230853993.17802772
country/GIN,2017,261118901.13282055
country/GIN,2018,297502173.11907274
country/GIN,2019,325475618.8230361
country/GIN,2020,292639040.52813274
country/GNB,2000,9953041.846174313
country/GNB,2001,10810867.725653406
country/GNB,2002,10374040.673502449
country/GNB,2003,11155531.504835563
country/GNB,2004,13399306.198918507
country/GNB,2005,15378184.87870645
country/GNB,2006,16561067.926512975
country/GNB,2007,17836301.81004809
country/GNB,2008,24297579.35691378
country/GNB,2009,21758197.560104504
country/GNB,2010,22004876.68295571
country/GNB,2011,25767578.653549887
country/GNB,2012,36618995.14156219
country/GNB,2013,50260296.13069034
country/GNB,2014,62684684.87903973
country/GNB,2015,62716120.18634421
country/GNB,2016,66972911.542998515
country/GNB,2017,70401633.36216356
country/GNB,2018,73350299.77681483
country/GNB,2019,78318873.56686996
country/GNB,2020,79750972.42215367
country/KEN,2000,308999557.2034111
country/KEN,2001,324437258.78319997
country/KEN,2002,324534062.92576504
country/KEN,2003,390793644.58313274
country/KEN,2004,426826355.5640746
country/KEN,2005,501784168.8733173
country/KEN,2006,582936592.1397101
country/KEN,2007,685534658.9881518
country/KEN,2008,726659931.1524863
country/KEN,2009,703088265.701165
country/KEN,2010,738373394.9223142
country/KEN,2011,755019465.5251961
country/KEN,2012,894409382.8264548
country/KEN,2013,977141949.6985135
country/KEN,2014,980291624.9148788
country/KEN,2015,898613095.4714521
country/KEN,2016,889222803.3715361
country/KEN,2017,761265121.819285
country/KEN,2018,883066253.6837173
country/KEN,2019,1065612851.268484
country/KEN,2020,1043105888.4841424
country/LSO,2000,18876547.618733134
country/LSO,2001,16029399.62251539
country/LSO,2002,13945881.126700658
country/LSO,2003,20637217.17805359
country/LSO,2004,25574720.45302466
country/LSO,2005,27984382.66305379
country/LSO,2006,29010501.321767937
country/LSO,2007,31951082.579823755
country/LSO,2008,30521386.1756552
country/LSO,2009,32366930.524819516
country/LSO,2010,39778768.7554469
country/LSO,2011,44063483.19369432
country/LSO,2012,42569011.78379038
country/LSO,2013,37111742.5071662
country/LSO,2014,35226523.43539427
country/LSO,2015,33836507.23724282
country/LSO,2016,30447196.429966167
country/LSO,2017,38671959.267763324
country/LSO,2018,38300748.04619633
country/LSO,2019,37633912.0685185
country/LSO,2020,35131663.261577226
country/LBR,2000,25996748.61414339
country/LBR,2001,18817012.143667098
country/LBR,2002,17514910.289508123
country/LBR,2003,17241704.341389902
country/LBR,2004,64332596.56775999
country/LBR,2005,67582409.51633953
country/LBR,2006,65988458.78660082
country/LBR,2007,100793323.86430323
country/LBR,2008,95715918.68892142
country/LBR,2009,82111174.88206576
country/LBR,2010,89794381.51295464
country/LBR,2011,106384760.88397634
country/LBR,2012,106219094.35244767
country/LBR,2013,121493779.19053149
country/LBR,2014,145481378.97106415
country/LBR,2015,153254219.49564025
country/LBR,2016,150485571.5212621
country/LBR,2017,145468659.77182618
country/LBR,2018,139547794.466704
country/LBR,2019,141170014.0091656
country/LBR,2020,135350007.4422644
country/MDG,2000,80042438.5768213
country/MDG,2001,86775745.41734837
country/MDG,2002,99117083.32666549
country/MDG,2003,110078586.26777536
country/MDG,2004,81329875.66595191
country/MDG,2005,100928971.6435561
country/MDG,2006,102682147.91310576
country/MDG,2007,128291494.26574476
country/MDG,2008,162778244.68852958
country/MDG,2009,158782591.18133047
country/MDG,2010,169527500.6579105
country/MDG,2011,146112015.7225445
country/MDG,2012,147128679.7267443
country/MDG,2013,165869256.87257558
country/MDG,2014,157403718.22843167
country/MDG,2015,142695154.58377442
country/MDG,2016,145683695.15832597
country/MDG,2017,162205213.79505217
country/MDG,2018,170362882.49865273
country/MDG,2019,171905946.67176548
country/MDG,2020,172421445.64418778
country/MWI,2000,9102976.757309083
country/MWI,2001,8834765.673755266
country/MWI,2002,19543714.34834397
country/MWI,2003,18109155.084072333
country/MWI,2004,19333037.75147601
country/MWI,2005,20143878.428306025
country/MWI,2006,24677290.690193914
country/MWI,2007,39796907.83987996
country/MWI,2008,47445645.96444192
country/MWI,2009,57524076.73345074
country/MWI,2010,55073575.33544143
country/MWI,2011,53751806.36250869
country/MWI,2012,52350316.59128613
country/MWI,2013,42853758.46800846
country/MWI,2014,48063450.721351825
country/MWI,2015,65620788.73912272
country/MWI,2016,74179771.50576945
country/MWI,2017,86113149.8310562
country/MWI,2018,87052875.72542107
country/MWI,2019,95509063.38471144
country/MWI,2020,124842781.19150136
country/MLI,2000,111403986.66136861
country/MLI,2001,106267401.87225883
country/MLI,2002,120611798.65717515
country/MLI,2003,145715425.15325642
country/MLI,2004,158266604.88969484
country/MLI,2005,185063631.38253623
country/MLI,2006,213796355.33749127
country/MLI,2007,262850352.88934207
country/MLI,2008,313734027.0765124
country/MLI,2009,330694498.67492956
country/MLI,2010,281392489.76833206
country/MLI,2011,260879977.50750732
country/MLI,2012,208884435.1808126
country/MLI,2013,182942463.46912003
country/MLI,2014,216000844.03189054
country/MLI,2015,184113440.9339981
country/MLI,2016,189232091.5455285
country/MLI,2017,211725774.4567011
country/MLI,2018,207421538.02230087
country/MLI,2019,207743744.95155546
country/MLI,2020,215624844.43684903
country/MRT,2000,46783459.129148886
country/MRT,2001,48100223.30524353
country/MRT,2002,49775084.563322
country/MRT,2003,56567311.71349274
country/MRT,2005,67096530.81592053
country/MRT,2006,72200148.92032762
country/MRT,2007,81634023.40930174
country/MRT,2008,95609451.30910578
country/MRT,2009,92038889.71823706
country/MRT,2010,92944081.81881326
country/MRT,2011,97689857.77045263
country/MRT,2012,98796608.45526263
country/MRT,2013,104010997.2340625
country/MRT,2014,108851597.98496985
country/MRT,2015,108158837.3895678
country/MRT,2016,106441377.9659214
country/MRT,2017,109269727.51709408
country/MRT,2018,116024777.73891106
country/MRT,2019,119397263.05998328
country/MRT,2020,123746721.5968807
country/MUS,2000,62042328.686800204
country/MUS,2001,62502642.846782714
country/MUS,2002,73309525.39883853
country/MUS,2003,88767708.51720205
country/MUS,2004,100259953.41566896
country/MUS,2005,119784786.0800307
country/MUS,2006,135908633.13436526
country/MUS,2007,162410290.2387836
country/MUS,2008,246633199.09657517
country/MUS,2009,225222334.0571593
country/MUS,2010,239689815.88077074
country/MUS,2011,263337516.5775736
country/MUS,2012,257570958.33090883
country/MUS,2013,302083702.5940496
country/MUS,2014,352978097.7163732
country/MUS,2015,330406830.8990863
country/MUS,2016,336201149.4782918
country/MUS,2017,370745101.05353916
country/MUS,2018,401333735.60703063
country/MUS,2019,398190139.4395158
country/MUS,2020,300429768.8568702
country/MOZ,2000,47886026.695562236
country/MOZ,2001,40937422.88242465
country/MOZ,2002,51429725.0030161
country/MOZ,2003,45405994.951911114
country/MOZ,2004,43734338.58947934
country/MOZ,2005,46040288.60023854
country/MOZ,2006,47828713.95513288
country/MOZ,2007,49374616.82106799
country/MOZ,2008,57837614.85192856
country/MOZ,2009,51075540.18498782
country/MOZ,2010,42955352.87047888
country/MOZ,2011,48348815.07378687
country/MOZ,2012,47650961.813980505
country/MOZ,2013,83354838.99797556
country/MOZ,2014,116948400.13858093
country/MOZ,2015,120652113.28142339
country/MOZ,2016,91698284.37742922
country/MOZ,2017,100219152.07336687
country/MOZ,2018,114033533.75446561
country/MOZ,2019,116540222.25009997
country/MOZ,2020,106498522.39329156
country/NAM,2000,25178460.382185258
country/NAM,2001,21418872.21906615
country/NAM,2002,22067963.018748768
country/NAM,2003,32162256.201709263
country/NAM,2004,42811938.10850904
country/NAM,2005,46284341.78455779
country/NAM,2006,45702712.03682496
country/NAM,2007,54267038.0720284
country/NAM,2008,58144091.75800258
country/NAM,2009,67810890.21026084
country/NAM,2010,101682752.97568296
country/NAM,2011,125037927.95230153
country/NAM,2012,131832422.97253254
country/NAM,2013,107940195.33183077
country/NAM,2014,94497312.84586325
country/NAM,2015,82919971.52909088
country/NAM,2016,77085532.27780244
country/NAM,2017,87652954.24663298
country/NAM,2018,91814285.6712504
country/NAM,2019,83822083.26458173
country/NAM,2020,70259381.44900349
country/NER,2000,62805210.852735884
country/NER,2001,69536297.83263762
country/NER,2002,79616760.83392176
country/NER,2003,98103382.08923262
country/NER,2004,111629892.16577387
country/NER,2005,131876899.77901068
country/NER,2006,141803707.4657554
country/NER,2007,166570064.60387352
country/NER,2008,200935307.01221976
country/NER,2009,210059595.19426677
country/NER,2010,215761520.30863
country/NER,2011,246354129.8945687
country/NER,2012,246363580.1012994
country/NER,2013,257747301.08896685
country/NER,2014,263647864.40511924
country/NER,2015,267633405.3265877
country/NER,2016,274560613.7223264
country/NER,2017,301328644.40585625
country/NER,2018,332572661.2835128
country/NER,2019,337372050.62426186
country/NER,2020,369306060.05719507
country/NGA,2000,1304663413.003295
country/NGA,2001,1416882935.3261786
country/NGA,2002,1522650308.627624
country/NGA,2003,3787770227.0543756
country/NGA,2004,3898547969.239516
country/NGA,2005,4998051205.744726
country/NGA,2006,6683650488.639852
country/NGA,2007,7274353736.956427
country/NGA,2008,8880578693.564775
country/NGA,2009,7931272442.645085
country/NGA,2010,9353150252.000198
country/NGA,2011,10275536144.28467
country/NGA,2012,11281544253.968254
country/NGA,2013,12494003284.350573
country/NGA,2014,13677903232.664495
country/NGA,2015,12735844651.415785
country/NGA,2016,11098019700.818962
country/NGA,2017,10897397854.585978
country/NGA,2018,9899235458.677467
country/NGA,2019,10128668207.091703
country/NGA,2020,10852858727.65066
country/RWA,2000,19663506.942138202
country/RWA,2001,18044737.770877548
country/RWA,2002,17511904.63266411
country/RWA,2003,25372354.074505772
country/RWA,2004,37855470.64443767
country/RWA,2005,53919705.9634586
country/RWA,2006,36037160.69395717
country/RWA,2007,39967600.93649386
country/RWA,2008,46161942.616298854
country/RWA,2009,50374192.80316371
country/RWA,2010,54893043.29441439
country/RWA,2011,58958125.414312564
country/RWA,2012,63122856.38945975
country/RWA,2013,65197704.26499834
country/RWA,2014,69511415.7523827
country/RWA,2015,69216453.9890587
country/RWA,2016,68732739.28235501
country/RWA,2017,69877737.53079015
country/RWA,2018,76646880.92563818
country/RWA,2019,79544653.4868309
country/RWA,2020,78195424.24177925
country/STP,2000,3133970.698382648
country/STP,2001,3010371.2245880994
country/STP,2002,3180096.222351203
country/STP,2003,3496511.2194774062
country/STP,2004,3953327.0514186514
country/STP,2005,4325431.646252982
country/STP,2006,3780991.545865342
country/STP,2007,3580521.705534303
country/STP,2008,3393562.013042571
country/STP,2009,3163134.489905084
country/STP,2010,2847239.275997327
country/STP,2011,3068182.301764383
country/STP,2012,2909041.2118283077
country/STP,2013,3427629.0441378746
country/STP,2014,3513478.1238021697
country/STP,2015,2739172.9206936834
country/STP,2016,3109836.987814536
country/STP,2017,3575936.748118619
country/STP,2018,4040013.4540043636
country/STP,2019,4118214.622124421
country/STP,2020,4761869.535805394
country/SEN,2000,118840341.56062756
country/SEN,2001,126413833.42957032
country/SEN,2002,153240474.6327057
country/SEN,2003,206975721.4940349
country/SEN,2004,253621821.43524966
country/SEN,2005,159860148.2135445
country/SEN,2006,164822428.1059669
country/SEN,2007,211577968.89522958
country/SEN,2008,246040560.10281083
country/SEN,2009,282931828.9360122
country/SEN,2010,316066431.5356469
country/SEN,2011,381358640.4278997
country/SEN,2012,397686990.283921
country/SEN,2013,458328941.9708569
country/SEN,2014,437776561.3820569
country/SEN,2015,395606704.58330417
country/SEN,2016,414430424.0753468
country/SEN,2017,427452194.1364171
country/SEN,2018,495191359.8101332
country/SEN,2019,512859684.88683474
country/SEN,2020,524637457.3375817
country/SYC,2000,5070957.106312473
country/SYC,2001,10118758.213414323
country/SYC,2002,6196801.0784605965
country/SYC,2003,8215142.72426807
country/SYC,2004,10582135.701818181
country/SYC,2005,12192669.821818182
country/SYC,2006,12256124.371681381
country/SYC,2007,10616940.425686141
country/SYC,2008,15112691.222623719
country/SYC,2009,12484691.39546552
country/SYC,2010,13605272.597465556
country/SYC,2011,14811562.037944954
country/SYC,2012,15263868.922895642
country/SYC,2013,14835932.178206151
country/SYC,2014,18999592.214659154
country/SYC,2015,18276363.837110396
country/SYC,2016,18709752.206289906
country/SYC,2017,18449367.912508707
country/SYC,2018,19735941.679496083
country/SYC,2019,20706697.909607537
country/SYC,2020,10856169.73281137
country/SLE,2000,80852095798.75487
country/SLE,2001,85141895991.29962
country/SLE,2002,98186197768.4435
country/SLE,2003,106311197736.27524
