dcid,year,healthExpenditureFinancingSchemeOopCurrentUSD
country/DZA,2000,493100434.882504
country/DZA,2001,455261704.5312591
country/DZA,2002,476896258.7488501
country/DZA,2003,516829419.4810451
country/DZA,2004,789154691.2219082
country/DZA,2005,937943363.2894311
country/DZA,2006,1143417096.7272842
country/DZA,2007,1448819722.1465845
country/DZA,2008,1878723904.6935093
country/DZA,2009,2018550106.0140917
country/DZA,2010,2382585418.94331
country/DZA,2011,2936745490.9691434
country/DZA,2012,3225960941.1374235
country/DZA,2013,3489429042.288871
country/DZA,2014,3731810245.8849382
country/DZA,2015,3267328600.9435534
country/DZA,2016,3265704630.596355
country/DZA,2017,3475102632.907298
country/DZA,2018,3527427149.0704913
country/DZA,2019,3573806757.913345
country/DZA,2020,3342609648.129942
country/AGO,2000,58192910.43604605
country/AGO,2001,220964049.89725104
country/AGO,2002,252744033.2238255
country/AGO,2003,306582684.6327246
country/AGO,2004,438130273.4917688
country/AGO,2005,446390352.81917727
country/AGO,2006,431377773.70140904
country/AGO,2007,551011933.1349118
country/AGO,2008,637050023.0314238
country/AGO,2009,418993232.9213456
country/AGO,2010,436874737.21280205
country/AGO,2011,532170172.5351908
country/AGO,2012,540525923.5993949
country/AGO,2013,797618592.0670941
country/AGO,2014,953249769.6810176
country/AGO,2015,1015003657.5244823
country/AGO,2016,966006629.8811321
country/AGO,2017,1163215545.8607733
country/AGO,2018,951508853.2269526
country/AGO,2019,850441789.5738612
country/AGO,2020,630065247.0266716
country/BWA,2000,37042541.75860608
country/BWA,2001,32868739.033054177
country/BWA,2002,31448570.13044307
country/BWA,2003,41964488.72988077
country/BWA,2004,46107402.35983386
country/BWA,2005,43998767.412908584
country/BWA,2006,40107871.67212664
country/BWA,2007,39507252.50560249
country/BWA,2008,36804833.79787923
country/BWA,2009,36333538.80065266
country/BWA,2010,39549113.82656535
country/BWA,2011,40564874.86582793
country/BWA,2012,37445373.26034533
country/BWA,2013,35101292.9156468
country/BWA,2014,33814614.387864016
country/BWA,2015,29544399.306281626
country/BWA,2016,28775930.90642517
country/BWA,2017,31960418.17232954
country/BWA,2018,52525560.11166694
country/BWA,2019,45953507.543170094
country/BWA,2020,42897905.32439
country/BFA,2000,36921579.098008186
country/BFA,2001,39374782.669821404
country/BFA,2002,41194255.649887584
country/BFA,2003,49748453.25735259
country/BFA,2004,69981677.2870177
country/BFA,2005,74584187.6084806
country/BFA,2006,91194367.01934242
country/BFA,2007,109330055.80183384
country/BFA,2008,135989350.42955622
country/BFA,2009,150992621.78827327
country/BFA,2010,159804373.1640164
country/BFA,2011,184655263.30128708
country/BFA,2012,187223134.69733816
country/BFA,2013,250842102.98885584
country/BFA,2014,237591298.8311987
country/BFA,2015,218779223.04119325
country/BFA,2016,239822440.7389152
country/BFA,2017,270641820.85464925
country/BFA,2018,284988501.30685353
country/BFA,2019,298537798.00202024
country/BFA,2020,403922453.9476777
country/BDI,2000,22466045.867360163
country/BDI,2001,22631295.698329236
country/BDI,2002,22006844.87054245
country/BDI,2003,20786256.676710207
country/BDI,2004,25061412.64364611
country/BDI,2005,33095787.0669082
country/BDI,2006,44075980.35620581
country/BDI,2007,51238491.57590199
country/BDI,2008,53527006.04950012
country/BDI,2009,58121281.95770655
country/BDI,2010,64621415.96779212
country/BDI,2011,57356577.20143173
country/BDI,2012,45149910.59393616
country/BDI,2013,44130110.29902335
country/BDI,2014,60485881.21705309
country/BDI,2015,60944126.54592814
country/BDI,2016,59286559.45550645
country/BDI,2017,63955414.79567162
country/BDI,2018,60064719.836584345
country/BDI,2019,60565744.88734666
country/BDI,2020,60667911.93031865
country/BEN,2000,57195921.91824338
country/BEN,2001,59424897.59820711
country/BEN,2002,67219469.70876148
country/BEN,2003,86155602.31361139
country/BEN,2004,97220034.04355669
country/BEN,2005,98496567.77944545
country/BEN,2006,105606334.78702281
country/BEN,2007,115837835.15205587
country/BEN,2008,124927516.24866526
country/BEN,2009,126601728.50618075
country/BEN,2010,128587698.12915325
country/BEN,2011,144274479.48966673
country/BEN,2012,142302154.88453913
country/BEN,2013,151408193.12651095
country/BEN,2014,155961268.21336585
country/BEN,2015,134084651.24156208
country/BEN,2016,135568160.9490966
country/BEN,2017,144484375.8477255
country/BEN,2018,157376728.2154081
country/BEN,2019,154281548.30694512
country/BEN,2020,167209811.71118772
country/CPV,2000,6817600.189214027
country/CPV,2001,6825560.0043285545
country/CPV,2002,7594233.133788672
country/CPV,2003,9687790.263888532
country/CPV,2004,10674906.279478982
country/CPV,2005,11462820.051837351
country/CPV,2006,13212685.741270809
country/CPV,2007,14524627.479960836
country/CPV,2008,15665010.57747034
country/CPV,2009,15966840.047570204
country/CPV,2010,20912516.91220722
country/CPV,2011,20800515.475583527
country/CPV,2012,21968478.467108503
country/CPV,2013,23738149.805290565
country/CPV,2014,25462904.02182225
country/CPV,2015,21357729.775672726
country/CPV,2016,23126513.206676196
country/CPV,2017,25415870.97581175
country/CPV,2018,26664545.801837463
country/CPV,2019,26858682.49438409
country/CPV,2020,23827163.242658928
country/CMR,2000,336828152.27627987
country/CMR,2001,311862753.7228801
country/CMR,2002,350910790.16986626
country/CMR,2003,445691496.1456879
country/CMR,2004,518603305.1971069
country/CMR,2005,547176037.3291154
country/CMR,2006,580995690.2571007
country/CMR,2007,665542186.5779215
country/CMR,2008,752806456.7499542
country/CMR,2009,750494207.9145403
country/CMR,2010,748095315.2361221
country/CMR,2011,821973853.6540507
country/CMR,2012,792380385.4298847
country/CMR,2013,853929801.1510518
country/CMR,2014,889012396.0939256
country/CMR,2015,809916309.1733927
country/CMR,2016,850166504.5948997
country/CMR,2017,926997144.5586476
country/CMR,2018,1045578854.7219493
country/CMR,2019,1045739029.2306231
country/CMR,2020,1048965319.5308352
country/CAF,2000,17441625.752512366
country/CAF,2001,19051523.40289016
country/CAF,2002,20667455.71303438
country/CAF,2003,26956910.2476424
country/CAF,2004,30981911.156858142
country/CAF,2005,32857708.696338866
country/CAF,2006,36184535.558287375
country/CAF,2007,41958505.2172871
country/CAF,2008,48887285.61684632
country/CAF,2009,49129493.06222233
country/CAF,2010,45489087.3206172
country/CAF,2011,52497637.233970724
country/CAF,2012,57122881.06793001
country/CAF,2013,36475345.85972819
country/CAF,2014,40195097.87330519
country/CAF,2015,41642470.14886394
country/CAF,2016,54853131.00356474
country/CAF,2017,77927688.40165427
country/CAF,2018,104406468.32304156
country/CAF,2019,108555971.7916923
country/CAF,2020,116368006.95623298
country/TCD,2000,48208413.74256747
country/TCD,2001,59707997.99401103
country/TCD,2002,106327798.26403604
country/TCD,2003,81067785.22934599
country/TCD,2004,140431744.84910557
country/TCD,2005,181611253.1981439
country/TCD,2006,230816063.09835023
country/TCD,2007,244901454.86018184
country/TCD,2008,291412358.578416
country/TCD,2009,269278687.973633
country/TCD,2010,293412957.837786
country/TCD,2011,289575804.686567
country/TCD,2012,284227800.28418577
country/TCD,2013,309840233.94555753
country/TCD,2014,333343132.42815834
country/TCD,2015,281009510.75038904
country/TCD,2016,291996606.9367867
country/TCD,2017,272064617.4718183
country/TCD,2018,324554879.4565431
country/TCD,2019,308352992.60733074
country/TCD,2020,344562573.37872565
country/COM,2000,20339787.80515519
country/COM,2001,20167224.888904694
country/COM,2002,21770794.5445365
country/COM,2003,26629573.956816494
country/COM,2004,29942458.087988976
country/COM,2005,30620636.446516003
country/COM,2006,31599074.601044342
country/COM,2007,35266039.53508777
country/COM,2008,38697795.607688576
country/COM,2009,37524366.164204754
country/COM,2010,36468572.26637869
country/COM,2011,34740712.54869
country/COM,2012,35719581.84911292
country/COM,2013,38737939.308610424
country/COM,2014,39453299.71084994
country/COM,2015,33329168.52820169
country/COM,2016,33583279.87585932
country/COM,2017,36238313.71678515
country/COM,2018,38857812.71443234
country/COM,2019,38048498.414884776
country/COM,2020,44080280.600033045
country/COG,2000,28815502.86937448
country/COG,2001,30421996.41675188
country/COG,2002,34968340.04811467
country/COG,2003,45544261.46417343
country/COG,2004,54526694.90771969
