dcid,year,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDAfricanDevelopmentBank,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDAfricanDevelopmentFund,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDAsianDevelopmentBank,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDAustria,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDBelgium,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDCanada,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDClimateInvestmentFunds,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDCouncilofEuropeDevelopmentBank,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDEUInstitutions,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDFrance,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDGermany,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDIFAD,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDInternationalDevelopmentAssociation,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDItaly,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDJapan,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDKorea,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDNordicDevelopmentFund,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDPoland,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDPortugal,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDSpain,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDUnitedArabEmirates,climateFinanceReceivedDisbursementsOdaLoansByProviderCurrentUSDUnitedKingdom
Earth,2013,,,7870000.0,,10305856.0,,99071569.0,,128302299.97183205,1538245280.0,994926360.6,,16920000.0,74050357.49,2776764.0,1964498861.4,27257340.2,,,17041942.0,39760722.0,4018513.6,
Earth,2014,,366196.19493121805,16012506.70256648,,2196997.8,,,,123075508.38907503,652287116.0,1487910424.0,,52808987.839999996,219128756.95,2053873.6,2196579095.2,1264999.8,,,7776148.0,,6432888.0,
Earth,2015,,491042.55672803277,52423023.88887541,,4342958.800000001,,,,78481879.7579609,951817195.8,1559047364.4,11020221.0,29878300.0,528232695.01538,1349544.8,2704984333.6,26619990.0,,,7340421.2,3937556.6000000006,8236319.200000001,13209676.400000002
Earth,2016,,4113313.806589971,93676420.19542252,,2571568.0,,,,112168490.20300761,1023390913.4,2078105800.2,,131616726.5,608665275.682395,298711.60000000003,3099515680.6,24551779.0,,,587845.6,3558588.0,7072146.0,4374718.800000001
Earth,2017,1230811.9371217922,4776284.493338169,161725401.08830634,,4706322.0,114397970.0,209285625.0,,233752230.20029157,1746687101.0,1750375745.0,,137032500.0,274417325.4614871,47302013.2,3873259702.2000003,27160193.0,,,86934.8,392274.80000000005,8230000.0,10816380.0
Earth,2018,,23654534.597269885,152023851.26048216,,5427233.600000001,265025851.0,296156317.0,,202209238.5412538,838038934.2,1828052896.0,,84398253.132,1768652092.1492934,5658779.6,3022333419.0,37631304.800000004,,58668712.0,,1016286.8,19172892.0,1814058.4
Earth,2019,,76805633.93829527,235969268.13932207,,3143226.8,170401344.0,,839584.0,172830966.5273429,2117639109.4,2008263531.8,,,2935513251.0399547,5401032.4,3403074680.6,66872901.0,1619077.0,,,1962390.0,24891368.4,
Earth,2020,,112239093.81309867,224210366.97137043,52550324.4,4540533.0,352577859.0,78835171.0,797721.4,169257038.46166897,3221904918.6,1954114523.8,,45542910.201,2943915560.703508,86980454.00000001,2627857612.0,22062850.2,18633863.0,,,1307922.8,8056084.4,
Earth,2021,,25308462.22554955,287989280.9343647,27401655.6,5353662.2,538077308.0,15479916.0,,212857894.8378257,3192867651.6,1273436226.0,,5074049.999999999,3135079132.205391,158974600.8,4045459364.0,185102493.4,5579555.0,,,2447071.6,11866049.200000001,
country/AGO,2015,,,,,,,,,,,,,,,,78147274.8,,,,,,,
