dcid,year,climateFinanceReceivedDisbursementsMitigationEquityInvestmentByProviderCurrentUSDAustria,climateFinanceReceivedDisbursementsMitigationEquityInvestmentByProviderCurrentUSDDenmark,climateFinanceReceivedDisbursementsMitigationEquityInvestmentByProviderCurrentUSDEUInstitutions,climateFinanceReceivedDisbursementsMitigationEquityInvestmentByProviderCurrentUSDFinland,climateFinanceReceivedDisbursementsMitigationEquityInvestmentByProviderCurrentUSDFrance,climateFinanceReceivedDisbursementsMitigationEquityInvestmentByProviderCurrentUSDGermany,climateFinanceReceivedDisbursementsMitigationEquityInvestmentByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedDisbursementsMitigationEquityInvestmentByProviderCurrentUSDJapan,climateFinanceReceivedDisbursementsMitigationEquityInvestmentByProviderCurrentUSDNordicDevelopmentFund,climateFinanceReceivedDisbursementsMitigationEquityInvestmentByProviderCurrentUSDNorway,climateFinanceReceivedDisbursementsMitigationEquityInvestmentByProviderCurrentUSDSpain,climateFinanceReceivedDisbursementsMitigationEquityInvestmentByProviderCurrentUSDSwitzerland,climateFinanceReceivedDisbursementsMitigationEquityInvestmentByProviderCurrentUSDUnitedKingdom
Earth,2013,,,768937.9739315866,1280763.0,,46999468.2,,,,32897682.4,537951.0,5925281.0,
Earth,2014,89369.0,,3368477.6739315926,26375246.0,,22290036.2,,,,,1801676.0,9858940.0,
Earth,2015,2727019.0,,2304578.505273503,8487198.0,,6779126.0,,1573964.0,,,6305087.0,,3882231.0
Earth,2016,1496993.0,8141749.0,25393911.900157027,3209749.8000000003,,51830838.8,,4294529.0,,,5717046.0,8253781.600000001,
Earth,2017,5449233.0,6697046.4,12577181.33259366,3611043.4000000004,,58809712.0,65116.2,4968448.0,7890880.0,,7560408.0,,6993396.0
Earth,2018,7240244.0,,83513898.39736702,7210693.000000001,95579812.0,31491126.0,,256206.0,,,3532141.0,3067798.0,8999241.0
Earth,2019,4565441.0,,52601762.5120339,11084245.0,44281563.8,150169914.6,,4757826.0,2109022.0,,,3018716.0,65556186.2
Earth,2020,2850478.0,,40792202.29733969,48067287.6,36308624.2,100554144.8,,6659594.0,11965812.0,,,3194888.0,78916098.4
Earth,2021,2956784.0,,22346786.121289425,53009818.6,71190694.0,98556906.0,,11173709.0,829145.0,,,7439825.2,88477014.0
country/AZE,2014,,,,,,2388218.0,,,,,,,
