dcid,year,climateFinanceProvidedDisbursementsMitigationOdaGrantsCurrentUSD
Earth,2013,3119535509.2033362
Earth,2014,2751531342.9068036
Earth,2015,2086794942.4783888
Earth,2016,2387645425.858272
Earth,2017,2703134415.1839657
Earth,2018,4278702399.634015
Earth,2019,3931116132.269884
Earth,2020,3713474973.686952
Earth,2021,4101389285.094685
country/AUS,2013,68479148.2
country/AUS,2014,8525080.8
country/AUS,2015,18246345.4
country/AUS,2016,5362191.4
country/AUS,2017,18029373.6
country/AUS,2018,16356752.8
country/AUS,2019,8270179.8
country/AUS,2020,15479915.400000002
country/AUS,2021,10003167.6
country/AUT,2013,21014544.4
country/AUT,2014,20521638.400000002
country/AUT,2015,15005952.4
country/AUT,2016,19185934.0
country/AUT,2017,19283515.6
country/AUT,2018,17597337.8
country/AUT,2019,15533679.6
country/AUT,2020,25210021.6
country/AUT,2021,19451729.6
country/AZE,2020,236495.2
country/BEL,2013,28325248.0
country/BEL,2014,21279742.2
country/BEL,2015,13405781.6
country/BEL,2016,9635733.6
country/BEL,2017,35425557.0
country/BEL,2018,52062738.8
country/BEL,2019,33869337.4
country/BEL,2020,23479082.8
country/BEL,2021,13109898.600000001
country/CAN,2013,93547832.2
country/CAN,2014,28584705.6
country/CAN,2015,11636790.4
country/CAN,2016,17447214.8
country/CAN,2017,24571961.200000003
country/CAN,2018,28565801.2
country/CAN,2019,22091502.200000003
country/CAN,2020,31453605.8
country/CAN,2021,29014317.0
country/CZE,2013,1559446.4
country/CZE,2014,930117.2000000001
country/CZE,2015,2386436.8
country/CZE,2016,1201183.0
country/CZE,2017,1279820.0
country/CZE,2018,1295297.2
country/CZE,2019,1786480.6
country/CZE,2020,842363.8
country/CZE,2021,1069582.6
country/DNK,2013,64109024.2
country/DNK,2014,82091803.6
country/DNK,2015,42729459.2
country/DNK,2016,42686168.0
country/DNK,2017,48513312.8
country/DNK,2018,85792236.0
country/DNK,2019,104910110.8
country/DNK,2020,69262728.0
country/DNK,2021,142495262.0
country/FIN,2013,32116032.0
country/FIN,2014,23070828.2
country/FIN,2015,13043104.200000001
country/FIN,2016,14670336.2
country/FIN,2017,86448919.39999999
country/FIN,2018,13952478.6
country/FIN,2019,69574565.6
country/FIN,2020,9457734.0
country/FIN,2021,21691605.4
country/FRA,2013,30675429.2
country/FRA,2014,16429699.8
country/FRA,2015,15659812.4
country/FRA,2016,24355851.0
country/FRA,2017,20381858.6
country/FRA,2018,27975759.2
country/FRA,2019,47716212.0
country/FRA,2020,39836529.4
country/FRA,2021,49914124.6
country/DEU,2013,413796678.2
country/DEU,2014,461400552.0
country/DEU,2015,338330967.6
country/DEU,2016,469303153.4
country/DEU,2017,588911673.2
country/DEU,2018,694178695.0
country/DEU,2019,647580376.0
country/DEU,2020,870439881.8
country/DEU,2021,1026184263.6
country/HUN,2019,146176.0
country/HUN,2020,2922.0
country/HUN,2021,988627.6
country/ISL,2013,4051077.4000000004
country/ISL,2014,4427375.0
country/ISL,2015,3007263.0
country/ISL,2016,3877169.4
country/ISL,2017,4109205.2
country/ISL,2018,2359278.6
country/ISL,2019,1539357.4000000001
country/ISL,2020,2493001.6
country/ISL,2021,5010778.4
country/IRL,2013,4008761.8
country/IRL,2014,2315420.0
country/IRL,2015,2029950.0
country/IRL,2016,1307631.8
country/IRL,2017,1179768.8
country/IRL,2018,2341626.8
country/IRL,2019,720588.2
country/IRL,2020,1021019.2000000001
country/IRL,2021,3430752.4
country/ITA,2013,18766184.2
country/ITA,2014,30138767.4
country/ITA,2015,53592626.8
country/ITA,2016,15098384.4
country/ITA,2017,24001343.400000002
country/ITA,2018,30266142.8
country/ITA,2019,28319554.6
country/ITA,2020,14030710.6
country/ITA,2021,14852411.0
country/JPN,2013,82781441.4
country/JPN,2014,92733495.4
country/JPN,2015,51723933.0
country/JPN,2016,67574126.60000001
country/JPN,2017,47761540.4
country/JPN,2018,49432356.4
country/JPN,2019,61117860.4
country/JPN,2020,37678306.4
country/JPN,2021,36776270.6
country/KOR,2013,16384881.8
country/KOR,2014,9996705.200000001
country/KOR,2015,9687241.0
country/KOR,2016,5508822.4
country/KOR,2017,4263540.8
country/KOR,2018,10983717.600000001
country/KOR,2019,6260810.2
country/KOR,2020,10710451.2
country/KOR,2021,33344197.4
country/LVA,2017,28170.0
country/LVA,2019,3683.0
country/LIE,2021,255305.4
country/LTU,2015,22519.6
country/LTU,2016,66791.6
country/LTU,2017,1700.0
country/LTU,2018,145030.80000000002
country/LTU,2019,182147.40000000002
country/LTU,2020,904614.2
country/LTU,2021,1135111.0
country/LUX,2013,1019815.4
country/LUX,2014,2767427.8000000003
country/LUX,2015,2452832.0
country/LUX,2016,4384177.2
country/LUX,2017,3247088.0
country/LUX,2018,5932193.0
country/LUX,2019,6084778.2
country/LUX,2020,140622.0
country/LUX,2021,7938824.8
country/NLD,2013,134697092.8
country/NLD,2014,96570020.2
country/NLD,2015,63962520.0
country/NLD,2016,60687447.8
country/NLD,2017,59055720.800000004
country/NLD,2018,94936337.6
country/NLD,2019,70544738.8
country/NLD,2020,88857258.4
country/NLD,2021,112152749.0
country/NZL,2013,2717959.6
country/NZL,2014,24403480.8
country/NZL,2015,10020946.6
country/NZL,2016,8170982.600000001
country/NZL,2017,8455308.8
country/NZL,2018,12643699.799999999
country/NZL,2019,10291943.0
country/NZL,2020,5536715.8
country/NZL,2021,5354331.6
country/NOR,2013,934804749.0
country/NOR,2014,627894632.6
