dcid,year,climateFinanceReceivedCommitmentsAdaptationCurrentUSD
Earth,2013,9727235144.074234
Earth,2014,10560273920.450289
Earth,2015,11030600051.486301
Earth,2016,11496451724.204102
Earth,2017,17373220184.296944
Earth,2018,17130263336.928179
Earth,2019,22065601129.287895
Earth,2020,28600093958.029915
Earth,2021,26556656996.033443
country/AFG,2013,45237681.6
country/AFG,2014,27184253.4
country/AFG,2015,41072465.6
country/AFG,2016,76518178.515
country/AFG,2017,73887142.5
country/AFG,2018,106384985.8
country/AFG,2019,183758573.4
country/AFG,2020,108941422.8
country/AFG,2021,156578028.171
country/ALB,2013,33018279.000000004
country/ALB,2014,3478196.4000000004
country/ALB,2015,14113192.200000001
country/ALB,2016,14404131.7023112
country/ALB,2017,17299306.400000002
country/ALB,2018,38965130.0
country/ALB,2019,42356851.572414495
country/ALB,2020,59285546.35840459
country/ALB,2021,36920986.6
country/DZA,2013,682230.0000000001
country/DZA,2014,2656965.2
country/DZA,2015,2857024.4
country/DZA,2016,2067594.4
country/DZA,2017,10245339.0
country/DZA,2018,6305385.6
country/DZA,2019,7151743.0
country/DZA,2020,12242398.0
country/DZA,2021,3419560.0
country/AGO,2013,10841870.4
country/AGO,2014,7573468.4
country/AGO,2015,9874200.0
country/AGO,2016,1200394.2
country/AGO,2017,103447091.6
country/AGO,2018,87937654.4732
country/AGO,2019,80870923.08
country/AGO,2020,6622483.6
country/AGO,2021,122552801.8
country/ATG,2013,5154984.4
country/ATG,2016,36647.6
country/ATG,2017,9970000.0
country/ATG,2018,7207412.6
country/ATG,2019,37209.600000000006
country/ATG,2020,33629761.0
country/ATG,2021,87827.20000000001
country/ARG,2013,9324114.8
country/ARG,2014,1008730.5
country/ARG,2015,63742112.8
country/ARG,2016,330040426.8
country/ARG,2017,994465856.8
country/ARG,2018,130520858.275
country/ARG,2019,267723400.39999998
country/ARG,2020,364446703.2
country/ARG,2021,514511369.4
country/ARM,2013,18253023.6
country/ARM,2014,103237508.278
country/ARM,2015,2704254.4000000004
country/ARM,2016,88635728.22994581
country/ARM,2017,27805614.0
country/ARM,2018,20307158.8
country/ARM,2019,8272303.4
country/ARM,2020,6311093.0
country/ARM,2021,1883755.6
country/AZE,2013,8808644.0
country/AZE,2014,31824400.0
country/AZE,2015,117430.4
country/AZE,2016,21941.2
country/AZE,2017,11927375.6
country/AZE,2018,13653110.4761242
country/AZE,2019,11178.400000000001
country/AZE,2020,11171894.0
country/AZE,2021,39755566.61627247
country/BGD,2013,914744024.26
country/BGD,2014,710502558.7
country/BGD,2015,476611033.4
country/BGD,2016,556331043.6
country/BGD,2017,354634835.8
country/BGD,2018,1132805792.8030694
country/BGD,2019,471823146.45844
country/BGD,2020,1331066775.18298
country/BGD,2021,1021705040.0
country/BLR,2013,259113.2
country/BLR,2014,8214.800000000001
country/BLR,2015,28946.800000000003
country/BLR,2016,68011.2
country/BLR,2017,22976.0
country/BLR,2018,16439.0
country/BLR,2019,161323898.180566
country/BLR,2020,1947461.8
country/BLR,2021,28835.2
country/BLZ,2013,64533.6
country/BLZ,2014,69998767.3488
country/BLZ,2015,15021176.0
country/BLZ,2016,507969.0
country/BLZ,2017,14970249.8
country/BLZ,2018,8918708.6
country/BLZ,2019,9100555.6
country/BLZ,2020,50800132.6
country/BLZ,2021,1567977.0
country/BEN,2013,4109487.6
country/BEN,2014,56280974.6
country/BEN,2015,101045347.4
country/BEN,2016,42823700.13612739
country/BEN,2017,119814929.6
country/BEN,2018,160339334.3694
country/BEN,2019,272390176.810856
country/BEN,2020,168377220.33333334
country/BEN,2021,210878442.14608625
country/BTN,2013,16738096.6
country/BTN,2014,3858301.6
country/BTN,2015,47267033.8
country/BTN,2016,41284031.2
country/BTN,2017,9296809.4
country/BTN,2018,3397354.73
country/BTN,2019,30932620.2
country/BTN,2020,15539261.6
country/BTN,2021,25875901.4
country/BOL,2013,157940664.2
country/BOL,2014,65439129.0
country/BOL,2015,461573969.8
country/BOL,2016,384586378.7
country/BOL,2017,674553917.0
country/BOL,2018,313530410.7
country/BOL,2019,188433681.2
country/BOL,2020,140256241.0
country/BOL,2021,126671785.8
country/BIH,2013,5444644.4
country/BIH,2014,128087572.87973994
country/BIH,2015,19746521.6
country/BIH,2016,109420969.46758822
country/BIH,2017,6682.8
country/BIH,2018,34499615.69871359
country/BIH,2019,241764700.6429191
country/BIH,2020,30637186.083760686
country/BIH,2021,36348303.73907285
country/BWA,2017,145522694.8
country/BWA,2018,15751.600000000002
country/BWA,2019,135742.0
country/BWA,2020,1468935.4
country/BWA,2021,69272409.136667
country/BRA,2013,138266605.8
country/BRA,2014,221792557.17000002
country/BRA,2015,9448684.8
country/BRA,2016,31179888.88
country/BRA,2017,203183213.9
country/BRA,2018,118567561.4
country/BRA,2019,385122612.44264
country/BRA,2020,737986044.072
country/BRA,2021,143200938.20000002
country/BFA,2013,195125875.8
country/BFA,2014,29661530.8
country/BFA,2015,71162912.8
country/BFA,2016,139613525.60000002
country/BFA,2017,168550221.2
country/BFA,2018,144185764.6941
country/BFA,2019,222006319.2392
country/BFA,2020,179564374.29416442
country/BFA,2021,420252997.76174563
country/BDI,2013,17142807.0
country/BDI,2014,17449868.6
country/BDI,2015,130925928.4
country/BDI,2016,24301851.8
country/BDI,2017,65201486.4375
country/BDI,2018,53128379.2
country/BDI,2019,5901840.16637306
country/BDI,2020,49927558.45
country/BDI,2021,66803431.2
country/CPV,2013,158719553.39999998
country/CPV,2014,955854.0
country/CPV,2015,145664.8
country/CPV,2016,8072297.2
country/CPV,2017,15862976.0
country/CPV,2018,5285053.0
country/CPV,2019,11914478.0
