dcid,year,climateFinanceReceivedCommitmentsCurrentUSD
country/BDI,2021,131536881.25
country/CPV,2013,180235717.0
country/CPV,2014,9326339.2
country/CPV,2015,5204473.0
country/CPV,2016,16114871.0
country/CPV,2017,18909795.4
country/CPV,2018,7416899.2
country/CPV,2019,22792305.2724
country/CPV,2020,14814611.556
country/CPV,2021,44440060.955
country/KHM,2013,165609547.13
country/KHM,2014,282814540.6
country/KHM,2015,261718274.87823275
country/KHM,2016,162357739.17
country/KHM,2017,112447227.0
country/KHM,2018,413563889.4256
country/KHM,2019,456623899.80504
country/KHM,2020,465732497.3114981
country/KHM,2021,346012660.91899997
country/CMR,2013,122792224.6
country/CMR,2014,130438678.8
country/CMR,2015,21993436.400000002
country/CMR,2016,133567465.10978657
country/CMR,2017,226831270.46
country/CMR,2018,448476363.53894
country/CMR,2019,138414719.67900002
country/CMR,2020,869115589.876
country/CMR,2021,389772979.88
country/CAF,2013,1428915.6
country/CAF,2014,11359516.2
country/CAF,2015,5854941.2
country/CAF,2016,8010783.600000001
country/CAF,2017,11018986.2
country/CAF,2018,53711444.238308005
country/CAF,2019,96263109.8
country/CAF,2020,55462168.324149996
country/CAF,2021,92322935.28
country/TCD,2013,59357245.0
country/TCD,2014,52005011.8
country/TCD,2015,57647054.0
country/TCD,2016,110137724.80000001
country/TCD,2017,14780140.0
country/TCD,2018,129670540.24273457
country/TCD,2019,108912731.81589808
country/TCD,2020,269865592.345
country/TCD,2021,129023970.218
country/CHL,2013,325997119.4
country/CHL,2014,577860472.8
country/CHL,2015,137841487.82
country/CHL,2016,267859161.4
country/CHL,2017,122279316.421
country/CHN,2013,2044081239.4045
country/CHN,2014,1594234663.6
country/CHN,2015,795625165.7724918
country/CHN,2016,1963606520.144
country/CHN,2017,1654024717.3157666
country/CHN,2018,2414382114.09
country/CHN,2019,2813652908.854216
country/CHN,2020,1842287105.64387
country/CHN,2021,1998668013.439552
country/COL,2013,177730906.4
country/COL,2014,164499000.20000002
country/COL,2015,921792857.410805
country/COL,2016,423953633.27
country/COL,2017,1797105833.0
country/COL,2018,620516268.54
country/COL,2019,1470539436.0
country/COL,2020,1100572927.007463
country/COL,2021,2632819050.9882317
country/COM,2013,14502403.0
country/COM,2014,9782667.0
country/COM,2015,12956567.2
country/COM,2016,15465614.6
country/COM,2017,21226854.3725
country/COM,2018,1062662.4
country/COM,2019,68566574.52
country/COM,2020,82180106.07868212
country/COM,2021,12131315.4
country/COG,2013,2087404.4
country/COG,2014,752261.4
country/COG,2015,74820104.39999999
country/COG,2016,500402.6
country/COG,2017,18284559.4
country/COG,2018,47953532.4
country/COG,2019,55643835.92
country/COG,2020,3165870.19512
country/COG,2021,76811357.6384852
country/COK,2013,7645004.0
country/COK,2014,21131773.6
country/COK,2015,16674921.8
country/COK,2016,4812703.8
country/COK,2017,187219.2
country/COK,2018,7509034.600000001
country/COK,2019,3484459.2
country/CRI,2013,75284872.89
country/CRI,2014,183125039.0
country/CRI,2015,225254511.2
country/CRI,2016,6781534.800000001
country/CRI,2017,101060041.80000001
country/CRI,2018,47156208.4
country/CRI,2019,133906277.0
country/CRI,2020,1528392252.1844
country/CRI,2021,563061845.5315
country/CUB,2013,11514616.4
country/CUB,2014,9257025.6
country/CUB,2015,18429145.4
country/CUB,2016,20401558.8
country/CUB,2017,33426644.8
country/CUB,2018,31263148.2
country/CUB,2019,57845765.4
country/CUB,2020,52298106.0
country/CUB,2021,126681320.2
country/CIV,2013,75175669.4
country/CIV,2014,6670719.4
country/CIV,2015,52747426.42373821
country/CIV,2016,181925567.0
country/CIV,2017,315957428.21608436
country/CIV,2018,317780798.6
country/CIV,2019,700218345.84387
country/CIV,2020,793064236.8465
country/CIV,2021,617144688.7076092
country/PRK,2013,361389.2
country/PRK,2014,605967.0
country/PRK,2015,188321.6
country/PRK,2016,495808.2
country/PRK,2017,2288638.4
country/PRK,2018,420852.60000000003
country/PRK,2019,493889.39999999997
country/PRK,2020,458624.2
country/PRK,2021,530945.0
country/COD,2013,239722774.8
country/COD,2014,219049119.8
country/COD,2015,192390783.6
country/COD,2016,143127875.2396107
country/COD,2017,264995511.0368024
country/COD,2018,142761562.8
country/COD,2019,166861268.79466105
country/COD,2020,433342401.5525
country/COD,2021,920102027.691585
country/DJI,2013,53015330.4
country/DJI,2014,6378704.8
country/DJI,2015,19099553.6
country/DJI,2016,8895959.6
country/DJI,2017,74512215.2
country/DJI,2018,51586089.951622
country/DJI,2019,33541668.0
country/DJI,2020,63630996.0
country/DJI,2021,64372068.2
country/DMA,2013,8709158.6
country/DMA,2014,61026000.0
country/DMA,2015,644231.0
country/DMA,2016,10632.800000000001
country/DMA,2017,22935371.2
country/DMA,2018,77340354.2
country/DMA,2019,24202533.0
country/DMA,2020,23632770.4
country/DMA,2021,227783361.2
country/DOM,2013,4067696.4
country/DOM,2014,285997466.8
country/DOM,2015,171592992.2681087
country/DOM,2016,34894764.17120425
country/DOM,2017,182182949.5628114
country/DOM,2018,466599465.2449
country/DOM,2019,234075966.85
country/DOM,2020,29529755.599999998
country/DOM,2021,293462943.3
country/ECU,2013,435164531.4
country/ECU,2014,208239680.8
country/ECU,2015,807818538.0
country/ECU,2016,307573847.2
country/ECU,2017,715034355.3199999
country/ECU,2018,1006133241.6
country/ECU,2019,836267323.8285714
country/ECU,2020,1047707225.7
country/ECU,2021,291792918.4
country/EGY,2013,263303014.87118953
country/EGY,2014,1024283014.6043078
country/EGY,2015,1089702331.0153635
country/EGY,2016,1225311174.9045708
country/EGY,2017,2240837307.9023056
country/EGY,2018,1026871243.1438694
country/EGY,2019,961157584.7181569
country/EGY,2020,1078335021.9136379
country/EGY,2021,1782473736.1424098
country/SLV,2013,29492757.2
country/SLV,2014,89046079.60000001
country/SLV,2015,91696796.0
country/SLV,2016,103344139.2
country/SLV,2017,9992556.0
country/SLV,2018,61204696.4
country/SLV,2019,191556607.0
country/SLV,2020,146731887.6
country/SLV,2021,132849147.0
country/GNQ,2013,3657598.8
country/GNQ,2014,133997.2
country/GNQ,2015,24958.600000000002
country/GNQ,2017,11341.2
country/GNQ,2018,6001481.2
country/GNQ,2019,65585625.93
country/GNQ,2020,60133.4
country/GNQ,2021,444437.6
country/ERI,2013,191242.8
country/ERI,2014,339803.6
country/ERI,2015,23129960.2
country/ERI,2016,20607253.2
country/ERI,2017,45750454.8
country/ERI,2018,142866.40000000002
country/ERI,2019,26069674.71363557
country/ERI,2020,28735328.2575
country/ERI,2021,19834401.4
country/SWZ,2013,464667.6
country/SWZ,2014,5201021.6
country/SWZ,2015,20912265.6
country/SWZ,2016,34882386.8
country/SWZ,2017,156485.8
country/SWZ,2018,8354787.6
country/SWZ,2019,91027091.0281
country/SWZ,2020,9323396.8
country/SWZ,2021,8019514.4
country/ETH,2013,325643494.6
country/ETH,2014,495521205.4
country/ETH,2015,436819466.7243483
country/ETH,2016,778175348.13
country/ETH,2017,1149641674.9066665
country/ETH,2018,1246412337.76482
country/ETH,2019,1440830013.3029966
country/ETH,2020,1037479650.8744034
country/ETH,2021,862675920.26
country/FJI,2013,15813106.4
country/FJI,2014,17659358.4
country/FJI,2015,99375554.76538122
country/FJI,2016,16569236.040000001
country/FJI,2017,37201058.44186676
country/FJI,2018,26562412.3
country/FJI,2019,37067824.219258256
country/FJI,2020,61821470.801169835
country/FJI,2021,86184919.0625348
country/GAB,2013,62340872.4
country/GAB,2014,147407944.4
country/GAB,2015,25737474.0
country/GAB,2016,19451250.0
country/GAB,2017,492611.73333333293
country/GAB,2018,6185815.8
country/GAB,2019,69004168.137
country/GAB,2020,62060253.841
country/GAB,2021,54800184.5
country/GMB,2013,28313691.6
country/GMB,2014,17508385.99363
country/GMB,2015,47016388.0
country/GMB,2016,38561715.058400005
country/GMB,2017,49186562.4
country/GMB,2018,64805647.1848
country/GMB,2019,22249160.20043
country/GMB,2020,48105663.10125
country/GMB,2021,44393569.6
country/GEO,2013,90252898.23433581
country/GEO,2014,209937224.9610719
country/GEO,2015,96338297.3380611
country/GEO,2016,222718199.5038685
country/GEO,2017,137642371.05168688
country/GEO,2018,251404104.02354413
country/GEO,2019,811370594.0757445
country/GEO,2020,723466552.178547
country/GEO,2021,452697431.1603038
country/GHA,2013,62977168.400000006
country/GHA,2014,212002304.8
country/GHA,2015,33856365.570271775
country/GHA,2016,241710060.31361273
country/GHA,2017,270416490.6
country/GHA,2018,228129627.432208
country/GHA,2019,370654697.64
country/GHA,2020,306151102.892592
country/GHA,2021,257360570.275
country/GRD,2013,953775.4
country/GRD,2014,6881870.6
country/GRD,2015,19221070.0
country/GRD,2016,1943749.0
country/GRD,2017,7366305.8
country/GRD,2018,71907947.29012161
country/GRD,2019,19277036.6
country/GRD,2020,31488363.2
country/GRD,2021,2913925.2
country/GTM,2013,33714500.0
country/GTM,2014,57489714.2
country/GTM,2015,55251544.0
country/GTM,2016,59793405.8
country/GTM,2017,63135045.637600005
country/GTM,2018,69216373.4
country/GTM,2019,422506347.8
country/GTM,2020,147854331.6
country/GTM,2021,204249939.2
country/GIN,2013,48226407.0
country/GIN,2014,37294540.72
country/GIN,2015,40756979.6
country/GIN,2016,13609275.6
country/GIN,2017,90479925.2
country/GIN,2018,124354685.0614
country/GIN,2019,164270556.30806577
country/GIN,2020,191730305.678
country/GIN,2021,67052851.832
country/GNB,2013,8696073.200000001
country/GNB,2014,3437312.8
country/GNB,2015,110972885.6
country/GNB,2016,13279768.0
country/GNB,2017,24292130.0
country/GNB,2018,40688227.91744
country/GNB,2019,16870429.2
country/GNB,2020,11472289.0
country/GNB,2021,3628665.0
country/GUY,2013,52970648.0
country/GUY,2014,136641117.85
country/GUY,2015,3812731.8
country/GUY,2016,53162686.8
country/GUY,2017,11709211.8539
country/GUY,2018,31933994.0
country/GUY,2019,19016089.75
country/GUY,2020,278563763.4329069
country/GUY,2021,21610327.484093092
country/HTI,2013,81574478.4
country/HTI,2014,79147481.2
country/HTI,2015,152138079.5
country/HTI,2016,81441820.80000001
country/HTI,2017,287510161.6
country/HTI,2018,297023201.8
country/HTI,2019,155212584.2
country/HTI,2020,254407690.8
country/HTI,2021,199197948.0
country/HND,2013,53952476.0
country/HND,2014,154078097.79999998
country/HND,2015,258204634.82429284
country/HND,2016,65174936.400000006
country/HND,2017,83273683.75
country/HND,2018,189630913.4
country/HND,2019,229068825.8928
country/HND,2020,580595526.8
country/HND,2021,559783868.39
country/IND,2013,4536234956.066
country/IND,2014,6364469709.246
country/IND,2015,2776517510.6163063
country/IND,2016,4661966204.621493
country/IND,2017,4545417497.0
country/IND,2018,7310408952.34
country/IND,2019,5386584495.600857
country/IND,2020,6123430644.255343
country/IND,2021,7503212377.452312
country/IDN,2013,1634201910.887
country/IDN,2014,551396839.5142
country/IDN,2015,2246089015.4
country/IDN,2016,475788533.94
country/IDN,2017,1669972971.0
country/IDN,2018,2310267984.8
country/IDN,2019,1409298979.40027
country/IDN,2020,1957155270.8
country/IDN,2021,2133040026.279268
country/IRN,2013,1050813.2
country/IRN,2014,1611256.6
country/IRN,2015,2313762.8000000003
country/IRN,2016,2313155.2
country/IRN,2017,3495059.8
country/IRN,2018,14769676.200000001
country/IRN,2019,12660613.4119
country/IRN,2020,8836733.2
country/IRN,2021,8224803.800000001
country/IRQ,2013,6394259.4
country/IRQ,2014,2701065.2
country/IRQ,2015,812640696.8
country/IRQ,2016,327068713.7
country/IRQ,2017,439037382.8
country/IRQ,2018,473457274.4
country/IRQ,2019,175284173.60000002
country/IRQ,2020,76237536.0
country/IRQ,2021,255494208.8
country/JAM,2013,3433766.4
country/JAM,2014,43118530.0
country/JAM,2015,28835969.48
country/JAM,2016,49184392.57
country/JAM,2017,82516199.16
country/JAM,2018,24647126.800000004
country/JAM,2019,26949012.0
country/JAM,2020,79692083.8
country/JAM,2021,20514083.6
country/JOR,2013,331983517.6600564
country/JOR,2014,217009655.53612837
country/JOR,2015,630535695.4235718
country/JOR,2016,678253548.2628278
country/JOR,2017,439796566.6933661
country/JOR,2018,344182269.6226368
country/JOR,2019,590693489.8051034
country/JOR,2020,296894375.140171
country/JOR,2021,605491433.5122566
country/KAZ,2013,414679033.00857157
country/KAZ,2014,324986810.0352187
country/KAZ,2015,413747722.9843449
country/KAZ,2016,698276068.9037932
country/KAZ,2017,536374592.80086654
country/KAZ,2018,206507736.52354532
country/KAZ,2019,535645609.63666517
country/KAZ,2020,395250955.5788421
country/KAZ,2021,426251240.4894724
country/KEN,2013,774643959.4
country/KEN,2014,691141023.73
country/KEN,2015,651732900.2
country/KEN,2016,998864933.9624212
country/KEN,2017,799345668.9952499
country/KEN,2018,524887620.5284205
country/KEN,2019,1042822772.1737
country/KEN,2020,1449493356.3680933
country/KEN,2021,725277939.0763178
country/KIR,2013,22199993.8
country/KIR,2014,9766909.2
country/KIR,2015,1098950.8
country/KIR,2016,28633802.200000003
country/KIR,2017,15018670.6
country/KIR,2018,47672273.05
country/KIR,2019,48427519.084
country/KIR,2020,46505733.35
country/KIR,2021,34094147.2
country/XKX,2013,43236592.74603567
country/XKX,2014,51395571.28509809
country/XKX,2015,88964871.95331565
country/XKX,2016,53619031.871895604
country/XKX,2017,9950382.65622816
country/XKX,2018,68810597.80202994
country/XKX,2019,136507279.15505204
country/XKX,2020,73374070.64367768
country/XKX,2021,52017346.80060006
country/KGZ,2013,96686622.62774199
country/KGZ,2014,72586550.00532013
country/KGZ,2015,69933531.2122245
country/KGZ,2016,167372751.32147202
country/KGZ,2017,93523726.74360333
country/KGZ,2018,98343510.22124395
country/KGZ,2019,166965862.26777864
country/KGZ,2020,90116156.43606296
country/KGZ,2021,133124781.07061501
country/LAO,2013,128313028.95
country/LAO,2014,81700854.8
country/LAO,2015,129595224.4925125
country/LAO,2016,160757041.4
country/LAO,2017,109633540.0066
country/LAO,2018,101632480.62900001
country/LAO,2019,250709454.23804104
country/LAO,2020,126714774.85715528
country/LAO,2021,80391218.92472187
country/LBN,2013,4076545.0
country/LBN,2014,309338726.8
country/LBN,2015,34732275.4
country/LBN,2016,45006035.400000006
country/LBN,2017,77005057.4
country/LBN,2018,451043415.4757465
country/LBN,2019,145238888.4207521
country/LBN,2020,43900701.6
country/LBN,2021,94543696.4
country/LSO,2013,21224557.2
country/LSO,2014,36020892.498
country/LSO,2015,5826507.6
country/LSO,2016,12919732.4
country/LSO,2017,29190232.8
country/LSO,2018,38717645.0
country/LSO,2019,175959716.39
country/LSO,2020,12576188.200000001
country/LSO,2021,25540276.71
country/LBR,2013,88893271.60000001
country/LBR,2014,9963350.2
country/LBR,2015,167361347.8
country/LBR,2016,118578808.4
country/LBR,2017,130186536.8
country/LBR,2018,47602902.6
country/LBR,2019,71195048.3875
country/LBR,2020,77276888.89296
country/LBR,2021,107972227.74
country/LBY,2013,4109589.0
country/LBY,2015,488075.60000000003
country/LBY,2016,125579.00000000001
country/LBY,2017,4509.2
country/LBY,2019,681.2
country/LBY,2020,5483937.6
country/LBY,2021,14935640.6
country/MDG,2013,45968819.8
country/MDG,2014,43795572.6
country/MDG,2015,149460463.4
country/MDG,2016,253032040.3937189
country/MDG,2017,334506495.4202908
country/MDG,2018,163829920.1059
country/MDG,2019,235120326.144257
country/MDG,2020,275458855.90275
country/MDG,2021,533025685.8046
country/MWI,2013,390740621.6
country/MWI,2014,95712843.6
country/MWI,2015,224614207.434609
country/MWI,2016,197433145.42722547
country/MWI,2017,394446462.6
country/MWI,2018,56118569.0135
country/MWI,2019,365109123.1010102
country/MWI,2020,344224953.32
country/MWI,2021,210969424.119834
country/MYS,2013,8011452.199999999
country/MYS,2014,3788927.6
country/MYS,2015,6935251.8
country/MYS,2016,13957166.0
country/MYS,2017,2804979.4
country/MYS,2018,753176.8
country/MYS,2019,9939047.20123
country/MYS,2020,8142853.800000001
country/MYS,2021,12471080.0
country/MDV,2013,6627822.4
country/MDV,2014,92362257.2
country/MDV,2015,43615519.2
country/MDV,2016,35410123.5293376
country/MDV,2017,18640957.0
country/MDV,2018,7635576.6
country/MDV,2019,18553848.6
country/MDV,2020,150146791.69024
country/MDV,2021,78664371.8
country/MLI,2013,243555514.8
country/MLI,2014,169331322.79999998
country/MLI,2015,156124585.8
country/MLI,2016,178974704.0
country/MLI,2017,247350216.6310556
country/MLI,2018,321665995.54
country/MLI,2019,268889747.72527105
country/MLI,2020,320392470.246
country/MLI,2021,464550892.3357976
country/MHL,2013,6326724.6
country/MHL,2014,622454.4
country/MHL,2015,10512028.600000001
country/MHL,2016,11993954.4
country/MHL,2017,67776572.60260001
country/MHL,2018,39367138.6
country/MHL,2019,33908845.6
country/MHL,2020,38540995.36137
country/MHL,2021,30514732.8
country/MRT,2013,65905692.0
country/MRT,2014,26707250.8
country/MRT,2015,36524248.6
country/MRT,2016,52496528.8
country/MRT,2017,69524610.6
country/MRT,2018,65153565.2
country/MRT,2019,40197761.2012
country/MRT,2020,120760641.2998
country/MRT,2021,91913814.15176
country/MUS,2013,84687276.0
country/MUS,2014,65173046.4
country/MUS,2015,10537180.72434831
country/MUS,2016,43183479.0
country/MUS,2017,5354741.0
country/MUS,2018,90496660.8
country/MUS,2019,13538937.0
country/MUS,2020,160853601.4
country/MUS,2021,1469794.8
country/MEX,2013,202683485.4
country/MEX,2014,561879576.4
country/MEX,2015,626693277.8641887
country/MEX,2016,567252202.87
country/MEX,2017,1600018170.4373577
country/MEX,2018,1401517116.71
country/MEX,2019,1263694387.4076657
country/MEX,2020,1411831215.4871063
country/MEX,2021,1347283785.720428
country/FSM,2013,7452241.0005
country/FSM,2014,13964180.200000001
country/FSM,2015,4508104.8
country/FSM,2016,7301719.600000001
country/FSM,2017,12747172.6
country/FSM,2018,14814044.6185
country/FSM,2019,52724039.0
country/FSM,2020,25116773.0
country/FSM,2021,67127247.6
country/MDA,2013,81326330.68667902
country/MDA,2014,134348310.6414476
country/MDA,2015,44558487.95675157
country/MDA,2016,153720725.94116998
country/MDA,2017,73571484.76086125
country/MDA,2018,55725042.93124041
country/MDA,2019,77015208.89730132
country/MDA,2020,222495583.85693246
country/MDA,2021,115952461.82078022
country/MNG,2013,69708593.23122677
country/MNG,2014,31422961.40769288
country/MNG,2015,29363396.96276784
country/MNG,2016,156520827.311953
country/MNG,2017,121922822.76548308
country/MNG,2018,451486304.13232625
country/MNG,2019,345832533.06070113
country/MNG,2020,303958090.1728104
country/MNG,2021,268476968.26563156
country/MNE,2013,97573990.65398885
country/MNE,2014,76240237.20886289
country/MNE,2015,77291325.22140874
country/MNE,2016,11062043.8164326
country/MNE,2017,73556021.27651903
country/MNE,2018,53246381.27662596
country/MNE,2019,143361179.81441742
country/MNE,2020,38354167.01880342
country/MNE,2021,37732908.17502365
country/MSR,2015,883471.2000000001
country/MSR,2016,3166339.6
country/MSR,2017,69018.8
country/MSR,2018,9016322.4
country/MSR,2019,114093.20000000001
country/MSR,2020,90714.4
country/MSR,2021,569154.6
country/MAR,2013,1307649378.8784387
country/MAR,2014,2071287632.985566
country/MAR,2015,710753035.9823712
country/MAR,2016,817321824.5246192
country/MAR,2017,835685444.8192158
country/MAR,2018,1188732118.9329374
country/MAR,2019,1221324917.795269
country/MAR,2020,1364473077.9438019
country/MAR,2021,1031382069.0025134
country/MOZ,2013,310323088.0
country/MOZ,2014,303475594.8
country/MOZ,2015,133397339.93621741
country/MOZ,2016,133640123.8
country/MOZ,2017,321966720.23
country/MOZ,2018,416799524.86392003
country/MOZ,2019,759064198.3195052
country/MOZ,2020,611871241.8284448
country/MOZ,2021,946998534.3214396
country/MMR,2013,349228486.8
country/MMR,2014,301413764.6
country/MMR,2015,460187995.0
country/MMR,2016,141327351.8
country/MMR,2017,349348852.0
country/MMR,2018,377004944.2
country/MMR,2019,224893945.2731928
country/MMR,2020,1417428566.8114045
country/MMR,2021,46610129.63080286
country/NAM,2013,42136357.0
country/NAM,2014,2209155.8000000003
country/NAM,2015,61012447.8
country/NAM,2016,55284707.2
country/NAM,2017,85389422.51822792
country/NAM,2018,99165412.51901
country/NAM,2019,45837857.69779821
country/NAM,2020,113433690.07499999
country/NAM,2021,65247608.42
country/NRU,2013,3588653.2
country/NRU,2014,167326.0
country/NRU,2015,4179928.6
country/NRU,2016,2801027.4
country/NRU,2017,38938516.4
country/NRU,2018,25138011.400000002
country/NRU,2019,26479242.8
country/NRU,2020,4211885.6
country/NRU,2021,2808674.8000000003
country/NPL,2013,496894500.04
country/NPL,2014,361018864.8
country/NPL,2015,446901657.07249033
country/NPL,2016,128554305.36
country/NPL,2017,687594560.58472
country/NPL,2018,353356429.08
country/NPL,2019,426515230.151
country/NPL,2020,1024503269.59
country/NPL,2021,178513025.11699998
country/NIC,2013,108855386.8
country/NIC,2014,34624309.8
country/NIC,2015,189093922.296228
country/NIC,2016,119278984.2
country/NIC,2017,250215509.212862
country/NIC,2018,63407621.735
country/NIC,2019,9277052.600000001
country/NIC,2020,246799274.6
country/NIC,2021,180277132.4
country/NER,2013,197963699.79999998
country/NER,2014,127525355.4
country/NER,2015,203363455.71590802
country/NER,2016,316212480.50149155
country/NER,2017,170731908.4
country/NER,2018,201536916.46152
country/NER,2019,477996678.0073533
country/NER,2020,464233201.2108446
country/NER,2021,1048873140.5841986
country/NGA,2013,214698743.8
country/NGA,2014,571295863.017
country/NGA,2015,162361522.53621742
country/NGA,2016,100526490.05445096
country/NGA,2017,392618799.6
country/NGA,2018,983212731.3504686
country/NGA,2019,662640516.7774814
country/NGA,2020,1798854827.3908
country/NGA,2021,1427173542.6
country/NIU,2013,6409623.4
country/NIU,2014,1954071.2
country/NIU,2015,3853317.0
country/NIU,2016,587155.4
country/NIU,2017,7558451.0
country/NIU,2018,1803871.4000000001
country/NIU,2019,666829.6
country/NIU,2020,767993.6000000001
country/NIU,2021,4403662.0
country/MKD,2013,91094377.1985168
country/MKD,2014,269523932.2697206
country/MKD,2015,73341811.93101843
country/MKD,2016,9164248.118158929
country/MKD,2017,26079168.344673656
country/MKD,2018,70723552.1579925
country/MKD,2019,192919684.7216812
country/MKD,2020,93389377.57506213
country/MKD,2021,175899691.9465376
country/PAK,2013,243699392.2
country/PAK,2014,932037805.424
