dcid,year,climateFinanceReceivedCommitmentsAdaptationOdaGrantsCurrentUSD
Earth,2013,4314475852.706667
Earth,2014,3436679436.8419623
Earth,2015,4008971055.514389
Earth,2016,4450203162.828326
Earth,2017,5572776634.215155
Earth,2018,5631385753.127517
Earth,2019,7908389982.10442
Earth,2020,8128994222.037167
Earth,2021,8010203248.927271
country/AFG,2013,43237681.6
country/AFG,2014,27184253.4
country/AFG,2015,41072465.6
country/AFG,2016,76518178.515
country/AFG,2017,73887142.5
country/AFG,2018,106384985.8
country/AFG,2019,183758573.4
country/AFG,2020,108941422.8
country/AFG,2021,156578028.171
country/ALB,2013,4226268.8
country/ALB,2014,3478196.4000000004
country/ALB,2015,3464273.8000000003
country/ALB,2016,50488.0
country/ALB,2017,1517545.6
country/ALB,2018,149130.0
country/ALB,2019,8924954.200000001
country/ALB,2020,7963433.4
country/ALB,2021,5488130.8
country/DZA,2013,682230.0000000001
country/DZA,2014,2656965.2
country/DZA,2015,2857024.4
country/DZA,2016,2067594.4
country/DZA,2017,10245339.0
country/DZA,2018,6305385.6
country/DZA,2019,7151743.0
country/DZA,2020,12242398.0
country/DZA,2021,3419560.0
country/AGO,2013,8950670.4
country/AGO,2014,7573468.4
country/AGO,2016,1200394.2
country/AGO,2017,76407091.6
country/AGO,2018,1681268.0
country/AGO,2019,9408445.600000001
country/AGO,2020,6622483.6
country/AGO,2021,8603609.8
country/ATG,2013,5154984.4
country/ATG,2016,36647.6
country/ATG,2017,9970000.0
country/ATG,2018,7197412.6
country/ATG,2019,37209.600000000006
country/ATG,2020,33629761.0
country/ATG,2021,87827.20000000001
country/ARG,2013,9324114.8
country/ARG,2014,1008730.5
country/ARG,2015,1071360.8
country/ARG,2016,2200426.8
country/ARG,2017,3777876.0
country/ARG,2018,1399344.0
country/ARG,2019,7875600.4
country/ARG,2020,2146703.2
country/ARG,2021,1193034.4000000001
country/ARM,2013,2321000.4000000004
country/ARM,2014,4228116.4
country/ARM,2015,2704254.4000000004
country/ARM,2016,17250.8
country/ARM,2017,6951144.0
country/ARM,2018,1507158.8
country/ARM,2019,7492303.4
country/ARM,2020,6311093.0
country/ARM,2021,1515805.4000000001
country/AZE,2013,8808644.0
country/AZE,2014,1824400.0
country/AZE,2015,117430.4
country/AZE,2016,21941.2
country/AZE,2017,27375.6
country/AZE,2018,49475.399999999994
country/AZE,2019,11178.400000000001
country/AZE,2020,991894.0
country/AZE,2021,6723901.2
country/BGD,2013,115477578.66
country/BGD,2014,30230741.0
country/BGD,2015,127951811.4
country/BGD,2016,122050700.0
country/BGD,2017,89946785.4
country/BGD,2018,105978269.186954
country/BGD,2019,270117693.4
country/BGD,2020,152341472.2
country/BGD,2021,68517335.4
country/BLR,2013,259113.2
country/BLR,2014,8214.800000000001
country/BLR,2015,28946.800000000003
country/BLR,2016,68011.2
country/BLR,2017,22976.0
country/BLR,2018,16439.0
country/BLR,2019,83959.0
country/BLR,2020,1947461.8
country/BLR,2021,28835.2
country/BLZ,2013,64533.6
country/BLZ,2014,14078767.3488
country/BLZ,2015,21176.0
country/BLZ,2016,507969.0
country/BLZ,2017,4970249.8
country/BLZ,2018,1398708.6
country/BLZ,2019,7110755.6
country/BLZ,2020,754132.6000000001
country/BLZ,2021,1567977.0
country/BEN,2013,4109487.6
country/BEN,2014,49702734.6
country/BEN,2015,27478777.400000002
country/BEN,2016,39506217.0
country/BEN,2017,119814929.6
country/BEN,2018,65832648.1847
country/BEN,2019,34927804.01
country/BEN,2020,52716433.0
country/BEN,2021,80422955.48811525
country/BTN,2013,16738096.6
country/BTN,2014,2861301.6
country/BTN,2015,29558175.8
country/BTN,2016,35783366.2
country/BTN,2017,9296809.4
country/BTN,2018,364608.8
country/BTN,2019,29957620.2
country/BTN,2020,6624261.6
country/BTN,2021,19926901.4
country/BOL,2013,56342629.6
country/BOL,2014,54274895.400000006
country/BOL,2015,124817191.6
country/BOL,2016,21562178.7
country/BOL,2017,78067174.0
country/BOL,2018,38316520.2
country/BOL,2019,37276451.0
country/BOL,2020,29180241.0
country/BOL,2021,22872905.8
country/BIH,2013,5444644.4
country/BIH,2014,6126845.8
country/BIH,2015,2096521.6
country/BIH,2016,5577527.8
country/BIH,2017,6682.8
country/BIH,2018,214990.0
country/BIH,2019,4890190.4
country/BIH,2020,3742025.4000000004
country/BIH,2021,4242674.600000001
country/BWA,2017,22694.800000000003
country/BWA,2018,15751.600000000002
country/BWA,2019,135742.0
country/BWA,2020,1468935.4
country/BWA,2021,27601575.8
country/BRA,2013,41266605.8
country/BRA,2014,43138328.17
