dcid,year,climateFinanceProvidedDisbursementsCrossCuttingOdaGrantsCurrentUSD
Earth,2013,1728516247.6000001
Earth,2014,1844338147.53
Earth,2015,2085193440.9938812
Earth,2016,3002920464.64
Earth,2017,2466784676.25
Earth,2018,1874802370.94376
Earth,2019,2096563640.2425199
Earth,2020,2086067256.0249588
Earth,2021,2555025450.437292
country/AUS,2013,117880985.8
country/AUS,2014,110139165.4
country/AUS,2015,82054699.80000001
country/AUS,2016,109418918.4
country/AUS,2017,83732826.8
country/AUS,2018,89008760.2
country/AUS,2019,92828434.4
country/AUS,2020,145036039.6
country/AUS,2021,171901034.6
country/AUT,2013,7873514.0
country/AUT,2014,6304851.000000001
country/AUT,2015,4525577.4
country/AUT,2016,3981671.6
country/AUT,2017,5825960.0
country/AUT,2018,4758767.2
country/AUT,2019,8911141.4
country/AUT,2020,7994548.2
country/AUT,2021,11088753.8
country/BEL,2013,18358895.6
country/BEL,2014,34017424.4
country/BEL,2015,37811066.2
country/BEL,2016,50003447.400000006
country/BEL,2017,34665233.2
country/BEL,2018,43502553.2
country/BEL,2019,60970485.0
country/BEL,2020,78127910.2
country/BEL,2021,82517805.60000001
country/CAN,2013,7886347.2
country/CAN,2014,10712799.4
country/CAN,2015,13789480.600000001
country/CAN,2016,22786053.2
country/CAN,2017,33559283.0
country/CAN,2018,31637036.6
country/CAN,2019,16135284.600000001
country/CAN,2020,33897921.2
country/CAN,2021,54298948.6
country/CZE,2013,137386.0
country/CZE,2014,52028.8
country/CZE,2015,214830.00000000003
country/CZE,2016,176971.6
country/CZE,2017,224323.2
country/CZE,2018,342439.60000000003
country/CZE,2019,361145.60000000003
country/CZE,2020,694007.6000000001
country/CZE,2021,615538.4
country/DNK,2013,102185295.4
country/DNK,2014,100826668.60000001
country/DNK,2015,79097846.60000001
country/DNK,2016,74917787.2
country/DNK,2017,64482668.0
country/DNK,2018,57972300.0
country/DNK,2019,56474324.2
country/DNK,2020,51947340.2
country/DNK,2021,53134281.0
country/EST,2020,121253.6
country/EST,2021,125356.0
country/FIN,2013,17860181.2
country/FIN,2014,17470523.8
country/FIN,2015,42344769.4
country/FIN,2016,12177573.200000001
country/FIN,2017,8183722.0
